Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SolarEdge Technologies,"SolarEdge is a global leader in smart energy technology. By leveraging world-class engineering capabilities and with a relentless focus on innovation, SolarEdge creates smart energy solutions that power our lives and drive future progress.
Established in 2006, SolarEdge developed the DC optimized inverter solution that changed the way power is harvested and managed in photovoltaic (PV) systems. The SolarEdge intelligent inverter solution maximizes power generation while lowering the cost of energy produced by the PV system, for improved RoI.
Continuing to advance smart energy, SolarEdge addresses a broad range of energy market segments through its diversified product offering, including residential, commercial and large scale PV, battery storage and backup solutions, EV charging, home energy management, grid services and virtual power plants, and uninterrupted power supply (UPS) solutions",Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Public Company,"Lyon, Auvergne-Rhône-Alpes, France",France,solaredge.com,https://www.linkedin.com/company/solaredge
ECO-SYSTEME,"Borne de recharge Auto - climatisation - Pompe à Chaleur . 
Installation, dépannage, Mise en Service et Maintenance",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Saint-Laurent-d'Andenay, Bourgogne-Franche-Comté, France",France,ecosysteme71.com,https://www.linkedin.com/company/eco-systeme71
Euro Casse,"Centre VHU en Seine-et-Marne, vous proposant la pièce automobile d'occasion qu'il vous faut pour votre auto !",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Coulommiers, Île-de-France, France",France,eurocasse.com,https://www.linkedin.com/company/euro-casse
"Paulette, roule pour la planète","2 étudiants (ESCP Business School / Panthéon-La Sorbonne Droit)
 2 vélos
 4 mois à travers 11 pays européens
 1 documentaire sur les initiatives européennes pour l’environnement
 1 guide pour les étudiants",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Garches, Île-de-France, France",France,,https://www.linkedin.com/company/paulette-roule-pour-la-planète
Seallyes,Seallyes a company dedicated to the oceans,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Pézenas, Occitanie, France",France,,https://www.linkedin.com/company/se-all-yes
HC VENTILATION CLIMATISATION,"H.C. Ventilation - Climatisation est une entreprise spécialisée dans l'installation, la maintenance et le dépannage des systèmes de ventilation, climatisation et les extractions de cuisines professionnelles. Implantée à Noisy le Grand (93), à Montreuil aux Lions (02) et à Reims (51), H.C. Ventilation - Climatisation intervient régulièrement dans la région parisienne, en Picardie et dans la Marne.
L’INNOVATION TECHNOLOGIQUE, LE CŒUR DE NOTRE ENTREPRISE
Forte d’une expérience de plus de 18 ans, l’entreprise H.C. Ventilation - Climatisation propose aux professionnels et aux particuliers une large gamme de services autour des systèmes de ventilation, des réseaux de VMC double flux et de la climatisation nouvelle génération. Toutes ces innovations technologiques vont dans le sens de l’écoconstruction et des énergies renouvelables.
Confrontée à des réglementations strictes en matière de sécurité et d’hygiène, l’équipe de H.C. Ventilation - Climatisation garantit à ses clients un travail fait dans les règles de l’art et dans le respect du matériel, de l’environnement et des Hommes.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Partnership,"Montreuil-aux-Lions, Hauts-de-France, France",France,hc-ventilation.fr,https://www.linkedin.com/company/hc-ventilation-climatisation
Tymax Energies,"Tymax Energies
Assure les travaux , la maintenance ,  les dépannages 24h/24 , 7jours7 , 365 jours par ans . 

Petites et moyen puissance sur chauffage collectif .",Renewable Energy Semiconductor Manufacturing,Self-employed,Partnership,"Neuilly-sur-Marne, Île-de-France, France",France,,https://www.linkedin.com/company/tymax-energies
OMEXOM REUNION,"Face aux transformations du monde de l’énergie, Omexom participe avec ses clients à concrétiser les promesses de la transition énergétique.
Omexom s’appuie sur son expertise dans le domaine des grands réseaux électriques pour anticiper l’impact des énergies renouvelables, développer des solutions de stockage, rendre les infrastructures plus intelligentes et servir les nouveaux modes de consommation.  
Ses solutions s’adressent à ceux qui produisent, transforment et acheminent l’électricité ainsi qu’à ceux qui l’utilisent sur les territoires. 
Intégrateur, Omexom déploie toujours la meilleure solution en totale indépendance à l’égard des différentes options technologiques.
Omexom est une marque de VINCI Energies.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Partnership,"Saint-Denis, France",France,omexom.fr,https://www.linkedin.com/company/omexom-reunion
FORESTYS,"FORESTYS réalise des cartes géographiques sur mesure pour aider les gestionnaires de forêts à anticiper les effets du changement climatique, à suivre les impacts des ravageurs et à optimiser les interventions.

Ces cartes éclairent le choix des essences, la définition d'un itinéraire sylvicole ou la rédaction d'un PSG, la gestion d'une crise, l'implantation des accès, l'évaluation d'une forêt, ...
Des algorithmes issus de la recherche, appliqués à des données géographiques (topographie, pédologie, lidar, photographies, ...) et à des projections climatiques, fournissent des résultats finement spatialisés :
- répartition des bois et structure des peuplements,
- les pertes de feuillage,
- sensibilité des essences au changement climatique, selon les caractéristiques stationnelles locales,
- topographie, ... 

FORESTYS apporte une vision ""par le haut"" complémentaire des méthodes traditionnelles. En localisant les enjeux, ses outils facilitent les études, les interventions et la communication.",Renewable Energy Semiconductor Manufacturing,Self-employed,Privately Held,"Laxou, Grand Est, France",France,forestys.fr,https://www.linkedin.com/company/forestys
IGEM Poitiers 2019,"Nous sommes un groupe d’étudiants allant du L3 au M1 de l’université des sciences fondamentales et appliquées de Poitiers. Nous nous lançons pour la première fois dans l’aventure iGEM. 
iGEM (International Genetically Engineered Machine) est un concours international scientifique se déroulant à Boston. Son objectif est de faire avancer la biologie synthétique autour d’un projet innovant qui apporte une contribution positive et permet le développement d’une communauté́ ouverte et collaborative.
Tout au long de l’aventure jusqu’en octobre prochain, nous alimenterons cette page afin de vous présenter au mieux notre projet.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Educational,"Poitiers, Nouvelle-Aquitaine, France",France,,https://www.linkedin.com/company/igem-poitiers-2019
