Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Carbon Upcycling Technologies,"Carbon Upcycling is a carbon and resource utilization company, strengthening critical cement supply chains for the infrastructure of tomorrow.

Our technology provides a productive pathway for CO2 emissions and industrial waste byproducts – diverting them away from the environment – and upcycling them into critical materials for local, low-carbon cement manufacturing. 

Since 2021, Carbon Upcycling has enabled thousands of tonnes of low-carbon cement to be deployed in homes, cities, and communities.

Carbon Upcycling is backed by a syndicate of strategic investors, including Builders Vision, the Business Development Bank of Canada, Climate Investment, Oxy Low-Carbon Ventures, and Clean Energy Ventures, as well as three of the world’s leading cement manufacturers: CRH Ventures, Cemex Ventures, and TITAN Group. As recognition of our breakthrough technology, Carbon Upcycling has been recognized as a Global Cleantech 100 and a Reuters 100 Innovators Leading the Energy Transition.

Carbon Upcycling is a certified B Corporation.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Calgary, Alberta, Canada",Canada,carbonupcycling.com,https://www.linkedin.com/company/carbonupcyclingtechnologies
Circular Industries of Canada Ltd.,Circular Industries of Canada Ltd. is in the process of designing and manufacturing aerial firefighting technology to rapidly and effectively extinguish early stage forest fires. We are continuously learning from the firefighting community to push our developing technology for capabilities across the fire life cycle -- from early suppression to mop-up.,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Victoria, British Columbia, Canada",Canada,circularindustries.ca,https://www.linkedin.com/company/circular-industries-of-canada-ltd
Qlean,,Climate Technology Product Manufacturing,11-50 employees,Non Profit,"Kingston, Ontario, Canada",Canada,,https://www.linkedin.com/company/queensqlean
Oleum Technologies Inc,"Oleum Technologies Inc is a company based out of 2685 Rue Galt O, Sherbrooke, Quebec, Canada.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Sherbrooke, Quebec, Canada",Canada,oleumtechnologies.com,https://www.linkedin.com/company/oleum-technologies-inc
Solar Cooling,"Welcome to Solar Cooling, the Solar-powered HVAC division of Ecosolaris.  We are dedicated to redefining energy efficiency with advanced solar-powered HVAC solutions designed for the modern home. Our flagship product is a high-performance hybrid mini-split heat pump that seamlessly integrates solar energy with grid power, prioritizing renewable sources to drastically reduce electricity costs while ensuring year-round comfort.

Our Technology - Our systems offer offgrid and hybrid operating modes to suit various energy goals:

Hybrid Mode: Runs primarily on direct solar energy during the day and switches to grid power during non-sunny periods or at night.

Off-Grid: With the installation of a DC booster, our units can integrate with any 48V battery bank (Lead-acid, AGM, Gel, or Lithium), allowing for day and night operation independent of the grid.

Product Highlights:
*   Capacity: Available in 12,000 BTU and 18,000 BTU kits.
*   Efficiency:High-performance cooling and heating with SEER2 ratings up to 23.4.
*   Sustainability: Operates on eco-friendly refrigerants and reduces reliance on fossil fuels.
*   Reliability: continuous operation through solar, grid, or battery backup.

Join us in leading the transition to solar-first, greener, more affordable climate control solutions.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"St-Jérôme, Quebec, Canada",Canada,solarcooling.ca,https://www.linkedin.com/company/solar-cooling
LeafTown,"Crée ta ville en relevant les défis imposés par les habitants.

Retrouve les même infrastructure dans ta propre ville.

Challenge tes amis et collègues à relever les mêmes défis - chez eux.

LeafTown est une application de jeu mobile qui vise à rendre un mode de vie écoresponsable accessible, fun et collaboratif ! 
Nous:
- Démantelons les idées reçues.
- Te présentons les initiatives durables proches de chez toi
- Te connectons à tes amis et collègues dans cette quête pour la durabilité

Commence l'aventure :)",Climate Technology Product Manufacturing,2-10 employees,Partnership,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/leaftown
Smart Technologies Corp.,"SMART TECHNOLOGIES OF HUMAN INTELLIGENCE

SMART Technologies Corp. was established in 2017 in Ontario, Canada. In 2025 we developed the consumerready BioHeat Bricks line — a line of sustainable, green, and environmentally friendly products. Our vision is to make sustainable heating and grilling accessible to every household while diverting waste from landfills and reducing deforestation. 

BioHeat Bricks are sustainable, green, and environmentally friendly fuel solutions: high-performance cylindrical briquettes made from 90–95% recycled waste materials (coffee grounds, sawdust, paper pulp, tree bark, pinecones and charcoal dust with citric acid binders). Produced under SMART Technologies Corp. (Ontario, Canada), the brand launches with two flagship products that exemplify our commitment to sustainability: 

 BioHeat Stove Bricks – Large cylindrical heating briquettes (ø100 mm outer with ø20 mm central airflow hole, 150 mm high) for wood stoves. 

 BioHeat Grill Bricks – Compact cylindrical grilling briquettes (ø55 mm, 100 mm high) engineered for charcoal grills with exceptional burn time, heat output, and unique flavor. 

Smart Technologies Corp. also develops Neural Networks - Artificial Intelligence And Machine Learning technologies....

STOHI is a state of the art technology for your people/space analytic solutions.

STOHI is a hardware and software combination that uses advance algorithms to capture accurate people/space data. STOHI COUNTER DEVICES are equipped with above industry standard technologies such as People Counter, Face Recognition, Heat Map, Queue Management, and Night Vision.


http://www.smarttechcorp.com
http://www.stohi.com",Climate Technology Product Manufacturing,Self-employed,Self Owned,"Mississauga, Ontario, Canada",Canada,smarttechcorp.com,https://www.linkedin.com/company/smarttechnologiescorp
Synergy Conversion Inc.,"Synergy Conversion is a trailblazer in the green technology sector, revolutionizing the way businesses and nations approach waste management. With globally patented technology, we provide innovative solutions to transform waste into valuable resources, eliminating the need for landfills and incineration.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,synergyconversion.com,https://www.linkedin.com/company/synergy-conversion
Easy Carbon Credit Corporation,"Easy Carbon Credit Company (“Easy Carbon”) is a pioneering Canadian technology company that has designed, engineered and developed the world’s first Application Programming Interface (API), layered with a User Interface (UI), for the calculation and trade of carbon credits. 

Easy Carbon’s innovative software aims to address the urgent climate crisis by providing Ecosystem Services. By utilizing the application, companies, private landowners, and even individuals can effortlessly tally and capture the value of their carbon sequestration efforts.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Victoria, British Columbia, Canada",Canada,easycarbon.ca,https://www.linkedin.com/company/easy-carbon-credit-corporation
Edie Farming,"Edie Farming is an early-stage startup building Ontario’s first urban commercial rooftop greenhouse. By utilizing AI technology, a closed-loop hydroponic system using rainwater and stormwater capture and solar energy, we are growing sustainable and reliable produce directly in city centres. Edie Farming won the City of Toronto’s Women4Climate award in 2024, DMZ’s Woman Innovation Summit in 2025 and has been featured in CBC, CNN, FastCompany and The Washington Post.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Toronto, Ontario, Canada",Canada,ediefarming.com,https://www.linkedin.com/company/ediefarming
