Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
BlueBotics,"At BlueBotics we help companies meet the challenge of vehicle automation. We provide the ANT navigation technology and expert support they need to bring their AGV, automated forklift or mobile robot successfully to market. 

A ZAPI GROUP COMPANY.",Industrial Automation,51-200 employees,Privately Held,"Saint-Sulpice, Neuchâtel, Switzerland",Switzerland,bluebotics.com,https://www.linkedin.com/company/bluebotics-sa
9T Labs,"9T Labs supports OEMs, part suppliers, and research centers in advancing sustainable high-performance applications using composites. It has never been so easy for engineers to design, optimize, and manufacture lightweight and strong parts at scale. We are committed to assisting organizations in achieving their goals in a sustainable manner.",Industrial Automation,51-200 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,9tlabs.com,https://www.linkedin.com/company/9t-labs
Mikron Automation,"Mikron Automation - a division of the Swiss Mikron Group -  is your worldwide partner for advanced assembly solutions. At Mikron we are committed to delivering the best assembly systems and all needed services throughout your product’s entire life cycle. With our extensive engineering know-how, complex process expertise, scalable platforms, and lifelong support we are driving lasting success for your business.
Mikron Automation has produced and installed more than 4’200 assembly and testing systems worldwide to customers in the pharmaceutical, medtech, automotive, electrical/industrial and consumer goods. Mikron Automation currently employs over 1’000 people and is headquartered in Boudry (Switzerland), a region that is regarded as the heart of the Swiss watchmaking industry. It also has sites in Denver (USA), Singapore, Shanghai (China) and Kaunas (Lithuania). 

At a glance:
•	Number of employees: 1000+
•	Sales in 2024: CHF 233 million
•	Assembly experience: 50 years 
•	Systems installed worldwide: over 4’200
•	Projects: more than 100 per year",Industrial Automation,"501-1,000 employees",Public Company,"Boudry, Neuchâtel, Switzerland",Switzerland,mikronautomation.com,https://www.linkedin.com/company/mikron-automation
coatmaster AG,"coatmaster AG develops and sells measuring system technologies for fast, non-contact and non-destructive measurement and testing of industrial coatings. coatmaster technology is an award-winning and patented technology in Europe and USA that enables coating thickness measurement at an early stage of the production process. Founded in 2011, the company has now integrated the coatmaster into highly automated production lines at more than 2000 production sites all over the world.",Industrial Automation,51-200 employees,Public Company,"Winterthur, Zurich, Switzerland",Switzerland,coatmaster.com,https://www.linkedin.com/company/coatmasterag
"Hapa AG, a Coesia company","Hapa AG, founded in 1933, is the world’s leading provider of late-stage-customization and on-demand printing solutions for packaging processes in the pharmaceutical and healthcare industry. The in-house printing solutions developed and produced by Hapa allow a lean production and create added value for packaging processes. 
Hapa, based in Volketswil near Zurich and completed with its own sales and service offices all over the world belongs to Coesia, a group of innovation-based industrial and packaging solutions companies operating globally, headquartered in Bologna Italy.",Industrial Automation,201-500 employees,Privately Held,"Volketswil, Zurich, Switzerland",Switzerland,hapa.ch,https://www.linkedin.com/company/hapa-ag
AUTEM Industrial Automation,"Mission : Restore your Obsolete Machines  and Transition to Digital Manufacturing 

 Strategy : Unblock . Monitor . Modernize . with informed decisions, incremental steps  www.autem-services.fr",Industrial Automation,2-10 employees,Privately Held,"Matran, Fribourg, Switzerland",Switzerland,autem.ch,https://www.linkedin.com/company/autemautomation
GlobalEngineer GmbH,"GlobalEngineer unterstützt Sie bei all Ihren Vorhaben im In- und Ausland. Unsere Ingenieure sind hoch spezialisiert auf den Gebieten der Elektrotechnik, Maschinenbau und Softwareentwicklung.",Industrial Automation,11-50 employees,Public Company,"Baar, Zug, Switzerland",Switzerland,globalengineer.ch,https://www.linkedin.com/company/globalengineerch
PAL System,"We resolve laboratories bottle necks with automated just-in-time sample preparation. We offer integrated sample prep workflow solutions for applications in food safety, environmental, life science and clinical labs. Solutions are developed and brought to market together with leading analytical instrument manufacturers as well as specialized solution providers. With over 70'000 installations in labs worldwide our robotic autosampler system is used every day to generate consistent analysis results.

Workflow solutions using smart consumables allow fast method development and save costs per analysis due to usage-based management of consumables. The PAL System is fully integrated into all major analytical instrument's control and data processing systems worldwide.

As a leader in automated micro methods, we help labs reduce the costs per analysis by consuming fewer resources. Our automated extraction and enrichment techniques including SPME, micro SPE, static and dynamic headspace cover the whole range of cleanup and sample prep.

Engineered and made in Switzerland, designed for reliability, our PAL Autosamplers ensure a long product life. With our proven partner networks in Europe, Asia and Americas; as well as established global logistics processes, we offer every partner great service and short service times if ever needed. 

Curious about our offerings? Register to our newsletter https://www.palsystem.com/en/pardotform/ or visit our website https://www.palsystem.com/",Industrial Automation,51-200 employees,Privately Held,"Zwingen, Basel-Country, Switzerland",Switzerland,palsystem.com,https://www.linkedin.com/company/palsystem
Vögtlin Instruments GmbH,"Vögtlin is a Swiss developer of precision flow instrumentation. For the last 37 years our flow experts ensure high-value products and solutions for your flow measurement and control tasks. Our mass flow meters and mass flow controllers for gases with digital and analog output and IP67/NEMA6 and ATEX protection serve a wide range of applications: Gas analysis, Laboratory equipment, Pharmaceutical / Biotech/Life science, Research & Development, OEM and other industrial applications & solutions.

Our high-precision flow measurement and control devices are based on on high tech semicon MEMS sensor, capillary and differential pressure technology. With more than 350.000 devices sold, Vögtlin is a strongly respected global player in this market. This success is coming from our attitude to provide the best products, solutions and services and be a part of the customer’s success. The Vögtlin team is looking forward to help you get the best flow solution!

Our OEM partners and our customers need reliable quality & repeatable performance. As an ISO 9001: 2015 certified company, we can guarantee highest quality standards.

Since 2011 Vögtlin is a member of the TASI Flow Network which delivers flow meter, flow control and dispensing solutions. TASI Flow products are developed, customized and serviced through technical centers in the US, Switzerland, Germany and UK. Strategically located calibration centers in Europe, Asia and the US allow us to provide full service and application expertise next to the customers door.

With local sales partners in more than 50 countries, we provide a strong worldwide sales, service and distribution network.",Industrial Automation,51-200 employees,Privately Held,"Muttenz, Basel-Country, Switzerland",Switzerland,voegtlin.com,https://www.linkedin.com/company/vogtlin-gmbh
coatingAI,"AI that saves powder, improves quality, and removes guesswork.

At coatingAI, we help manufacturers transform their coating operations with artificial intelligence. Our BlueprintTM platform combines real-time measurement, AI optimization, and operator-friendly tools to deliver guaranteed 10% powder savings—often much more—without disrupting production.

From day one, Blueprint improves efficiency, consistency, and sustainability:

Cut powder waste (16–30% savings proven across customers)

Reduce rejects & rework by up to 85%

Standardize quality across shifts, parts, and powders

Empower operators with simple 20-minute weekly routines

With three levels of automation, coaters choose the solution that fits their line:

Blueprint OS: AI guidance for operators to achieve consistent results.

Blueprint Plus: Real-time pre-cure thickness feedback to eliminate errors before curing.

The Autopilot: Fully automated control of powder output, electrostatics, airflow, and more.

Onboarding takes just four hours per line—no downtime required. Operators quickly learn to apply Blueprint’s insights, making continuous improvement part of everyday work.

Our mission is simple: help every coater spray less, coat better, and achieve consistent quality while cutting costs and lowering environmental impact.

Trusted by leading manufacturers and job coaters worldwide, coatingAI is redefining what’s possible in powder coating.",Industrial Automation,2-10 employees,Privately Held,"Winterthur, Zurich, Switzerland",Switzerland,coatingai.com,https://www.linkedin.com/company/coatingai
