Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Melbourne, Victoria, Australia",Australia,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
PTL AUTOMATION LIMITED,,Industrial Automation,,,"Wagin, Western Australia, Australia",Australia,ptlautomation.co.uk,https://www.linkedin.com/company/ptl-automation-limited
VEGA Level and Pressure,"Imprint: https://www.vega.com/imprint
VEGA is a world leader in the area of level, switching and pressure measurement. The company employs over 2,800 people worldwide, 1,300 of whom work at its headquarters in Schiltach in the Black Forest. This is where, for over 65 years now, solutions to demanding measuring tasks are being conceived and brought to realization: for chemical and pharmaceutical plants, the food industry, drinking water supply systems, sewage treatment plants, landfills, mining, power generation, oil platforms, ships and airplanes.

VEGA is active in over 80 countries with its globe-spanning network of subsidiaries and distributors. The company and its products have all the necessary certificates and approvals for worldwide application. This applies to the technical safety as well as the quality of the products and services.

With the goal of considerably simplifying level and pressure instrumentation, VEGA introduced plics, the world’s first standardized instrument platform, in 2003. What at that time seemed unthinkable for many users became a reality with plics: a standard compact housing, a simple, universal adjustment concept as well as short delivery times. Since then VEGA delivers 80 percent of its instruments within a week after ordering.

Technologies
Level
Radar, guided radar, ultrasonic, capacitive, hydrostatic, radiometric, conductive, vibration
Pressure
Process pressure, hydrostatic, differential pressure",Industrial Automation,"1,001-5,000 employees",Privately Held,"Sydney, New South Wales, Australia",Australia,vega.com,https://www.linkedin.com/company/vega-level-and-pressure
Yokogawa Australia & New Zealand,"Established in 1915, Yokogawa is a leading provider of Industrial Automation, Process Safety, Process Instrumentation, Cloud, Data Analytics and Energy Management solutions. Combining ultra-reliable technology with engineering excellence, Yokogawa delivers field proven operational improvement, safety, quality, and reliability.
With a presence in the region for over thirty years, we have been improving the lives of everyday Australians and New Zealanders through the provision of engineering and solutions excellence to key industries and critical infrastructure. Our reputation for quality and reliability ensures the highest standards of water purity, food quality, reliable and sustainable energy provision plus minerals supply to help grow our economies. Our dedication to building a safe and sustainable future through emissions monitoring, raw materials reduction and process improvements have been rewarded with globally recognised awards.  
As an energetic, service-focused business with an enviable reputation for quality and reliability, our people are our strength. Acknowledged at the highest levels for meeting the most demanding of schedules, often on applications that test the limits of conventional platforms and expertise, we work collaboratively with our clients to ensure an optimal outcome designed and installed to the highest possible safety standards. Our resilient transformation approach to improving your operations not only utilises our fit for purpose technology but delves into the best-in-class expertise which is the foundation for some of the world’s most successful Power generators.
A proudly diverse and inclusive organisation, we provide solutions that enhance safety, ensure accurate and reliable operation, open windows to previously inaccessible process insights and increase overall plant efficiency. Our total solutions approach ranges from specific process measurement, through packaged applications to complete remote operations solutions.",Industrial Automation,201-500 employees,Public Company,"Sydney, New South Wales, Australia",Australia,yokogawa.com,https://www.linkedin.com/company/yokogawa-australia-newzealand
ANDRITZ Automation & Digitalization,"ANDRITZ Automation is a global leading supplier of machines and plant control systems headquartered in Graz, Austria. We provide automation services and tools for a wide range of industries including: pulp and paper, mining, and oil and gas. Customers around the world rely on ANDRITZ Automation in various fields like tissue, stainless steel, and food and beverage. 

ANDRITZ Automation makes plants efficient and profitable. With our plant control systems, simulation, and advanced control tools, we help plants quickly become operationally ready through comprehensive process know-how and pre-tested components. Customers receive individual solutions based on their needs, following all required standards to ensure a smooth workflow starting with quotation engineering, project management, hardware and software engineering to erection work, start-up and operator training, and continuing with maintenance and engineering work for expansions and improvements.",Industrial Automation,"10,001+ employees",,"Melbourne, Victoria, Australia",Australia,andritz.com,https://www.linkedin.com/company/andritz-automation-ltd-
Alliance Automation,"Our vision is to create a smarter, brighter, and sustainable tomorrow by leading the advancement of operational systems, automation, OT cybersecurity, OT data governance and digital solutions today.  

Alliance Automation, established in 2010, has grown into a leading national enterprise with offices across Australia, delivering innovative solutions and consistent value to clients nationwide. While staying true to our core business, we have embraced a diversification strategy to strengthen and sustain our position as a turnkey solutions provider.

Through expansion into new regions, market sectors—including Mining, Energy, Water, Manufacturing, and Defence—and a broader range of services, we have become one of Australia’s largest providers of Electrical Engineering, Automation, OT Cybersecurity, and OT Data Solutions. Today, we proudly operate with a dynamic team of over 300 professionals and a network of offices countrywide.",Industrial Automation,201-500 employees,Public Company,"Brisbane, Queensland, Australia",Australia,allianceautomation.com.au,https://www.linkedin.com/company/alliance-automation
SAGE Group,"Digitalisation is revolutionising the world we live in, creating a better, more sustainable future for everyone. At SAGE, we continuously ask ""what if things could be done better?"".

SAGE Group, A Tetra Tech Company is a specialist industrial services provider, working alongside some of the world's most iconic organisations to innovate, modernise, digitise and improve how they do things by solving complex problems and opening up new opportunities. 

We combine the best thinking with world-leading technology to deliver the best outcome through our suite of companies:
SAGE Automation - Australia’s leading independent industrial automation and control provider
Nukon - a digital transformation consulting and delivery company, bridging the IT-OT gap
Skills Lab - a Registered Training Organisation upskilling workforces in industrial automation and control, instrumentation, big data analytics, PLC and SCADA
Embedded Expertise - integrating the industry’s finest industrial engineering and tech minds into our client’s teams.

SAGE offers end-to-end project consultancy, delivery, and industry-best expertise to digitise your business. As a workforce of more than 720 people. we have the capacity to deliver projects of all sizes across major industry sectors in Australia and around the world.

Discover how SAGE Group’s unified outlook can support your digital transformation journey.",Industrial Automation,"501-1,000 employees",Privately Held,"Adelaide, South Australia, Australia",Australia,gotosage.com,https://www.linkedin.com/company/sage-group-of-companies
Robotics Australia Group,"As the peak body for robotics in Australia, we advocate, connect, inform and promote on behalf of, and for our network members, and the broader robotics community in Australia.  We aspire to see an Australian robotics industry that supports the strength and competitiveness of our domestic industries; including mining, energy, agriculture, manufacturing, construction, avionics, defence, and many more.

Whilst Australia has strong robotics and automation capabilities it still requires a more rapid adoption of robotics and automation via focussed efforts on education, workforce upskilling and job changes, positive narrative, cultural mindset, skill shortage, remoteness challenges, risk, safety and efficiency gains.

By addressing these aspects, stronger collaboration has the potential to raise Australia’s domestic and international profile in robotics given our existing capabilities, unique economic and geographic features (resources industry, low population density, remoteness, extreme environments), and a strong demand already in place for these technologies.

The network has four main objectives:

Promote and facilitate the creation of a robotics manufacturing and technology industry in Australia;
Support existing Australian robotics and automation companies and encourage collaboration;
Increase the adoption of robotics technology across Australia, including in SME supply chains;
Develop and foster a positive social narrative in Australia around robotics.

Membership to the Robotics Australia Network is now open. Join us and amplify your impact as a robotics business in Australia.",Industrial Automation,2-10 employees,Non Profit,"Brisbane, Queensland, Australia",Australia,roboausnet.com.au,https://www.linkedin.com/company/robotics-australia-network
CGIS (CG Industrial Specialties),"CGIS is the global supplier of high-performance valves and automation for the Mining and Mineral Processing, Chemical, LNG, Hydrogen, Oil and Gas, Oil Sands, Pulp and Paper, Water and Wastewater, and Steel Manufacturing industries. CGIS represents “best in class” valve manufacturers, ensuring reduced maintenance, the lowest cost of ownership, and the highest reliability. CGIS’s expertise, extensive process knowledge and product range guarantee the best solution to your application. CGIS has delivered our recognized expertise and consulting services to many of the world’s leading EPCs and largest valve end-users around the globe. Our fully operational 15,000 square foot automation and service centres in Edmonton & Vancouver allow us to automate valves in the hundreds. 

CGIS provides a wide range of services, including automation, consulting, service and repairs. CGIS can provide consulting services in the areas of valve specification for new projects, valve specification review, expert witness testimony, valve failure analysis, valve cost comparisons, and cost of ownership analysis.

We also provide a comprehensive onsite and in-house inspection and evaluation program. Some of our services include torque testing, maintenance training, onsite construction assistance, hydrostatic testing, onsite turnaround repairs, BUS communication and start-up and total valve management. 

For additional information please visit our website www.cgis.ca

Check our YouTube channel: https://www.youtube.com/c/CGISLTD",Industrial Automation,51-200 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,cgis.ca,https://www.linkedin.com/company/cg-industrial-specialties
Dorabot,"Dorabot develops automated warehouse solutions using cutting-edge AI and robotics, including computer vision, motion planning, mobility and deep learning, etc. Covering automation solutions such as induction, sorting, transportation and loading for logistics, express, e-commerce, seaports, airports, manufacturing and other scenarios. Our systems pick, place, load, sort, and transport items of various shapes and sizes using cutting-edge deep learning, motion planning, grasp planning, navigation, and SLAM technologies. Dorabot employs engineers and business professionals from over 10 different countries, and united by our boundless drive to create, learn, share, and grow.",Industrial Automation,51-200 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,dorabot.com,https://www.linkedin.com/company/dorabot-inc.
