Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Lyngdorf Audio,"Lyngdorf Audio is a brand under SL Audio A/S. Lyngdorf Audio develop products and technologies that go beyond the ordinary, we prove they can work, and we implement them purposefully. We developed a fully digital signal path to eliminate analog disruption and we developed RoomPerfectTM, a 3 dimensional room mapping and correction system, to “see” the listening room and adjust your audio system to fit it. 

OEM OPPORTUNITIES
Our technologies are in highest demand, and we work with original equipment manufacturers to help them implement ideas and intellectual design into their own products.",Consumer Electronics,11-50 employees,Privately Held,"Skive, Middle Jutland, Denmark",Denmark,steinwaylyngdorf.com,https://www.linkedin.com/company/lyngdorf-audio
AIAIAI,"AIAIAI is a Danish audio company with team members located in Denmark, Germany, USA, Japan, and China. Together we are dedicated to empowering the future of music creation. With an ambition to break down technical, cultural and creative barriers, our products fit the versatile needs of the modern music creator - on the road, in the studio, and on stage. Driven by a responsible design philosophy, and with a heritage in Scandinavian design, our products are designed to last.",Consumer Electronics,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,aiaiai.audio,https://www.linkedin.com/company/aiaiai
HiFi Klubben A/S,"HiFi Klubben is a retail chain specializing in home audio. We are based in Denmark but have webshops across Northern Europe and showrooms in Denmark, Norway, Sweden, The Netherlands and Germany. 

In HiFi Klubben, we want people to listen again. Because it matters! When we listen, something good happens. Welcome Listeners!",Consumer Electronics,"501-1,000 employees",Privately Held,"Lystrup, Middle Jutland, Denmark",Denmark,hifiklubben.com,https://www.linkedin.com/company/hifiklubben
Skousen,"Danmarks mest erfarne forhandler af billige hårde hvidevarer - og vi er nu også taget til Norge.

Hos Skousen er det naturligvis hårde hvidevarer, der er i fokus. For os handler det om at servicere vores kunder med billige hvidevarer i høj kvalitet og at matche kundernes individuelle ønsker og behov hver gang. 

Vi har arbejdet med salg af hårde hvidevarer siden 1957, og vi synes selv, at vi har klaret det ganske godt med mere end 50 butikker i Danmark og snart 25 i Norge, alle i franchisemodel. Kombineret med online salg via skousen.dk og skousen.no arbejder vi i et omnichannel marked med fokus på prismatch: Hos os er der ikke forskel på priser online og i butik på hårde hvidevarer.

Og det hænger sammen med vores andre fokusområder, som er vores kunder og vores dygtige medarbejdere. Vores tilgang til kunderne er at give god service i form af kvalificeret rådgivning og fornuftige priser. Hver enkelt kunde skal gå ud af døren med det helt rette produkt for dem, så de oplever, at deres nye produkt netop er en god investering og en hjælp i hverdagen.

Vores tilgang til vores medarbejdere er, at vi vil tiltrække de bedste medarbejdere, så vi netop kan holde det høje serviceniveau over for vores kunder: Det gælder både i butikkerne og på hovedkontoret i Risskov, hvorfra overordnet salg- og driftsstrategi udgår kombineret med marketing, kommunikation og projekter på tværs af butikker og online-kanaler.",Consumer Electronics,201-500 employees,Privately Held,"Å, Middle Jutland, Denmark",Denmark,skousen.dk,https://www.linkedin.com/company/skousen
Sirène,A personal safety device that lets you call as many contacts as you want with one click.,Consumer Electronics,2-10 employees,Self Employed,"Valby, Capital Region, Denmark",Denmark,ooono.com,https://www.linkedin.com/company/sirene-ooono
AV-Connection,"AV-Connection is specialised in delivery of a wide selection of Quality Cables, Accessories, Home Cinema & Hi-Fi solutions to consumers and industry. You can visit AV-Connection on the website www.av-connection.dk or in one of the two physical stores located in Sønderborg and Odense.",Consumer Electronics,11-50 employees,Partnership,"Sønderborg, South Denmark, Denmark",Denmark,av-connection.dk,https://www.linkedin.com/company/avconnection
Vifa,"Wireless loudspeakers for anyone who values exclusive Nordic design and authentic sound.
All six loudspeakers are named after Scandinavian capitals, a testimonial of Vifa’s dedication to its Nordic heritage. A DNA that is also deeply anchored in the materials, all chosen in order to convey the core value of true Nordic authenticity: A special-designed textile cover from Kvadrat gives the loudspeakers a genuinely groomed look. And the solid aluminum frame underlines the idea of a robust premium product. Finally, the discretely embossed logo and embroidered interface that has become Vifa’s signature in the Nordic series, is to be found on all products.",Consumer Electronics,11-50 employees,Privately Held,"Viborg, Middle Jutland, Denmark",Denmark,vifa.dk,https://www.linkedin.com/company/vifa-denmark-a-s
IDUN audio,"IDUN audio is the leading spatial audio embedded software provider for headsets, earbuds and smart glasses. Our patented edge processing has been designed and optimised to use very little processing power on the headset, ensuring a long battery life. The spatial audio processing can be controlled from a smartphone, allowing developers and end users to easily fine-tune the listening experience to their personal needs.",Consumer Electronics,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,idun-audio.com,https://www.linkedin.com/company/idun-audio
TickrMeter,"Stock tickers for your table.
They call it the second-best thing to a Bloomberg terminal

 Exclusive E-paper display.
 Real-time crypto and stock prices.
 Set custom alerts.
 Track and show your gains (or losses)",Consumer Electronics,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,tickrmeter.com,https://www.linkedin.com/company/tickrmeter
CC Athletics,"Revolutionizing Athletic Performance Testing. 

At CC Athletics, we believe cutting-edge sports technology should be accessible, straightforward, and truly yours. Based in Denmark, we design and manufacture high-precision force plates and isometric testing equipment that empower coaches, physiotherapists, and sports organizations to make data-driven decisions without recurring subscription fees.

Our Mission: Technology That Belongs to You
In an industry dominated by subscription models and hidden costs, we've taken a different path. When you invest in professional equipment, you should own it completely – including the software, updates, and your data. Forever. This philosophy drives everything we do.

Premium Danish Assembly
Every CC Athletics product is assembled in our Danish facility with uncompromising quality standards. While we source premium components from trusted suppliers, each unit is carefully assembled by hand in Denmark with comprehensive quality checks throughout the process. Our software is developed entirely in-house, ensuring seamless integration and continuous improvement based on user feedback.

Our Products

PlateMate Force Plates – Golden-standard precision meets practical usability. 960 Hz sampling rate, 4,000 kg maximum load, and externally validated precision. Test jumps, movements, balance, and isometrics with 100+ metrics.

GroinMate – Measure adduction and abduction strength with 960 Hz accuracy and 200 kg maximum load. Designed for real-world clinical and training environments.

CableMate – Portable force measurement with 8-hour battery life and 200 kg maximum load. Measure force output across multiple muscle groups anywhere.

Software Without Compromise
Lifetime access to all features and updates – no monthly fees, no surprises. Access 100+ scientifically validated metrics through an intuitive, user-friendly interface. Your data lives in the cloud and remains yours to access, analyze, and export.",Consumer Electronics,2-10 employees,Privately Held,"Odense, South Denmark, Denmark",Denmark,ccathletics.dk,https://www.linkedin.com/company/cc-athletics
Lumigon,"Danish design meets quality craftsmanship

Lumigon is a Scandinavian company based in Copenhagen that designs and manufactures high-quality smartphones. Our products are designed with reference to the Scandinavian design traditions characterized by simplicity, minimalism and solidness. We are dedicated to present sophisticated, yet durable devices with a lasting value and innovative features that make your life easier in a cool way.

Feel the difference and discover more about Lumigon at www.lumigon.com",Consumer Electronics,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,lumigon.com,https://www.linkedin.com/company/lumigon
Føniks Computer A/S,"Føniks Computer A/S har solgt computere og elektronikprodukter siden september 1997. 
Vi har et stort lager og eget værksted til service og samling af vores egne stationære PC'er.",Consumer Electronics,11-50 employees,Public Company,"Tilsted, Middle Jutland, Denmark",Denmark,fcomputer.dk,https://www.linkedin.com/company/fcomputer
Amfitech ApS,"We are a development house with a strong focus on innovative product and technology development. We love big challenges and quirky projects with a little edge are just something that gives us extra motivation.

We are a strong partner regardless of whether you need extra capacity for the company's development department or you are a start-up entrepreneur who needs to get started with the first prototype.

We can be involved in the entire process from idea development to finished product. We have competence in electronics development - including hardware, embedded software, software, mechanics, sensor technologies, etc. We can also help with advice on patents, financing, project management, etc.

You are welcome to contact us to find out more about what we can do.",Consumer Electronics,11-50 employees,Privately Held,"Vejle, South Denmark, Denmark",Denmark,amfitech.dk,https://www.linkedin.com/company/amfitech-aps
biggerthings.io,"biggerthings.io is the smart distributor in the nordic region. We cover the scandinavian territory in Denmark, Norway, Sweden, Finland & Iceland.

We work with premium Smart Home brands like Homey, FIBARO, Aqara, Aeotec, Qubino, Govee, MotionBlinds, Shelly and Danalock.",Consumer Electronics,2-10 employees,Privately Held,"Aarhus, Middle Jutland, Denmark",Denmark,biggerthings.io,https://www.linkedin.com/company/biggerthings-io
Ztove,"We are a team of engineers, software developers and culinary experts based in Odense in Denmark, working to create the future of cooking. 

The Ztove system gives you precise control of temperatures. This new feature makes cooking easy, stress-free and time-efficient.

Visit our website to learn more about the advantages of precise
temperature control. Ztove.com",Consumer Electronics,11-50 employees,Privately Held,"Odense, South Denmark, Denmark",Denmark,ztove.com,https://www.linkedin.com/company/ztove
Buchardt Audio,"What makes us different? 
Buchardt Audio is a Danish based high-end loudspeaker manufacturer. Our goal is to provide state-of-the-art sound at an affordable price. We have succeeded in this task with the help of some of the most talented developers and engineers in the industry. Our speakers are the product of a long and meticulous design process.

Don't let the cost of our speakers dissuade you. They can compete with products well above their price range.

Reaching these prices without compromise is impossible. If compromises on the product and development processes are not an option, we need to look elsewhere. We have eliminated expensive marketing, distributors, agents and Hi-Fi dealers. By selling directly to the end user, we eliminate about 60-70% of the cost in comparison to our competitors. Direct sales is not anything new. More and more small companies are doing this. What makes us different is that we rely on big scale production where we produce thousands of speakers in batches, so we benefit from the best possible prices on the parts we use.    

Our focus is purely on consistent performance and quality. To achieve this, we outsource production to a company that knows what it’s doing, and can handle the large scale production we need. The company is the respected Danish/Chinese-owned Company: Hansong in Nanjing, China. Hansong has extensive experience in manufacturing for some of the most well known High-End Hi-Fi brands in the world! 

To us, it is of vital importance that the production facility we use offers the best working conditions for the employees. Hansong offers special healthcare benefits to all employees along with apartments and free electric bus rides to the city. Hansong is ISO 9001 certified and has facilities in China, Denmark and USA.

Our products are finally shipped to our warehouse in Denmark where we do an final quality control before shipping to our customers.",Consumer Electronics,2-10 employees,Partnership,"Middle Jutland, Denmark",Denmark,buchardt-audio.com,https://www.linkedin.com/company/buchardt-audio
