Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Cailabs,"Founded in 2013, Cailabs designs, manufactures, and develops innovative photonic solutions for the space, industry (laser machining), telecommunications, and defense sectors. 
A global specialist in laser shaping, the company has seen its growth accelerate in the space field with turnkey optical ground stations that integrate atmospheric turbulence compensation technology. This makes it one of the first companies to harness very high data rates enabled by optics in a commercial ground station.
The company, which addresses a worldwide market, has won several awards, most notably the EY Born Global Award for its international dimensions, the Pass FrenchTech prize for its growth in excess of 100% year on year and the DeepTech4Good Industry 4.0 award for the importance the company gives to technological leadership.
Cailabs currently has over 170+ employees, including 40 PhDs. With 26 patent families filed, the company is one of the most innovative companies in photonics. It is headquartered in Rennes, with offices in Paris and Washington (USA).",Satellite Telecommunications,201-500 employees,Privately Held,"Rennes, Brittany, France",France,cailabs.com,https://www.linkedin.com/company/cailabs
Global Satcoms,"Global Satcoms stands as a prominent global field service engineering firm, specializing in VSAT technologies. Our core competency revolves around catering to VSAT service providers and teleport operators, primarily emphasizing the oil & gas and maritime sectors.

Operating robustly in numerous countries globally, we deliver dependable and effective satellite communication solutions to our esteemed clientele. Our skilled professionals handle everything from installation and maintenance to troubleshooting, ensuring our clients experience seamless connectivity and uninterrupted operations.

Trust Global Satcoms for all your VSAT needs, as we deliver exceptional service wherever you are in the world.",Satellite Telecommunications,11-50 employees,Privately Held,"Paris, Île-de-France, France",France,globalsatcoms.com,https://www.linkedin.com/company/global-satcoms
Celestia,"Celestia is an international multi technology group based on innovation, investigation and development of high technology products key factors to a steady growth.

The individual Celestia companies operate in the defence, space, wireless, governmental and medical segments offering state of the art products supported by an extensive background of R&D activities",Satellite Telecommunications,201-500 employees,Privately Held,"Villefranche-de-Lauragais, Occitanie, France",France,celestia-tech.com,https://www.linkedin.com/company/celestiagroup
LEOBLUE,"LEOBLUE, a pioneer in satellite communications, uses Bluetooth capabilities to facilitate direct communication between satellites and smartphones. Our flagship solution is a global alert system, independent of ground networks, informing phone users of impending events – whether natural disasters such as cyclones or volcanic eruptions, or human incidents such as fires or pollution.

Our mission? To save lives by keeping people informed and safe, thanks to our cutting-edge communications technology.",Satellite Telecommunications,2-10 employees,Self Owned,"Toulouse, Occitanie, France",France,leoblue.eu,https://www.linkedin.com/company/leoblue
Atheras Analytics SAS,"Atheras Analytics is the global leader in predicting and managing the effects of atmospheric/weather impairments on Ka-band and Q/V-band satellite links. 

The Company has developed a suite of SaaS-based software tools that enables satellite operators to optimise the design and operation of their next-generation Ka-band and Q/V-band satellite networks for maximum network availability. The core of these tools is an AI-based Outage Prediction Algorithm (OPA) which employs advanced machine learning techniques, including neural networks, to train the Outage Prediction Algorithm (OPA) for multiple different operational scenarios.",Satellite Telecommunications,2-10 employees,Privately Held,"Toulouse, Occitanie, France",France,,https://www.linkedin.com/company/atheras-analytics-sas
SatPort,"SatPort is the world’s leading carrier-neutral ground infrastructure platform, purpose-built to support the next generation of satellite operators. Backed by long-term capital from global investment organization EQT, SatPort delivers build-to-suit teleport and gateway solutions for LEO, MEO, and GEO constellations. We combine deep operational expertise with the financial strength to fund, develop, and scale mission-critical infrastructure globally. Our model enables customers to lock in predictable operating costs across the full asset lifecycle, eliminating capital burden and operational complexity. Orbitally agnostic and globally distributed, SatPort provides secure, resilient, and strategically located infrastructure, allowing operators to focus on space while we power their ground networks. For more information visit satport.com or contact via email: careers@satport.com",Satellite Telecommunications,51-200 employees,Privately Held,"8th arrondissement of Paris, Île-de-France, France",France,satport.com,https://www.linkedin.com/company/satportinfrastructure
Orbofleet,"Orbofleet is a commercial space start-up company based in Strasbourg, France. With 15 years of experience, Orbofleet provides consulting services and products in the Space and Satellite field in versatile disciplines such as business consulting, insights, studies, strategies, business development, technology and technical, market research, custom training courses, support RFPs, and management.",Satellite Telecommunications,2-10 employees,Privately Held,"Strasbourg, Grand Est, France",France,orbofleet.com,https://www.linkedin.com/company/orbofleet
Planexus,"Planexus is a spin-off from CNRS and University of Rennes laboratory I.E.T.R. The company is launched in December 2022 by 4 passionates about SATCOM to supercharge the development of the lab’s promising new one-antenna terminal technology.

Our executive co-founders bring a unique combination of scientific excellence and business skills to the company. Our scientific co-founders is made up of the world’s most accomplished experts in antennas and hyperfrequency devices. 

PLANEXUS aims to provide new generation user terminals that meet the challenges of satellite communications (SATCOM) on mobility (SOTM: Satcom on the move) of today and tomorrow. Our goal is to offer seamless, smooth, global and reliable connectivity for air, land and sea SOTM segments. SOTM services will make it possible to drastically reduce the digital inequalities and will offer everyone a plurality of connectivity at lower cost and at very high speed by 2030.",Satellite Telecommunications,2-10 employees,Partnership,"Cesson-Sévigné, Brittany, France",France,planexus.fr,https://www.linkedin.com/company/planexus
IEC Telecom Europe,"IEC Telecom Europe est la filiale européenne du groupe international IEC Telecom, spécialisée dans les solutions de connectivité satellite multi-orbite (LEO & GEO) et hybrides pour les environnements critiques, mobiles et isolés.
Nous concevons et déployons des infrastructures de communication résilientes en combinant les technologies les plus performantes du marché :
Solutions LEO (ex : Starlink, OneWeb) pour le haut débit et la faible latence.
Solutions GEO & MSS (ex : Iridium, Viasat/Inmarsat, Thuraya/Space42) pour la couverture mondiale, la mobilité et les communications critiques.
Architectures hybrides multi-orbites, assurant continuité d’activité, redondance et haute disponibilité.

Cette page a été créée pour renforcer la proximité avec nos clients et partenaires en France, en Europe et en Afrique, en partageant des actualités locales, des projets terrain et l’expertise de nos équipes régionales. 

Nous accompagnons les acteurs de secteurs clés tels que : 

- ONG & Humanitaire 
- Maritime, Énergie & Offshore 
- Gouvernement & Défense 
- BTP & Industrie 
- Médias & Evènementiel 
- Entreprises opérant en zones isolées 

Notre mission : fournir des solutions de connectivité satellites, sécurisées et adaptées aux besoins spécifiques de chaque client, partout où les réseaux terrestres sont limités ou inexistants. 

Suivez IEC Telecom Europe et plongez au cœur de nos projets, de nos innovations et de nos équipes sur le terrain.",Satellite Telecommunications,11-50 employees,Privately Held,"Cergy, Île-de-France, France",France,iec-telecom.eu,https://www.linkedin.com/company/iec-telecom-europe
FOCAL MSCA Project,"FOCAL (Free-space Optical Communications
for Aerial-satellite networks) is a 4 years project in R&I funded by the European Union. In the frame of Horizon Europe, FOCAL will establish a comprehensive and interdisciplinary Doctoral network on the development of advanced optical space and aerial technologies, offering ubiquitous connectivity, resilience, and security for the future wireless network infrastructures.",Satellite Telecommunications,11-50 employees,Educational,"Marseille, Provence-Alpes-Côte d'Azur, France",France,focal-dn.eu,https://www.linkedin.com/company/focal-msca-project
