Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Electric Vehicle Info,"E-Vehicle Info is India’s Leading Electric Vehicle Portal and the No.1 Source for EV News, Updates & Insights. Based in Ahmedabad, Gujarat, we cover everything in the electric mobility space—from EV launches and policies to charging infrastructure and market trends.

With a growing community of 184K+ followers, we are shaping conversations, building awareness, and supporting India’s transition to clean and sustainable mobility.",Media & Telecommunications,11-50 employees,Self Owned,"Ahmedabad, Gujarat, India",India,e-vehicleinfo.com,https://www.linkedin.com/company/electric-vehicle-info
Ghazipur News,"Ghazipur News (ग़ाज़ीपुर न्यूज़): गाजीपुर समाचार, Today Ghazipur News, मौसम, UP News @GhazipurNews.in",Media & Telecommunications,2-10 employees,Privately Held,"Ghazipur, Uttar Pradesh, India",India,ghazipurnews.in,https://www.linkedin.com/company/ghazipurnews
A Boardroom Circle,"A Boardroom Circle is a premium professional platform dedicated to spotlighting leadership transitions and amplifying thought leadership within the corporate ecosystem. We believe that leadership movements are not merely announcements but strategic milestones that reflect vision, direction and organizational evolution. Our page curates and publishes leadership joining announcements with depth and context, highlighting the experience, expertise and strategic mandate of corporate leaders as they take on new roles. Beyond announcements, A Boardroom Circle serves as a hub for executive insights, sharing thought leadership that addresses governance, strategy, innovation, transformation, risk management and sustainable growth. By presenting content in a refined and professional manner, we aim to create a distinguished digital space that reflects the composure, influence, and forward-thinking mindset of the modern boardroom. Through every post, we reinforce our commitment to recognizing leadership, encouraging visionary thinking and building a credible circle where corporate voices are acknowledged, respected and amplified.",Media & Telecommunications,11-50 employees,Privately Held,"Chandigarh, Chandigarh, India",India,,https://www.linkedin.com/company/a-boardroom-circle
PARIVAHAN SAMPDA,"PARIVAHAN SAMPDA is India's largest automotive magazine, with a total focus on the Indian automotive trade & industry. Our comprehensive coverage includes vehicle and auto component manufacturers as well as auto retail, wholesale and finance.Other vital areas covered by us include fuels, roads and infrastructure which impact the development of the auto sector. We also feature regular updates of the Delhi market reports of auto markets in India. And we also have some of the world’s biggest names in the industry & manufacturers of spares parts writing for us. In a nutshell, what is delivered to you twice a month is nothing but the best in automotive intelligence.",Media & Telecommunications,2-10 employees,Privately Held,"Jaipur, Rajasthan, India",India,parivahansampda.com,https://www.linkedin.com/company/parivahan-sampda
Solar Words,"At Solar Words, we are dedicated to delivering daily insights into the world of solar energy. From in-depth articles on the latest solar panels and leading solar brands to updates on green energy companies, we keep our audience informed with timely, accurate news. Join us as we explore the future of sustainable energy, one article at a time.",Media & Telecommunications,2-10 employees,Self Employed,"Rohtak, Haryana, India",India,solarwords.com,https://www.linkedin.com/company/solar-words
The Infosentials,"Driven by passion. Delivering excellence through performance. Our Raison D’être is to become the industry standard within the Tele-Marketing spectrum by using our proprietary & ethical, Data Extraction techniques, paired with our highly skilled, Tele-Marketing workforce trained by seasoned B2B Veterans. This makes us, The INFOSENTIALS, a homogenous blend of Machine and Mankind. Our conglomerate consists of two young, dynamic and composed partners standing as the foundation of our business collateral, striving to revolutionize the fields of Inside Sales, Finance recovery, Lead Generation, Contact Discovery, Demand Generation etc. We are the only marketing firm to be following strict industry standards and training our staff with a personal degree of experience. We conduct training camps with our employees on a regular basis while personally following a hands on approach on each and every campaign before allotting it to our employees to develop custom strategies and scripts, mentoring their work module through our experience and guidance.",Media & Telecommunications,11-50 employees,Partnership,"Pune, Maharashtra, India",India,,https://www.linkedin.com/company/the-infosentials
Alkatel Communications Pvt Ltd,"Alkatelco Communications Private limited is one stop solution for Digital VAS Services. We are live in Many Countries across world starting from SEA, MENA and Africa regions. With our services live in many countries and we are eagar to expand across world wide. We believe in team spirit and hence we work with the highly professional, experienced and motivated team members.",Media & Telecommunications,11-50 employees,Privately Held,"Panchkula, Haryana, India",India,alkatelco.com,https://www.linkedin.com/company/alkatel-communications-pvt-ltd
AUTO WEBHOLIC PRIVATE LIMITED,"""PM WANI WIFI"" SCHEME BRINGS OPPORTUNITY TO UNEMPLOYED, LOCAL SHOPS AND SMALL BUSINESSES ALONG WITH INCOME BENIFITS, BY PROVIDING GUARANTEED FAST AND RELIABLE INTERNET FACILITIES TO THE LAST MILE  WITH CHEAPER PLANS COMPARED TO OTHER PROVIDERS,  IT ALSO ENGAGES IN DIGITALIZING INDIA.",Media & Telecommunications,2-10 employees,Privately Held,"Hyderabad, TG, India",India,autowebholic.com,https://www.linkedin.com/company/autowebholic
Media Mingle,"Media Mingle is a boutique marketing and communications agency built on one simple belief: every brand has a story worth telling it just needs to be told the right way.

We work closely with brands to shape their digital presence through thoughtful strategy, creative storytelling, and meaningful connections. From social media and influencer collaborations to branding and content direction, we focus on building visibility that feels authentic, not forced.

At Media Mingle, we value clarity over clutter, relationships over reach, and consistency over quick wins. We don’t chase trends  we build brands that last.

If you’re looking for marketing that feels personal, purposeful, and aligned with your brand’s voice, you’re in the right place.",Media & Telecommunications,2-10 employees,Privately Held,"Dadri, Uttar Pradesh, India",India,,https://www.linkedin.com/company/mediamingle1997
GRISU MEDIA ARTS,"Grisu Media Company Is A Cutting-edge Public Relations (PR) Agency That Excels In Crafting Compelling Narratives And Establishing Impactful Brand Identities For Its Clients. With A Commitment To Innovation And A Finger On The Pulse Of The Media Landscape, Grisu Media Company Leverages Its Expertise To Create Dynamic PR Strategies That Drive Visibility And Engagement.",Media & Telecommunications,2-10 employees,Self Employed,"Mumbai, Maharashtra, India",India,grisumedia.com,https://www.linkedin.com/company/agrisu
