Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Greentech,"Our Credo

We are biotech pioneers, we are scientists, we are explorers. Working across all continents, in all climates, in all of the worlds’ oceans. We create high-tech active ingredients from natural sources from plant, marine and microbial worlds. We source the best that nature has to offer, to the benefit of everyone: in cosmetics, healthcare, human and animal nutrition, agronomy and environment. We operate worldwide to build sustainable subsidiaries that are founded on the principles of protecting biodiversity and human relationships. No nature, no future! Nature is a source of inspiration, source of information, the source of our technologies. We source nature to resource the future.


Wo We Are

Pioneer in biotechnology, GREENTECH Group creates high-tech active ingredients from natural sources from plant, marine and microbial worlds. Adressed to major markets (cosmetics, healthcare, human & animal nutrition, agronomy and environment) the GREENTECH Group’s innovations represent proven, healthy and sustainable alternatives, serving future generations.",Biotechnology,51-200 employees,Privately Held,"Saint-Beauzire, Auvergne-Rhône-Alpes, France",France,greentech.fr,https://www.linkedin.com/company/greentech-4
BIO INTEGRATION RESEARCH COMPANY,,Biotechnology,,,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/bio-integration-research-company
BioCorrectics France,Nous fournissons des solutions 100% naturelles et biodégradables dans les industries de la restauration et de l’hôtellerie.,Biotechnology,201-500 employees,Self Owned,"Paris, Île-de-France, France",France,biocorrectics.com,https://www.linkedin.com/company/biocorrectics
POLYOR,,Biotechnology,,,"Nancy, Grand Est, France",France,polyor.net,https://www.linkedin.com/company/polyor
INTERNATIONAL - DRUG - DEVELOPMENT - BIOTECH,,Biotechnology,,,"Lyon, Auvergne-Rhône-Alpes, France",France,,https://www.linkedin.com/company/international---drug---development---biotech
ELSALYS BIOTECH,"ElsaLys Biotech is a specialty pharmaceutical company, part of the Mediolanum Farmaceutici Spa group, focused on innovative medicines to address haemato-oncology related life-threatening and rare diseases.
Following strategic acquisitions and targeted developments, ElsaLys is establishing an immunotherapeutic portfolio focused on niche specialty pharmaceuticals to answer unmet medical needs. 
Our commitment is to offer essential drugs meeting Public Health needs.
Founded in 2013, ElsaLys Biotech is located in the heart of the European cluster Lyon Biopole, in Lyon, France.",Biotechnology,11-50 employees,Privately Held,"Lyon, Auvergne-Rhône-Alpes, France",France,elsalysbiotech.com,https://www.linkedin.com/company/elsalys-biotech
COURVALIN Consulting,,Biotechnology,,,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/courvalin-consulting
DIGIBIO SA,,Biotechnology,,,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/digibio-sa
MEDICAL TECHNOLOGIES 54,,Biotechnology,,,"Pompey, Grand Est, France",France,,https://www.linkedin.com/company/medical-technologies-54
Vegipure,"We provide plant extracts, plant fermentation liquid, plant probiotics, personal care products, animal products, ODM and OEM services.",Biotechnology,11-50 employees,Self Owned,"Paris, Île-de-France, France",France,vegipure.fr,https://www.linkedin.com/company/vegipure
INOPHTA,,Biotechnology,,,"Paris, Île-de-France, France",France,,https://www.linkedin.com/company/inophta
Bioindustries Solutions,,Biotechnology,,,"Flourens, Occitanie, France",France,,https://www.linkedin.com/company/bioindustries-solutions
JC & JC EURORECHERCHES,"JC & JC EURORECHERCHES is a biotechnology company based out of 5 CHEMIN DU BOUDARD, CASSIS, France.",Biotechnology,,,"Cassis, Provence-Alpes-Côte d'Azur, France",France,,https://www.linkedin.com/company/jc-&-jc-eurorecherches
