Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Skydio,"Skydio is the leading U.S.-based drone manufacturer and the world leader in autonomous flight technology. We leverage breakthrough artificial intelligence to create flying robots that are easier to operate, safer to fly, and more capable in complex environments. Our systems are trusted by more than 3,800 agencies and organizations across the U.S. military, public safety, and critical infrastructure sectors.

Skydio Drone as First Responder (DFR) programs now operate in 42 states, and more than 16M Americans live within the response zone of a DFR Dock. In total, Skydio supports more than 1,200 public safety agencies – double the number from a year ago. 
More than 250 utilities rely on Skydio for inspection programs that improve reliability and worker safety. 
In national security, they are supporting mission-critical operations both on the battlefield and across military installations, keeping our nation and our allies secure.
 
Founded in 2014, Skydio designs, assembles, and supports its products in the U.S., with headquarters in San Mateo, CA, and manufacturing facilities in Hayward, CA. We are the largest drone manufacturer in the U.S. and have shipped more than 60,000 flying robots. 

The company is backed by top investors and strategic partners, including Andreessen Horowitz, Linse Capital, N47, IVP, Playground, and NVIDIA.",Robotics Engineering,"501-1,000 employees",Privately Held,"San Mateo, California, United States",United States,skydio.com,https://www.linkedin.com/company/skydio
"Miso Mechanics, FRC Team 9442","FIRST WA community-based team located at the North End Makerspace in Seattle, WA",Robotics Engineering,11-50 employees,Non Profit,"Seattle, Washington, United States",United States,misomechanics.org,https://www.linkedin.com/company/the-miso-mechanics-frc-team-9xxx
Cartesia Labs,"Building an AI platform that enables users to design and create physical products using text prompts and images. Once a design is finalized, we leverage state-of-the-art industrial-grade CNC machines to manufacture it, effectively democratizing fabrication capabilities and making factory-level production accessible to anyone and everyone with minimal cost and overhead.",Robotics Engineering,2-10 employees,Privately Held,"New York, New York, United States",United States,,https://www.linkedin.com/company/cartesia-labs
I'M Robotics Lab,"“Create the foundation for makers to start, to learn, to innovate, and to keep going.”

I'M Robotics Lab is a student-led non-profit organization dedicated to building open-source robotics projects. By open-source projects, we mean making things—sometimes simple, sometimes ambitious—and sharing them so others can learn, reuse, or improve on what we've done. I'M Robotics Lab publishes many things: from actual robots to software frameworks, gadgets, experimental data, and CAD files. We hope to work toward an ecosystem where everyone can freely build their imagination—guided by the spirit that this organization was founded upon, the learning that comes through making and breaking.",Robotics Engineering,2-10 employees,Self Owned,"West Hollywood, California, United States",United States,imroboticslab.com,https://www.linkedin.com/company/i-m-robotics-lab
AegiteQ Systems,"At Aegiteq, we build intelligent robotics, automation systems, and IT solutions at the intersection of safety, healthcare, and industrial innovation. We design purpose-driven machines that solve critical real-world challenges and deliver scalable, autonomous solutions for impact-driven industries.",Robotics Engineering,2-10 employees,Privately Held,"Lewes, Delaware, United States",United States,aegiteq.systems,https://www.linkedin.com/company/aegiteq-systems
Kaimatic,"Kaimatic helps QSR (quick-service restaurant) chains unlock operational upside and scale faster by removing recruitment-driven growth constraints, through cost-effective, scalable automation systems.

Kaimatic’s systems increase unit margins and throughput, improve consistency, and decouple growth from headcount.

Interested in seeing what we can do for you or want to join our team? Send us a brief email at kaimatic.team@gmail.com",Robotics Engineering,2-10 employees,Privately Held,"Chapel Hill, North Carolina, United States",United States,kaimatic.com,https://www.linkedin.com/company/kaimatic
Quantum Leap ATX,"We’re an award-winning FIRST LEGO League (FLL) team passionate about innovation, engineering, and STEM education. Our channel documents our robotics journey, breakthrough ideas, and problem-solving adventures as we tackle real-world challenges—like enhancing ocean monitoring technology with solar-powered Argo floats.",Robotics Engineering,2-10 employees,Non Profit,"Austin, Texas, United States",United States,,https://www.linkedin.com/company/quantum-leap-atx
Frutas AI,"Since 2024, we're deploying vision AI systems to evaluate fruit and orchard quality.

Our products automate vision workflows in the production and export processing of fruits.",Robotics Engineering,2-10 employees,Privately Held,"Sheridan, Wyoming, United States",United States,frutasai.com,https://www.linkedin.com/company/frutas-ai
Gadget Girls,"Gadget Girls is a specialty Girl Scout troop and robotics team (FRC 4816) that empowers young women in middle school and high school to explore STEM pathways. Our team receives training and mentorship in mechanical, electrical, and software engineering, building and design, and outreach and fundraising. Our talented team of young women fully adopt the Girl Scout ethos of 'Girl Led' and are solely responsible for the design, execution, and strategy behind preparing their robot for competition. Gadget Girls is supported by dedicated adult mentor volunteers with expertise in the above domains.",Robotics Engineering,11-50 employees,Non Profit,"Raleigh, North Carolina, United States",United States,gadgetgirls.org,https://www.linkedin.com/company/gadgetgirls
Gimble.dev,"AgroQR is a novel remote sensing technology for hyperlocal environmental and surface monitoring. Our passive, zero-energy sensors collect periodic open-world data at a fraction of the cost of existing methods, enabling applications in agriculture, pollution tracking, petroleum extraction, mining, defense and more.",Robotics Engineering,2-10 employees,Privately Held,"San Francisco, California, United States",United States,useagroqr.com,https://www.linkedin.com/company/gimbledev
