Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gauzy,"Gauzy (NASDAQ:GAUZ) is a global leader in Smart Glass and ADAS technologies, focused on the research, development, manufacturing, and marketing of vision and light control technologies and systems.  

We believe in innovation that matters. By making materials that do more, we reimagine how we interact with our surroundings and the spaces we spend our time most through light, and the control of it.  

Through direct fulfillment and a certified distribution channel spanning over 40 countries, Gauzy serves leading brands in automotive, transportation, aeronautics, architecture, consumer goods, medical devices, and beyond. 

Joining the Gauzy team means being part of an elite group of innovators with a passion for creating groundbreaking products that shape our everyday lives. At Gauzy, we value hard work, unique ideas, collaboration, and cultural diversity.  

Gauzy has 14 offices globally and over 600 employees. Comprised of four distinct business units– Gauzy Automotive, Gauzy Architecture, Gauzy Aeronautics, and Gauzy Safety Tech – we offer a wide range of career paths to achieve your professional goals.  

To apply for a position at Gauzy, visit gauzy.com/careers 

To speak with a sales representative at Gauzy, visit gauzy.com/contact",Nanotechnology Research,"501-1,000 employees",Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,gauzy.com,https://www.linkedin.com/company/gauzycorp
Research & Innovation Center for Graphene and 2D Materials (RIC2D),"The Research & Innovation Center for Graphene and 2D Materials, or RIC2D as we are more known, was set up at Khalifa University in 2022 to advance the commercial deployment of graphene and other layered (2D) materials’ technologies through industry and solution focused scientific research and development in the United Arab Emirates. 

RIC2D, which represents a strategic investment of the Government of Abu Dhabi, intends to serve as the keystone of an advanced materials innovation ecosystem in the region.

Five objectives define RIC2D’s contributions to the UAE’s continuing development priorities:
• Economic: focusing on innovative companies and the knowledge-based economy
• Societal: addressing key UAE challenges including security, water, environment and energy
• Human capital: building a dynamic and sustainable R&D workforce
• Infrastructural: enabling world-class R&D and extending capabilities via global partnerships and alliances
• Knowledge: generating new scientific findings and underpinning future industrial development",Nanotechnology Research,11-50 employees,Government Agency,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,ric2d.com,https://www.linkedin.com/company/ric2d
FANDA Scientific,"Welcome to FANDA Scientific, where expertise meets dedication. Founded in 2018, we proudly bring unparalleled scientific knowledge and services to the GCC region. Unlike simply representing brands, our focus is on delivering top-tier scientific solutions.

As the exclusive distributor of HORIBA Scientific instruments in the UAE and Oman, we specialize in an array of cutting-edge technologies: from Raman Microscopy to Fluorescence, Ellipsometry to Particle Size Analysis, and more. Our expertise extends to elemental analysis through ICP-OES, Carbon/Sulfur analyzers, O/N/H analyzers, and Sulfer-in-Oil systems.

At FANDA Scientific, our team of specialists is committed to providing comprehensive support. From seamless installation to thorough training and reliable maintenance, we ensure our clients receive the utmost in scientific instrument care. 

Our mission is simple yet profound: to contribute humbly yet significantly to the advancement of scientific research in our community and beyond!

Empowering your scientific journey.",Nanotechnology Research,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,fandascientificme.com,https://www.linkedin.com/company/fanda-scientific
MEDAD TECHNOLOGY,"The technology arm of Medad Holding, Medad Technology  is dedicated to developing novel therapeutic solutions that are smarter, safer and more effective for the prevention and treatment of chronic conditions. We are committed to improving public health and quality of life through scientific excellence and integrity. We are not just imagining the possibilities. We are building them.",Nanotechnology Research,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,medadtechnology.com,https://www.linkedin.com/company/medad-technology
eSmart International,"At ESmart International, we’re engineering a greener tomorrow, today. 

As a solutions-driven consultancy, we specialise in connecting businesses with eco-friendly technologies designed to conserve energy, reduce water usage, and lower carbon emissions. We partner with eco-forward product owners to deliver impactful solutions that align with our client’s sustainability goals, championing UAE’s vision for a greener future.

Our mission is to make sustainable solutions accessible, practical, and effective for every business and household we work with. Whether it’s improving energy efficiency, optimising water consumption, or achieving significant carbon savings, our curated portfolio of products and services delivers results that matter.

As your dedicated sustainability partner, we do more than consult. By prioritising innovative strategies and effective solutions, we provide businesses with a clear and confident path to achieving net-zero goals.

Together, let’s build a future that blends smart solutions with environmental care and long term success.",Nanotechnology Research,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,esmartinternational.com,https://www.linkedin.com/company/esmartinternational
NanoFixit,"Nanofixit liquid screen protection provides a protective multi-purpose solution can be applied to any device (smartphone, tablet, laptop) and its invisible nature means that it has no adverse effect on the responsiveness of a touch screen. In fact, enhances the vividness of the smartphone screen, its colours and brightness due to the fact that the glass surface is now much smoother. NanoFixIt Inc. has developed a liquid screen protector using nanotechnology to form a unique mix of Nano scale organic silicon (SiO2) and highest quality Nano grade Titanium particles that penetrate and seal any electronic glass surface and make it Ultra Scratch Resistant. NanoFixIt Titanium is the hardest liquid screen protector available in the market and is even stronger than tempered glass.

Benefits And Features

- Ultra Scratch Resistant screen
- Enhances the colours of the screen (HD effect)  
- Enhances the effectiveness of the camera lens and quality of pictures taken
- Helps reduce radiation (92.7%) 
- Anti bacterial protection (99.8% KR) 
- Resistant to both acid and alkaline 
- Protection against water and humidity (Hydrophobicity) 
- Protection against oil and oil based substances (Oleophobicity) 
- Easy to apply Bubble-free protection Eco friendly",Nanotechnology Research,2-10 employees,Public Company,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,nanofixit.com,https://www.linkedin.com/company/nanofixit
Cupola Plastic Cards Limited,"Cupola Plastic Cards Ltd. is a world class Visa International and MasterCard International accredited facility based in Jebel Ali, Dubai, U.A.E. 

Operational since 1999, CPCL manufactures high quality printed and laminated plastic cards including mag-strip and chip embedded, credit cards, ATM cards, membership/loyalty cards, identity cards and access control cards. We also supply pre-paid scratch-off cards printed on plastic and paper.",Nanotechnology Research,201-500 employees,Privately Held,United Arab Emirates,United Arab Emirates,cupolaplasticcards.com,https://www.linkedin.com/company/cupola-plastic-cards-limited
Nano Tech Enterprise,"(ES)
Comercializamos y distribuimos productos de nanotecnología. Nuestra especialidad: mercados de Oriente Medio. 

Somos un socio comercial excelente en el acompañamiento a procesos de expansión en: Arabia Saudí, Argelia, Baréin, Egipto, Emiratos Árabes Unidos, Jordania, Kenia, Kuwait, Marruecos, Omán, Sudáfrica, Tanzania y Túnez.

Si eres un fabricante de productos de nanotecnología y estás interesado en iniciar la comercialización en países de nuestra zona de influencia no dudes con contactarnos.

(EN) 
We distribute nanotechnology products. We are specialized in Middle East markets.

We are an excellent trading partner in accompanying expansion processes in Saudi Arabia, Algeria, Bahrain, Egypt, UAE, Jordan, Kenya, Kuwait, Morocco, Oman, South Africa, Tanzania and Tunisia.

If you are a nanotechnology manufacturer and you are interested in staring the commercialization in countries in our area of influence do not hesitate to contact us.",Nanotechnology Research,2-10 employees,Self Owned,"Dubai, United Arab Emirates",United Arab Emirates,nanotechenterprise.com,https://www.linkedin.com/company/nano-tech-enterprise
Moxie Labs,"Moxie Lab is a dynamic company in the distribution of High Tech Equipment’s. Moxie Lab offers cutting edge technology in Nano-Fabrication Equipment, Semiconductor Process Equipment, Analytical Equipment, Lab Furniture Material and Testing Tools.",Nanotechnology Research,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,moxielabsuae.com,https://www.linkedin.com/company/moxie-labs-uae
Photonics Middle East,"Photonics Middle East (Photonics ME) is the leading annual event in the Middle East, uniting Photonics R&D, Industry and the Academia. Our conference focuses on seven key areas, from medicine to aerospace. We offer fusion programs, awards, exhibitions, and funding challenges. Organized by Photonix Global, USA and Photonics Innovations UAE, Photonics ME is your gateway to the latest advancements in light and light based science and technology. Let's celebrate light.

Vision:
To emerge as the premier science and technology Conference and Expo in the Middle East, serving as a global hub for the convergence, connection, and celebration of Photonics and Light innovations.

Mission:
To facilitate the dissemination of knowledge by uniting the photonics community from Research & Development, Industry, and Academia on the common platform of Photonics Middle East, in collaboration with Governments, Policy Makers, and relevant Forums.",Nanotechnology Research,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,photonicsmiddleeast.com,https://www.linkedin.com/company/photonics-middle-east
Stitchain,"Stitchain is a cloud-based ID authentication platform that uses unique protocols to link real-world products/assets to the digital world. It leverages the use of blockchain and distributed ledger technology to deliver a comprehensive digital solution that solves data integrity for enterprises, governments, and individual customers.

The outcome is the ability to make the data profiles of products and assets easily accessible and verifiable, enabling businesses to protect their brands from counterfeiting and set up flexible supply chains that operate at peak efficiency.",Nanotechnology Research,11-50 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,stitchain.com,https://www.linkedin.com/company/stitchain
Global Technology Innovation,"Global Tech takes part in the sharing economy and the knowledge economy. We think it is much more beneficial for a company to share its benefits with all stakeholders (customers, employees, business partners) than to share it only among certain directors and the shareholders.",Nanotechnology Research,2-10 employees,Non Profit,"Dubai, United Arab Emirates",United Arab Emirates,globaltechnologyinnovation.ae,https://www.linkedin.com/company/global-technology-innovation
Nano Level,"Nano Level is the exclusive distributor of Radic8 in the UAE.
Radic8 design and create world leading air purification technology. In partnership with INBair, our technology is helping thousands of commercial and domestic users worldwide.
We believe that everybody has the right to breathe clean air, especially in the places we go to heal in, the places we go learn and study in and the places where we spend most of our time indoors. 
Our technology is effective against dust and particulate matters (PM1, PM2.5, PM10), smog, traffic pollution, volatile organic compounds, toxic gases, mold, fungi, bacteria and viruses to a 99.9999% rate.
Our mission stems from our passion which is to provide the worlds most efficient and cost effective solution to airborne pathogens and indoor air pollution. We share clean air ... do you?",Nanotechnology Research,2-10 employees,Privately Held,"الخليج التجاري, Dubai, United Arab Emirates",United Arab Emirates,nano-level.com,https://www.linkedin.com/company/nanolevel
