Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
CEJN Group,"We provide the global market with high performance quick connect couplings for hydraulics, pneumatics, fluids and gases. With a view of total customer satisfaction our development focuses on innovative solutions, leading to a superior product. 

We offer engineering solutions that are designed in cooperation with our customers. Our strength lies in our intelligent technical solutions, together with quality and efficiency. We, together with our customers, do not only develop what is in demand today, but also take unexpected inroads into future development.",Industrial Automation,"501-1,000 employees",Privately Held,"Skövde, 14, Sweden",Sweden,cejn.com,https://www.linkedin.com/company/cejn-ab
JUMO Mät & Reglerteknik AB,"JUMO GmbH & Co. KG is a leading global supplier of components and systems for individual sensor and automation solutions. In addition to components for the measuring ranges temperature, liquid analysis, pressure, level, flow, and humidity the focus is also on automation challenges such as recording and monitoring as well as control and automation.",Industrial Automation,11-50 employees,Public Company,"Helsingborg, 12, Sweden",Sweden,jumo.se,https://www.linkedin.com/company/jumo-sweden
Robot System Products AB,"Located in Vasteras Sweden, Robot System Products is a global leader in high-performance industrial robot peripheral products. 

Our expertise is to provide tested and “field proven” robotic system solutions that improve robot flexibility, utilization and uptime. Keeping current with the latest robot models and advances we offer a full line of documented plug & play robot dress solutions, as well as individual peripheral items that work with all major robot brands and models. By continuously exploring emerging technologies, RSP designs, validates, manufactures and delivers solutions with engineered advantages and are proven to endure millions of duty cycles.

We offer:
– Tool changers
– Swivels
– Swivel tool changers
– Grippers
– Hose packages
– Valve units
– Tool systems
– Tool stands",Industrial Automation,51-200 employees,Public Company,"Västerås, 19, Sweden",Sweden,robotsystemproducts.com,https://www.linkedin.com/company/robot-system-products-ab
SCHUNK Sweden,"SCHUNK är en global teknisk pionjär inom verktygs- och arbetsstyckshållning, gripdon och automatisering. Med sitt omfattande sortiment av komponenter, tekniska expertis och sina maskiner garanterar företaget produktivitet för sina kunder och partners inom industrin.

__________________________________________________________
Legal notice
SCHUNK SE & Co. KG
Spanntechnik | Greiftechnik | Automatisierungstechnik
Bahnhofstr. 106 - 134
D-74348 Lauffen/Neckar
Tel. +49-7133-103-0
Fax +49-7133-103-2399
info@de.schunk.com
www.schunk.com

VAT ID No.: DE812197298

Headquarters: Lauffen/Neckar
HRA 103726, Stuttgart Local Court

Pers. liable partner: SCHUNK Beteiligungs SE
Headquarters: Lauffen/Neckar
HRB 789324, Stuttgart Local Court

Chairman of the Board of Directors:
Henrik A. Schunk

Management Board:
Kristina I. Schunk (Chairwoman of the Management Board/CEO)
Falk Bäurle (COO/CFO)
Timo Gessmann (CTO)
Karl Heckl (CSO)",Industrial Automation,11-50 employees,Public Company,"Södertälje, 01, Sweden",Sweden,schunk.com,https://www.linkedin.com/company/schunk-sweden
Grafotronic,"Is your production line ready for what’s next?

In the fast-evolving world of label production, the biggest risk isn't the competition—it’s obsolescence. At Grafotronic, we’ve engineered the ultimate solution: Modular Forever. 
We don't just build machines; we provide a 100% Future-SafeTM ecosystem for digital finishing and label converting.

Why the world’s leading converters choose Grafotronic:

* True Modularity: Our machines are built with independent modules. Need a new feature? We install it on-site in less than 8 hours. Your investment grows as your business does.

* Connected Services: We are industry leaders in remote support. Our 24/7 online service platform solves 19 out of 20 service cases, both timely and remotely.

* Innovation-First:  We are the innovator, we redesigned our platform in 2015, and we’ve built one of the most comprehensive portfolios in the market:

- Digital Finishing Machines (DCL2, CF2 Compact) 
- High-Speed Label Converting & Die Cutting
- Advanced Embellishment (Haptic, Wine & Cosmetics)
- Workflow Automation (Grafotronic IQ)

We help you reduce waste, increase speed, and stay ahead of the digital curve.

Proudly Swedish/Polish since 2004 with R&D in Warsaw, Sales and Service hubs in Chicago, Bangkok, and Italy. With a team of 200 employees at your disposal in our 7,000 sqm factory, we are proud to have supplied more than 1,500 machines to over 60 countries worldwide.

Visit us at www.grafotronic.se or DM to book a live demo from our Warsaw HQ.",Industrial Automation,51-200 employees,Privately Held,"Landskrona, 12, Sweden",Sweden,grafotronic.se,https://www.linkedin.com/company/grafotronic
MAXAGV,"MAXAGV design and manufactures AGVs and AMRs for improved intralogistic material handling efficiency. We have over 35 years of experience providing automated transport solutions and have installed many thousands of AGVs around the world. 

MAXAGV offers a wide range of standard models and customized AGVs that 
can be adapted our customers' specific needs and requirements. Our AGVs are based on a modular design and we provide solutions for most  type of common load handling mechanisms e.g. forklift, roller conveyor, chain conveyor, fork spread, side shift, table lift and support legs. 

Please visit maxagv.com for more information!",Industrial Automation,51-200 employees,Privately Held,"Gothenburg, 14, Sweden",Sweden,maxagv.com,https://www.linkedin.com/company/maxagv
OAKS AB,"Vi optimerar ditt klimat, bibehåller eller sänker din energiförbrukning. Samtidigt levererar vi ett användarvänligt system baserat på den senaste tekniken, självklart anpassat efter dina behov.",Industrial Automation,11-50 employees,Public Company,"Borås, 14, Sweden",Sweden,oaks.se,https://www.linkedin.com/company/oaks-ab
Scaglia INDEVA Nordic AB,"INDEVA works with major Manufacturing Companies across ALL Sectors providing Intelligent Handling solutions to increase PRODUCTIVITY, minimise downtime and OPTIMISE the Safety and well-being of the workforce. 

We Design, Develop & Manufacture a range of standard and bespoke Lifting and Material Handling Solutions to ISO 9001 quality system certification in our advanced manufacturing and test centre. 

We provide comprehensive on-going support, Service & Maintenance and outstanding Customer Service

Below some of the Product Segments: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 ■ Automated Guided Vehicle (AGV)
 ■ Lifting Devices (INDEVA EASY, LIFTRONIC)
 ■ Intralogistic Trains
 ■ Flow Racks / FIFO racks 
 ■ Towable Carts
 ■ Trolleys 
 ■ Supermarkets / Parts Handling & Storage 
 ■ Production cells- Packing stations
 ■ Workstations / Assembly / Inspection Benches

Lean transformation projects realized in over 100 companies in sectors like : 
Industry, Medical, Services & Warehouse and E-Logistics ! 

We specifically focus on the PRACTICAL Implementation of LEAN on the SHOP FLOOR.
▬▬▬▬▬▬▬▬▬▬▬▬▬
 : info@se.indevagroup.com
 : +46(0) 424 002 460
Visit  : www.indeva.se
Visit  : www.indevagroup.com",Industrial Automation,11-50 employees,Privately Held,"Helsingborg, 12, Sweden",Sweden,indeva.se,https://www.linkedin.com/company/scaglia-indeva-nordic-ab
Guard Automation AS,"Guard is an independent provider of industrial automation and system integration. We continuously develop new products and services that contribute to increased operational efficiency and productivity. Our innovative solutions and drive ensure cost-effective digitalisation and data processing that brings our customers into the future.

Our main focus areas are water, environment, energy and manufacturing industry as well as industrial IT, IoT and AI.

Guard – green technology development for the future.",Industrial Automation,201-500 employees,Privately Held,"Vara, Vastra Gotaland County, Sweden",Sweden,guard.no,https://www.linkedin.com/company/guard-automation
Askalon AB,"Askalon AB was founded in 1973. We are now more than 100 employees in Industrial Automation business in Sweden, Denmark and Finland. We improve the applications of the process industry - for a safe and sustainable future.
Askalon is Emerson Local Business Partner. We also have products from other suppliers in our portfolio.
Askalon is part of the listed Momentum Group, a leading player offering sustainable products and services and related value-added services to the industrial sector.
Hörlings Ventilteknik AB - HVT - is Askalon's subsidiary.",Industrial Automation,51-200 employees,Privately Held,"17, Sweden",Sweden,askalon.com,https://www.linkedin.com/company/askalon-ab
