Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Berlin, Berlin, Germany",Germany,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
KFK Kratzer,,Industrial Automation,,,"Burscheid, Germany",Germany,konstruktion-kratzer.de,https://www.linkedin.com/company/kfk-kratzer
de Decker R.,,Industrial Automation,,,"Stralsund, Mecklenburg-West Pomerania, Germany",Germany,,https://www.linkedin.com/company/de-decker-r-
Heinrich Stamm,,Industrial Automation,,,"Olsberg, North Rhine-Westphalia, Germany",Germany,ra-stamm.de,https://www.linkedin.com/company/heinrich-stamm
Qfix Robotics GmbH,,Industrial Automation,,,"Senden, Bavaria, Germany",Germany,qfix-robotics.de,https://www.linkedin.com/company/qfix-robotics-gmbh
CAT Dorfer Consulting GmbH,,Industrial Automation,,,"Hasenkrug, Schleswig-Holstein, Germany",Germany,cat-agentur.de,https://www.linkedin.com/company/cat-dorfer-consulting-gmbh
Enviro Pest Control GmbH Niedersachsen,,Industrial Automation,,,"Diekholzen, Lower Saxony, Germany",Germany,enviro-gmbh.de,https://www.linkedin.com/company/enviro-pest-control-gmbh-niedersachsen
Deix,"Auf unseren Seiten sind Plugins des sozialen Netzwerks Facebook Facebook Inc., 1601 Willow Road, Menlo Park, California, 94025, USA integriert. Die Facebook-Plugins erkennen Sie an dem Facebook-Logo oder dem Like-Button Gefällt mir auf unserer Seite.",Industrial Automation,,,"Halle, Saxony-Anhalt, Germany",Germany,cafe-deix.de,https://www.linkedin.com/company/deix
R B Steuerungselektronic GmbH,,Industrial Automation,,,"Scheibenberg, Saxony, Germany",Germany,rb-st.de,https://www.linkedin.com/company/r-b-steuerungselektronic-gmbh
AAW - Montagetechnik,,Industrial Automation,,,"Neuenkirchen, Lower Saxony, Germany",Germany,aaw-montagetechnik.de,https://www.linkedin.com/company/aaw---montagetechnik
Proline Profil- Und Lineartechnik,"Wir haben uns in der Branche Maschinenbau und Automatisierungstechnik als Probleml ser anspruchsvoller Aufgaben einen Namen gemacht. Gemeinsam mit unseren Partnern entwickeln wir in den eigenen Forschungs- und Konstruktionsabteilungen innovative Produkte und branchenspezifische L sungen f r ngeviele Industriezweige. Unsere besondere Kompetenz liegt im Bereich Verbindungs-, Profil-, Linear-, D mpfungs- und Modul-Technik. Unsere langj hrigen Kunden sch tzen an uns besonders die kompetente Beratung und schnelle, kosteng nstige Umsetzung der gestellten Aufgaben. Wir bernehmen f r nehSie gesamte Projekte von A bis Z oder unterst tzen Sie in Teilbereichen. berzeugen Sie sich von unserer Kompetenz in allen Bereichen der Automatisierungstechnik",Industrial Automation,,,"Lage, North Rhine-Westphalia, Germany",Germany,proline-vertrieb.de,https://www.linkedin.com/company/proline-profil--und-lineartechnik
Alfcom Ingenieurgesellschaft MbH,"Die Alfcom Ingenieurgesellschaft vereint Fachkompetenz und Erfahrung, um Ihnen ganzheitliche Lösungen anbieten zu können, die Ihre Erwartungen übertreffen. Durch unseren projektübergreifenden internen Austausch ergeben sich überzeugende und intelligente Lösungen, die sowohl auf ingenieurstechnischer Seite, als auch auf der Managementseite überzeugen können.",Industrial Automation,,,"Leipzig, Saxony, Germany",Germany,alfcom-ing.de,https://www.linkedin.com/company/alfcom-ingenieurgesellschaft-mbh
INTO Group GmbH,,Industrial Automation,,,"Eislingen, Baden-Württemberg, Germany",Germany,into-group.de,https://www.linkedin.com/company/into-group-gmbh
TDI Hansen Und Partner GmbH,,Industrial Automation,,,"Mainz, Rhineland-Palatinate, Germany",Germany,tdi.de,https://www.linkedin.com/company/tdi-hansen-und-partner-gmbh
Ingenieurbüro Günter Schmidt,,Industrial Automation,,,"Wendelstein, Bavaria, Germany",Germany,ingschmidt.de,https://www.linkedin.com/company/ingenieurbüro-günter-schmidt
Compact Logic Control – Embedded Soft PLC,https://compact-logic.com/,Industrial Automation,Self-employed,Self Owned,"Ilsenburg, Saxony-Anhalt, Germany",Germany,compact-logic.com,https://www.linkedin.com/company/compact-logic
