Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
AbacusBio,"AbacusBio are international leaders in the application of science and technology in agriculture, horticulture, and aquaculture. We combine science and business expertise to grow our clients’ revenue and profit.

Our consultants work globally on industry-leading initiatives across the primary food supply chain, with specific skill-sets in biological and data science, production system economics, strategy and investment, and technology. Their global reach gives the company a technical and strategic view of a wide range of challenges facing primary food production.",Biotechnology,51-200 employees,Privately Held,"Dunedin, Otago, New Zealand",New Zealand,abacusbio.com,https://www.linkedin.com/company/abacusbio
Eurofins Australia New Zealand,"AFFILIATED PAGES INCLUDE: Eurofins New Zealand, Eurofins Environment Testing - AUS/NZ, Eurofins BioPharma Testing ANZ.                                                                      
Eurofins is an international life sciences company, which provides a unique range of analytical testing services to clients across multiple industries. The Group believes it is the world leader in food, environment, pharmaceutical and cosmetics products testing and in agroscience CRO services. It is also one of the global independent market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, CDMO, advanced material sciences and for supporting clinical studies. In addition, Eurofins is one of the leading global emerging players in specialty clinical diagnostic testing. The Group objective is to provide its customers with high-quality services, accurate results on time and expert advice by its highly qualified staff.

In Australia/New Zealand, we currently focus on the following industries;
-	Environment Testing 
-	Agroscience Services and Testing
-	BioPharma Product Testing
-	Food and Water Testing 

Eurofins is a fast moving and constantly growing group who are always on the lookout for more talent. If you’re interested in kick-starting your career at Eurofins, head over to the careers page via the link below to be considered for upcoming roles in the future. 
 
https://careers.eurofins.com/au",Biotechnology,"501-1,000 employees",Public Company,"Auckland, Auckland, New Zealand",New Zealand,eurofins.com.au,https://www.linkedin.com/company/eurofins-australia-new-zealand
HiRO - Harvest Integrated Research Organization - ANZ (formerly PharmaSols),"HiRO ANZ (formerly PharmaSols) is the longest established, best connected, privately-owned Clinical Research Organisation (CRO) in the Pacific region.
For over 25 years, we have successfully supported patient needs and delivered outstanding results for global Pharma, Biotechs and CROs across hundreds of studies.

Our team has international experience with large pharmaceutical, medical device and biotech organisations, with expertise across a wide variety of therapeutic areas.

Inspired by their contribution to improving health and wellbeing, our passionate team works with you to support and facilitate your clinical trials, delivering participant recruitment and retention targets, and quality data outcomes.

Our strong, trusted relationships with partners, clients, key opinion leaders, site staff, and investigators means we lead the way in:

Start-to-finish project management and clinical operations
Site selection and participant recruitment
Ethics committee and regulatory submissions
Data management and biostatistics
Quality assurance
Local sponsorship and third-party vendor management
Commercial regulatory consultancy
Flexible, responsive and innovative, we are based in Australia and New Zealand – the best place in the world to conduct clinical trials.

Talk to us about your next study.",Biotechnology,51-200 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,harvestiro.com,https://www.linkedin.com/company/hiroanz
Pacific Edge Ltd,"Pacific Edge Limited (NZX/ ASX: PEB) is a global cancer diagnostics company leading the way in the development and commercialization of bladder cancer diagnostic and prognostic tests for patients presenting with hematuria or surveillance of recurrent disease. Headquartered in Dunedin, New Zealand, the company provides its suite of Cxbladder tests globally through its wholly owned, and CLIA certified, laboratories in New Zealand and the USA.

Cxbladder is a suite of non-invasive genomic urine tests optimized for the risk stratification of urothelial cancer in patients presenting with microhematuria and those being monitored for recurrent disease. The tests help improve the overall patient experience, while prioritizing time and clinical resources to optimize practice workflow and improve efficiency.

Supported by over 20 years of research, Cxbladder’s evidence portfolio extends to more than 25 peer reviewed publications, and Cxbladder Triage is now included in the American Urological Association’s Microhematuria Guideline. To drive increased adoption and improved patient health outcomes, Cxbladder is the focal point of numerous ongoing and planned studies designed to generate further clinical utility evidence.

Cxbladder is available in the US, Australasia, and Israel and in markets throughout Asia and South America. In the US, the test has been used by over 5,000 urologists who have ordered more than 130,000 tests. In New Zealand, Cxbladder is accessible to around 70% of the population via public healthcare and all residents have the option of buying the test online.

Learn more at www.cxbladder.com",Biotechnology,51-200 employees,Public Company,"Dunedin, Otago, New Zealand",New Zealand,pacificedgedx.com,https://www.linkedin.com/company/pacific-edge-ltd
Opo Bio,"Next generation bio-based ingredients for cosmetic and medical applications.

By leveraging an advanced technology portfolio across synthetic biology and industrial biomanufacturing, we deliver high-performance biomaterials that outperform alternatives across, performance, sustainability and safety.",Biotechnology,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,opobio.com,https://www.linkedin.com/company/opo-bio
Mushroom Material,"With the global shift towards sustainability, there is a demand for eco friendly materials. We have developed a sustainable mushroom based material as an alternative to polystyrene styrofoam and cardboard packaging.
- Customizable to any shape, size and surface finish
- Stronger than concrete pound for pound
- Better thermal insulator than fiberglass
- Limitless sustainable supply
- Fire resistant, water proof, 100% compostable, odorless, mold resistant, non-toxic
 
In order to address global climate change, the European Union, 25 other countries and over 100 US cities will ban non recyclable packaging materials, including polystyrene Styrofoam by 2025.
 
Our mission is to eliminate non recyclable plastics from the environment by developing mushroom based packaging material. For more information visit our website or send us a message.",Biotechnology,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,mushroommaterial.com,https://www.linkedin.com/company/mushroom-material
humble bee bio,"At Humble Bee Bio, we combine nature with modern technology to create high-value products supporting climate stability, biodiversity and beauty. 

For too long, the beauty industry has extracted from nature, driving environmental degradation and animal cruelty. With advances in biotechnology, we now create ethical, sustainable molecules inspired by nature's genome.

Our journey began with rare solitary bees, whose genomes we sequenced to uncover novel molecules, including one with a rare and potent property — elastin stimulation - soon to be available as a hero ingredient for formulation.

Revenue from our products will support indigenous-led organisations working to restore and protect biodiversity.

Creation as regeneration. That’s what we do at Humble Bee Bio.",Biotechnology,2-10 employees,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,humblebee.co.nz,https://www.linkedin.com/company/humble-bee-ltd
Engender Technologies Limited,"Engender technology is a next-generation livestock gender-sorting technology.

Engender was formed to solve the high value problem of gender selection in the dairy industry.  Initially formed as a spin-out from University of Auckland, Engender's technology uses photonics to orient and sort livestock spermatozoa by gender at lower cost and lower impact than presently possible.",Biotechnology,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,engendertechnologies.com,https://www.linkedin.com/company/engender-technologies-limited
MicroGEM,"MicroGEM is democratizing molecular biology by moving molecular techniques out of conventional, highly skilled laboratories to non-laboratory settings. The company’s innovative enzymatic approach to nucleic acid extraction provides the foundation for rapid sample preparation suitable for PCR analysis. Coupled with MicroGEM’s expertise in microfluidics and synthetic biology, the company is strongly positioned to create person-portable diagnostic devices, representing the next generation of point of need solutions to address global health concerns.",Biotechnology,51-200 employees,Public Company,"Dunedin, Otago, New Zealand",New Zealand,microgembio.com,https://www.linkedin.com/company/microgembio
Woolchemy,"Woolchemy is a material technology company that makes high performance biobased materials made from wool.  

Woolchemy emerged as a result of a collective of women who were dissatisfied with personal care products that failed to cater to their specific requirements. With the collaboration of a marketer proficient in personal hygiene products and an engineer specialising in wool nonwovens and absorbent technology, the team at Woolchemy possesses a unique ability to grasp the discerning demands of modern consumers who value convenience, performance, and environmental sustainability.",Biotechnology,2-10 employees,Privately Held,"Upper Hutt, Wellington, New Zealand",New Zealand,woolchemy.nz,https://www.linkedin.com/company/woolchemy
