Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Regeneron,"At Regeneron we believe that when the right idea finds the right team, powerful change is possible. As we work across our expanding global network to invent, develop and commercialize life-transforming medicines for people with serious diseases, we’re establishing new ways to think about science, manufacturing and commercialization. And new ways to think about health. Connect with us so we can learn more about you, and you can learn more about our biopharmaceutical medicines. And join us, as we build a future we believe in.  

Please visit www.regeneron.com/social-media-terms for information on how to engage with us on social media.  

An important note about privacy: Regeneron is committed to your privacy and will not ask for sensitive personal information such as social security number, date of birth or bank account details via email or social media.",Biotechnology,"10,001+ employees",Public Company,"Dublin 2, County Dublin, Ireland",Ireland,regeneron.com,https://www.linkedin.com/company/regeneron-pharmaceuticals
Travere Therapeutics,"Our mission is to identify, develop and deliver life-changing therapies to people living with rare disease. #InRareForLife 
Community Guidelines: https://travere.com/community-guidelines/",Biotechnology,201-500 employees,Public Company,"Dublin 1, County Dublin, Ireland",Ireland,travere.com,https://www.linkedin.com/company/travererare
Nuritas,"Nature’s Most Powerful Peptides, Discovered by AI

We use artificial intelligence to unlock cell-signaling peptide ingredients for your product formulations. Discovered by AI, validated by human clinical studies, ready for your innovations.

We want to empower people to live healthier lives, naturally by making our everyday products healthier, safer, greener and more efficacious. From what we eat, to what we apply to our skin.

By translating nature’s wisdom into innovation, together, we can change the life of billions.",Biotechnology,51-200 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,nuritas.com,https://www.linkedin.com/company/nuritas
Elan Pharmaceuticals,"Elan is a neuroscience-focused biotechnology company headquartered in Dublin, Ireland. It was incorporated as a private limited company in December 1969 and became a public limited company in January 1984. 

Elan's work includes research, development, and commercial activities for neurodegenerative diseases, such as Alzheimer’s disease and Parkinson’s disease and autoimmune diseases, including multiple sclerosis.",Biotechnology,201-500 employees,Public Company,"Dublin 2, County Dublin, Ireland",Ireland,elan.com,https://www.linkedin.com/company/elan-pharmaceuticals
"Theravance Biopharma US, LLC","Theravance Biopharma aims to transform the treatment of specialty respiratory and neurologic diseases by delivering Medicines that Make a Difference in patients’ and caregivers’ lives.

In pursuit of our purpose, Theravance Biopharma leverages decades of expertise, which has led to the development of FDA-approved YUPELRI (revefenacin) inhalation solution indicated for the maintenance treatment of patients with chronic obstructive pulmonary disease (COPD). Our pipeline of internally discovered programs is targeted to address significant unmet patient needs.

As a spin-off of Theravance, Inc., Theravance Biopharma, Inc. was founded in 2014 and has offices in South San Francisco, and Dublin, Ireland. 

We are a place for collaborators and creative problem-solvers – people who thrive on applying insight and innovation to discovering novel medicines. We invite you to explore our job opportunities and learn more about what Theravance Biopharma has to offer www.theravance.com/join-our-team/our-culture-values.

You can also connect with us on Twitter at @TheravanceBio. Please visit www.theravance.com/social-media-guidelines for more information on how to engage with Theravance Biopharma on social media.",Biotechnology,51-200 employees,Public Company,"Dublin 2, County Dublin, Ireland",Ireland,theravance.com,https://www.linkedin.com/company/theravance-biopharma-inc-
SeraCare Clinical Diagnostics,"SeraCareClinical Diagnostics provides trusted clinical diagnostic quality control solutions that enable laboratories to deliveraccurate, reliable patient results with confidence.

Ourcomprehensive portfolio,including quality controls, calibration verification and reference materials, panels, next-generation sequencing (NGS) solutions, and external quality assessment/proficiencytesting (EQA/PT),supports the full lifecycle of diagnostic testing, from assay development and validation through ongoing performance monitoring.

Serving clinical laboratories alongside IVD and biopharmaceutical developers, CROs, and academic institutions,SeraCareClinical Diagnosticssupports diagnostic workflows across clinical chemistry, immunochemistry, serology, molecular diagnostics, and clinical genomics.SeraCareClinical Diagnosticshelps diagnostic professionals meet regulatory and quality requirements, ensures test accuracy, and provides results clinicians can rely on to inform critical patient care decisions.",Biotechnology,"1,001-5,000 employees",Privately Held,"Limerick, County Tipperary, Ireland",Ireland,lgcgroup.com,https://www.linkedin.com/company/seracare-clinical-diagnostics
Assay Genie,"Assay Genie is a global life reagents company with over 120,000 products including immunoassays, antibodies, proteins & activity assays for research and development scientists.
Founded in 2017, Assay Genie has offices in Dublin, Ireland & London, UK. With distributors in over 70 countries, Assay Genie works with scientists all around the World and counts Pfizer, J&J, Harvard University and many more of the World’s leading companies & universities among its customers.

Company Achievements & Core Technologies
Since its inception in 2017, Assay Genie has gone form strength-to-strength. The company began by building a unique digital ecommerce platform to provide immunoassays to cancer and immunology research scientists. Shortly after, Assay Genie launched over 7,000 immunoassays and in 2018 added a further 50,000 antibodies to their digital catalogue. During this period, Assay Genie added distribution partners in key markets such as the USA, UK, France, Germany and Benelux, allowing them to continue their rapid growth trajectory. 2019 saw the launch of a new technology called GeniePlex multiplex immunoassays which allowed immunology research scientists to get up to 24 times the amount of data from their experiments meaning vast workflow improvements. Since then, Assay Genie have added partners in Japan, Australia, MENA and Latin America as well as China which has become one of their biggest export partners. In 2020, Assay Genie were one of the 1st global companies to respond to SARS-CoV-2 with the launch of rapid antibody tests. Seeing a major demand for raw materials, they quickly brought vaccine and testing components such as antigens and antibodies to the market. As of 2022, Assay Genie provides over 120,000 products to scientists in over 70 countries.",Biotechnology,11-50 employees,Privately Held,"Dublin 2, County Dublin, Ireland",Ireland,assaygenie.com,https://www.linkedin.com/company/assaygenie-company
"PSC Biotech Ltd - EU, IND, UK, UAE","Founded in 1996, PSC Biotech Corporation was created with the vision of providing life science companies unmatched support. To date, PSC Biotech Corporation now serves 350 clients in more than 23 countries worldwide through professional services consulting with Ireland being established in 2011 followed by the UK. PSC are a, cloud-based software solutions, pharmaceuticals contract manufacturing, life science investment consulting, and metrology services company.

PSC Biotech Corporation has six unique divisions within the parent company – each representing one of our areas of expertise: PSC Biotech, PSC Software, BioTechniqueTM, PSC Partners, PSC Metrology and PSC Investments. Additionally, PSC Asia and PSC Biotech Ltd represent PSC Biotech Corporation in Asia and Europe, respectively. Together, these divisions enable us to meet the ever-changing needs of our clients with a commitment to excellence and superior quality.

To learn more, visit www.biotech.com.",Biotechnology,"501-1,000 employees",Privately Held,"Dublin 15, County Dublin, Ireland",Ireland,pscbiotech.eu,https://www.linkedin.com/company/pscbiotechlimited
ValitaCell,"ValitaCell is a biotechnology company that creates and commercialises analytical products and technologies for the biopharmaceutical industry. Our products enable clients bring innovative medicines to the market faster, cheaper and with greater regulatory confidence. ValitaCell's vision is to become a pioneer in biological science and cell therapy and to harness the power of artificial intelligence for both applications. ValitaCell is now part of the Beckman Coulter Life Sciences company.",Biotechnology,11-50 employees,Public Company,"Blackrock, County Dublin, Ireland",Ireland,valitacell.com,https://www.linkedin.com/company/valitacell
Irish Bioeconomy Foundation,"The mission of the Irish Bioeconomy Foundation (IBF) is to promote the conversion of Ireland’s natural land & sea resources to high value products for the development of a sustainable bioeconomy that is globally competitive. IBF brings together key stakeholders under a single umbrella to:
- build relationships,
- coordinate activities,
- lobby effectively,
- create synergies,
- leverage value from existing research & infrastructure
- drive innovation",Biotechnology,2-10 employees,Non Profit,"Moyne, County Tipperary, Ireland",Ireland,bioeconomyfoundation.com,https://www.linkedin.com/company/irish-bioeconomy-foundation
