Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Roche,"Roche is a global pioneer in pharmaceuticals and diagnostics focused on advancing science to improve people’s lives. The combined strengths of pharmaceuticals and diagnostics under one roof have made Roche the leader in personalised healthcare – a strategy that aims to fit the right treatment to each patient in the best way possible.

Roche is the world’s largest biotech company, with truly differentiated medicines in oncology, immunology, infectious diseases, ophthalmology and diseases of the central nervous system. Roche is also the world leader in in vitro diagnostics and tissue-based cancer diagnostics, and a frontrunner in diabetes management.

Founded in 1896, Roche continues to search for better ways to prevent, diagnose and treat diseases and make a sustainable contribution to society. The company also aims to improve patient access to medical innovations by working with all relevant stakeholders. Thirty medicines developed by Roche are included in the World Health Organization Model Lists of Essential Medicines, among them life-saving antibiotics, antimalarials and cancer medicines. Roche has been recognised as the Group Leader in sustainability within the Pharmaceuticals, Biotechnology & Life Sciences Industry ten years in a row by the Dow Jones Sustainability Indices (DJSI).

For more information, please visit https://careers.roche.com

Read our community guidelines here: 
https://www.roche.com/some-guidelines.htm

#Roche #Biotechnology #Pharmaceuticals #Diagnostics #Healthcare #PersonalisedHealthcare #GreatPlaceToWork #Innovation",Biotechnology Research,"10,001+ employees",Public Company,Switzerland,Switzerland,roche.com,https://www.linkedin.com/company/roche
Zeptosens AG,"Zeptosens AG is a biotechnology company based out of 254Benkenstrasse, Witterswil, Canton of Solothurn, Switzerland.",Biotechnology Research,11-50 employees,,"Witterswil, Solothurn, Switzerland",Switzerland,,https://www.linkedin.com/company/zeptosens-ag
Palto Therapeutics AG,"Palto is a start-up company dedicated to drug discovery, bringing together leading specialists from nucleic acid molecular biology, immunology, CRISPR technology and others. By uniting expertise across these disciplines, Palto employs advanced RNAi strategies to develop novel therapeutic solutions.",Biotechnology Research,2-10 employees,Privately Held,"Allschwil, Basel-Country, Switzerland",Switzerland,paltotx.com,https://www.linkedin.com/company/palto-therapeutics-ag
Biospectra AG,"Biospectra's purpose is to develop, manufacture and supply highly innovative products and services to enhance the efficiency of bioprocesses in both research and production environments.",Biotechnology Research,2-10 employees,,"Schlieren, Zurich, Switzerland",Switzerland,biospectra.ch,https://www.linkedin.com/company/biospectra-ag
FunZyme BioTechnologies S.A.,,Biotechnology Research,2-10 employees,,"Plan-les-Ouates, Geneva, Switzerland",Switzerland,funzyme.com,https://www.linkedin.com/company/funzyme-biotechnologies-s-a-
IsoTis S.A.,"IsoTis S.A. is a biotechnology company based out of 1 Rue de Sebeillon, Lausanne, VD, Switzerland.",Biotechnology Research,11-50 employees,,"Lausanne, Vaud, Switzerland",Switzerland,seaspine.com,https://www.linkedin.com/company/isotis-s-a-
Innovelias GmbH,"Innovelias provides strategic and scientific support across life sciences, in-vitro diagnostics and drug discovery, with deep expertise in small molecules, peptides, and antibody-drug conjugates (ADCs) and the technologies for assessing and optimizing these therapeutic modalities up to clinical candidate stage. 

We collaborate with academia, biotech companies, CROs, large pharmaceutical firms, and investors serving as trusted partners with expertise and unbiased input for:

Due diligence of assets – Focused evaluations for investors, VCs, and strategic partners to assess scientific value, development potential, risk, and intellectual property position, including in-depth patent landscape analysis and freedom-to-operate (FTO) assessments. 

Technology and portfolio evaluation – Independent assessments of innovation potential, scientific differentiation, and pipeline fit.

Project leadership and coordination of outsourcing – Scientific input and leadership of drug discovery projects, budget planning and monitoring, oversight of external collaborations, vendor selection, and operational execution to propel projects forward and drive impactful outcomes.

Strategic and CAPEX planning – Support for investment decisions, resource allocation, and long-term R&D strategy development.

Mentoring and coaching – Guidance for scientific teams and startups to strengthen leadership, sharpen focus, definition of target product profiles, build a compelling business case, and improve execution.

Organizational transformation – Advisory on structure, processes, and change management to support growth and innovation.

Independent, unbiased contributor  –  Complementary expertise to executive teams and Scientific Advisory Boards, enhancing decision-making with a strong scientific foundation.",Biotechnology Research,2-10 employees,Privately Held,"Basel, Basel-Stadt, Switzerland",Switzerland,,https://www.linkedin.com/company/innovelias-gmbh
Stratos Bio,"Stratos Bio is a biotechnology company based out of Basel, Basel-Stadt, Switzerland.",Biotechnology Research,2-10 employees,,"Basel, Basel-Stadt, Switzerland",Switzerland,stratosbio.com,https://www.linkedin.com/company/stratos-bio
Elevate Lab Solutions,We will help you elevate your lab to the latest standards.,Biotechnology Research,2-10 employees,Privately Held,"Zurich, Zurich, Switzerland",Switzerland,elevate.ch,https://www.linkedin.com/company/elevate-lab-solutions
Bkoft,Bkoft is a scientific research company specialised in herbal medicine and genetic disease,Biotechnology Research,11-50 employees,Public Company,"Zurich, Zurich, Switzerland",Switzerland,,https://www.linkedin.com/company/bkoft
Hernandez / KlinicSync,"Hernandez / KlinicSync is a boutique consultancy specializing in global market expansion, commercial strategy, and business development for diagnostics, oncology, and precision‐medicine companies. Based in Switzerland and operating across EMEA, LATAM, and APAC, we support organizations in entering new markets, building commercial infrastructure, establishing strategic partnerships, and accelerating patient access to advanced molecular testing.

With over 20 years of international experience in biotechnology, companion diagnostics (CDx), broad molecular profiling, IVD, and LDT, we help start‐ups, SMEs, and established enterprises navigate complex commercial, regulatory, and operational environments. Our expertise spans HEOR, market access, payer strategy, revenue cycle optimization, and cross‐border commercialization.

We translate innovative diagnostic technologies into scalable global businesses — delivering measurable commercial growth, sustainable market penetration, and improved access to precision medicine for clinicians and patients worldwide.",Biotechnology Research,2-10 employees,Self Owned,"Baar, Zug, Switzerland",Switzerland,,https://www.linkedin.com/company/hernandez-klinicsync
InnovaPal UG (haftungsbeschränkt),"InnovaPal UG ist ein wegweisendes Data-Intelligence-Unternehmen, das sich auf die Integration von Biotech- und Pharmadaten spezialisiert hat. Seine innovative, deduktive Lösung verbessert die Datenkonsistenz, Mustererkennung und semantische Tiefensuche, indem sie Konzeptgraphen und Hierarchien nutzt. So werden sowohl qualitative als auch quantitative biomedizinische Daten – einschließlich mathematischer Parameter, Stoffwechselwege, struktureller Informationen und anderer biologischer Daten – nahtlos verknüpft, um fundiertere Entscheidungen zu ermöglichen.

InnovaPal unterstützt F&E-Teams, Biotech-Startups und Pharmaunternehmen mit sauberen, strukturierten und interoperablen Daten und erschließt neue Erkenntnisse für die Wirkstoffforschung, Toxikologie und personalisierte Medizin.

Entdecken Sie tiefere Muster in Ihren Daten. Lassen Sie uns gemeinsam innovieren!

—

InnovaPal UG is a pioneering data intelligence company specializing in biotech and pharmaceutical data integration. Its innovative, deductive solution enhances data consistency, pattern discovery, and deep semantic search by leveraging concept graphs and hierarchies to ensure that both qualitative and quantitative biomedical data—including mathematical parameters, metabolic pathways, structural insights, and other biological data—are seamlessly connected for better decision-making.

InnovaPal empowers R&D teams, biotech startups, and pharma innovators with clean, structured, and interoperable data, unlocking new insights for drug discovery, toxicology, and personalized medicine.

Unlock deeper patterns in your data. Let’s innovate together!",Biotechnology Research,Self-employed,Privately Held,"Basel, Basel-Stadt, Switzerland",Switzerland,,https://www.linkedin.com/company/innovapal
CeiROx Life Sciences SA,CeiROx develops breakthrough regenerative medicine treatments.,Biotechnology Research,2-10 employees,Privately Held,"Crans-Montana, Valais, Switzerland",Switzerland,ceirox.com,https://www.linkedin.com/company/ceirox-life-sciences-corp
ExoSort,,Biotechnology Research,2-10 employees,Self Employed,"Lausanne, Vaud, Switzerland",Switzerland,exosort.eu,https://www.linkedin.com/company/exosort
QCC GmbH,Support BioPharmaceutical Development,Biotechnology Research,Self-employed,Self Employed,"Lucerne, Lucerne, Switzerland",Switzerland,qcc-mueller.com,https://www.linkedin.com/company/qcc-gmbh
Autelos,Autolos leverages bispecific technology to revolutionize autoimmune treatments. We are building a novel class of bispecific antibodies for pharmaceutical companies that will disrupt the autoimmune treatment market by setting a new standard for efficacy and safety.,Biotechnology Research,2-10 employees,Public Company,"Fislisbach, Aargau, Switzerland",Switzerland,autelos.com,https://www.linkedin.com/company/autelos
Equilibio,"Chronic inflammation is sneaky, it quietly raises the risk of everything from cancer to heart disease, pulling the strings behind many of the conditions we accept as “just aging” and accelerating age-related pathologies.

At EquiliBio, we're developing  targeted immune-modulating solutions to keep inflammation in check, protect long-term health, and redefine what healthy aging can look like. 

Because extending lifespan matters... but improving the years we live matters even more.",Biotechnology Research,2-10 employees,Privately Held,"Lausanne, Vaud, Switzerland",Switzerland,equilibio.ch,https://www.linkedin.com/company/equilibio-labs
KeyBioscience SA,"KeyBioscience AG is a biotechnology company strongly committed to the discovery and development of innovative peptide therapeutics for metabolic disorders.
By building and continuously expanding an advanced peptide profiling platform inspired by the evolution of naturally occurring peptide variants, KeyBioscience enables in‐depth investigation and optimization of novel therapeutic molecules. This proprietary platform has led to the identification of multiple peptides that have progressed into clinical development targeting Type 2 Diabetes, obesity and osteoarthritis.
In 2017, two of these peptide programs were licensed to Eli Lilly. Building on this collaboration, a second generation of Lilly–KeyBioscience DACRAs is currently in clinical development for obesity.
Today, KeyBioscience is focusing on the latest member of the KBP family, KBP‐336, a long‐acting peptide under development as a once‐weekly injectable treatment for metabolic osteoarthritis. Through innovative screening systems and engineering of DACRAs with prolonged receptor activation, KeyBioscience aims to deliver highly potent, stable and efficacious therapies that represent a meaningful advancement in metabolic disease treatment.",Biotechnology Research,2-10 employees,Privately Held,"Lugano, Ticino, Switzerland",Switzerland,keybioscience.com,https://www.linkedin.com/company/keybioscience-sa
youtrition,,Biotechnology Research,2-10 employees,Self Employed,"Basel, Basel-Stadt, Switzerland",Switzerland,youtrition.org,https://www.linkedin.com/company/youtritionorg
Projectpharma Sagl,,Biotechnology Research,2-10 employees,,"Pregassona, Ticino, Switzerland",Switzerland,,https://www.linkedin.com/company/projectpharma-sagl
