Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Humanoid,"In a world where artificial intelligence opens up new horizons, our faith in its potential unveils a new outlook where, together, humans and machines build a new future filled with knowledge, inspiration, and incredible discoveries.

The development of a functional humanoid robot underpins an era of abundance and well-being where poverty will disappear, and people will be able to choose what they want to do.

We can imagine millions of bipedal robots doing more work than all human labour does today freeing people from the servitude of some repetitive and boring tasks that nobody likes to perform.

We believe that we have enough abundance to take care of everyone who is displaced. Eventually, providing a universal basic income will lead to the true evolution of our civilization.

Labor shortages loom, as the demands on our built environment rise. With the world’s workforce increasingly moving away from undesirable tasks, the manufacturing, construction, and logistics industries critical to our daily lives are left exposed.

By deploying our general-purpose humanoid robots in environments deemed hazardous or monotonous, we envision a future where human well-being is safeguarded while closing the gaps in critical global labour needs.",Robotics Engineering,201-500 employees,Privately Held,"Vancouver, British Columbia, Canada",Canada,thehumanoid.ai,https://www.linkedin.com/company/humanoidai
PIONEER Robotics,"Developing autonomous robotic systems for pipeline inspection, enabling early detection of defects and preventing infrastructure failures.",Robotics Engineering,Self-employed,Self Owned,"Burlington, Ontario, Canada",Canada,base44.app,https://www.linkedin.com/company/pioneerroboticsinc
Sanad Labs,"We at Sanad Labs develop AI-powered medical robots designed to enhance the elderly and people in limited mobility conditions while focusing on safety and independence. Our mission is to improve the quality of life for humankind by providing innovative, user-friendly mobility robotic solutions that support everyday activities.",Robotics Engineering,2-10 employees,Privately Held,"Mississauga, Ontario, Canada",Canada,sanadlabs.com,https://www.linkedin.com/company/sanadlabs
Multi-Agent Drone Systems Inc.,Founded in 2023,Robotics Engineering,2-10 employees,Privately Held,"Edmonton, Alberta, Canada",Canada,multiagentdronesystems.com,https://www.linkedin.com/company/multiagentdronesystems
Tigers Robotics,Robotics club and group of teams,Robotics Engineering,2-10 employees,Educational,"Oakville, Ontario, Canada",Canada,,https://www.linkedin.com/company/tab-robotics
Institute of Robotics & Intelligent Systems,"Institute of Robotics and Intelligent Systems (IRIS) is a tech educational centre that offers instructor-led courses on Robotics, Coding, Electronics and Designing for 5-17 year old kids. We have been in operation since 2015 and numerous students, schools and institutions have benefitted from our programs. Our skilled instructors combine science, technology, engineering and math (STEM) education in all our courses and ensure that students develop key skills such as problem solving, critical thinking, teamwork, presentation, communication and idea generation. Our objective is to develop skillsets in four key areas - Technological Ability, Emotional Intelligence, Enterprising Spirit and Responsible Behavior. Through this we aspire to develop a child's overall intellectual capability and transform them into a well-rounded human being - into responsible tech entrepreneurs, inventors and leaders who will create a better world for everyone.",Robotics Engineering,11-50 employees,Educational,"Mississauga, Ontario, Canada",Canada,iriscanada.com,https://www.linkedin.com/company/iriscanadaonline
West Island College Robotics,"We are the West Island College Robotics Club our mission is innovation, community outreach and personal excellence. We strive to bring out the best for all of our members.",Robotics Engineering,51-200 employees,Non Profit,"Dollard-des-Ormeaux, Quebec, Canada",Canada,wicmtl.ca,https://www.linkedin.com/company/west-island-college-robotics
EcoSort,"An AI-assisted kiosk that scans an item and physically directs the user (or the item itself) to the correct bin. EcoSort’s function includes:
1. The user places an item on a designated tray or holds it up to a camera.
2. The camera on the device identifies the objects (through a lightweight model).
3. A servo motor rotates a chute, or an LED arrow lights up to point to the correct bin.
After the user places it in the correct container, the machine displays a “green score” on the screen to encourage use.",Robotics Engineering,2-10 employees,Partnership,"Kelowna, British Columbia, Canada",Canada,,https://www.linkedin.com/company/ecosortubco
KALK Robotics AB,The operating system for humanoid adoption in Europe.,Robotics Engineering,2-10 employees,Privately Held,"Moncton, New Brunswick, Canada",Canada,kalkrobotics.com,https://www.linkedin.com/company/kalk-robotics-ab
TO-GA,"At TO-GA, we are bridging the gap between traditional logistics and the future of flight. We specialize in the development of autonomous delivery gliders designed to solve the most pressing challenge in aerial robotics: the trade-off between battery life and distance. By leveraging high-efficiency aerodynamic gliding technology, our platforms achieve an unprecedented operational range, allowing for the rapid transport of goods across distances that conventional multi-rotor drones simply cannot reach.

Our mission is to provide industries with a sustainable, long-range solution for the ""middle-mile"" and remote deliveries. Whether it is transporting life-saving medical supplies to underserved areas or streamlining industrial supply chains, TO-GA’s systems combine advanced flight control software with superior airframe design to ensure safe, precision navigation. We are not just building hardware; we are building a more connected world through intelligent, energy-efficient autonomous flight.

Based at the intersection of aerospace engineering and robotics, TO-GA is committed to making long-range aerial transportation more accessible, reliable, and sustainable. We invite you to follow our journey as we push the boundaries of what is possible in the sky.",Robotics Engineering,11-50 employees,Partnership,"Montreal, Quebec, Canada",Canada,,https://www.linkedin.com/company/to-ga-12
