Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Bretagne économique,"Bretagne-economique.com sélectionne, au quotidien, l’essentiel de l’actualité économique en Bretagne pour une meilleure connaissance de votre territoire. Abonnez-vous à notre newsletter hebdomadaire : www.bretagne-economique.com",Information Services,"1,001-5,000 employees",Government Agency,"Saint-Jacques-de-la-Lande, Brittany, France",France,bretagne-economique.com,https://www.linkedin.com/company/bretagne-économique
Souveraine Tech,"Veille, défense et illustration #souverainetétechnologique",Information Services,2-10 employees,Non Profit,"St-Malo, Brittany, France",France,souveraine.tech,https://www.linkedin.com/company/souverainetech
Mer et Marine,"Le site Mer et Marine est né de la rencontre de journalistes, de passionnés de la mer et d'une jeune structure éditoriale (GLCDK Media), qui avaient toutes et tous la même envie, celle d'informer, au quotidien, sur la mer et les communautés humaines structurées autour.

Il est aujourd'hui édité avec le soutien du groupe Télégramme, société spécialisée dans les médias, les services et l'événementiel.",Information Services,"501-1,000 employees",Partnership,"Saint-Martin-des-Champs, Brittany, France",France,meretmarine.com,https://www.linkedin.com/company/meretmarine
le marin,"Website and daily newsletter on french and global maritime economy, complemented by the magazine each Wednesday",Information Services,11-50 employees,Privately Held,"Rennes, Brittany, France",France,ouest-france.fr,https://www.linkedin.com/company/lemarin
Destination Rennes,"Situé dans un cadre privilégié en plein cœur historique, ouvert 7jours/7, l’Office de Tourisme de Rennes  est le principal centre d’information au service des touristes et des habitants de la Métropole (plus de 200 000 visiteurs par an). Structure de type associatif, sa création remonte à 1926. C'est à ce jour le seul Office de Tourisme classé 4 étoiles en Bretagne.",Information Services,51-200 employees,Privately Held,"Rennes, Brittany, France",France,destination-rennes.fr,https://www.linkedin.com/company/destinationrennes
Groupe Réussir - L'information de l'Agriculture et de l'Alimentaire,"Réussir est le leader de l’information BtoB à destination des secteurs agricole et agroalimentaire. Créé il y a 30 ans, nous éditons une vingtaine de médias nationaux print et web, véritables outils d’aide à la décision. 
Nous accompagnons les communautés professionnelles en délivrant au quotidien les contenus premium et les services associés dont chaque filière a besoin : analyses des cotations matières premières, brand content et plan média, opérations marketing direct, expertises CRM et data mining, etc.

9 Médias Agricoles nationaux
•	Réussir Grandes Cultures
•	Réussir Lait
•	Réussir Bovins Viande
•	Réussir Vigne
•	Réussir Fruits & Légumes
•	Réussir Porc
•	Réussir Pâtre
•	Réussir Volailles
•	Réussir La Chèvre

2 Médias Alimentaire nationaux spécialisés dans l’expertise des cotations :
•	Les Marchés
•	La dépêche – Le petit meunier

Et 53 Journaux hebdomadaire départementaux diffusant sur 74 départements",Information Services,51-200 employees,Privately Held,"Colombelles, Normandy, France",France,reussir.fr,https://www.linkedin.com/company/reussir-agra
Artprice.com,"The world leader in Art Market information.

Artmarket.com is a global player in the Art Market with, among other structures, its Artprice department, world leader in the accumulation, management and exploitation of historical and current art market information in databanks containing over 30 million indices and auction results, covering more than 850,000 artists.

Artprice Images allows unlimited access to the largest Art Market image bank in the world: no less than 180 million digital images of photographs or engraved reproductions of artworks from 1700 to the present day, commented by our art historians.

Artmarket with its Artprice department accumulates data on a permanent basis from 7,200 Auction Houses and produces key Art Market information for the main press and media agencies (7,200 publications). Its 7.2 million 'members log in' users have access to ads posted by other members, a network that today represents the leading Global Standardized Marketplace to buy and sell artworks at a fixed or bid price (auctions regulated by paragraphs 2 and 3 of Article L 321.3 of France's Commercial Code).

Artmarket, with its Artprice department, has twice been awarded the State label ""Innovative Company"" by the Public Investment Bank (BPI), which has supported the company in its project to consolidate its position as a global player in the art market.

Artprice by Artmarket's global head office is at the heart of the Musée d'Art Contemporain L'Organe managing La Demeure du Chaos whose President and Founder is thierry Ehrmann.",Information Services,11-50 employees,Public Company,"Neuville-sur-saone, France",France,artprice.com,https://www.linkedin.com/company/artprice-com
CRIJ - Info Jeunes Réunion,"Le CRIJ Réunion est une association de loi 1901 labellisée par le Ministère de l'Education Nationale.
Le CRIJ Réunion fait partie du réseau national information jeunesse.
Nous avons pour mission d'informer les publics, prioritairement les 13-30 ans, sur l'ensemble des sujets de la vie quotidienne (accès aux droits, emploi, formation, mobilité, santé, mobilité) et ainsi favoriser l'accès aux droits et l'autonomisation des jeunes.
En tant que plateforme généraliste de 1er niveau d'information, nos modalités d'actions sont diverses: ateliers, accueil individuel, stand d'informations dans les lieux de vie, réseaux sociaux, canaux numériques.
Nous siégeons également dans différentes instances afin de porter la parole des jeunes et les problématiques vécues au quotidien.",Information Services,11-50 employees,Non Profit,"Saint-Denis, La Réunion, France",France,jeunes360.re,https://www.linkedin.com/company/crij974
ZenDSN,"ZenDSN est une plateforme SaaS sécurisée qui permet de contrôler, corriger et exploiter les données issues des Déclarations Sociales Nominatives (DSN).
Pensée pour les services RH, les gestionnaires de paie et les cabinets d’expertise comptable, elle transforme la DSN en un véritable levier de pilotage social et financier.
Grâce à ses fonctionnalités d’analyse avancées et à une approche centrée sur la fiabilité des données, ZenDSN aide les entreprises à :
- Fiabiliser leurs déclarations sociales avant transmission à Net-Entreprises ;
- Simplifier l’analyse des Comptes Rendus Métier (CRM) grâce à un module de lecture et d’interprétation intelligent ;
- Anticiper les anomalies et les écarts de cotisations ;
- Centraliser les données issues des DSN (rémunérations, effectifs, indicateurs RH...) ;
- Produire automatiquement les reportings réglementaires et stratégiques (BDESE, bilans sociaux, index égalité HF, etc.) ;
- Mettre à disposition différents KPI sur un portail pour CSE et managers.

Avec ZenDSN, la DSN n’est plus une simple obligation déclarative : c’est une source de données fiable au service de la conformité, de la performance RH et du pilotage social.",Information Services,11-50 employees,Privately Held,"Petit-Couronne, Normandy, France",France,zendsn.com,https://www.linkedin.com/company/zendsn
GREF Bretagne,"Le GREF Bretagne, GIP de la Relation Emploi-Formation créé en 2002, exerce les missions de Carif-Oref au service de l’Etat, de la Région et de l’ensemble des acteurs des champs de l’emploi, de la formation professionnelle et de l’orientation. 
 	
Son cœur de métier repose sur la gestion des données et s’articule autour de 3 missions :
•	Collecter l’offre de formation par apprentissage et l’offre de formation professionnelle continue, pour informer les professionnels et les acteurs des territoires.
•	Observer les relations Emploi-formation et les parcours d’accès à la formation, en s’appuyant sur des outils de diagnostics, de prospectives et d’évaluation
•	Animer et accompagner la professionnalisation des acteurs et opérateurs du champ de l’emploi, de la formation et de l’orientation professionnelles, notamment en assurant une veille active des innovations technologiques et pédagogiques, ainsi que leur essaimage et leur diffusion.",Information Services,11-50 employees,Non Profit,"Cesson-Sévigné, Brittany, France",France,gref-bretagne.com,https://www.linkedin.com/company/gref-bretagne
