Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
X Shore,Actions speak louder than words. X Shore is a Swedish manufacturer of high-end electric craft. Our mission: revolutionise the maritime industry with the power of silence. Our vision: Redefining mobility. Experience the Power of Silence with X Shore - driving the future of electric boating.,Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Nyköping, Nyköping, Sweden",Sweden,xshore.com,https://www.linkedin.com/company/xshore
SaltX Technology,"SaltX is a Swedish Greentech company that develops and markets sustainable technology that will benefit customers, the climate, and society. The company operates within the electrification of emission-intensive industries such as the lime and cement industries. SaltX Technology's share is listed on the Nasdaq First North Premier Growth Market.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Stockholm, 01, Sweden",Sweden,saltxtechnology.com,https://www.linkedin.com/company/saltxtechnology
Dürr CTS - Clean Technology Systems,"At Dürr CTS, we unite global reach with local expertise to deliver customized environmental solutions for the industrial sector. 

Formerly the Clean Technology Systems division of the Dürr Group, we have been operating as an independent company since November 2025. Same Team, Same Excellence means our clients still rely on the same trusted experts who have been delivering high-quality air pollution control and noise abatement technologies for decades.

We’re committed to staying close to our customers worldwide, offering not only innovative and sustainable technologies but also reliable solutions that ensure environmental compliance and operational safety. 

Follow us on LinkedIn to discover how we're shaping the future of clean technology with a personal touch.",Climate Technology Product Manufacturing,"1,001-5,000 employees",Public Company,"Gothenburg, Vastra Gotaland County, Sweden",Sweden,cts-durr.com,https://www.linkedin.com/company/dürr-cts-clean-technology-systems
Your Beet,"Social Commerce platforms for food - converting influencer recipes to shopped grocery baskets, and leading the global shift towards more modern, healthy and sustainable food system.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,yourbeet.app,https://www.linkedin.com/company/your-beet
Medclair AB,"Medclair, founded in 2013, is a Swedish Research and Development company with leading-edge expertise in in measurement, collection, and destruction of nitrous oxide (N2O). We solve healthcare and environmental challenges through innovation.

We have developed a number of patents within catalytic gas purification and collection, around which we have developed a stable, energy-efficient process. Our customers are healthcare and dental care facilities that demand a climate-smart use of nitrous oxide for pain relief. 

Nitrous oxide is a gas used in the healthcare industry due to its analgesic and anxiolytic properties, which offer significant benefits. However, improper collection and purification of nitrous oxide can have negative impacts on both the environment and the health of the individuals responsible for its administration.

We are members of the Swedish Medtech organisation, Swecare, and the Nordic Centre for Sustainable Healthcare.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Stockholm, 01, Sweden",Sweden,medclair.com,https://www.linkedin.com/company/medclair
Meadow,"Meadow is built on a simple but powerful belief: circularity should feel effortless. 
We create technologies that help global brands reduce environmental impact without compromising on beauty, function or experience. By innovating from within existing industrial ecosystems, we enable suppliers to adopt better solutions at scale. 
Meadow’s technology can be found in consumer goods across the globe, proving that sustainable transformation can be both practical and deeply enjoyable.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,meadow.global,https://www.linkedin.com/company/meadowglobal
Acetec AB,"Our business includes development and production of products for air, climate, and energy technology such as dehumidifies, air purifiers, ozone generators and air handling units that fully meet the strictest demands for quality and environmental awareness on the market, with industry experience dating from 1988.",Climate Technology Product Manufacturing,51-200 employees,Public Company,"Älvsbyn, 25, Sweden",Sweden,acetec.se,https://www.linkedin.com/company/acetec-ab
Direct Carbon,"At Direct Carbon, we aim to improve indoor climates while using minimal energy. With a team of experienced professionals who are passionate about the environment and sustainability, we are committed to developing innovative solutions that can help address the challenges of indoor air quality and carbon capture. By leveraging cutting-edge technology and expertise, we are well-positioned to make a significant contribution to the fight against climate change.

Founded in 2021, Direct Carbon is a spin-off of Sally-R created to achieve a net zero planet, using carbon capture technology. Our compact, modular, and cost-efficient direct air capture technology (DAC) captures CO2 from the air using our efficient adsorbent while taking in air from the greenhouse, enriched with CO2, and pumping it back to the greenhouse for plant fertilization.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Västerås, 19, Sweden",Sweden,direct-carbon.com,https://www.linkedin.com/company/direct-carbon
AirZyme,"AirZyme is developing next-generation carbon capture technologies using biocatalytic solutions. We’re focused on turning scientific breakthroughs into scalable systems that remove CO2 emissions from both industrial sources and directly from the air. Our vertically integrated platform covers the entire process, from biocatalyst development to commercial deployment, operating at the intersection of biotechnology, materials science, and industrial process engineering. 
Backed by the Swedish Innovation Agency Vinnova, the Dutch foundation CarbonFix, and the Swedish Energy Agency, we are currently piloting our biocatalyst with Stockholm Exergi, which is building a BECCS facility that will remove 800,000 tonnes of biogenic CO2 per year, and with Capsol Technologies, as our technology moves from lab-proven to field-tested, with commercial deployment in view.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,airzy.me,https://www.linkedin.com/company/airzyme
Sonicflora,"At Sonicflora, we capture the unheard — ultrasonic signals from plants — and turn them into actionable insights. By combining AI, machine learning, and one of the most comprehensive plant sound datasets in agriculture, we enable early detection of stress and pests, optimize yields, and reduce resource use. 

Our vision is to set a new global standard for plant health monitoring, empowering agriculture to be more sustainable, resilient, and data-driven.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Linköping, Sweden",Sweden,sonicflora.com,https://www.linkedin.com/company/sonicflora
FARMWISE Project EU,"FARMWISE project will transform the EU agricultural sector by empowering farmers and decision-makers with a state-of-the-art decision support system, combining precision agriculture, AI, and RS. FARMWISE provides new insights into water quality, quantity, soil health, and nutrient management. Its state-of-the-art framework fosters knowledge sharing between scientists, farmers, and policymakers in a co-creation environment (Systems Thinking). It consolidates existing collaborations and promotes new long-term cooperations between European organisations, including Water4All and Water Europe. The project will develop improved tools based on AI for more efficient European water policy and decision-making founded on research-based technologies to solve the most burning water pollution and climate change problems. For this purpose, the consortium brings together the best European water, agricultural, climate, and AI researchers to handle the sustainability of water resources, the natural environment, and efficient agriculture in the highly diverse European landscape in view of present and future climate change. FARMWISE evaluates, monitors, and implements gender and diversity balance in the consortium during the planned activities.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Lund, 12, Sweden",Sweden,farmwise-project.eu,https://www.linkedin.com/company/farmwiseproject
