Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Zug, Zug, Switzerland",Switzerland,siemens.com,https://www.linkedin.com/company/siemens
CIMEO SA,"machines and process equipment for the pharmaceutical, cosmetics and advanced technology industries : dispenser, melter, hod tank, reactor, CIP...",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Cité, Geneva, Switzerland",Switzerland,cimeo.ch,https://www.linkedin.com/company/cimeo-geneve
Torautomatik Team AG,"Die Torautomatik Team AG ist ein vom Eigentümer geführtes Unternehmen und entwickelt, produziert und vertreibt innovative

Produkte der Steuerungs- und Regeltechnik für Banken, Industrie sowie Speziallösungen für den privaten Bereich.

Wir sind ein Teil der Wertschöpfungskette unserer Kunden und tragen durch unsere Liefertreue, Qualität und den Innovationen

zu deren Wettbewerbsfähigkeit bei.

 

Von uns dürfen Sie mehr erwarten:

Eingehende Beratung, innovative Lösungsvorschläge und eine massgeschneiderte Umsetzung. Der Kunde steht im Zentrum 

unseres Denkens und Handelns. Wir reagieren auf ihre Wünsche und Fragen unmittelbar und mit hoher Kompetenz.

Torautomatik Team AG Lösungen sind in aller Regel kundenspezifische Lösungen.

 

Schnelligkeit ist einer unserer Erfolgsfaktoren. Unsere schlanken Strukturen garantieren schnelle, unbürokratische Entscheidungen,

kurze Durchlaufzeiten und eine flexible Fertigung.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Wetzikon, Zurich, Switzerland",Switzerland,tor-team.com,https://www.linkedin.com/company/torautomatik-team-ag
CompetAir GmbH,"CompetAir GmbH is an industrial automation company based out of Bohnirainstrasse 13, Thalwil, Canton of Zurich, Switzerland.",Automation Machinery Manufacturing,,,"Thalwil, Zurich, Switzerland",Switzerland,competair.ch,https://www.linkedin.com/company/competair-gmbh
Perrot Duval Holding SA,"Perrot Duval Holding S.A., together with its subsidiaries, provides automation technologies in the field of process automation worldwide. The company develops, produces, and sells various original technological components and solutions. It supplies automated installations and components for dispensing and safety for processes in manufacturing chemical products, such as paints, printing inks, textiles dyes, food, and cosmetics, as well as pharmaceutical products. The company is based in Geneva, Switzerland.",Automation Machinery Manufacturing,2-10 employees,,"Geneva, Geneva, Switzerland",Switzerland,perrotduval.com,https://www.linkedin.com/company/perrot-duval-holding-sa
Fäwa-Elektronik AG,"Fäwa-Elektronik AG is a retail company based out of Breitenwies 6, Hinwil, Switzerland.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Hinwil, Zurich, Switzerland",Switzerland,faewa-elektronik.ch,https://www.linkedin.com/company/fäwa-elektronik-ag
ROKA Systems GmbH,"ROKA Systems GmbH steht für Schweizer Präzision und innovative Fertigungstechnik im Maschinenbau.
Von der Metallbearbeitung über Kabelkonfektion bis hin zu komplexen systemintegrierbaren Baugruppenlösungen bieten wir massgeschneiderte Komponenten und koordinieren komplette Produktions- und Logistikprozesse in einem durchgängigen Prozess.
Mit höchsten Qualitätsstandards, technischer Expertise und innovativen Technologien entwickeln wir Lösungen, die zuverlässig, nachhaltig und zukunftssicher sind.
Unsere Kunden profitieren von langjährigen Partnerschaften und Kooperationen sowie modernster Fertigungstechnik und und Lösungen, die technologische Innovation mit nachhaltiger Wettbewerbsfähigkeit verbinden.",Automation Machinery Manufacturing,11-50 employees,Public Company,"Wettswil, Zurich, Switzerland",Switzerland,,https://www.linkedin.com/company/roka-systems-gmbh
HOAREAU Sàrl,,Automation Machinery Manufacturing,Self-employed,Privately Held,"Moutier, Berne, Switzerland",Switzerland,hoareau.tech,https://www.linkedin.com/company/hoareau-sàrl
Automation & Innovative Technologies,"We are a specialized team dedicated to industrial automation and PLC software development, with experience in designing, building, and commissioning advanced solutions for industrial automation.
We focus on PLC and HMI software development, managing the full integration of automation systems to ensure maximum reliability, efficiency, and user-friendliness. Our technical capabilities include:

SCADA & Industrial Vision: Design and implementation of supervision systems and vision technology, from software architecture to field device interfacing.

R&D & Innovation: Continuous research in industrial automation to help companies optimize production processes through innovative, custom-tailored technological solutions.

Specialized Consulting: Expert technical support during analysis, design, and optimization of existing systems.

Support & Maintenance
We stand by our clients with comprehensive technical assistance, both remotely and on-site, covering:

System startup and commissioning.

Diagnostics, testing, and maintenance.

Software troubleshooting and systems integration.

Our Mission
Our goal is to deliver reliable, scalable solutions aligned with real-world production needs. We are committed to high quality standards and providing continuous support to ensure our clients' long-term success.",Automation Machinery Manufacturing,Self-employed,Self Employed,"Wolhusen, Lucerne, Switzerland",Switzerland,,https://www.linkedin.com/company/ait-tajeddine
ATACOM AG,"Company Atacom Engineering AG is a technology company  specializes in control technology, drive technology and computer science.",Automation Machinery Manufacturing,,,"Gossau, Switzerland",Switzerland,atacom.ch,https://www.linkedin.com/company/atacom-ag
