Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Dun & Bradstreet,"Dun & Bradstreet, a leading global provider of business decisioning data and analytics, enables companies around the world to improve their business performance. Dun & Bradstreet’s Data Cloud fuels solutions and delivers insights that empower customers to accelerate revenue, lower cost, mitigate risk, and transform their businesses. 

Since 1841, companies of every size have relied on Dun & Bradstreet to help them manage risk and reveal opportunity. For more information on Dun & Bradstreet, please visit www.dnb.com.",Information Services,"5,001-10,000 employees",Public Company,"Dublin, County Dublin, Ireland",Ireland,dnb.com,https://www.linkedin.com/company/dun-&-bradstreet
BackToBusiness.ie,"BackToBusiness.ie is a resource to help flood affected businesses communicate and engage with the community by sharing their reopening, relocation and fundraising information.

Local communities can find out when their favourite retailers and service providers will be reopening and how they can help to support their local businesses as they work to recover from the devastation in the wake of recent flooding events.",Information Services,Self-employed,Privately Held,"Cork, County Cork, Ireland",Ireland,backtobusiness.ie,https://www.linkedin.com/company/backtobusiness-ie
Gilligan Consulting Ltd,Providing Data Governance & Protection Services,Information Services,Self-employed,Privately Held,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/gilligan-consulting-ltd
Infovalues,"Providing customised news based on the client's interests. My service minimises the time employees spend looking out for significant news in their industry -I ensure they recieve the news relevant to their raw materials, their suppliers, or their competitors.",Information Services,Self-employed,Self Employed,Ireland,Ireland,infovalues.com,https://www.linkedin.com/company/infovalues
AMUR LTD,,Information Services,,,"Enfield, County Meath, Ireland",Ireland,,https://www.linkedin.com/company/amur-ltd
OBSTAR LTD,,Information Services,,,"Enfield, County Meath, Ireland",Ireland,,https://www.linkedin.com/company/obstar-ltd
Notebookcast,"A whiteboard centric online collaboration tool for training and education, with rich features such as high quality audio conference, screen sharing and real-time synchronization drawing. 
https://www.notebookcast.com",Information Services,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,notebookcast.com,https://www.linkedin.com/company/notebookcast
Strange Rooms,A literary podcast at the intersection of Moby Dick and doomscrolling.,Information Services,2-10 employees,Non Profit,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/strange-rooms-podcast
MVP Launchpad,"Most products don’t fail at launch.

They fail a few months later when real users, real data, and real complexity start showing up.

---

MVP Launchpad helps founders go from idea to working product to a system that can actually scale.

Not just fast builds.
Builds that hold up.

---

What we focus on:

• Clear execution instead of overthinking
• Building what actually matters first
• Systems that don’t break when usage grows
• Using AI where it helps, not where it creates noise

---

Today, it’s easier than ever to build something.

That’s the problem.

It’s now just as easy to build something that looks complete but fails in the real world.

---

We focus on getting it right from the start.",Information Services,11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,angre.co.in,https://www.linkedin.com/company/mvp-launchpad-systems
AYNK Studio,"AYNK Studio is a digital-first creative and technology studio focused on AI-assisted design, automation-driven workflows, and digital product development.

We specialise in building AI-enhanced digital products, designing scalable creative workflows, and applying generative AI, prompt engineering, and no-code automation to streamline content creation and digital publishing.

Our work combines:

Generative AI & prompt engineering

Workflow automation and no-code tools

Data-driven product optimisation

Digital branding and content systems

AYNK Studio reflects an applied approach to AI, automation, entrepreneurship, and digital innovation, bridging creativity with responsible and scalable technology solutions.",Information Services,Self-employed,Privately Held,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/aynkstudio
