Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
DJI,"DJI is the global leader in developing and manufacturing innovative drone and camera technology for commercial and recreational use. 

DJI was founded and is run by people with a passion for remote-controlled helicopters and experts in flight-control technology and camera stabilization. The company is dedicated to making aerial technology accessible, reliable and easy to use for creators, innovators and businesses around the world. 
 
DJI has expanded its expertise and innovative technology to enterprises, government agencies and different industries around the world. DJI Enterprise was formed in order to help businesses realize the potential of aerial technology in their operations. DJI has expanded its enterprise solutions to include aerial platforms, payloads and analytic tools that can be deployed today for businesses across the agriculture, construction, infrastructure, energy, public safety sectors, and more. UAV-powered solutions enable operators to streamline workflows, empower staff, digitize operations and make daily processes less time consuming and more cost effective, preparing businesses to meet the needs of tomorrow’s workplace.

DJI’s global operations currently span across the Americas, Europe and Asia, and its revolutionary products and solutions have been chosen by customers in over 100 countries for applications in filmmaking, recreation and enterprises across different industries.

For more information, visit our websites: www.dji.com and https://enterprise.dji.com/
Contact us: https://enterprise-insights.dji.com/linkedin-contact-us
Follow us on Twitter: www.twitter.com/DJIGlobal and www.twitter.com/DJIenterprise
Follow us on Facebook: www.facebook.com/DJI
Subscribe to our YouTube Channel: www.youtube.com/DJI and www.youtube.com/c/DJIEnterprise",Consumer Electronics,"10,001+ employees",Privately Held,"Frankfurt, Hesse, Germany",Germany,dji.com,https://www.linkedin.com/company/dji
VTS Verkehrstechnik & Service GmbH,,Consumer Electronics,11-50 employees,,"Althengstett, Baden-Württemberg, Germany",Germany,vts-shop.de,https://www.linkedin.com/company/vts-verkehrstechnik-&-service-gmbh
TOP Foto GmbH,"TOP Foto GmbH is a consumer electronics company based out of Kolner Str. 10, Wermelskirchen, Wermelskirchen, Germany.",Consumer Electronics,2-10 employees,,"Wermelskirchen, North Rhine-Westphalia, Germany",Germany,,https://www.linkedin.com/company/top-foto-gmbh
O2 Partner Shop Geesthacht,"O2 Partner Shop Geesthacht is a consumer electronics company based out of 50 Georg-Brauchle-Ring, Munich, Germany.",Consumer Electronics,Self-employed,,"Munich, Bavaria, Germany",Germany,o2-online.de,https://www.linkedin.com/company/o2-partner-shop-geesthacht
Feed Submitter,,Consumer Electronics,,,"Niedernberg, Bavaria, Germany",Germany,feed-submitter.net,https://www.linkedin.com/company/feed-submitter
WOD Audio,"North Star Design ist ein italienisches Unternehmen mit Sitz in Vecchiano in der Nähe von Pisa. Das Team um Chef Designer Giuseppe Rampino entwickelt hier seit fast 25 Jahre hochwertige Elektronik mit exzellentem Preis- Leistungsverhältnis. Mit den neuen Digital Analog-Wandlern Intenso, Impulso, Incanto, Excelsio und Supremo präsentieren wir für Deutschland, Österreich und die Schweiz die ersten DSD Wandler von North Star Design mit asynchroner USB Schnittstelle. Zur Philosophie North Star Design gehört, dass jedes neue Produkt signifikant besser wird als das Vorgängermodel.",Consumer Electronics,,,"Nidderau, Hesse, Germany",Germany,wodaudio.de,https://www.linkedin.com/company/wod-audio
SpyBike,,Consumer Electronics,,,"Hochdorf, Baden-Württemberg, Germany",Germany,spybike-gps.com,https://www.linkedin.com/company/spybike
Telekom Exklusiv Partner Shop Paderborn,,Consumer Electronics,2-10 employees,,"Paderborn, North Rhine-Westphalia, Germany",Germany,paderkom.de,https://www.linkedin.com/company/telekom-exklusiv-partner-shop-paderborn
Showfix,,Consumer Electronics,,,"Neubiberg, Bavaria, Germany",Germany,showfix.de,https://www.linkedin.com/company/showfix
50 Cent Design - Internetagentur,,Consumer Electronics,Self-employed,,"Oftersheim, Baden-Württemberg, Germany",Germany,50centdesign.com,https://www.linkedin.com/company/50-cent-design---internetagentur
