Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Avular,"Avular accelerates the creation of mobile robot applications that will shape a brighter future for all. By developing the core technology for autonomous robots and building our own drones and robots from the ground up, we developed the perfect tools to start your mobile robotic solution. By simplifying the implementation of robot development in practice we significantly reduce our partners' time-to-market and costs.",Robotics Engineering,51-200 employees,Privately Held,"Eindhoven, North Brabant, Netherlands",Netherlands,avular.com,https://www.linkedin.com/company/avular
Lobster Robotics,"Lobster Robotics is a high-tech company based in the Netherlands. We design, manufacture, and rent out fully integrated underwater drones, delivering high-resolution seabed insights with minimal effort. By combining cutting-edge robotics, automation, and data processing, we eliminate the tradeoffs between scale, precision, and efficiency. Trusted by industry leaders, we are setting new standards for how seabed intelligence is acquired, verified, and applied to critical decision-making.",Robotics Engineering,11-50 employees,Privately Held,"The Hague, South Holland, Netherlands",Netherlands,lobster-robotics.com,https://www.linkedin.com/company/lobster-robotics
Eatch Technologies,"Eatch was founded in 2019 to make fresh, healthy, home-quality meals easy and affordable for everyone. To make this possible, we developed the world's first automated kitchen that cooks in the same way as you do at home (or maybe even better). We provide our fresh, gourmet-quality meals and technology to food service and food retail channels.",Robotics Engineering,11-50 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,eatch.me,https://www.linkedin.com/company/eatch
RanMarine Technology,"RanMarine builds emission-free surface vessels that clear waterways of plastic, algae, and debris while gathering critical water-quality data. From harbors to lakes, our ASVs protect aquatic ecosystems. 

Innovation, crafted for nature. 

www.ranmarine.io",Robotics Engineering,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,ranmarine.io,https://www.linkedin.com/company/ranmarine
Emergent Swarm Solutions,"Emergent enhances safety and efficiency in the most demanding scenarios through fully autonomous swarming. Our technology enables intelligence gathering in the most challenging environments, navigating through cluttered areas with ease. Our technology is cost-effective, platform independent and operational even in GNSS and communications-denied environments.

Our technology meets critical defense needs and supports disaster response and law enforcement. By providing reliable solutions in various high-stakes scenarios, Emergent ensures that crucial operations can be carried out with precision and minimal risk.",Robotics Engineering,11-50 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,emergentswarms.com,https://www.linkedin.com/company/emergentswarmsolutions
PATS,"PATS helps growers to manage insect pest populations effectively, overcoming the challenges faced by traditional control methods.

Our autonomous insect monitoring and control solutions integrate seamlessly into existing greenhouse infrastructure, offering a revolutionary approach to pest management.

By automating pest control, we help growers cut labor and product costs while minimizing crop losses from pest damage. In other words: healthier plants, sustainable practices, and increased efficiency.

Want to learn more? Visit our website or drop us an email. We're excited to connect with you!


 www.pats-drones.com
 info@pats-drones.com",Robotics Engineering,11-50 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,pats-drones.com,https://www.linkedin.com/company/patsdrones
Cobotx,"At Cobotx, we believe labor shortages shouldn't stand in the way of growth or continuity. Our answer? Smart, flexible automation powered by the latest in Cobots, AI, Robotics, and Vision technologies.

We help manufacturing companies scale their operations efficiently and future-proof their production. No massive investments or rigid systems — just modular automation that adapts to your workflow and scales with demand.

Whether it’s pick & place, quality control, assembly, or packaging — Cobotx delivers technology that drives results and supports your workforce, rather than replacing it.

 The future of work is hybrid — humans and robots, stronger together.

 Curious what this could mean for your organization? Let’s connect. The future won’t wait.",Robotics Engineering,11-50 employees,Public Company,"Zwolle, Overijssel, Netherlands",Netherlands,cobotx.nl,https://www.linkedin.com/company/cobotx
Terra Inspectioneering B.V.,"Terra Inspectioneering preforms inspections using drones and robots. We specialize in performing inspections in industrial confined spaces, like storage tanks. Our clients are operating in the oil- and gas, chemical and other industrial sectors. Our focus is on measuring the thickness of steel using drones. Terra has developed and patented the technology of measuring wall thickness using drones. Our services also include visual and thermal inspections. The collected inspection data by the drone is shared via a cloud-based 3D-model of the inspection object, which the client gets access to.  

Using drones for inspections has various advantages. Firstly, the safety-aspect of the inspection get maximized. For example, there is no more need for working at heights. Secondly, the efficiency improves. The downtime significantly gets reduced when preforming inspections with drones. Finally, the collection of data improves in quantity and quality. 

Terra Inspectioneering delivers certified inspection reports conformant to standards like API-653 and EEMUA-159.",Robotics Engineering,11-50 employees,Privately Held,"Vlissingen, Zeeland, Zeeland, Netherlands",Netherlands,terra-inspectioneering.com,https://www.linkedin.com/company/terra-inspectioneering
MoviĜo Robotics - The Netherlands,"We are MoviĜo Robotics (pronounce as Movidjo, meaning movement in Esperanto)
We specialise in designing, manufacturing, delivering and implementing industrial Mobile Robot solutions. 

Our projects are successful because we focus on your production and logistical processes and system integration. Our own software gives the robots smart behaviour. Creating a better fit and deliver a robust integration between ERP, WMS and third party devices to create an Industry 4.0 solution.

We are a proud partner of HP since 2022",Robotics Engineering,11-50 employees,Privately Held,"Haarlem, North Holland, Netherlands",Netherlands,movigorobotics.com,https://www.linkedin.com/company/movigo-robotics
Luo Automation,"At Luo, we believe the quality of injectables should not depend on human judgement.

We provide fully automated visual inspection solutions for small-batch pharmaceutical production, replacing and improving the traditional manual and semi-automated inspection methods. Our proven solutions ensure consistent quality while delivering significant gains in speed and cost-effectiveness.

Combining the latest advancements in AI, machine learning and automation, we improve small-scale visual inspection one container at a time.

 Contact us: info@luoautomation.com",Robotics Engineering,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,luoautomation.com,https://www.linkedin.com/company/luo-automation
