Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Roche,"Roche is a global pioneer in pharmaceuticals and diagnostics focused on advancing science to improve people’s lives. The combined strengths of pharmaceuticals and diagnostics under one roof have made Roche the leader in personalised healthcare – a strategy that aims to fit the right treatment to each patient in the best way possible.

Roche is the world’s largest biotech company, with truly differentiated medicines in oncology, immunology, infectious diseases, ophthalmology and diseases of the central nervous system. Roche is also the world leader in in vitro diagnostics and tissue-based cancer diagnostics, and a frontrunner in diabetes management.

Founded in 1896, Roche continues to search for better ways to prevent, diagnose and treat diseases and make a sustainable contribution to society. The company also aims to improve patient access to medical innovations by working with all relevant stakeholders. Thirty medicines developed by Roche are included in the World Health Organization Model Lists of Essential Medicines, among them life-saving antibiotics, antimalarials and cancer medicines. Roche has been recognised as the Group Leader in sustainability within the Pharmaceuticals, Biotechnology & Life Sciences Industry ten years in a row by the Dow Jones Sustainability Indices (DJSI).

For more information, please visit https://careers.roche.com

Read our community guidelines here: 
https://www.roche.com/some-guidelines.htm

#Roche #Biotechnology #Pharmaceuticals #Diagnostics #Healthcare #PersonalisedHealthcare #GreatPlaceToWork #Innovation",Biotechnology Research,"10,001+ employees",Public Company,"Mannheim, Baden-Württemberg, Germany",Germany,roche.com,https://www.linkedin.com/company/roche
DRIP (TUD iGEM 2023),"DRIP (Diatom-based Remediation using Immobilized Proteins) is an algae-based enzyme tool to selectively decrease concentrations of emerging micropollutants such as microplastics, antibiotics, and pharmaceuticals in waste water.

The project is our contribution to the iGEM Competition 2023 as the TUD Dresden University of Technology Team 2023 and ends with the result presentation at the Grand Jamboree in Paris in early November 2023.",Biotechnology Research,2-10 employees,Non Profit,"Dresden, Saxony, Germany",Germany,igem.wiki,https://www.linkedin.com/company/drip-tud
CCS Cell Culture Service,"We Make The Cells!
The use of cell based assays for drug screening bears the challenge of scale-up and in-time cell production. As a flexible external cell culture unit CCS supplies starting material for HTS assays and makes your screening faster and more efficient. The outsourcing of time consuming, preparatory work allows you to bring more screening projects to the starting block at the same time and helps you to reduce time to success by profiting from CCS’ comprehensive experience with different target groups. Major pharmaceutical companies all over Europe and the USA already benefit from the support of CCS.
CCS offers the custom generation of recombinant cell lines expressing the target of your interest and develops reliable and significant assays. For screening, custom membrane preparations, recombinant proteins, and Frozen Instant Cells in vials or in plates are provided. Frozen cells which can be instantly used in cell based assays are a valid alternative to cells from a growing culture.",Biotechnology Research,11-50 employees,Privately Held,"Hamburg, Hamburg, Germany",Germany,cellcultureservice.com,https://www.linkedin.com/company/ccs-cell-culture-service
EpiBlok Therapeutics GmbH,"EpiBlok Therapeutics GmbH is a pioneering biotech company developing innovative gene therapies for focal epilepsy. Founded by scientists from Charité – Universitätsmedizin Berlin and the Medical University of Innsbruck, the company develops adeno-associated virus (AAV) vectors to deliver dynorphin into the brain, aiming to suppress seizures at the point of origin. EpiBlok's groundbreaking “release-on demand” format of dynorphin action holds promise for transforming the lives of patients suffering from drug-refractory focal epilepsy.",Biotechnology Research,2-10 employees,Public Company,"Berlin, Berlin, Germany",Germany,epiblok.com,https://www.linkedin.com/company/epiblok-therapeutics-gmbh
BioSolutions Halle GmbH,Kompetenter Servicedienstleister im Bereich Mikro- und Molekularbiologie sowie für die chemische Analytik und Produktion,Biotechnology Research,2-10 employees,Public Company,"Halle, Saxony-Anhalt, Germany",Germany,biosolutions-halle.de,https://www.linkedin.com/company/biosolutions-halle-gmbh
LEFO - Institut für Lebensmittel und Umwelt,"Ihr inhabergeführtes Handelslabor in Norddeutschland! 

Wir bieten seit mehr als 40 Jahren kompetente Beratung, Bewertung und Laboranalytik für Lebensmittel, Kosmetik und Bedarfsgegenstände an. Unsere analytische Kernexpertise liegt mittlerweile bei den Nahrungsergänzungsmitteln.
Unser eingespieltes Team zeichnet sich durch Flexibilität, Erfahrung, Verlässlichkeit und der Bereitschaft der permanenten Weiterentwicklung aus - getreu nach dem Motto: Wir bleiben neugierig!

Engagement für eine gesunde Umwelt und hochwertige Lebensmittel sind für das LEFO-Institut prioritäres Anliegen!",Biotechnology Research,11-50 employees,Public Company,"Ahrensburg, Schleswig-Holstein, Germany",Germany,lefo.de,https://www.linkedin.com/company/lefo-institut-für-lebensmittel-und-umwelt
TS Biotech Services,"Innovations in healthcare today force biotech companies to act and react quickly. 
To manage this rapid development in a way that makes strategic and commercial sense, our team of experts at TempSearch Biotech is here to help. 
We advise you every step of the way to an effective process optimization strategy and help you build a fast and scalable process around your products.",Biotechnology Research,2-10 employees,Public Company,"Ulm, Baden-Württemberg, Germany",Germany,tempsearch-biotech.de,https://www.linkedin.com/company/ts-biotech-services
Corelia Bio,"Corelia Bio is building a human-relevant translational platform for cardio-renal drug discovery.

Complex chronic diseases such as CKD and HFpEF involve interactions between cardiac, renal, vascular, inflammatory and metabolic biology that are not adequately represented by many conventional preclinical models. This limits confidence in target selection, biomarker strategy and therapeutic progression.

Corelia Bio is developing HETSTM — the Human Engineered Tissue System to address this translational gap. The platform combines engineered cardiac and renal disease models with functional readouts, biomarker analysis and multi-omics to generate decision-enabling evidence for:

- therapeutic target validation
- compound and mechanism-of-action profiling
- translational biomarker development
- early R&D program de-risking

Our goal is to become a specialized translational partner for pharmaceutical and biotechnology companies developing therapies for CKD, HFpEF, fibrosis and related cardio-metabolic complications.

Corelia Bio is currently progressing toward its first platform proof of concept, external validation studies and strategic development partnerships.",Biotechnology Research,Self-employed,Privately Held,"Göttingen, Lower Saxony, Germany",Germany,corelia-bio.com,https://www.linkedin.com/company/corelia-bio
BIO-NET LEIPZIG,"BIO-NET LEIPZIG is a biotechnology company based out of Deutscher Platz 5c, Leipzig, Sachsen, Germany.",Biotechnology Research,2-10 employees,,"Leipzig, Saxony, Germany",Germany,bio-city-leipzig.de,https://www.linkedin.com/company/bio-net-leipzig
ZAKlab GmbH,"Horses and dogs - just like us humans - can only perform at their best if they are healthy and fit. Unclear lameness, exhaustion or even reluctance to eat can be signs of a treatable but difficult to diagnose disease. Classical diagnostics based on antibodies in the blood can often only provide an incomplete or even false picture of such a disease in the case of intracellular pathogens.

T-cells, another fundamental component of the immune defense, can reveal a complete immune status, especially in the case of T-cell controlled pathogens. In the human field, this type of diagnosis has become the gold standard for certain diseases in recent years. In addition to Borrelia, other pathogens of tick-borne diseases such as Rickettsia, Ehrlichia or Babesia can also be diagnosed, as well as life-threatening diseases such as tuberculosis. Furthermore, intracellular pathogens such as Mycoplasma and Bartonella or fungi (Aspergillus) can be detected with the EliSpot. Immune reactions against Yersinia, a known cause of chronic joint inflammation, can also be detected in the EliSpot.",Biotechnology Research,2-10 employees,Self Owned,"Balingen, Baden-Württemberg, Germany",Germany,zak-lab.de,https://www.linkedin.com/company/zaklab-gmbh
