Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gilat Satellite Networks,"Gilat Satellite Networks Ltd. (NASDAQ: GILT, TASE: GILT) is a leading global provider of satellite-based broadband communications. With over 35 years of experience, we develop and deliver deep technology solutions for satellite, ground, and new space connectivity, offering next-generation solutions and services for critical connectivity across commercial and defense applications.  We believe in the right of all people to be connected and are united in our resolution to provide communication solutions to all reaches of the world.

Together with our wholly-owned subsidiaries—Gilat Wavestream, Gilat DataPath, and Gilat Stellar Blu—we offer integrated, high-value solutions supporting multi-orbit constellations, Very High Throughput Satellites (VHTS), and Software-Defined Satellites (SDS) via our Commercial and Defense Divisions. Our comprehensive portfolio is comprised of a cloud-based platform and modems; high-performance satellite terminals; advanced Satellite On-the-Move (SOTM) antennas and ESAs; highly efficient, high-power Solid State Power Amplifiers (SSPA) and Block Upconverters (BUC) and includes integrated ground systems for commercial and defense markets, field services, network management software, and cybersecurity services.

Gilat’s products and tailored solutions support multiple applications including government and defense, IFC and mobility, broadband access, cellular backhaul, enterprise, aerospace, broadcast, and critical infrastructure clients all while meeting the most stringent service level requirements. For more information, please visit: http://www.gilat.com",Satellite Telecommunications,"1,001-5,000 employees",Public Company,"Noida, Uttar Pradesh, India",India,gilat.com,https://www.linkedin.com/company/gilat-satellite-networks
Global Satcoms,"Global Satcoms stands as a prominent global field service engineering firm, specializing in VSAT technologies. Our core competency revolves around catering to VSAT service providers and teleport operators, primarily emphasizing the oil & gas and maritime sectors.

Operating robustly in numerous countries globally, we deliver dependable and effective satellite communication solutions to our esteemed clientele. Our skilled professionals handle everything from installation and maintenance to troubleshooting, ensuring our clients experience seamless connectivity and uninterrupted operations.

Trust Global Satcoms for all your VSAT needs, as we deliver exceptional service wherever you are in the world.",Satellite Telecommunications,11-50 employees,Privately Held,"Mumbai, Maharashtra, India",India,globalsatcoms.com,https://www.linkedin.com/company/global-satcoms
Northtelecom,"Northtelecom headquartered in Dubai, UAE specializes in providing satellite communication / ICT services and solutions. Northtelecom’s service portfolio offer innovative and reliable communication solutions to the industries like Energy, Maritime, Media, Enterprise, Telco, & Humanitarian.

Established in the year 2007 and with 18 years of rich industry experience, Northtelecom has succeeded in delivering comprehensive package of system integration, system products, and network communication services enabling a complete end-to-end solution to its customers.
Northtelecom has its foot prints spread globally with offices in UAE, Germany, Malaysia, Italy and Singapore and teleports Frankfurt, Kuala Lumpur, Singapore & Athens.
www.northtelecom.com",Satellite Telecommunications,51-200 employees,Privately Held,"Coimbatore North, Tamil Nadu, India",India,northtelecom.com,https://www.linkedin.com/company/northtelecom
Station Satcom,"Founded in 1998, Station Satcom is a global leader in integrated remote communication solutions. With over 25 years of expertise, we deliver end-to-end services across Satellite Communications, Navigation Communication, Vessel IT, Cybersecurity, and IOT Solutions designed to perform in the world’s most demanding environments.

With offices in over 9+ countries and strategic partnerships in more than 21 regions, our solutions power operations across land, sea, and air. From commercial vessels to critical infrastructure, we support industries including maritime, defense, offshore energy, logistics, aviation, and enterprise.

We are trusted for our ability to deliver reliable, secure, and high-performance connectivity, backed by a global support network and a commitment to innovation. Whether enabling vessel tracking, crew welfare, onboard surveillance, or cyber protection, we ensure seamless communication and operational uptime—wherever you are.

At Station Satcom, connectivity isn't just what we do—it's how we empower the world to operate smarter, safer, and stronger.",Satellite Telecommunications,51-200 employees,Privately Held,"Mumbai, Maharashtra, India",India,stationsatcom.com,https://www.linkedin.com/company/station-satcom
India Space Congress,"India Space Congress 2026 (ISC-2026) “Reimagining Space. Reinventing Collaboration. Realising the Next Era of Space” is a strategic assemblage of national and international space industry leaders offering primary access to opportunities in the rapidly growing sector in India for the worldwide space ecosystem.

The foundation of the India Space Congress [ISC] is a multi-stream program highlighting the evolution of the Indian space economy and opportunities for its development and growth.

Hosted for the fifth time by the SatCom Industry Association, [SIA-India], ISC 2026 is aglobal congregation of industry experts, government, policymakers, thought leaders, legal professionals and academia in the space sector to discuss strategic measures to efficiently manage space exploration, new disruptive space-based services and applications, viable business models, space situational awareness and cyber security.
The vision is to bring all the high-level stakeholders together from space agencies, industry, and institutions around the world under one roof to swap insights, strategies, and rising trends for collaborative development of the space ecosystem in India and bring global and regional economic benefits.",Satellite Telecommunications,11-50 employees,Non Profit,"New Delhi, Delhi, India",India,indiaspacecongress.com,https://www.linkedin.com/company/india-space-congress
Global Tech Integrated Systems Pvt. Ltd.,"Global Tech Integrated Systems Pvt. Ltd. is a trusted marine electronics solutions provider serving commercial vessels, offshore platforms, shipyards, and defense fleets across India, UAE, Singapore, and Egypt.

Global Tech is a registered trademark and commenced operations in 2009 with a clear focus: to deliver reliable service, fast response, and real-world technical expertise to the marine and offshore industry.

We specialize in the supply, installation, commissioning, repair, and annual maintenance of navigation, communication, and safety systems onboard vessels. With 24/7 support, class-approved engineers, and stock-ready spares, we help reduce downtime and keep ships moving.

We are now DGS Certified to perform marine electronics service, GMDSS support, and radio surveys for Indian-flagged vessels.

 What We Offer:

* Navigation Systems: RADAR, ECDIS, AIS, GPS
* Communication Systems: VHF, MF/HF, Inmarsat-C, Iridium
* Safety Systems: EPIRB, SART, BNWAS, PA, CCTV
* GMDSS Shore-Based Maintenance (SBM)
* VDR Annual Performance Testing (APT)
* Class-Approved Radio Surveys (DNV, ABS, BV, IRS)
* AMC and Emergency Repairs
* Retrofits and Newbuild Installations

 Where We Work:

* Ports across India, UAE, Singapore, and Egypt
* Offshore platforms, naval vessels, and commercial fleets
* Global support through our partner network

 Why Clients Trust Us:

* 24/7 response, even during breakdowns at sea
* Skilled engineers trained on multiple OEM systems
* Transparent reporting, full documentation, class coordination
* Fast turnaround with stocked spare parts

Our engineers work fast in real-world marine conditions — from fixing radar faults to urgent GMDSS surveys.
We handle everything from IMO-compliant installs to last-minute radio inspections, with deep technical know-how and a client-first mindset.

 +91 98335 52388
 sales@globaltech.net.in/service@globaltech.net.in
 https://www.globaltech.net.in/",Satellite Telecommunications,11-50 employees,Privately Held,"Navi Mumbai, Maharashtra, India",India,globaltech.net.in,https://www.linkedin.com/company/global-tech-integrated-systems-
QOSMIC,QOSMIC is building the Optical Highway to the Cosmos. We build the optical infrastructure from Ground to Space to bring space coming from the 2G Era to the 6G Era.,Satellite Telecommunications,2-10 employees,Privately Held,"Bengaluru, Karnataka, India",India,qosmic.space,https://www.linkedin.com/company/qosmicspace
SpaceRelays,"SpaceRelays is on a path to build a data relay infrastructure in space and provide 24x7 connectivity with mission control to low-earth orbit satellites.

SpaceRelays aims to make data delivery independent of the ground stations and provide satellite communication system as a turnkey solution.",Satellite Telecommunications,2-10 employees,Privately Held,"Bengaluru, Karnataka, India",India,spacerelays.com,https://www.linkedin.com/company/spacerelays
GeneralMarine,"OUR TRADE BRAND IS A LEADER BEING PRESENT ON THE MARITIME ELECTRONIC MARKET SINCE OVER 60 YEARS. TODAY, OUR SPECIALIZED NETWORK IS CAPABLE TO OFFER A COMPLETE RANGE OF HIGHLY PROFESSIONAL EQUIPMENTS, A QUALITY PERFORMING TEAM OF WELL TRAINED TECHNICIANS – TO PROVIDE AN ACCURATE INSTALLATION – AND AN EXCLUSIVE AFTER SALES SUPPORT.",Satellite Telecommunications,11-50 employees,Privately Held,"Mumbai, Maharashtra, India",India,generalmarine.it,https://www.linkedin.com/company/generalmarine
FeTaca,"Fetaca is a leading telematics devices manufacturing company with manufacturing units in China and India. We specialize in the production of cutting-edge telematics devices designed to provide real-time location tracking and data analysis capabilities for both personal and commercial applications.

We are the top manufacturers, exporters, and importers of telematics devices like vehicle trackers, asset trackers, pet trackers, ID card trackers, magnetic trackers, wireless trackers, and customized trackers by providing excellent customer services and technical support.",Satellite Telecommunications,2-10 employees,Partnership,"Jaipur, Rajasthan, India",India,fetaca.com,https://www.linkedin.com/company/fetaca
