﻿﻿Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Luchtvaartnieuws.nl,"Luchtvaartnieuws.nl (aviation news) provides daily news-updates for the Dutch, Belgian and Dutch Antilles markets, in the Dutch language.

Luchtvaartnieuws.nl is an independent news source, committed to provide reliable, complete, correct and accessible information on the airline industry.

Luchtvaartnieuws.nl is independent of any airline, airport, etc, and information displayed online which has been supplied by an airline or airport, etc. cannot be guaranteed for accuracy.

Luchtvaartnieuws.nl is the Dutch number one digest of everything that matters in aerospace and aviation. Luchtvaartnieuws.nl is part of Reismedia, a family of travel-related information products.

We invite airlines, airline producers, airport operators and airline related organisations to submit news releases for inclusion in our news section pages.",Aviation & Aerospace,11-50 employees,Privately Held,"Centrum, Netherlands",Netherlands,luchtvaartnieuws.nl,https://www.linkedin.com/company/www-luchtvaartnieuws-nl
Freddycane,,Aviation & Aerospace,,,"Gorredijk, Friesland, Netherlands",Netherlands,freddycane.nl,https://www.linkedin.com/company/freddycane
NLR - Netherlands Aerospace Centre,"Welcome to NLR - Royal Netherlands Aerospace Centre. Our overall mission is making air operations and space exploration safer, more sustainable and more efficient. NLR’s multidisciplinary approach focuses on developing new and cost effective technologies for aviation and space, from design support to production technology and MRO (Maintenance, Repair and Overhaul). With its unique expertise and state of the art facilities NLR is bridging the gap between research and application.

NLR covers the whole RDT&E (Research, Development, Test & Evaluation) range, including all the essential phases in research, from validation, verification and qualification to evaluation. By doing so, NLR contributes to the innovative and competitive strength of government and industry, in the Netherlands and abroad.

NLR employs a staff of approx. 900 at our offices in Amsterdam and Marknesse. The company realizes an annual turnover of approx. 88 million euro.",Aviation & Aerospace,"501-1,000 employees",Non Profit,"Amsterdam, North Holland, Netherlands",Netherlands,nlr.org,https://www.linkedin.com/company/nlr
SPECTO Aerospace,"SPECTO Aerospace, located at Amsterdam Lelystad-Airport and Business Park Aviolanda, Hoogerheide, The Netherlands, is an EASA/FAA and CAA-UK-Part145, MAA-NLD-A-145, AS9110 certified composite repair organization. 

SPECTO’s capability covers a broad range of composite, sheet metal and hybrid assemblies. SPECTO has experience with repair, overhaul, painting and lifespan extension of an extended range structural composite and sheet-metal components. 

SPECTO is specialized in repair and overhaul of Rotor Blades, Flight Control Surfaces, Structures, Nacelle Parts and Radomes (including RF testing by ARThuR – SPECTO’s Automated Radome Test Range), regardless aircraft type.

SPECTO’s facility at Amsterdam Lelystad Airport primarily focusses on composite repairs related to fixed wing aircraft, whereas SPECTO’s facility at Business Park Aviolanda in Hoogerheide is dedicated to repairing helicopter rotor blades and structures for civil and military operators. 

SPECTO  – Composite Repair Services.",Aviation & Aerospace,51-200 employees,Privately Held,"Airport Lelystad, Flevoland, Netherlands",Netherlands,spectoaerospace.com,https://www.linkedin.com/company/specto-aerospace
AviAssist Foundation,"The AviAssist Foundation is an independent, international, and impartial non-profit that exists to champion the cause of aviation safety in Africa.
aviassist.org",Aviation & Aerospace,2-10 employees,Non Profit,"Rotterdam, South Holland, Netherlands",Netherlands,aviassist.org,https://www.linkedin.com/company/aviassist-foundation
ESA NAVISP,"ESA's Navigation Innovation and Support Programme (NAVISP) supports European & Canadian companies with funding and expertise to develop innovative Positioning, Navigation & Timing (PNT) solutions.

We Provide:
- ESA Funding
- ESA Technical Support & Testing Environments
- ESA Brand and Connections
- While your retain your IP, equity & Strategic Independence

We invite industry to collaborate with us in developing cutting-edge technologies that strengthen Europe’s role in the global PNT market.

NAVISP is an ESA programme initiated in 2016, with over 370 projects contracted with European and Canadian Industries.

Find out more about NAVISP here https://navisp.esa.int/
Feel free to reach out with a message on this page.",Aviation & Aerospace,"1,001-5,000 employees",Government Agency,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,esa.int,https://www.linkedin.com/company/navisp-esa
AAC Hyperion,"Founded in 2013 Hyperion Technologies joined AAC Clyde Space in 2020 and are now known as AAC Hyperion. AAC Hyperion is based in Delft, the Netherlands, and specialises in high performance components for small spacecraft. It is renowned for its attitude and orbit control technologies and laser communications.",Aviation & Aerospace,11-50 employees,Public Company,"Delft, South Holland, Netherlands",Netherlands,aac-clyde.space,https://www.linkedin.com/company/hyperiontechnologies
AeroNL,"AeroNL is a trade association that supports the Dutch Aerospace and Airport Development sector through the development of expertise, advocacy, access to the national and international markets, and an extensive network.",Aviation & Aerospace,2-10 employees,Non Profit,"Den Haag, South Holland, Netherlands",Netherlands,aeronl.com,https://www.linkedin.com/company/aeronlnews
AirHub Consultancy,"Welcome to AirHub Consultancy, your trusted partner in navigating the innovative world of Unmanned Aviation. With a dedicated team of regulatory and operational experts, we've been at the forefront of this industry since 2015. From Enterprises to UAS Manufacturers, Governments, ANSPs, and Airports worldwide, we've been seamlessly integrating drones into workflows and societies, prioritizing safety, efficiency, and legality.

What sets us apart? Our holistic approach to the evolving UAS/UAM ecosystem, coupled with our deep subject knowledge and practical solutions. Our clients rely on us for a comprehensive perspective that ensures success in this dynamic field.

Curious to learn more? Dive into the details at airhubconsultancy.com and connect with our consultants today. Together we can shape the future of unmanned aviation.

Our products and services

Enterprise UAS Operators: 
 Concept of Operations (ConOps) development 
 Specific Operations Risk Assessment (SORA) development 
 Standard Operating Procedure development and validation 
 Operations Manual development and reviews 
 Safety Management System implementations 
 Quality and Compliance Management Program implementations 
 Operational Authorisations and Light UAS Certificate  
 Compliance and Audit support 
 SORA & Regulatory Training 

UAS Manufacturers: 
 Research and Development Program development 
 Design Verification Report (DVR) assistance 
 Type Certificate assistance  
 Flight Test Program development 
 SORA & DVR Training 

Governments, ANSP's and Airports:
 UAS Strategy development 
 UAS Policy development and evaluations 
 UAS Regulatory Implementations 
 U-space Airspace Risk Assessments and Hearing Process
 Common Information Service Provider (CISP) certification 
 U-space Service Provider (USSP) certification 
 U-space Architecture development 
 Urban Air Mobility policy development",Aviation & Aerospace,2-10 employees,Privately Held,"Katwijk, South Holland, Netherlands",Netherlands,airhubconsultancy.com,https://www.linkedin.com/company/airhubconsultancy
Avio-Diepen,"Avio-Diepen - A Proponent Company.

When two of the world’s leading independent aerospace distributors combine, great things happen. Proponent is the fresh new identity representing not only the expertise of Kapco Global and Avio-Diepen as one united company, but also the unique capabilities and perspective the organization brings to the aerospace market. 

In addition to over 110 years of collective experience in supporting the MRO, OEM, and airline markets, our organization has a history of offering innovative inventory and supply chain management solutions to both OEM and aftermarket customers. Proponent combines the scale and agility of two of the world’s largest independent aircraft parts distribution businesses, with the passion, proficiency and know-how of a team dedicated to comprehensive customer service and innovative personalized solutions. Proponent is an employee-owned company, with 600 staff operating out of 12 facilities in 8 countries across the globe.",Aviation & Aerospace,201-500 employees,Privately Held,"Alphen aan den Rijn, South Holland, Netherlands",Netherlands,avio-diepen.com,https://www.linkedin.com/company/avio-diepen
NRG2fly,"Charging infrastructure with sustainable, locally generated energy supply at regional airports. NRG2fly makes this possible by offering consultancy and interoperable charging solutions.",Aviation & Aerospace,2-10 employees,Privately Held,"Teuge, Gelderland, Netherlands",Netherlands,nrg2fly.com,https://www.linkedin.com/company/nrg2fly
Aeroworks,"Aeroworks is a manufacturer of high quality aircraft components. Quality products are designed, and manufactured both as standard and to OEM requirements. Optimized for a wide range of applications in the aviation and related industries.
Modern design and communication resources are used to deliver optimal 'product-to-market' performance. Competance centers to support our worldwide customers are located in Asia (Thailand)and Europe (The Netherlands).",Aviation & Aerospace,"501-1,000 employees",Privately Held,"Middenmeer, North Holland, Netherlands",Netherlands,aeroworks.nl,https://www.linkedin.com/company/aeroworks
Stellar Space Industries,"Stellar Space Industries is an AS9100-certified space technology company that specialises in advanced propulsion systems, precision space hardware, and satellite mission manufacturing. We develop electric propulsion and Atmosphere-Breathing Electric Propulsion (ABEP) technology for Very Low Earth Orbit (VLEO) missions. Based at the NL Space Campus, next to ESA ESTEC, we provide thermal-vacuum (TVAC) testing facilities for space hardware qualification",Aviation & Aerospace,11-50 employees,Privately Held,"Leiden, South Holland, Netherlands",Netherlands,stellarspaceindustries.com,https://www.linkedin.com/company/stellar-space-industries
TCS enginestands,"TCS Enginestands excels in aviation equipment manufacturing, offering a wide array of solutions tailored to the industry’s diverse needs. Our core products include APU transport stands, landing gear transport stands, APU maintenance stands, and customized ground support equipment projects.

APU Transport Stands: Ensuring safe and efficient APU transportation is vital in aviation maintenance. Our APU transport stands are designed to prioritize safety, reliability, and precision. They provide the necessary stability for the secure handling and transport of crucial aircraft components within aviation facilities.

Landing Gear Transport Stands: Landing gear is fundamental to an aircraft’s structure. Our landing gear transport stands are constructed to guarantee the secure and stable transportation of these essential components. With robust build quality and exceptional stability, these stands ensure careful handling of landing gear assemblies.

APU Maintenance Stands: Aircraft maintenance demands precision and accessibility. Our APU maintenance stands offer technicians a solid platform for efficient APU service and maintenance. This streamlines maintenance operations and enhances overall safety and system reliability.

Custom Ground Support Equipment: We specialize in custom projects, collaborating closely with clients to design and produce ground support equipment, maintenance platforms, specialized tools, and bespoke aviation solutions. Regardless of complexity, we have the expertise and resources to turn your ideas into reality.

“We Can Make Everything”: Our motto reflects our unwavering confidence in our capabilities. If you can envision it, we can create it. Whether you need standard equipment or entirely unique solutions, trust TCS Enginestands for superior quality, enhanced safety, and dedicated partnership in fulfilling your aviation equipment requirements.",Aviation & Aerospace,2-10 employees,Privately Held,"Monster, South Holland, Netherlands",Netherlands,tcsenginestands.com,https://www.linkedin.com/company/tcs-enginestands
SIM International B.V.,"SIM International is a flight simulation company that is engaged in the development, manufacturing, integration and sustainment of advanced technology training products. Our vision is to be a global leader in producing state-of-the-art flight training devices. Our mission is to deliver the best training devices and the best support that meets your training needs.

http://www.sim-international.com",Aviation & Aerospace,11-50 employees,Privately Held,"Sassenheim, South Holland, Netherlands",Netherlands,sim-international.com,https://www.linkedin.com/company/sim-international-bv
HyFly,"Our VTOL cargo drone is developed for transportation of urgent goods in challenging environments like cities and offshore conditions. In order to transport high payload weight over long distances the HyFly drone is equipped with a battery powered propulsion system. The unique tandem tilt wing concept enables wind resistant operation in compact areas like rooftops in cities.

All of these characteristics make the platform the right choice for transportation of medical goods in urban environment. At the moment, our development resulted in multiple test platforms and two production drones. Go to our product pages for more information:",Aviation & Aerospace,2-10 employees,Self Owned,"Drachten, Friesland, Netherlands",Netherlands,hyfly.tech,https://www.linkedin.com/company/hyfly
Sun Test Systems B.V.,"Sun Test Systems is a leading Dutch company in the development, manufacture and maintenance of advanced test equipment for the aerospace and automotive industries. We provide innovative and high quality solutions for testing aircrafts, helicopters and vehicles worldwide. 

Sun Test Systems has a unique company culture of Dutch heritage with an international presence. We offer a working environment with passionate and driven colleagues in an informal atmosphere.",Aviation & Aerospace,51-200 employees,Privately Held,"Weesp, North Holland, Netherlands",Netherlands,suntestsystems.com,https://www.linkedin.com/company/sun-test-systems
eezeetags,"Passenger numbers continue to grow, all over the world. Many airports and airlines are improving the way to process the passengers more efficiently and self service has become to be a common tool. Self tagging of bags should be an easy and fast part of the journee and that's possible with an eezeetag.

Easy & fast
Eezeetags are very easy to use and 5x faster to tag than traditional bagtags. The tagging process speeds up and passengers satisfaction will improve.

Clean
Eezeetags do not contain a peel off liner. When using an eezeetags, there won't be any waste. No wastebins are needed close to the kiosk or bagdrop machines. And there are no floorworkers needed to empty the wastebins. For security reasons, usage of wastebins is under discission.

Language neutral
Eezeetags can be used by all passengers, globally, regardless their language skills, since there are only pictogramms used for instructions.",Aviation & Aerospace,11-50 employees,Public Company,"Harmelen, Utrecht, Netherlands",Netherlands,eezeetags.com,https://www.linkedin.com/company/eezeetags
Euro Drone Inspections,"In a rapid developing market of UAV / Drones / RPAS , Euro Drone Inspections, can make the difference. With many years of experience in  Plant & Civil  Maintenance, IT , and RC controlled planes with FPV we can offer our customers the best solutions.

Until recent,  carrying out inspections at high altitude and/or hard-to-reach places was only possible using scaffolding, rope access or work platforms. This time consuming and costly work can be done different now. Bridges, reactors, buildings, but also large plants can now be examined external & internally with our drones. The industrially manufactured aircrafts are certified and designed for the professional market. They are very reliable, safe and particularly suitable for recordings up to 150 meters high. Our pilots are certified to the highest standards and work according to certified procedures.

The drone can be used almost everywhere and is airborne within 5 minutes . Through the use of electric engines, they are reasonably quiet and environmentally friendly.
The unit is digitally controlled from a ground station with GPS support. A video link makes live-view possible if necessary.

Some examples of applications:

Inspection of plant equipment such as tanks, chimneys, reactors  and other structures.
Internal inspection of storage tanks and steam-vessels.
Inspection of windmills and high-voltage pylons.
Inspection of constructions such as bridges, facades, roofs and church towers.
Aerial photography of buildings, plots and companies.
All HD photography and HD video recordings are royalty-free and handed over to our customers.",Aviation & Aerospace,2-10 employees,Privately Held,"Schiedam, South Holland, Netherlands",Netherlands,euro-drone-inspections.eu,https://www.linkedin.com/company/euro-drone-inspections-bv
Orange Aerospace.-,"We at Orange Aerospace feel right at home when it comes to engineering, manufacturing, operations and electronics.

We create, fly and innovate.",Aviation & Aerospace,11-50 employees,Privately Held,"Bosschenhoofd, North Brabant, Netherlands",Netherlands,orange-aerospace.com,https://www.linkedin.com/company/orange-aerospace
Fusion Engineering,"Fusion Engineering creates the most reliable, flexible and easy-to-use flight controller for the commercial drone industry. We have started from the ground up, developing our own flexible and reliable software platform. On top of this platform, we built innovative flight control algorithms to ensure more accurate positioning, disturbance rejection, and fault tolerance.",Aviation & Aerospace,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,fusion.engineering,https://www.linkedin.com/company/fusioneng
Delft Dynamics B.V.,"Delft Dynamics B.V. is an innovative, high tech company founded in The Netherlands in February 2006. The company is specialized in developing and building robot helicopter systems (drones): small unmanned helicopters and multicopters that can be used as stable, easy to control sensor platforms. This is accomplished by combining computer and sensor technology in a smart way. Delft Dynamics has more than 14 years of experience in the development and manufacturing of unmanned robot helicopters. Delft Dynamics has provided UAS (Unmanned Aircraft System) engineering services to third parties (inspection of e.g. transmission towers and flare-tips), and has developed and manufactured several types of robot helicopters (RH2 ‘Stern’, RH3 ‘Swift’ and RH4 ‘Spyder’). Delft Dynamics has been involved in many national and international RD&T projects together with well-known knowledge institutes and universities.",Aviation & Aerospace,2-10 employees,Privately Held,"Pijnacker, South Holland, Netherlands",Netherlands,delftdynamics.nl,https://www.linkedin.com/company/delftdynamics
Aerial Precision,Aerial Precision B.V. design and manufacture Intelligence-Driven LiDAR sensors for commercial drones and mobile vehicles. We focus on delivering information that is ready to be used. This information is extracted from 3D spatial data (point clouds) captured with our sensors.,Aviation & Aerospace,2-10 employees,Privately Held,"Maastricht, Limburg, Netherlands",Netherlands,aerial-precision.com,https://www.linkedin.com/company/aerialprecisionnl
Silverwing Aeronautics,"Silverwing envisions a future where personal mobility is unlimited in three dimensions. We are determined to have an active role in the transformation that the mobility sector is destined to experience. Hereby, we want to increase the global freedom of mobility and allow the logistics and operations industry to develop in an efficient manner.

In order to achieve this, we are developing a personal flying vehicle while competing in the Boeing GoFly competition. In order to realize this, we are consistently innovating and pushing current technology to the limit.  We believe in inspiring inventors and creators by redefining the limits of personal transport.",Aviation & Aerospace,11-50 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,flysilverwing.com,https://www.linkedin.com/company/flysilverwing
Falcon Electric Aviation,"Falcon Electric Aviation is a student team founded at the Eindhoven University of Technology. We address green house gas emissions in the aviation industry by converting existing aircraft to electric. Reducing the operational costs by 95%.
Currently, we are converting a Cessna 150 to a battery powered aircraft for flight schools. Our electric Cessna 150, FEA-1 is located at Kempen Airport.",Aviation & Aerospace,2-10 employees,Non Profit,"Eindhoven, North Brabant, Netherlands",Netherlands,falconea.nl,https://www.linkedin.com/company/falconeindhoven
Drone Flight Academy,Drone Flight Academy develops and organises theoretical courses and practical training sessions on flying drones safely and responsibly.,Aviation & Aerospace,11-50 employees,Educational,"Katwijk, South Holland, Netherlands",Netherlands,droneflightacademy.eu,https://www.linkedin.com/company/drone-flight-academy
HACE,"Over the past decade, HACE has become the MRO Shop specialist in understanding the comprehensive internal processes of today’s MRO Shop – gaining experience from both hands-on, technical experience straight of the work floor to Compliance Management. 

These experiences have lead to a unique approach to help change MRO Shops who want to lead the way in a rapidly changing and competitive market and become “Best -in-Class”.

We provide worldwide support to MRO Shops by innovating existing Quality Management strategies and to achieve guaranteed internal process improvements, such as short Turn Around Times (TAT), On-Time Delivery (OTD) and a reduction of Failure On Fit (FOF). 

By using proven, innovative methods we create a sustainable change in your MRO Shop. This gives your MRO Shop the opportunity to not only have your Quality Assurance department generate revenues rather than make costs, but also to strengthen your competitive position and to build a sustainable relation with your customer.",Aviation & Aerospace,2-10 employees,Public Company,"Nieuw-Vennep, North Holland, Netherlands",Netherlands,hace.aero,https://www.linkedin.com/company/holland-aviation-consultancy-&-engineering
AI4Copernicus,"You are invited to come to the 4th edition of AI4Copernicus, a groundbreaking event organized by the Netherlands Space Office, and partners oid, which will be held at the Netherlands Space Office in the Netherlands. This year's event promises to be an inspiring exploration into the fusion of artificial intelligence (AI) and satellite data, focusing on ""profiling and maximizing the potential of AI and satellite data for water, soil and infrastructure."" 

Come and meet international experts specialising in the use of AI and EO technologies to tackle challenges related to water, infrastructure and soil monitoring. 

Looking forward to welcoming you on 22 May 2024 in The Hague.",Aviation & Aerospace,2-10 employees,Non Profit,"The Hague, South Holland, Netherlands",Netherlands,ai4copernicus.org,https://www.linkedin.com/company/ai-4-copernicus
Cormorant Aerospace,"Cormorant is a Dutch, sustainable, technical & design development for a uniquely flexible and adaptable, electric-powered, 8-seater aircraft for Regional Air Mobility1 markets encompassing air-taxi, light cargo, medivac, tourist/ leisure, utility, and surveillance sectors. It follows conventional, strictly regulated aircraft development guidelines under EASA CS-23 / FAA part 23 (level III) certification and is well advanced to-wards prototyping.

We are at a critical point in the evolution of sustainable, ‘green’ aviation for short-distance flights for smaller aircraft. The inherent benefits of the Cormorant’s design coalesce with improvements in electrical storage and propulsive technologies to yield a viable short-range aircraft for point-to-point scheduled, air-taxi, medevac, and/or light cargo operations. Combined with its amphibious capabilities, a go-anywhere, green, transport solution is apparent in the Cormorant concept.

The Cormorant provides for a revival in the seaplane general aviation sector and beyond with its multi-functional, comfortable, efficient design. Safety and practicality have been at the forefront of the Cormorant concept. Its low centre of gravity, innovative lift-generating, variable pitch, ducted-fan, and composite material construction address issues around safety, operating efficiency and maintenance costs that have negatively characterised the amphibious general aviation sector for decades.

1 Electric Regional Air Mobility (ERAM) is defined as commercial passenger flights with 9 to 50-seater aircraft",Aviation & Aerospace,2-10 employees,Privately Held,"Hilversum, North Holland, Netherlands",Netherlands,cormorant.aero,https://www.linkedin.com/company/cormorant-seaplanes
Aircraft & Component MRO,"EASA Part 145 and FAA Certified Line Maintenance & Wheels and Brakes Company
E-Mail: support@aircraft-component.com
Tel: +31(0)40 235 0015",Aviation & Aerospace,11-50 employees,Privately Held,"Eindhoven, North Brabant, Netherlands",Netherlands,aircraft-component.com,https://www.linkedin.com/company/aircraft-component-mro
Luman Aerospace,.,Aviation & Aerospace,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,lumanaerospace.com,https://www.linkedin.com/company/lumanaerospace
Skytools,"SKYTOOLS
Drones, drone techniek, randapparatuur, de opleiding tot dronepiloot, het certificerings-traject tot ROC-houder en de regelgeving rond het gebruik van drones ontwikkelen zich pijlsnel. Maar Skytools is net iets sneller dan pijlsnel. Huur uw drone en randapparatuur daarom bij Skytools. Die voldoet altijd aan de nieuwste eisen en levert u bovendien exact de juiste drone voor uw opdracht. Kortom, de nieuwste techniek tot uw beschikking zonder grote investeringen te hoeven doen. 

Voor wie is Skytools
Voor de professionele dronegebruiker, de ROC-houder of ROC-light piloot, onderhouden, leasen en verhuren wij bij Skytools de nieuwste apparatuur. U krijgt bij ons direct professioneel advies over de meest geschikte drones en randapparatuur voor uw project. Bovendien zijn we 24 uur per dag beschikbaar voor technische ondersteuning. Skytools is de vaste dronepartner voor grote bedrijven en overheden. Wie leased bij Skytools is altijd verzekerd van uitstekende kwaliteit en 100% facilitering, service, advisering en ondersteuning. Uw aanvraag voor leasemogelijkheden wordt binnen 24 uur beantwoord met een persoonlijk advies en een voorstel op maat.",Aviation & Aerospace,2-10 employees,Public Company,"Valkenburg, South Holland, Netherlands",Netherlands,skytools.com,https://www.linkedin.com/company/skytools
Shore Systems,"Shore Systems is developing a drone with extended hover endurance and cruise range, enabling drone operators to inspect industrial assets remotely. Offshore wind turbines can be reached and inspected from shore, removing the need for personnel to go offshore. 

While competitors lack either the required hover endurance or the cruise range, an integrated hydrogen fuel cell system enables the Shore drone to hover for 110 minutes or cruise for 500 km at zero emissions and a competitive price. The development is done in close collaboration with experienced drone operators and tailored to their specific needs.",Aviation & Aerospace,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,shoresystems.nl,https://www.linkedin.com/company/shore-bv
Team Daedalus,"Team Daedalus is developing a solar-powered unmanned aircraft to be used in the detection and monitoring of wildfires. Using solar-power, the aircraft has no need to land and refuel, and can therefore remain in the air for much longer time periods.
The team is currently working on deploying a 3m wingspan prototype that will validate the key technologies, while simultaenously designing a 4m wingspan prototype that will aim for at least 12h of continuous flight.",Aviation & Aerospace,11-50 employees,Non Profit,"Eindhoven, North Brabant, Netherlands",Netherlands,teamdaedalus.eu,https://www.linkedin.com/company/team-daedalus-tue
SCN AVATAR,"The Avatar is the Dutch augmented and virtual reality development center that focuses on improving space engineering processes and data visualization using immersive technologies. The Avatar is an open innovation workplace that allows its participants to jointly develop tools, services and products by providing the infrastructure, the workspace, the network and the access to market. 

The Avatar is conveniently located on the Space Campus in Noordwijk, directly next to Estec, ESA's largest site and offers space for developing, meeting, training and demoing for the space community.",Aviation & Aerospace,2-10 employees,Non Profit,"Noordwijk-Binnen, South Holland, Netherlands",Netherlands,scn-avatar.com,https://www.linkedin.com/company/scn-avatar
UAV Intelligence,"UAV INTELLIGENCE is always at the forefront of the latest technologies in UAV and Aerial solutions for law enforcement , inspections, surveillance, photogrammetry, SAR mission solutions , counter terrorism and aviation in general .

with over 75 years of combined knowledge our engineers and consultants can always point you in the right direction for finding and implementing the latest in UAV and drone technology

New but not new to the business , with our team of a former Dutch Navy helicopter pilot, a former Dutch Royal Commando, a Airline pilot, a Industrial designer, Logistics and UAV technology experts we are the goto team for all your Needs if you want to have a ""Eye in the sky""

Coming from all sorts of different sectors, Industry, Military, Aviation, Industrial design, Prototyping, Regulations and Aeromodelling our combined experience can be your benefit in realizing your next project.",Aviation & Aerospace,2-10 employees,Privately Held,"Bussum, North Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/uav-intelligence
spaceEU,"spaceEU is a space outreach and education project that fosters a young, creative and inclusive European space community

spaceEU implements an exciting space outreach and education programme to spark the interest of young people in STEAM (Science, Technology, Engineering, Arts and Maths), and to encourage them to consider space-related careers. The project inspires and broadens young minds, develops a sense of European and global citizenship, and through our shared human relationship with space, fosters long-term partnerships between people from different countries and cultural backgrounds. spaceEU will also lay the groundwork for the possible future establishment of a Knowledge Innovation Community (KIC) in the field of space.

spaceEU received fundings from the European Commission's Horizon 2020 Program under grant agreement no 821832. The contents of this page are the sole responsibility of spaceEU consortium and do not necessarily reflect the opinion of the European Union.",Aviation & Aerospace,2-10 employees,Educational,"Leiden, South Holland, Netherlands",Netherlands,space-eu.org,https://www.linkedin.com/company/spaceeu
SKYOPS.COM,"Public safety and defense aviation teams often lose valuable time to paperwork, fragmented systems, and compliance hurdles — reducing focus on the mission. 

SKYOPS, ISO/IEC 27001 certified, is a versatile and reliable cloud-based platform that enables safe, compliant, and well-documented flight operations across drones, helicopters, and hybrid fleets. From planning and execution to training, record-keeping, and fleet management, SKYOPS supports a structured and professional workflow at every level. 

Actively used by both crews and leadership, it streamlines day-to-day operations, upholds regulatory standards, and boosts efficiency by up to 40% — giving teams more time for more missions without expanding the crew.",Aviation & Aerospace,2-10 employees,Privately Held,"Alphen aan den Rijn, South Holland, Netherlands",Netherlands,skyops.com,https://www.linkedin.com/company/skyops
Drones for Work,"Drones for Work wants to take drone technology to the next level. We develop maintenance drones for use in dangerous environments. By designing and building our own drones, we can provide customized solutions.",Aviation & Aerospace,Self-employed,Partnership,"Delft, South Holland, Netherlands",Netherlands,dronesforwork.nl,https://www.linkedin.com/company/drones-for-work
