Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
CarbonSpaceTech,"Carbon footprint monitoring is especially challenging when accounting for emissions from farms, fields, or forests. Companies in agriculture, food processing, forestry, and wood products lack instruments to measure the footprint of their operations and supply chains.
 
CarbonSpaceTech is developing a carbon footprint monitoring platform to bring a new level of transparency to these organizations.
 
Our proprietary AI technology core is processing several layers of satellite, sensor, and inventory data, which yields high spatial resolution and near real-time analytics. It was elegantly designed to create an ultimate self-onboarding tool for monitoring emissions from different types of lands.
 
The CarbonSpace platform provides actionable insights about farm, field, and forest emissions to facilitate climate-responsible decisions and to unleash the carbon offset potential of our customers.
 
Contact us to learn more about our products and how to integrate the CarbonSpace platform with your business.
 
carbonspace.tech
info@carbonspace.tech",Climate Data and Analytics,11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,carbonspace.tech,https://www.linkedin.com/company/carbonspacetech
ODOS Tech,"ODOS Tech is an end-to-end sustainability platform that turns climate data into action for livestock companies. Founded by two PhD researchers from Dublin, we enable companies to reduce emissions, improve productivity, measure biodiversity, and plan a credible path to net-zero. Backed by science, built for farmers.",Climate Data and Analytics,11-50 employees,Privately Held,"Dublin 4, County Dublin, Ireland",Ireland,odostech.com,https://www.linkedin.com/company/odos-tech
Climate Matters Ltd,"Climate Matters Ltd was founded in 2019 on the back of witnessing the transition in the energy sector over the previous decade. Climate Matters Ltd brings years of experience in the energy and water utility sectors and brings a wealth of understanding from how energy is generated, traded and consumed. This experience has been married with software and technology to answer the questions:  
# what impact is your company or assets having on the environment
# what impact could climate change have on your business model

To get there we have the following products:
# establishment of GHG emissions inventories to ISO 14064-1 
# verification of GHG emissions statements to ISO 14064-3
# climate risk and vulnerability assessments as required under EU Taxonomy of sustainable finance and related directives, CSRD and SFDR
# climate adaptation planning to ISO 14090   

We work with asset owners, investors and businesses of all size, who want to keep ahead of climate risks and bring transparency to investor reporting. We’ve worked with clients translating the requirements of CSRD, TCFD, SFDR and the associated Technical Screening Criteria for their businesses or investments.


Sustainability of Environment | EU Taxonomy on Sustainable Finance | Transition Risk | Physical Risk | ISO 14064 | ISO 14090 | Decarbonisation | Greenhouse Gas Protocol | Science Based Targets Initiative.",Climate Data and Analytics,11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,climatematters.earth,https://www.linkedin.com/company/climate-matters-ltd
SilvaCert,"SilvaCert is a specialist technical advisory firm supporting AFOLU carbon projects and forest-based certification systems.

We provide independent pre-validation, pre-audit, and technical compliance services across leading carbon, forestry, and supply chain standards. Our work strengthens project integrity before formal validation, verification, or certification by accredited bodies.

Our methodology combines scientific precision with practical audit insight. We integrate machine learning, remote sensing, and drone-based applications to analyse large-scale ecological datasets efficiently and accurately. This technical capability enables our senior advisory team to focus extensively on environmental and social safeguards — ensuring that projects are not only carbon-robust, but ethically and ecologically sound.

We support REDD+, peatland restoration, ARR, and jurisdictional AFOLU initiatives, as well as forestry and supply chain certification frameworks. From early-stage due diligence to validation readiness, we provide structured, audit-oriented technical review designed to reduce risk and enhance market confidence.

Our mandate is clear:
Strengthen compliance. Protect credibility. Safeguard long-term asset value.",Climate Data and Analytics,2-10 employees,Privately Held,"Cork, County Cork, Ireland",Ireland,silvacert.com,https://www.linkedin.com/company/silvacert
The Enniscorthy International Forum,"The Enniscorthy Forum coordinates interactive global networks though our Buildings Action Coalition working to advance research, industry case studies and the UN Sustainable Building Strategy on advanced buildings in the built environment.
It includes work on the built environment that will expand to include sustainable energy more broadly, related diplomacy, and community-level engagement and education.",Climate Data and Analytics,2-10 employees,Non Profit,"Enniscorthy, County Wexford, Ireland",Ireland,enniscorthyforum.org,https://www.linkedin.com/company/the-enniscorthy-international-forum
Envo,"”There is no power for change greater than a community discovering what it cares about.” - Margaret J Wheatley

At Envo, we’ve envisioned Utopia! We're optimistic that if enough people embrace sustainable living and kindness towards the environment and each other, we can bring about significant change and save our planet from impending doom! 

Envo app empowers you to adopt a sustainable lifestyle one small step at a time, by rewarding you for every eco-friendly action you take!",Climate Data and Analytics,2-10 employees,Self Employed,"Dublin 1, County Dublin, Ireland",Ireland,envo.club,https://www.linkedin.com/company/envoclub
Edgeliot,"EDGELIOT provides AI-powered monitoring and predictive insights into greenhouse gas emissions, air quality and Weather (temp, humidity, wind, pressure) - empowering cities, researchers, and policymakers to make smarter, faster, and more sustainable decisions.

The remote monitoring solution seamlessly integrates multiple use sensors (hardware) that capture real time data, an AI-engine embedded on the sensors processes the data looking for anomalies, an IoT network gateway, and cloud-based user analytics interface to deliver real-time data.

Know your emissions. Predict your risks. Shape your future. Let’s build smarter, healthier, climate-resilient cities—together.",Climate Data and Analytics,2-10 employees,Privately Held,"Dublin 18, County Dublin, Ireland",Ireland,edgeliot.com,https://www.linkedin.com/company/edgeliot
SustainHub - process ESG Data simply.,"We've been providing sustainability data solutions to businesses in UK, Ireland & Europe for many years. We developed SustainHub based on feedback from our clients who needed a business-focused solution, not for scientists or experts.  

Our platform helps you start on your ESG data journey with an optimum software solution that helps you understand your tangential role in the wider EU corporate sustainability reporting directive. 

From custom fields for your ESG data collection to specific conversion factors for CSRD reporting requirements, we have the solution for your organisation.

email: team@sustainhub.io",Climate Data and Analytics,11-50 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,sustainhub.io,https://www.linkedin.com/company/sustainhubplatform
DigiFoot.eco,"Your Digital Habits impact the Planet. The applications you use for social media and work contribute to global emissions. DigiFoot provides clear insights into your digital carbon footprint, empowering you to make informed choices.",Climate Data and Analytics,2-10 employees,Non Profit,"Dublin, County Dublin, Ireland",Ireland,digifoot.eco,https://www.linkedin.com/company/digifoot-eco
Neutraly,"Built to help businesses on their journey to Net-Zero Emissions.

Neutraly is a data-driven, precise and compliant engine helping businesses measure how much emissions they generate from Scope 1, Scope 2 and Scope 3.",Climate Data and Analytics,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,neutraly.ie,https://www.linkedin.com/company/neutraly
