Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ACENTRYX,"•  We are a dynamic team of experienced engineers specializing in robotics solutions and automation, driving innovation and efficiency across industries.

•  Our comprehensive suite of services includes specialized and flexible robot trainings, automation consultancy, and advanced automation cell designs to meet the unique needs of businesses seeking a competitive edge.

•  With a strong focus on robot programming and system integration and with our strategic guidance and expertise, we empower organizations to optimize their operations and harness the full potential of automation technology with a soft and easy transition.

•  Our innovative automation cell designs fit any industry and provide customized solutions that streamline operations and drive optimal results. From palletizing cells, machining and 3D printing solutions with robots to vision systems and AGVs for intelligent warehouse management.

•  We pride ourselves on delivering practical and result-oriented solutions that improve workflows, reduce costs, and enhance productivity, all while ensuring seamless integration with existing processes.

•  Whether you are seeking to enhance efficiency, implement robotics solutions, or maximize the value of automation in your business, our team is committed to providing cutting-edge solutions and driving your success.",Robotics Engineering,2-10 employees,Privately Held,"Athlone, County Westmeath, Ireland",Ireland,acentryx.com,https://www.linkedin.com/company/acentryx
Mullane Robotic Solutions Ltd,"Mullane Robotic Solutions is a leading provider of innovative automation solutions for the Welding CNC machine tending sector. We specialize in delivering practical, cost-effective robotic systems designed to enhance productivity, precision, and efficiency for small and medium-sized manufacturers.

Our solutions are ideal for companies looking to streamline their operations, reduce downtime, and improve overall efficiency, particularly in small-batch production environments. We offer flexible automation that can be installed on both new and existing machines, regardless of controller type, ensuring that businesses can integrate our technology seamlessly into their operations.

At Mullane Robotic Solutions, we are committed to supporting the growth of the manufacturing industry by providing advanced, reliable automation tools tailored to meet the unique needs of your business.",Robotics Engineering,2-10 employees,Privately Held,"Co.Sligo, Sligo, Ireland",Ireland,,https://www.linkedin.com/company/mullane-robotic-solutions-ltd
Servicebots,"ServiceBots.ie is the official partner of the globally renowned Pudu Robotics brand, specializing in advanced service robots tailored for the Irish market. We serve diverse sectors including catering, hospitality, healthcare, cleaning, marketing, and beyond. Our collaboration with Pudu Robotics underscores our commitment to delivering cutting-edge robotic solutions that enhance efficiency, productivity, and innovation across industries in Ireland.",Robotics Engineering,51-200 employees,,"Dublin 12, County Dublin, Ireland",Ireland,servicebots.ie,https://www.linkedin.com/company/pudu-service-robots
Tarracor,"Tarracor design, builds and sells robots that can automate your existing equipment. We are currently developing the TarraBot to assist golf course operators with a variety of day to day tasks. TarraBot will be available in January 2024 and we are currently taking pre-orders.",Robotics Engineering,2-10 employees,Privately Held,"Westport, County Mayo, Ireland",Ireland,tarracor.com,https://www.linkedin.com/company/tarracor
Huceptron Corp,"We audit your AI and Robotics. 
We procure and manage your AI and Robotics products and services needs. 
We manage your transformation programs.",Robotics Engineering,11-50 employees,Partnership,"Dublin, County Dublin, Ireland",Ireland,,https://www.linkedin.com/company/huceptron-corp
Volta Robotics,A robotics startup based in Ireland working to tackle to most difficult challenges in unsafe and hazardous environments in the industry.,Robotics Engineering,2-10 employees,Privately Held,"Cork, County Cork, Ireland",Ireland,voltarobotics.ie,https://www.linkedin.com/company/voltarobotics
MacFaye Automation,"Automation Consultancy, Smart Buildings, IT/OT Networks, Robotic Cleaning Equipment and Backup Generators",Robotics Engineering,Self-employed,Self Employed,"Cork, County Cork, Ireland",Ireland,macfayeautomation.ie,https://www.linkedin.com/company/macfaye-automation
Flashdrop,"Flashdrop is pioneering autonomous drone delivery in Lagos, Nigeria, with plans to expand across Africa. Our mission is to provide rapid, efficient, and eco-friendly deliveries in urban areas.",Robotics Engineering,2-10 employees,Privately Held,"Dublin, County Dublin, Ireland",Ireland,flashdrop.io,https://www.linkedin.com/company/flahsdrop
Fairway Dynamics,"Fairway Dynamics solves labour shortages and the growing costs of maintaining golf courses and country clubs through autonomous intelligent automation solutions that work to multiply the capabilities of existing teams improving course quality, allowing for earlier tee off times and providing new revenue streams all with effective ROI times.",Robotics Engineering,2-10 employees,Privately Held,"Dublin 11, County Dublin, Ireland",Ireland,fairway-dynamics.com,https://www.linkedin.com/company/fairway-dynamics
Nexa Metrology,"At Nexa Tech, we're not just engineers, we're pioneers of possibility. We believe in a future where engineering solutions aren't merely about fixing problems, but about optimizing the human experience. Through our specialized services in Simulation Engineering, CFD, Fluid Dynamics, and CAE, we strive to deliver precision, efficiency, and sustainability in every project we undertake. We are committed to pushing the boundaries of what's possible, offering clients around the world remote and customized solutions that are not just effective but revolutionary.",Robotics Engineering,11-50 employees,Privately Held,"Waterford, County Waterford, Ireland",Ireland,nexatech.ie,https://www.linkedin.com/company/nexatech-ltd
