Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Biosearch Technologies Oligo Synthesis,"BiosearchTechnologiesOligo Synthesisprovides tailored oligonucleotide synthesis and advanced nucleic acid chemistry solutions that enable customers to design, develop, and scalehigh-performancenucleic acid products from early research throughcommercialisation.

Our three global oligonucleotide manufacturing sites ensure nanomole to gram scale quantities with consistent quality and streamlined scalability for early-stage developmentthrough tocommercialisation.

By overseeing raw material production, including our best-in-class Black Hole QuencherTM (BHQTM) and proprietary fluorophores that span the full visible spectrum, we guarantee supply chain security with unmatched product support.

Serving customers across thenucleic acid testing (NAT)andmolecular diagnostics (MDx)markets,BiosearchTechnologies Oligo Synthesis empowers scientists and diagnostics developers to bringaccurate, robust, and scalable nucleic acid–based solutions to market with confidence.",Biotechnology,"1,001-5,000 employees",Privately Held,"Singapore, Singapore",Singapore,lgcgroup.com,https://www.linkedin.com/company/biosearch-technologies-oligo-synthesis
ESCO ASTER PTE LTD,"Esco Aster is a vertically integrated bioinnovation venture accelerator delivering end-to-end “idea-to-exit” contract solutions—from consultancy and research to CMC development, manufacturing, testing, clinical development, strategic fundraising and enterprise support.

We provide phase-appropriate capabilities that scale with our collaborators, sponsors, and partners—from early development through pilot and full commercial production.

Founded by scientists, we empower fellow innovators to translate benchwork and intellectual property into real-world impact.

Through our platforms, we serve the broader bio-based deep tech bioeconomy—spanning life-saving diagnostics, therapeutics, vaccines, cosmeceuticals, medical aesthetics, nutraceuticals, and cellular agriculture—delivering high-yield, cost-effective solutions aligned with self-sufficiency and health technology assessment frameworks.

Our patented, best-in-class manufacturing platforms simplify complexity, enabling reliable, linearly scalable outcomes. Our technologies have been successfully deployed in multiple commercial human and animal vaccines, dermocosmetics, as well as in cell-based nutrition and clinical-grade stem cells and exosomes.

We continuously invest in advancing manufacturing science to address unmet clinical needs, unlocking bottlenecks across existing and emerging modalities from concept to cure.

Together with our venture ecosystem, we champion an interconnected One World. One Health approach—bringing innovation to life for people, planet and profit.

Join us in redefining nutrition and medicine for current and future generations.

Esco Aster.
One World Biosolutions for One Health.",Biotechnology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,escoaster.com,https://www.linkedin.com/company/esco-aster
cmbio,"At Cmbio, we are innovators at the forefront of microbiome science and multi-omics research. 

Our team of over 100 experts spans microbiology, bioinformatics, metabolomics, molecular biology, and data science, bringing unparalleled expertise to advance the understanding and impact of the microbiome in global health. 

With labs in the US and EU and a local presence across the US, EU, and APAC regions, we are dedicated to creating breakthrough tools and analytical techniques that set new standards for the field. 

Together, we drive innovation to transform health and sustainability worldwide.
___________

Our Services

> Metagenomics
Microbial strain characterization, shotgun and long-read metagenomics, marker gene analysis, microbiome profiling, absolute abundance quantification, and direct-to-consumer testing.

> Metabolomics
Untargeted and targeted metabolomics panels for detailed metabolic insights.

> Other Omics Services
Metatranscriptomics, transcriptomics, proteomics, and sampling kit development with project handling.

> Advanced Analytics
Biostatistics, machine learning and AI, integrative systems biology, multi-omics integration, strain tracking, and engraftment analysis.
______________

Expertise Areas

> Human Health
Gut, digestive, and metabolic conditions; women’s health; oral health; skin health and personal care; infant health; nutrition; neurology; mental health; immuno-oncology; microbial therapeutics (FMT and probiotics); infectious diseases; antimicrobial resistance (AMR); clinical trials; regulatory expertise; and personal testing.

> Agriculture & Animal Health
Agriculture, aquaculture, companion animals, AMR surveillance, and disease monitoring.

> Environmental Applications
Wastewater analysis, soil health monitoring, and bioremediation.

> Industrial Applications
Production safety, contaminant tracking, and microbial strain characterization.",Biotechnology,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,cmbio.io,https://www.linkedin.com/company/cmbio
Shiok Meats,"Shiok Meats is a cultivated meat and seafood company – the first of its kind in Singapore and South-East Asia.
“Shiok” in Singapore and Malay slang means fantastic, delicious, and simply, pleasure.
Shiok Meats also owns SEA’s first cultivated red meat company, Gaia Foods.

Our mission is to bring delicious, sustainable, and healthy seafood to your table, using our technology to grow meat from healthy cells instead of animals. Currently, we produce crustaceans like shrimps, crabs, lobsters and are the first in the world to do so using cellular agriculture technology.

Our meats are real meat, delicious and nutritious. Our meats are animal-, health- and environment-friendly.",Biotechnology,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,shiokmeats.com,https://www.linkedin.com/company/shiokmeats
INTERSCIENCE,"INTERSCIENCE is a French leading manufacturer for microbiology. 
Our products are used daily in laboratories in more than 130 countries to ensure safe food and products, safe medical resources and innovative research. 

PRODUCTS
Sample preparation 
- Blender bags, filter blender bags
- Gravimetric dilutors
- Lab blenders
- Lab accessories

Bacterial enumeration 
- Automatic Spiral platers
- Scan automatic colony counters 
- ScanStation, real-time incubator and colony counter

----------------------------------------------------------------------------------------------------------------------------------------------


INTERSCIENCE fabrique depuis 1979 une ligne de produits pour assurer des analyses microbiologiques sûres et rapides, depuis la préparation de l’échantillon jusqu’à son énumération bactérienne pour les industries agro-alimentaires, médicales, cosmétiques et pharmaceutiques. 

PRODUITS
Préparation de l’échantillon 
- Sachets pour malaxeurs
- Dilueurs gravimétriques
- Malaxeurs de laboratoires 
- Accessoires de laboratoire

Analyse bactérienne 
- Ensemenceurs automatiques easySpiral
- Compteurs automatiques de colonies Scan
- Station d'incubation et de comptage en temps réel ScanStation",Biotechnology,51-200 employees,Self Owned,"Singapore, Singapore",Singapore,interscience.com,https://www.linkedin.com/company/interscience
Avant,"Avant is the first cultivated fish company in Asia, with operations in Singapore and Hong Kong.  

Thanks to Avant's technology, we will be able to have fish meat without killing fish.  Our cultivated fish products are more nutritious than conventionally produced fish, GMO-free, and pollutant-free. 

The pilot product focus of Avant's technology platform is fish and seafood tailored for the food culture of consumers in China and Asia.",Biotechnology,11-50 employees,Privately Held,Singapore,Singapore,avantmeats.com,https://www.linkedin.com/company/avant-meats
Teora,"Teora is reimagining how the world grows, protects, and consumes food.

In a time when our food is laced with antibiotics, animals injected with stress, and farms collapsing under the weight of outdated systems—Teora offers a radical new way forward.

We’re a next-gen biotech company building SOLAQTM, a precision biologics platform that replaces chemicals, injections, and wasteful practices with clean, smart, and scalable solutions—delivered seamlessly through feed or spray.

Our biologics prevent and treat diseases, accelerate clean growth, and reduce feed waste—starting in aquaculture and scaling into agriculture, livestock, poultry, and companion health.

 Backed by science. Proven in the field. Built for real-world farms, real challenges, and a planet that can’t afford shortcuts.
 Because feeding the next 10 billion should nourish people, protect ecosystems, and empower farmers—not compromise them.

Teora. Clean disease management and growth-enhancing biotech for healthier farms, people and planet.",Biotechnology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,teora.life,https://www.linkedin.com/company/teoralife
Volition,"We are dedicated to revolutionizing the diagnosis and monitoring of life-altering diseases by advancing the science of epigenetics.

Our mission is to save lives and improve outcomes for millions of people and animals worldwide.

Imagine a world where diseases like cancer and sepsis can be diagnosed early and monitored easily using routine blood tests. That’s the world we’re trying to build by developing our innovative family of simple, easy to use, cost-effective tests.

Our patented technologies use chromosomal structures such as nucleosomes and transcription factors as biomarkers in cancer and other diseases. All the tests in our portfolio detect various characteristic changes that occur from the earliest stages of disease, enabling early detection and potentially a better way to monitor disease progression and a patient’s response to treatment.

Our ground breaking nucleosome quantification technology is currently being used for cancer applications in veterinary medicine and we are continuing to expand our technology in human medicine through early clinical trials in cancer, sepsis and beyond. 

Regarding our Nu.Q technology, we have four pillars of focus: Nu.Q Vet,   Nu.Q NETs, Nu.Q Discover and Nu.Q Cancer.

We have also developed Capture-PCRTM, a novel method for liquid biopsy enabling rapid, cost-effective cancer detection in a routine blood test.

We are headquartered in Henderson, Nevada with locations in Belgium, California, Singapore and the UK. We are listed on the New York Stock Exchange (NYSE AMERICAN) as VolitionRX Limited (VNRX).",Biotechnology,51-200 employees,Public Company,"Singapore, Singapore",Singapore,volition.com,https://www.linkedin.com/company/volitionrx
Protenga,"At Protenga, we are Making Insects Work For You. We develop data-driven Insect Technology that enables a circular, regenerative, economy all along the food supply chain and produces best-in-class, sustainable Insect Products for pet food, animal feed and plants.",Biotechnology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,protenga.com,https://www.linkedin.com/company/protenga
Ad Hoc Scientific Private Limited,"AdHoc Scientific Private Limited is a fast expanding company, manufacturing high-performance lHPLC, GC, Flashcolumns with many other chromatography products in the pipeline. Ad Hoc is a result of passion for technology and desire for entrepreneurship. We aspire to serve our customers by providing high-class products and services, that will enable them to subsequently refine their products and processes. We endeavour to build powerful products having a great impact on businesses.",Biotechnology,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,adhocscientific.com,https://www.linkedin.com/company/ad-hoc-scientific-private-limited
