Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
ICON plc,"Since our foundation in Dublin, Ireland in 1990, our mission has been to help our clients to accelerate the development of drugs and devices that save lives and improve quality of life. We do this by delivering best in class information, solutions and performance, with an unyielding focus on quality at all times.

We offer a full range of consulting, development and commercialisation services from a global network of offices in 53 countries. We focus our innovation on the factors that are critical to our clients – reducing time to market, reducing cost, and increasing quality – and our global team of experts has extensive experience in a broad range of therapeutic areas.",Biotechnology Research,"10,001+ employees",Public Company,"Stockholm, Stockholm County, Sweden",Sweden,iconplc.com,https://www.linkedin.com/company/icon-plc-2
QUINETHICS,"Quinethics is built upon a two-pillar foundation. Spearheading Research & Development of novel medicinal compounds on one side, and manufacturing new biosynthetic and biointegrated generic drugs on the other. By generating early revenue through innovative biosynthesis of generic pharmaceutical products, Quinethics gravitates towards an organic expansion on a vector of diverse and multidisciplinary competences. 
 
The first project tackles Parkinson’s disease by focusing development on the biosynthetic process for producing the drug Levodopa. At the time of this writing, 250 ton Levodopa is consumed annually by the 8.5 million people who suffer from Parkinson’s disease worldwide. By the year 2040, these numbers are expected to double. Quinethics is pursuing a share of the Levodopa market by entering with a cutting-edge substitute that is both sustainable and cost-effective. 
 
But that is just the beginning. Through further development of biosynthetic processes, and by generating a subsequent library of derivatives, Quinethics will develop drugs intended to treat disorders where treatment is scarce. We consider the potential for drug assisted psychotherapy to be especially high, and resolve to focus our drug development projects on Breakthrough Therapies.",Biotechnology Research,Self-employed,Privately Held,"Gothenburg, 14, Sweden",Sweden,quinethics.com,https://www.linkedin.com/company/quinethics
Picovitro,,Biotechnology Research,,,"Stockholm, 01, Sweden",Sweden,,https://www.linkedin.com/company/picovitro
NAHC Nature Assisted Health Care Holding AB,,Biotechnology Research,2-10 employees,,"Uppsala, 03, Sweden",Sweden,nahc.se,https://www.linkedin.com/company/nahc-nature-assisted-health-care-holding-ab
Perbio Science AB,"Perbio Science AB is a biotechnology company based out of Vastra Langebergsgatan 30, Vastra Frolunda, Vstra Gtaland County, Sweden.",Biotechnology Research,11-50 employees,,"Gothenburg, 14, Sweden",Sweden,,https://www.linkedin.com/company/perbio-science-ab
GuMa Consulting,"GuMa Consulting är en enskild firma som bedriver konsultverksamhet inom bioteknik. 
En extra resurs i projekt och linje när det behövs. Kan gå in och driva eller stödja projekt och aktiviteter som verifiering, validering, optimering, proof of concept, utredningar, troubleshooting, kundklagomål, CAPA, avvikelser, ändringsärenden, riskhantering, internrevision, QA, QC, kemikaliehantering och arbetsmiljöarbete m.m.
Har 17 års erfarenhet av utvecklingsprojekt och assayutveckling inom bioteknikindustrin - av immunologiska och molekylärbiologiska assayer, system och produkter framför allt kring IVD.
 - GuMa Consulting drivs av Gunnar Magnusson
 - Kontakta mig gärna på gunnar@consulting.se om du vill veta mer
 - Mer information finns på hemsidan www.gumaconsulting.se",Biotechnology Research,Self-employed,Self Employed,"Upplands-Väsby, 01, Sweden",Sweden,gumaconsulting.se,https://www.linkedin.com/company/gumaconsulting
Swedish Peptides,"Your trusted partner for peptide research in Sweden
Swedish Peptides was founded in 2025 in Örebro with the vision of becoming Sweden’s leading supplier of high-quality peptides for laboratory research. We offer purity-tested peptides with a focus on reproducibility and scientific quality.

Security and quality in focus
All of our peptides are produced in accordance with strict standards and are tested by independent laboratories. We comply with Swedish and European regulations governing research chemicals and are fully transparent regarding batch documentation and certificates of analysis.

Discover Our Growing Range And Order Today


That's why researchers choose us
Swedish Peptides is more than just a supplier—we are a trusted partner for serious peptide researchers. We offer high purity, batch-specific documentation, fast delivery within Sweden, and scientific support.",Biotechnology Research,2-10 employees,Privately Held,"Gothenburg, 14, Sweden",Sweden,swedishpeptides.shop,https://www.linkedin.com/company/swedish-peptides
Connect Technologies,,Biotechnology Research,Self-employed,Privately Held,"Stockholm, 01, Sweden",Sweden,yogut.me,https://www.linkedin.com/company/yogutsweden
OncoReg AB,,Biotechnology Research,2-10 employees,,"Solna, Stockholm County, Sweden",Sweden,,https://www.linkedin.com/company/oncoreg-ab
Preelumina Diagnostics AB,"Preelumina Diagnostics AB is a biotechnology company based out of 32 Klinikgatan, Lund, Skane County, Sweden.",Biotechnology Research,2-10 employees,,"Lund, Skåne County, Sweden",Sweden,,https://www.linkedin.com/company/preelumina-diagnostics-ab
