Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
OffshoreChannel,Offshore Channel,Renewable Energy Semiconductor Manufacturing,"1,001-5,000 employees",Public Company,Sweden,Sweden,offshore-channel.com,https://www.linkedin.com/company/offshorechannel
CorPower Ocean,"CorPower Ocean designs, manufactures and operates wave energy farms for our customers. The wave farm solution have a unique design inspired by the pumping principles of the human heart, allowing it to survive the toughest storms. Advanced control technology makes the wave energy converters oscillate in optimal timing with incoming waves, strongly amplifying power absorption. This enables high power output compared to the size, weight and cost of the equipment  The combination of low costs, high capacity factor and an effective maintenance scheme makes wave power a key tool to accelerate the transition to 100% renewables around the world",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Hägersten, 01, Sweden",Sweden,corpowerocean.com,https://www.linkedin.com/company/corpower-ocean
Epishine,"Epishine is a Swedish energy impact company, reimagining the capture of light with market leading printed organic solar cells. Our technology captures indoor light to make electronics self-powered, making cables, disposable batteries and unnecessary maintenance a thing of the past.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Linköping, 05, Sweden",Sweden,epishine.com,https://www.linkedin.com/company/epishine
Absolicon Solar Collector AB,"At Absolicon, we are committed to the transition to renewable heat and
envision a sustainable industry.
Absolicon is a listed Swedish solar energy company specialized in concentrated solar heating. We help industries change from fossil fuels using solar thermal resources. Absolicon industrial heating solutions reduce the existing fuel cost, prevent CO2 emissions, and ensure energy security for industries.
Our collector, the T160 has the highest optical efficiency ever measured for a commercially available small parabolic trough. The industrial thermal solar collector can help reduce the production costs and produce heat and steam up to temperatures of 160oC.
Together with the solar collector, Absolicon has developed a complete production line for our T160, with the capacity to produce one solar collector every 6 minutes.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Härnösand, 22, Sweden",Sweden,absolicon.com,https://www.linkedin.com/company/absolicon-solar-collector-ab
SunRoof,"SunRoof is revolutionizing home electrification and decentralized renewable energy generation with the most powerful and resource-efficient 2-in-1 solar roofs on the market. 
Our solutions seamlessly combine exceptional functionality with an aesthetic design that both pleases and impresses customers. 
Serving private homes, developers, commercial buildings, and public structures, SunRoof is at the forefront of delivering sustainable energy solutions. 
We are proud to lead the way toward a greener, more energy-efficient future.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,"Kungälv, 14, Sweden",Sweden,sunroof.se,https://www.linkedin.com/company/sunroof-ab
Midsummer,"Midsummer is a leading European manufacturer of in thin film solar panels. Our innovative products provide a range of rooftop solutions that are not only lightweight and flexible but also aesthetically pleasing. With a commitment to sustainability, our panels boast a 90% reduction in environmental impact compared to traditional silicon solar panels. 

Our partners are mainly leading European construction, roofing and solar cell installation companies but we also sell and install solar roofs directly to end customers. Midsummer also develops and sells equipment for the production of flexible thin film solar cells to strategically selected partners and machinery for research. 

The solar cells are of CIGS technology (consist of copper, indium, gallium and selenide) and are thin, light, flexible, discreet and with a minimal carbon footprint compared with other solar panels.

The solar cells are produced using the company’s own unique DUO system which has taken the position as the most widespread manufacturing tool for flexible CIGS solar cells in the world. 

The company’s shares (MIDS) are traded on Nasdaq First North Growth Market.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"01, Sweden",Sweden,midsummer.se,https://www.linkedin.com/company/midsummer
Monsson,"Bringing a wind farm to life is a laborious and time-consuming process, involving a great amount of resources. Established in 1997, Monsson Group has focused on renewable energy since 2004 and became a major wind farm developer country wide with more than 2400 MW projects in its portfolio.

Driven by the hard work of more than 500 specialized employees, Monsson Group performs a wide range of services for wind farms comprising development, construction, operation, maintenance, service and electricity trading.

Energy demand is on a constant rise due to increasing population and further industrialization, at the same time fossil fuel reserves are diminishing. The pressing global demand of finding solutions for the climate change is today’s problem that will influence tomorrow. Through the forces of Nature we are enabled to have a security of supply and a sustainable electricity generation, thus we see Nature as the only solution for today’s energy problem.

Starting 2014, Monsson Group began the expansion world wide, and has now offices in Stockholm, Bucharest, Warsaw, Istambul, Qatar, Cape Town and New Zealand.",Renewable Energy Semiconductor Manufacturing,"501-1,000 employees",Privately Held,"Stockholm, 01, Sweden",Sweden,monsson.eu,https://www.linkedin.com/company/monsson-srl
Senergia AB,"Senergia is a partner for installers in solar energy, electric car charging and energy storage. We offer products for safe and fast delivery from leading manufacturers. Senergia also drives market-leading skills development through training and certifications for the industry. From ordering and technical support to safe and fast delivery, Senergia is a reliable partner.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,senergia.se,https://www.linkedin.com/company/senergia-ab
Cleantech Scandinavia,"Cleantech Scandinavia is the leading Nordic cleantech investor network. The company runs an internationally established network of investors, industrials and public actors, all with an interest in Nordic Cleantech. We are a trusted source of cleantech-related investment opportunities, business intelligence, investment statistics and we are a renowned provider and promoter of Nordic Cleantech. Today we have some 70 members including venture funds, industrial ventures from leading multinational companies, corporates, real estate companies, cities and government organisations. We have members from Scandinavia, Continental Europe, China, North America and other locations.

www.cleantechscandinavia.com
www.nordiccleantechopen.com
www.nordiccleantechaccelerator.com

Follow us on twitter 
CTScandinavia",Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Lund, 12, Sweden",Sweden,cleantechscandinavia.com,https://www.linkedin.com/company/cleantech-scandinavia
novotegra,"We are novotegra: Manufacturer of our mounting system specially developed for photovoltaic installations

Our systems are compatible with all common roof types and are characterised by high flexibility, reliability and top quality. Installers who build photovoltaic systems are supported with personal advice and a comprehensive range of further training. 

novotegra has been operating independently as a company since 2021. All products are sold in Europe exclusively through BayWa r.e.’s wholesale business.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Public Company,"Kista, Stockholm County, Sweden",Sweden,novotegra.com,https://www.linkedin.com/company/novotegraeurope
