Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Socialmonitor,"Digitalt nyhedsmedie og mødested til alle, der arbejder for at udvikle socialområdet.",Media & Telecommunications,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,socialmonitor.dk,https://www.linkedin.com/company/socialmonitormedier
Danish Startup Group (DSG),"Danish Startup Group (DSG) is an non-profit organisation established in Copenhagen. Our mission is to engage our community in variety of events, workshops, and social activities within the Danish startup and entrepreneurial scene.",Media & Telecommunications,11-50 employees,Non Profit,"Copenhagen, Capital Region, Denmark",Denmark,danishstartupgroup.com,https://www.linkedin.com/company/danish-startup-group
Uddannelsesmonitor,"Uddannelsesmonitor er et nichemedie om ungdoms- og videregående uddannelser og er målrettet alle beslutningstagere og interessenter på området.

Vi udkommer alle hverdage med morgennyhedsbreve med nyheder, overblik og debat.",Media & Telecommunications,2-10 employees,Public Company,"Copenhagen, Capital Region, Denmark",Denmark,uddannelsesmonitor.dk,https://www.linkedin.com/company/uddannelsesmonitor
Gravercentret – The Danish Centre for Investigative Journalism,"The purpose of Gravercentrets is to develop and support investigative journalism throughout Denmark focussing specifically on helping local and regional media, smaller media and groups of citizens. 

The centre is open to anyone working with investigative journalism. The focus being not the media but journalism and the story. 

The centre was founded in 2023 by Roger Buch, Nils Mulvad, Steen K. Rasmussen and Bruno Ingemann in cooperation with The Danish School of Media and Journalism.",Media & Telecommunications,2-10 employees,Public Company,"Å, Middle Jutland, Denmark",Denmark,gravercentret.dk,https://www.linkedin.com/company/gravercentret
Globe Systems A/S,"Globe Systems Group leverer løsninger til en femtedel af de 2.500 største danske virksomheder og har haft positiv kundevækst siden 2006.

Siden 1999 har vi udviklet og solgt kommunikations udstyr. Vores udgangspunkt var headsets til kontorer og callcentre, hvor vi specialiserede os inden for IT og arbejdsmiljø. Siden hen er mange kommunikationsformer og udstyr smeltet sammen.

Vores vision er at blive Danmarks foretrukne leverandør af kommunikations udstyr til danske arbejdspladser i relation til telefoniløsninger og Unified Communication. Vi vil anbefales qua vores uvildige og professionelle tilgang til vores brede produktudvalg, vores service, faglige kompetencer, tværfaglige partnerskaber og troværdighed & moral.

Globe Systems Group var Gazelle virksomhed i 2006 og 2008.gazelle logo
Globe Systems Group har i 2008 stiftet et søsterselskab, Plenom a/s, der udvikler og sælger Busylight løsninger til det meste af verden.

Globe Systems Group har selskab i Norge, Sverige og Finland,og leverer og servicere flere danske kunders nordiske filialer og datterselskaber i de respektive lande

Headsets
Vi er Danmarks anerkendte og uvildige multibrand headsetforhandler. Certificeret Jabra Goldpartner, kåret i 2009 og 2010 som GN Netcom’s bedste nordiske headset leverandør og betegnes samtidig af Plantronic’s danske distributør som en af deres mest kompetente headsetspecialister. Vi udvikler og producerer vores egne Globe produkter og kan tilbyde et komplet sortiment af Sennheiser headsets.

Vi udvælges jævnligt som leverandør til de mange store Unified Communication projekter, som gennemføres for tiden, blandt andet Danmarks største enkeltstående UC projekt på >10.000 headsets til Vestas. Vores speciale inden for Unified communication er Microsoft LYNC, hvor vi samarbejder med flere af de mest anerkendte af Microsofts leverandører.",Media & Telecommunications,11-50 employees,Partnership,"Hinnerup, Middle Jutland, Denmark",Denmark,globesystems.dk,https://www.linkedin.com/company/globe-systems-as
JP/Politiken Business Media,"JP/Politiken Business Media er en del af JP/Politikens Hus og driver en række digitale, abonnementsbaserede erhvervsmedier, herunder Watch Medier, Finans, MarketWire, Dezeen, Altinget og Mandag Morgen.

Vores medier henvender sig til professionelle i erhvervslivet og leverer specialiserede nyheder, analyser og indsigt på tværs af brancher, fagområder og markeder i Norden, Tyskland og UK.",Media & Telecommunications,51-200 employees,Public Company,"Aarhus, Middle Jutland, Denmark",Denmark,jppol.dk,https://www.linkedin.com/company/jppol-business-media
NB-Økonomi,"NB-Økonomis formål er at udbrede substantiel information om kommuneøkonomi, finanspolitik, offentlig økonomi, pengepolitik samt overordnet skatte- og erhvervspolitik.

Vi tror på, at substans har betydning i den politiske proces, og derfor fokuserer vi på indholdet frem for analyser af spin.

NB-Økonomi er uafhængig af politiske og økonomiske interesser, og nyhedssitet er en del af den familieejede virksomhed NB-Medier ApS.

I den politiske sæson udsender vi et dagligt nyhedsbrev mandag til torsdag og ekstra nyhedsbreve, når der pludselig sker store nyheder på den økonomisk-politiske front.

Mission
At give aktørerne i den offentlige forvaltning og i den politiske debat faktuel og substantiel information, som kan kvalificere den enkeltes stillingtagen til politisk-økonomiske emner og dermed bidrage til at sikre kvalificerede politiske beslutninger til gavn for vækst og velstand i Danmark.

Kontakt redaktør: 
Christian Brandt Pedersen 
Mobil: 44 12 77 98
Mail: christian@NB-medier.dk",Media & Telecommunications,11-50 employees,Public Company,"Copenhagen, Capital Region, Denmark",Denmark,nb-okonomi.dk,https://www.linkedin.com/company/nb-økonomi
ResultatKultur ApS,Professionel eksekveringspartner,Media & Telecommunications,11-50 employees,Self Employed,"Aalborg, North Jutland, Denmark",Denmark,resultatkultur.dk,https://www.linkedin.com/company/resultatkultur-aps
BridgeCross Bio,"BridgeCross Bio Media exists to tell the story of China’s biotechnology sector in a way that is fact-driven, balanced, and independent of ideology.

Our goal at BridgeCross is to provide audiences with an accurate, contextual understanding of China’s biotech and medtech landscape. We are neither pro- nor anti-China. We do not aim to hype, nor to vilify. We believe that good reporting, like good science, should follow the data.",Media & Telecommunications,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/bridgecross-bio
Fish Break,"Top news about commercial fishing in the Nordic countries: Norway, Denmark, Iceland, Greenland and the Faroe Islands.",Media & Telecommunications,Self-employed,Privately Held,"Esbjerg, South Denmark, Denmark",Denmark,fish-break.com,https://www.linkedin.com/company/fishbreak
