Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Informa,"Informa champions specialists working in academic and business-to-business markets, connecting people with knowledge to help them learn more, know more and do more. 

We’re a leading international events, digital services and academic knowledge business, headquartered in the UK and a member of the UK’s FTSE 100 group of public companies. 

We’re also home to a fantastic, inclusive community of over 14,000 colleagues across 30 countries, and a place where our colleagues have the freedom and flexibility to bring ideas to life, do work that makes a real impact and discover opportunities to grow.

Our businesses include Informa Markets, Informa TechTarget, Informa Connect, Informa Festivals and Taylor & Francis, but if you work in one of the specialist markets we serve, you might also know us through our brands. 

In Pharma, Medical and Biotech, that includes WHX Dubai, CPHI and EBD; in Tech, Enterprise Connect, AI Summit, Black Hat and GDC; in Natural Products, New Hope Network, Vitafoods and Natural Products Expo; in Beauty & Aesthetics, China Beauty Expo and Premier Beauty; in Finance, SuperReturn International, Money20/20, Finovate and IGM; in Research and Advanced Learning, Routledge and F1000; and many more brands in more markets too.",Information Services,"10,001+ employees",Public Company,"Auckland, Auckland, New Zealand",New Zealand,informa.com,https://www.linkedin.com/company/informa
dannsbay.37southnz.com,"Dannsbay @37southnz.com is used to help as many people as possible, to earn extra dollars online, whether they be Pensioners, like myself, or others who may be technically challenged.
We have made every possible turn a positive way to truly help our fellow man in eaning online.",Information Services,Self-employed,Self Employed,New Zealand,New Zealand,37southnz.com,https://www.linkedin.com/company/dannsbay.37southnz.com
B2C,"Focus on the human impact of change, developing strategies for communication, training, and stakeholder engagement to facilitate adaptation, effectively implement AI technology in practice.",Information Services,2-10 employees,Self Employed,"Auckland, Auckland, New Zealand",New Zealand,b2c.nz,https://www.linkedin.com/company/b2cnz
Three Idiots Talk Aquariums Podcast,Three Passionate fishkeepers talk about everything related to aquariums.,Information Services,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,,https://www.linkedin.com/company/three-idiots-talk-aquariums-podcast
Littlies,"Picking the right childcare for your little one can be a daunting task. Here at Littlies, we want to make this process as easy as possible, giving you all the information you need to choose the best option for your child.

When looking for a childcare option for our son, we were overwhelmed by the various choices available – childcare centres, kindergartens, home based care, nannies – and the questions just grew from there:

- How is a childcare centre different from a kindergarten?
- What sort of ratios are good anyway?
- Why call it 20 hours free childcare if you don’t actually give me 20 hours free?
- Should all the staff be qualified or is 80% okay?
- It took us a while to understand all our options and what would work best for us as a family.

We decided to put all our research into an easily-accessible place to make the process of choosing childcare easier for other parents. Check out our resources section to find out more about different childcare options, what to look for in your childcare options and what questions to ask.",Information Services,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,littlies.nz,https://www.linkedin.com/company/littlies
The Lymphie Sanctuary,"The Lymphie Sanctuary is a calm, curated home for people living with lymphoedema — built by someone who lives it too.
Most lymphies are handed a diagnosis and then left to navigate the rest alone. This space exists to change that. The Sanctuary offers gentle, peer‐led resources that focus on the other 23 hours of the day — the moments between appointments, when daily life still needs to be lived.
We don’t provide medical advice.
We provide clarity, comfort, and connection.
What you’ll find here:
• Clarity: Understand your own patterns, triggers, and what helps — on your terms
• Comfort: Gentle tools and resources for heavy days
• Connection: A community shaped by lived experience, where you don’t have to explain yourself
What’s coming:
• The Lymphie Library — plain‐language articles grounded in real life
• The Lymphie Planner — optional tools to help you notice patterns and understand your body
• The Marketplace — a curated collection of supportive items, shared for awareness and convenience
Everything here is designed to be calm, transparent, and non‐medical.
This is the home we wish existed when we were diagnosed — so we’re building it together.",Information Services,Self-employed,Self Employed,"Paekakariki, Wellington, New Zealand",New Zealand,thelymphiesanctuary.com,https://www.linkedin.com/company/the-lymphie-sanctuary
Mohios,"Custom-built systems for NZ service businesses: Run your business through Whatsapp, agentic websites & marketing engines.",Information Services,Self-employed,Self Owned,"Auckland, Auckland, New Zealand",New Zealand,mohios.com,https://www.linkedin.com/company/mohios
LoganAI - Software & Electronic solutions,"LoganAI builds custom software, AI integrations, and embedded systems for businesses that need practical technical solutions.

We focus on delivering working systems rather than experimental prototypes — from web platforms and automation tools to hardware-integrated applications.

Our work includes:
• AI integrations and intelligent automation
• Custom web and mobile applications
• SaaS platforms and internal business tools
• Embedded systems and IoT solutions (ESP32, Raspberry Pi)
• Software systems that connect hardware, cloud services, and user applications

Based in Tauranga, New Zealand, LoganAI works with companies looking to build reliable digital products without the overhead of large development agencies.",Information Services,Self-employed,Self Employed,"Tauranga, Bay of Plenty, New Zealand",New Zealand,loganai.dev,https://www.linkedin.com/company/loganai-software-electronic-solutions
hublle,"Most enterprises are running 10, 20, sometimes 50+ projects simultaneously — and nobody has a clear picture of what's actually happening across the portfolio.

Risks are buried in spreadsheets. Status reports are out of date before they're presented. PMO teams spend more time chasing updates than delivering insight.

Hublle fixes that.

We're an AI-powered project portfolio management platform built for enterprises that need real-time visibility across their programme portfolio — risks, budgets, resources and delivery health, all in one place.

Our AI agents surface the things that need attention before they become problems — so portfolio leads, PMO teams and executives can spend less time reporting and more time delivering.

Built for: Programme Directors · PMO Leads · CTOs · COOs · Consulting Delivery Teams

Currently working with enterprise customers across New Zealand.

 hublle.co | gus@hublle.co",Information Services,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,hublle.co,https://www.linkedin.com/company/hublle
Six Pine Trees Limited,Six Pine Trees Limited creates software and digital services for people to use.,Information Services,Self-employed,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,sixpinetrees.com,https://www.linkedin.com/company/sixpinetrees
