Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Telco Electrical Services,"Telco Electrical Services (TES) – Delivering Smarter Infrastructure Solutions

At TES, we deliver end-to-end telecommunications and EV charging infrastructure solutions that are built for performance, reliability, and the future. With a strong track record across commercial, industrial, government, and fleet sectors, we provide high-quality, cost-effective outcomes that help organisations adapt to an evolving energy landscape.

What We Do

EV Charging Infrastructure

Complete, end-to-end delivery of EV charging solutions—from civil works and electrical upgrades to foundations, cabling, commissioning, and ongoing maintenance.

Telecommunications Services

Specialist electrical and civil services supporting critical telecommunications and network infrastructure.

Commercial Electrical Services

Expert electrical solutions across offices, retail, factories, and warehouses, including installations, upgrades, and compliance works—delivered with minimal disruption.

Project Management & Delivery

End-to-end management of complex projects, ensuring seamless execution, safety, and full compliance with Australian standards.

Smart, Solution-Focused Execution

We leverage industry expertise and innovative technologies to deliver safer, smarter, and more efficient outcomes.

Client-First Approach

Attention to detail, safety, and quality sits at the core of everything we do.

Why TES

Our experienced team, strong management framework, and deep industry insight give us a competitive edge across both telecommunications and EV infrastructure. We bring dedicated resources, proven capability, and a results-driven approach to every project.

At TES, we’re more than a service provider—we’re your partner in building smarter, more sustainable infrastructure. Let’s power the future together.",Telecommunications Carriers,2-10 employees,Privately Held,"Caboolture, Queensland, Australia",Australia,,https://www.linkedin.com/company/telco-electrical-services
Torus Networks,"Since 2012, Torus Networks, an Australian owned and operated telecommunications carrier, has been designing , operating, and maintaining next generation optical fibre networks for those who need it. With its extensive experience spread over its grouped resources, Torus Networks specialises in high capacity low latency fibre networks for government, energy, mining, data centres and commercial enterprise.",Telecommunications Carriers,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,torusnetworks.com.au,https://www.linkedin.com/company/torus-networks
Titan Fibre Networks,"Bringing data-diversity to Australia

The new undersea digital connections to the eastern seaboard of Queensland allows diversity in digital connectivity for all Australians. With the Titan Fibre Network rollout of it’s open access, dark fibre infrastructure, alternate world class digital routes are enabled to deliver diversity, choice and competition.",Telecommunications Carriers,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,titanfibrenetworks.com.au,https://www.linkedin.com/company/titanfibrenetworks
Optus Business Centre- Melbourne West,"Optus Business Centre Melbourne West has a strong presence in the business
Telecommunications and ICT industry, servicing small businesses to large enterprises. Our core focus lies in customer interaction and experience, and we firmly believe that consulting with our clients to provide tailored solutions is the most effective way to fulfil our mission.
We take pride in offering comprehensive service packages to each of our clients, ensuring ongoing support, and efficient account management. To further enhance customer satisfaction, we have dedicated Strategic Account Managers who facilitate upgrades within the business accounts and keep our customers informed about the latest technology and innovations. Our in-depth understanding of the current market, cost structures, operational processes, and geographical targets positions us as the ideal choice for meeting any business Telecommunications and ICT requirements.
At the heart of our success lies our exceptional team. Comprising highly skilled experts with extensive knowledge of Telecommunications and ICT, we allocate them to clients based on the best fit, ensuring the highest quality of customer service and providing a professional and pleasant experience for our clients.",Telecommunications Carriers,11-50 employees,Public Company,"Melbourne, Victoria, Australia",Australia,optus.com.au,https://www.linkedin.com/company/optus-business-centre-melbournewest
Capti,"We’ve built our own super-fast broadband network for Australian businesses and households to enjoy. Say catch-ya to big telcos with laggy internet, and say g’day to Capti’s independent network with speeds up to 10x faster!",Telecommunications Carriers,11-50 employees,Privately Held,"Brisbane, Queensland, Queensland, Australia",Australia,capti.com.au,https://www.linkedin.com/company/capti-brisbane
OntheNet,"Part of the Vonex Group, OntheNet is a Gold Coast-based Internet Service Provider, servicing customers in local government, education and corporate markets.  Established in early 1995, OntheNet has developed a strong reputation for personal service and technical expertise. There are no parrot or script in our support team, only real people who actually listen and help.  OntheNet is a telecommunications carrier offering a broad range of access technologies in combination with its enterprise-grade Data Centre services. OntheNet holds an ISO 9001 Quality Assurance certification.",Telecommunications Carriers,11-50 employees,Public Company,"Gold Coast, Queensland, Australia",Australia,onthenet.com.au,https://www.linkedin.com/company/onthenet
Kalitech Aboriginal Corporation,"Kalitech is a local Aboriginal owned and operated not for profit charity organisation with years of experience with unique telecommunications. Our team is passionate and focused on designing standalone communication solutions with the latest, up to date technologies and products. Kalitech prides itself on supplying its customers with the most robust and reliable solutions to meet the needs of outback Western Australia and remote communities, focused on bridging the gap of the digital divide.",Telecommunications Carriers,2-10 employees,Non Profit,"Perth, Western Australia, Australia",Australia,kalitech.com.au,https://www.linkedin.com/company/kalitech-aboriginal-corporation
Fiberco,,Telecommunications Carriers,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,fiberco.com.au,https://www.linkedin.com/company/fiberco-australia
NetworkCO,"At NetworkCO, our experienced power and telecommunications team, combined with strategic partnerships, offers tailored solutions to navigate complex infrastructure projects. As an ACMA-licensed carrier, we collaborate with other carriers and utilities to solve connectivity challenges across metro and regional Australia, supporting the transition to Net Zero with reliable connections to Distributed Energy Resources (DER).

From strategic advisory services and feasibility assessments to hands-on project management, our experts bring decades of industry knowledge to help you achieve your goals. Connect with us to see how we can turn your vision into reality.",Telecommunications Carriers,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,networkco.net.au,https://www.linkedin.com/company/meet-networkco
Jettech Networks,We can offer fast internet access often in areas where others can’t or simply won’t. If slow internet access is a barrier to your business then we can fix that. We use carrier grade hardware to solve internet access issues so that you can get back to what you want to be doing.,Telecommunications Carriers,11-50 employees,Privately Held,"Hobart, Tasmania, Australia",Australia,jettechnetworks.com.au,https://www.linkedin.com/company/jettech-networks
