Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
JD Ross Energy,"JD Ross Energy is an international talent consultancy that solely focuses on the Renewable Energy sector, connecting the best talent across the globe with companies that are driving real change. This links to the Opus groups core value of sustainability, and is part of our efforts to ensure we’re actively contributing to positive environmentalism.

In what is a rapidly changing and evolving market, we pride ourselves on being able to deliver innovative and flexible solutions to suit our clients’ needs across markets of varying maturity, on a global basis.
 
At JD Ross Energy, we go above and beyond to make a real impact on both clients and candidates alike. It goes without saying that whilst our client base is of enormous pride to us, it is our delivery to these clients which is paramount.

We have been recognised by a number of awards and accolades, including Recruiter Magazine’s Recruitment Agency of the Year. We have been the UK’s top recruitment company to work for in The Sunday Times 100 Best Companies to Work for list and have placed on the Virgin Fast Track, Recruiter Hot 100, Recruiter Fast 50, Accelerate 250, and Recruitment International Top 250.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,jdrossenergy.com,https://www.linkedin.com/company/jdr-energy
ASESS | Australia Smart Energy Solutions,"ASESS company is the leading clean energy company in Victoria, Australia. We design and install intelligent energy solutions based on a deep understanding of our customers' requirements, a continuous pursuit of innovation and 12 years of construction experience. Performance-leading components and meticulous installation practices ensure bulletproof system performance, superior economy, and excellent aesthetics.
ASESS is a technology leader on energy storage and battery backup systems; and is one of a handful of solar installation companies in the Australia which specializes in the design, engineering, installation and integration of grid-tied solar systems with battery backup.
Battery backup systems are fuel-less, silent, maintenance-free, entirely automatic and provide continuous power without interruption (unlike a generator). 

A battery backup system will also allow your grid-tied solar system to operate during a blackout by creating an artificial grid for your solar system. Battery backup systems are more complex than traditional grid-tied solar systems but provide a critical insurance policy in cases where uninterrupted operations are critical or desired. ASESS has extensive experience in designing and implementing battery backup systems for a wide range of needs.

For those who want complete independence from the electrical grid, ASESS provides off-grid solar solutions. Solar and batteries will give a whole, independent energy system to power your residence or business. ASESS will work with you from design to execution to consider your energy requirements and plan and scale a system to meet these requirements. For systems utilizing multiple sources of energy (solar, wind, thermal, battery backup, generator), ASESS can create a fully integrated solution that ties all these platforms together while prioritizing sources and loads.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Melbourne, Victoria, Australia",Australia,asess.com.au,https://www.linkedin.com/company/asess-australia-smart-energy-solutions
Power Tracker,Power monitoring equipment and tools so that you can see and analyse your power consumption and production,Renewable Energy Semiconductor Manufacturing,2-10 employees,Public Company,"Melbourne, Victoria, Australia",Australia,powertracker.com.au,https://www.linkedin.com/company/power-tracker
Sunlogics Australia,"Founded in 2019 by a self-driven Electrician to provide Australian's with a service they deserve. With a passion of renewable energy and over 12 years of combined industry experience, we strive to provide an exceptional customer service whilst ensuring a high standard of quality and unique solutions. 

We are striving to be your One-Stop-Solution for all Solar Energy services: Sales, Supply, Install & B2B Wholesale.

Sunlogics Australia specializes in Grid-Connect solar power for Residential & Commercial properties as well as efficient storage solutions.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,sunlogics.com.au,https://www.linkedin.com/company/sunlogics-australia
Australian Biodiesel Group,National Biodiesel will lead the renewable fuels industry through the production of superior quality products at volumes that keep pace with a rapidly growing market.,Renewable Energy Semiconductor Manufacturing,2-10 employees,,"Berkeley Vale, New South Wales, Australia",Australia,,https://www.linkedin.com/company/australian-biodiesel-group
Top End Solar,"Every home and every customer is different, this is why our team of professional always makes sure that we come up with the best option for your individual needs.
We only use the highest quality products and we make sure you are 100% satisfied with the installation.
What sets us apart from other solar installers? We also like to educate our customers so they have a good understanding about how their system works and what kinds of savings they will get.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Darwin, Northern Territory, Australia",Australia,topendsolar.com,https://www.linkedin.com/company/top-end-solar
Terra Ferma Solar,Terra Ferma Solar was built to deliver clean energy to commercial business around Australia. Terra Ferma is able to deliver environmentally friendly energy solutions with a superior return on investment through their world class ISO and CER accreditations.,Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,mrsolarhero.com.au,https://www.linkedin.com/company/terra-ferma-solar
MML International Pty Ltd,"Strategic Sales, Product Marketing Consultancy, Wholesale Solar distribution.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Australia,Australia,,https://www.linkedin.com/company/mml-international-pty-ltd
Wirrimbirra Sanctuary,"The managing organisation for Wirrimbirra Sanctuary - a 95 hectare wildlife reserve, wild life sanctuary and Australian native nursery, 60 minutes SW of Sydney, Australia.  (Property given to National Trust of Australia (NSW) by the founder of the memorial Foundation Thistle Harris.  David G. Stead and Thistle Harris were 2 of the founders of the Australian Conservation movement.)

A non-profit organisation comprised entire of volunteers.
1 employee noted as Linkedin does not recognise zero! :)",Renewable Energy Semiconductor Manufacturing,Self-employed,Non Profit,Australia,Australia,wirrimbirra.com.au,https://www.linkedin.com/company/wirrimbirra-sanctuary
Scirocco Technologies,"Trust Scirocco Technologies ISO accredited e-waste asset retrieval, disposal and data destruction program for environmentally friendly and secure disposal of your company electrical and IT equipment. 

With the help of Scirocco Technologies, you can ensure your IT assets are destructed and disposed through a certified process, throughout multiple locations in Australia.

Have Scirocco Technologies manage the whole process - including collection, storage, transport and treatment of end-of-line hardware and electronic equipment.

Scirocco Technologies is certified compliant in ISO 9001, 18001, 45001 and AS/NZS 5377 E-WASTE.

Contact email: operations@sciroccotechnologies.com",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Perth, Western Australia, Australia",Australia,sciroccotechnologies.com,https://www.linkedin.com/company/scirocco-technologies
Marshall Energy Solutions,Marshall Energy Solutions provides simple and affordable solar solutions to households and businesses. Looking to install a premium quality solar system? Then look no further! We've got you covered,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Carrum Downs, Victoria, Australia",Australia,marshallenergy.com.au,https://www.linkedin.com/company/marshall-energy-solutions
I Tech Electrical,"We are a family owned company committed to our customers to meet their needs by providing solutions to their homes with professionalism, dedication and continuously looking to improve our processes

I Tech Electrical was founded when solar was just new, we became specialise in Solar Systems in general, our stability and Professionalism made us grow on the market and we became what we are now.

We have Accredited Installers that have installed over 6000 Jobs, every job has been completed successfully, always following Australian Standards and Regulations, we give Warranty for our work and our Products, we are always on the look for Innovation and better ways of Improvement, here are ways to consider us:

Will meet up and give you a free consultation quote
Experience Accredited Installers
Our prices are very competitive
Will provide warranty on all our jobs and products
We are a Licence Electricians and Accredited Installers
We are proud of what we do and we will treat you like family",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Employed,"Brisbane, Qld, Queensland, Australia",Australia,i-techelectrical.com.au,https://www.linkedin.com/company/i-tech-electrical
Earth Utility,"Earth Utility is an Australian solar power company established in October 2005. It is a sustainable utility company making sustainability simple and affordable for the community. 

Earth Utility uses a new innovative patent pending service model and offers a number of choices to customers that either removes or reduces the initial financial outlay. 

Earth Utility takes on the role of finding the best sustainable utilities solutions for you so there are no complicated choices or paperwork. We use only the most reputable suppliers that offer the best value for money. 
Our model may seem too good to be true but its actually quite simple. We buy in bulk on a wholesale level and pass the savings on to our customers.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Australia,Australia,earthutility.com,https://www.linkedin.com/company/earth-utility
Eco Energy & Solar Solutions,"Eco Energy & Solar Solutions is a solar energy company that offers the design, supply, installation, and maintenance of solar systems.",Renewable Energy Semiconductor Manufacturing,,,"Nemingha, Australia",Australia,eess.com.au,https://www.linkedin.com/company/eco-energy-&-solar-solutions
Seed Infra Pty Ltd,"Seed infra is a diversified project and asset management company with interests across various sectors of economic and ecological significance. At Seed infra, we believe in delivering reliable and sustainable infrastructure for life that contributes to the growth of the Asia Pacific region.

Our Business:
Infrastructure - Renewable Energy (Solar, Wind Power, Biomass, Geothermal, Mini- Hydro schemes); Airports, Transportation, and Water conservation
Agribusiness - supporting Australian agribusiness to spend into Asia, with infrastructure to expand operations
Smart Property - creating sustainable living.

For Seed Infra, sustainability is about creating assets without compromising the ability of future generations to meet their needs.

Sustainability remains a constant in all of Seed Infra’s projects and initiatives. One of the highest priorities for us during project implementation and planning is safeguarding the environment. Rather than approaching it as an additional activity, we see environmental and social outcomes as equal priority to economic. It allows us to create places where you want to be, places that contribute to communities and valued by all involved.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,seedinfra.com.au,https://www.linkedin.com/company/seed-infra
Ballarat Textile Recycling,"Ballarat Textile Recycling was created by local Ballarat artist Leah Justyce. Creating a sustainable future for generations to come by repurposing textiles, furniture and other house hold items. Giving them a new life that will save our planet from the problem of textile waste in our landfills. As Australia is the second largest producers of textile waste this needs to be addressed. With the amount of people that promote so many cheap and fast fashion products, especially on Instagram it is a problem that is ever increasing.

People need to be made aware that living in a linear economy of use and throw away is no longer the ""in thing""! They are having children, promoting cheap clothes and products to try and be noticed online but are not even thinking how their actions today contribute to tomorrows disasters.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Ballarat, Victoria, Australia",Australia,ballarattextilerecycling.com.au,https://www.linkedin.com/company/ballarat-textile-recycling
Massman International Trading Pty Ltd,"Our company prides itself on providing low-cost, cutting-edge and high quality solar kits (systems), PV Modules and portable solar appliances (bags, torches). Solid partnerships with equipment manufacturers and shippers ensures that our customers are always delighted by our level of service, as well as expertise in all things relating to solar energy.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Australia,Australia,massmaninter.com,https://www.linkedin.com/company/massman-international-trading-pty-ltd
I Clean Solar Ipswich & Brisbane,"I Clean Solar is the number 1 choice for solar panel cleaning Brisbane and Ipswich. We are a small family owned and run business, offering a friendly professional service from booking to completion.
A professional clean of your solar panels from I Clean Solar will help to increase your energy output, resulting in more money in your wallet. I Clean Solar are fully insured, so using us is 100% risk free.
We also install the best bird proofing system on the market and offer a 5 year bird intrusion warranty on every install. 
If the best solar panel cleaner is what you are looking for, call 1300 185 330 today!",Renewable Energy Semiconductor Manufacturing,2-10 employees,Self Owned,"Brisbane, Queensland, Australia",Australia,icleansolar.com.au,https://www.linkedin.com/company/i-clean-solar-ipswich-brisbane
Find My EV,Want to buy an electric vehicle or plug-in hybrid and don’t know where to start? We’ll find the right BEV or PHEV for you. Let us arrange a complimentary a test drive.,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,Australia,Australia,findmyev.com.au,https://www.linkedin.com/company/find-my-ev
Global Boss International,"Global Boss International is an Australian company focussed on delivering sustainable solutions to the world's growing problems.

Its flagship product ""Dr Grow It All"" is being accepted as a unique organic alternative to traditional chemical agricultural and horticultural inputs.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Eumundi, Queensland, Australia",Australia,globalbossinternational.com,https://www.linkedin.com/company/global-boss-international
Inergy,,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,inergy.com.au,https://www.linkedin.com/company/inergy-renewables
Solahart Greater Gippsland,"Images, audio, and videos selected in this Facebook Page are used with knowledge that these are ""orphan works"". In cases wherein the image source is known, the Admin of this page gives credit to the owner of the material by providing an appropriate URL link to their site. If you find your work posted on the site and wish to have it removed, kindly email the admin of this page.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Moe, Victoria, Australia",Australia,solahartgreatergippsland.com.au,https://www.linkedin.com/company/solahart-greater-gippsland
FENOMENO,"We serve the energy industry – renewable & conventional power as well as oil & gas.

We partner with our clients to help them in a number of critical areas like project development, structuring and negotiation of critical contracts defining their operations for years to come and intervene in times of crisis.

With exceptional people and a diverse network of allies, we combine deep commercial and technical expertise with years of experience gained across major OEMs and global institutions...your results are our success.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,,https://www.linkedin.com/company/fenomenoglobal
Australian Paper Collection,"Australian Paper Collection service provide waste paper collection and recycling solutions for all businesses both large and small, specialising in baling,extraction systems,automated packets and more.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Brisbane, Queensland, Australia",Australia,australian-paper.com.au,https://www.linkedin.com/company/australian-paper-collection
Community Power Network,"Community Power Network delivers the best sustainable solution to protect against escalating electricity prices. 

Community Power Network is a decentralised energy system that enables people to break free from energy retailer's power bills. Each home and small business in the network connects their solar panel and battery storage and is allocated a daily allowance.

As well as generating their own power, a small amount of the excess power stored in their battery is returned to the system to provide additional power to connected homes, help stabilise the grid and prevent blackouts.

For Businesses the benefits are:
- More profit
- Energy certainty and affordability
- Genuine green credentials
- Added value to property

For Councils the benefits are:
– More liveable, prosperous and sustainable community
– Attract more residents and businesses to the area
– Stronger pitch - ""Move here where we can offer you cheaper electricity.""
– Genuine green credentials
– Genuine innovation
– Long-term sustainability
– Support diversity and inclusiveness by reducing bill stress
– Support world-class Australian advanced manufacturing
– Generate local jobs.

Future-proofing requires world-class quality for products, systems and installation with a lifetime horizon of at least 25 years. By joining Community Power Network, you gain the best products at discounted prices – all thanks to the power of the community.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,communitypowernetwork.com.au,https://www.linkedin.com/company/communitypowernetwork
SolarTuk Expedition,"The SolarTuk Expedition is an ambitious journey using an unlikely vehicle, re-engineered for sustainable travel. This is a world-first journey across the Australian continent by a solar electric tuk tuk. We then aim to complete a lap of Planet Earth - circumnavigating the globe powered by the sun.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Non Profit,"Sydney / Melbourne, Nsw / Vic, New South Wales, Australia",Australia,solartuk.org,https://www.linkedin.com/company/solartuk
Designer Tanks,,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,designertanks.com.au,https://www.linkedin.com/company/designer-tanks
EnerSec Pty Ltd,"Our aim is to analyse, measure and disclose the fundamental problems which affect mechanical operations, energy efficiency and the reliability of on-site distributed electricity in order to set forth an energy plan focused on achieving the most effective outcomes for commercial customers.

By doing so, improvements will be made in environmental outcomes, financial benefits and reliability of systems and operations.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Castle Hill, New South Wales, Australia",Australia,enersec.com.au,https://www.linkedin.com/company/enersec-pty-ltd
