Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
AlixLabs,"Atomic Layer Etching for Nano Device Fabrication

We provide an ALE-based method of manufacturing nanostructures with characteristic size below 20nm.

This is a new method of nanostructure fabrication using the atomic layer etching process, which is inherently a damage-free etch process. Owing to the etching process’s selectivity to inclined surfaces, which has been recently discovered, the inclined surfaces can be used as a mask and in this way walls of tapered structures, which can be readily fabricated by e.g., dry etching or epitaxial growth, will provide masking during the atomic layer etching process. This is why this process provides access to fabrication of extremely small structures in a very precise and efficient way.",Nanotechnology Research,2-10 employees,Privately Held,"Lund, 12, Sweden",Sweden,alixlabs.com,https://www.linkedin.com/company/alixlabs
Scienta Omicron,"Scienta Omicron is a leading innovator in surface science and nanotechnology. We provide top capabilities in electron spectroscopy, scanning probe microscopy and thin film deposition, all in ultra-high vacuum (UHV). Focusing on the race for new unique materials and solutions, in areas like – smarter batteries, next generation electronics, quantum technologies, solar energy, intelligent sensors and advanced materials Scienta Omicron drives the surface science towards the future. Please contact (https://scientaomicron.com/en/contacts) your nearest sales representative with any questions you may have.

►Follow us on 
Facebook: https://www.facebook.com/ScientaOmicron 
Twitter: https://twitter.com/scienta_omicron 
Instagram: https://www.instagram.com/scientaomicron/
YouTube: https://www.youtube.com/user/OmicronNanoTech",Nanotechnology Research,51-200 employees,Privately Held,"Uppsala, 03, Sweden",Sweden,scientaomicron.com,https://www.linkedin.com/company/scientaomicron
ConScience,"ConScience provides custom nanofabrication and microfabrication services for research teams, universities, and high-tech companies globally.

We design and fabricate micro- and nanostructures supporting work in quantum technology, microfluidics, nanofluidics, sensing, and advanced materials, from early-stage prototyping through to complex device fabrication.
Our capabilities include electron beam lithography (sub-10 nm resolution), superconducting quantum device fabrication based on Al/AlOx/Al Josephson junctions, microfluidic and nanofluidic systems, multi-layer device fabrication, thin-film deposition, and custom coatings. We also offer quantum foundry services for teams requiring custom superconducting device fabrication at precision and scale.

We operate across more than 10,000 m2 of cleanroom space and 2,000+ instruments in established facilities in Sweden and Denmark, backed by more than 15 years of industry experience.

For teams that need guidance before committing to a fabrication path, we also offer process and technology consultancy.

 info@con-science.se |",Nanotechnology Research,11-50 employees,Privately Held,"Mölndal, Vastra Gotaland County, Sweden",Sweden,con-science.se,https://www.linkedin.com/company/con-science
Smoltek,"Smoltek is making space for the next technology leap – starting in the semiconductor and hydrogen industry.

By pioneering carbon nanostructure fabrication technology we are developing process technology and application concepts that can solve advanced materials engineering problems within several industrial sectors. Like, semiconductor components with smaller form factors, higher performance and lower energy consumption. Or new materials for electrolyzer cells that can radically reduce the costs for fossil-free hydrogen production.",Nanotechnology Research,11-50 employees,Public Company,"Gothenburg, 14, Sweden",Sweden,smoltek.com,https://www.linkedin.com/company/smoltek
Obducat Group,"Obducat is an innovative developer and world-leading supplier of micro-and nano lithography solutions. We supply technology, products and processes used for advanced micro- and nanopatterning of surfaces. By changing surface properties through patterning, new areas of application are made possible as well as increased device performance. Obducat’s technologies include nano imprint technology, coating technology and wet processing technology. Our technologies are successfully used by companies within the LED, OLED, semiconductor, display, optical and photonics, biomedical and MEMS industries. Obducat has offices in Sweden, Germany and China and the headquarter is located in Lund, Sweden. Obducat’s shares are publicly traded on the Swedish NGM Main Regulated Equity stock exchange.",Nanotechnology Research,51-200 employees,Public Company,"Lund, 12, Sweden",Sweden,obducat.com,https://www.linkedin.com/company/obducat
Watersprint,"We offer safe water using patented technology providing a cost efficient UV LED based purification system to reduce up to 99,99 % of virus, bacteria, protoza, cysts and other patogenes, in close cooperation with partners and clients.",Nanotechnology Research,11-50 employees,Privately Held,"Lund, 12, Sweden",Sweden,watersprint.com,https://www.linkedin.com/company/watersprint
Insplorion AB,"Insplorion is a Swedish CleanTech company, founded as a spinoff from Chalmers University of Technology in 2010. The proprietary sensor technology platform, NanoPlasmonic Sensing (NPS) is based on the optical phenomenon plasmonic resonance, which enables fast and specific measurements through optical read-out. The technology has a solid foundation from years of research through Chalmers.

Together with our customers we develop a fast and specific hydrogen sensor to ensure safety and efficiency throughout the hydrogen value chain.

In addition to developing hydrogen sensors, Insplorion provides scientific instruments mainly for biomolucelar and battery research.",Nanotechnology Research,11-50 employees,Public Company,"Gothenburg, 14, Sweden",Sweden,insplorion.com,https://www.linkedin.com/company/insplorion-ab
Lund Nano Lab,"Lund Nano Lab (LNL) – the nanofabrication facility #Myfab Lund – is a cornerstone of nanoscience and nanotechnology at #NanoLund, providing advanced micro- and nanofabrication capabilities to researchers across strategically important fields. LNL supports Swedish researchers, entrepreneurs, and industry with leading-edge tools and expertise, and maintains strong ties with the Nordic Nanolab Network (NNN) and other European partners. The cleanroom facility is continuously upgraded and supported by a dedicated team of skilled staff. LNL is a flagship core facility at Lund University, actively contributing to deep-tech innovation, sustainable operations, and education in semiconductor processing and fabrication. Through ongoing improvement initiatives, startup support, and strategic engagement in the design of a new cleanroom, LNL continues to shape an outstanding user environment and strengthen international collaborations with MAX IV, ESS, and beyond.",Nanotechnology Research,11-50 employees,Government Agency,"Lund, 12, Sweden",Sweden,lu.se,https://www.linkedin.com/company/lund-nano-lab
Glenntex,"Glenntex: Pioneering a Sustainable Future with Graphene-Based Nanotechnology

At Glenntex, a Swedish Deeptech firm, we harness the transformative power of graphene-based nanotechnology to engineer high-performance barriers for energy, gas, chemicals, and oxygen. Our innovative solutions significantly enhance material properties, offering a seamless blend of robust performance and advanced technology.

In collaboration with Chalmers University of Technology, a vanguard in the European Graphene Flagship initiative, our groundbreaking research paves the way for next-generation packaging innovations that are not only forward-thinking but also environmentally responsible.

 Climate-Positive Technology Redefining Material Use

Our technology is distinctively climate-positive and minimizes reliance on plastics, addressing global sustainability challenges.
Potential to reduce your plastic consumption by up to 6 million tons and curtail your carbon footprint by 1,500 tons.
 Innovation, Performance, and Sustainability: Our Triumvirate

Uniting unparallel technological advancement with sustainability, we redefine the benchmarks of material performance.
We are dedicated to providing solutions that anticipate the future, ensuring your business is always a step ahead in a competitive market.
Join us in the pursuit of innovative solutions that prioritize performance without compromising our planet’s future. Together, let’s engineer a sustainable tomorrow.",Nanotechnology Research,2-10 employees,Privately Held,"Gothenburg, Vastra Gotaland County, Sweden",Sweden,glenntex.com,https://www.linkedin.com/company/glenntex
2D fab,"2D fab is a large-scale manufacturer of green graphene. We offer the world’s most cost-efficient high-quality graphene products, with years of experience and research behind our manufacturing process.

Our business is based on the enormous potential of graphene and its incredible properties. The material is stronger than steel, harder than diamond and conducts electricity better than copper, to name a few of its superior properties.

2D fabs production process is designed for customization, meaning that we can tailor the price/performance ratio to fit your products need. It is also very cost-efficient since we have managed to create a process where we have a very low energy consumption compared to other manufacturing methods. Besides the fact that 2D fab’s manufacturing process is cost-efficient and customer adapted, it is also easily scalable and therefor suitable for industrial volumes. The scalability also enables licensing and other very exciting business concepts. Additionally, our process is hydromechanical and very energy-efficient – both making the manufacturing more environmentally friendly.

2D fab strives for an automated, high-tech, self-adopting and AI-based production of two-dimensional materials. The graphene market is expected to explode, and we aim to become the largest, and best, graphene producer in Europe within a decade.",Nanotechnology Research,2-10 employees,Public Company,"Sundsvall, 22, Sweden",Sweden,2dfab.se,https://www.linkedin.com/company/2d-fab-ab
