Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
LG Electronics,"Step into the world of LG Electronics, a global innovator in technology and consumer electronics focused on creating solutions for a better life. Guided by our brand promise, Life’s Good, we aim to make everyday life better, smarter and more meaningful for people around the world.

With a history spanning more than six decades, a network of more than 100 subsidiaries, and an international workforce of over 75,000, LG Electronics operates on a truly global scale. Since our founding in 1958, we have remained focused on delivering innovative products and technologies that improve lives around the world.

Through our four business divisions — Home Appliance Solution, Media Entertainment Solution, Vehicle Solution, and Eco Solution Companies — we provide innovative products and services that enhance everyday life across residential, entertainment, mobility, and HVAC sectors.

At the same time, we continue to expand into new growth areas including AI Home, smart factories, robotics and platform-based services such as webOS, building on our strengths in both consumer technology and B2B solutions.

Our management philosophy, Jeong-do Management, reflects our commitment to integrity, transparency and doing business the right way. Built on the principles of customer value creation and people-oriented management, our culture encourages collaboration, creativity and growth.

Join us as we continue to shape what comes next, because at LG, Life’s Good.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Singapore, Singapore",Singapore,lg.com,https://www.linkedin.com/company/lg-electronics
Autoform Enterprise,"We are dedicated to provide quality and value for money solutions to our customers. With our revamp of Vision Multimedia, car lovers will enjoy an all year round of Special Offers, New Arrivals and the Latest Gadgets with our quality products, Low Prices and great after sales service.","Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,vision-sg.com,https://www.linkedin.com/company/autoform-enterprise
M GOTTLIEB ASSOCIATES INC,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Singapore, Singapore",Singapore,marvingottlieb.com,https://www.linkedin.com/company/m-gottlieb-associates-inc
Integrated Services Management Pte Ltd,,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,ism.com.sg,https://www.linkedin.com/company/integrated-services-management-pte-ltd
GECKO MUSIC GROUP,,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,geckomusic.net,https://www.linkedin.com/company/gecko-music-group
Altronics. All,"Foam deterioration happens when the surround ages and can also be affected by environmental conditions and usage of the speaker. So if you ever notice your outer foam rubber edge has fallen off or deteriorated, don't worry! We provide resurrounding services that will ensure that your speakers are as good as new and will always ensure to give you the best possible speaker repair service in Singapore.","Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,altronics.sg,https://www.linkedin.com/company/altronics.-all
DTDS Technology Pte Ltd,"DTDS is a leading distribution company for Electronic Components. Incorporated in 2001 and headquartered in Singapore, it has a full-fledged office with sales, marketing, operations and finance team to support channel partners in fulfilling their customer orders.","Appliances, Electrical, and Electronics Manufacturing",201-500 employees,Privately Held,"Singapore, Singapore",Singapore,dtdsgp.com,https://www.linkedin.com/company/dtds-technology-pte-ltd
China Precision Technology Ltd.,,"Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/china-precision-technology-ltd-
Oscar City Audio Visual Private Limited,"For over 31 years OSACAR Audio Visual is one of the leading providers of integrated audio visual solutions, based in heart of Singapore. We design and cater for Home Entertainment, Office, Boardroom, Theatre and Auditorium & Ballroom Control System etc., in the arena of Audio Visual Systems.","Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,osacar.com,https://www.linkedin.com/company/oscar-city-audio-visual-private-limited
Meditec Trader Pte Ltd,"Meditec / Tashi offers a complete spectrum of audio products for both consumer and professional markets in Singapore, Malaysia and Brunei. We are the sole agent for Mipro, FBT, Peavey, Tach, Sherwood, BSD and AV-Jefe products.","Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,audio.com.sg,https://www.linkedin.com/company/meditec-trader-pte-ltd
Design Identification Pte Ltd,,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,hometree-tech.com,https://www.linkedin.com/company/design-identification-pte-ltd
DST SOLUTIONS.COM PTE LTD,We are a company that lives and dies by our on-going relationships and if we do not take care of our clients then we deserve them to take their busine,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,dstsolutions.com,https://www.linkedin.com/company/dst-solutions.com-pte-ltd
SGFreshIdea,,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,sgfreshidea.com,https://www.linkedin.com/company/sgfreshidea
Soezlar Technology,"Solar Power made easy for everyday consumer. Easy 'Plug-and-Play' Solar kit solutions for everyday use by Soezlar Technology. Enabling Internet-Of-Things (IOT), Solar and Renewable technologies for the everyday consumers.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Singapore, Singapore",Singapore,soezlar.com,https://www.linkedin.com/company/soezlar
Esmart Holdings,"Esmart Holdings is an electrical/electronic manufacturing company based out of 17 Kallang Junction, Singapore, Singapore.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,,"Singapore, Singapore",Singapore,esmartholdings.com,https://www.linkedin.com/company/esmart-holdings
iPredict Global By Aqulture,,"Appliances, Electrical, and Electronics Manufacturing",,,"Kallang, Central Region, Singapore, Singapore",Singapore,ipredict-global.com,https://www.linkedin.com/company/ipredict-global-by-aqulture
Seiho8 (Line8 Power Track System),We are a passionate Singapore team dedicated to providing products that help transform and improve people's living spaces without breaking the bank with their renovation budget.,"Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,seiho8.com,https://www.linkedin.com/company/seiho8-line8-power-track-system-
Alliance AV Presentations,"Alliance AV Presentations is a professional AV service provider in the AV industry since 1995. We provide AV and IT professional support for Meetings, International and local Conferences, Events and Exhibitions (MICE) with AV and Office equipment such as LCD projectors, projection screens, LCD TV monitors, sound equipment, audio conferencing system, laptops and printers as well as videography and photography services.","Appliances, Electrical, and Electronics Manufacturing",,,"Singapore, Singapore",Singapore,allianceav.com.sg,https://www.linkedin.com/company/alliance-av-presentations
Horizon Acoustics,,"Appliances, Electrical, and Electronics Manufacturing",,,"Bishan, Central, Singapore",Singapore,horizonacoustics.com,https://www.linkedin.com/company/horizon-acoustics
QI Electronics,"Quantum Intelligence is an industrial-tech firm dedicated to engineering the full lifecycle of sustainable transport and clean power. We operate at the intersection of advanced manufacturing and green energy, providing the hardware and infrastructure necessary for a zero-emission future.

Our mission is to eliminate the barriers to EV adoption by providing a vertically integrated ecosystem—where the vehicle and the power source work in perfect harmony.

Our Core Strategic Divisions:

 Integrated EV Manufacturing: We design and manufacture high-performance electric vehicles tailored for Indian road conditions. Our lineup includes heavy-duty E-Rickshaws for efficient logistics, alongside agile E-Bikes and E-Scooters for modern urban commuting.

 Charging Station Infrastructure: We are a leading manufacturer of smart AC and DC Fast-Charging stations. Our infrastructure is built for reliability, featuring universal compatibility and IoT-enabled monitoring for residential, commercial, and fleet hubs.

 Renewable Energy Solutions: Beyond the road, we harness the power of nature. Our specialized Wind Energy and Solar-Integrated solutions provide decentralized power for industrial and agricultural applications, including solar-powered cold storage.

 Advanced Battery Technology: Every product is powered by our proprietary Battery Management Systems (BMS), ensuring maximum safety, longer cycle life, and optimized energy density.

At Quantum Intelligence, we aren't just selling products; we are building the ""Circular Economy"" of tomorrow. From energy generation to last-mile delivery, we provide the intelligence that moves the world forward.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Partnership,"Singapore, Singapore",Singapore,quantumintellegence.in,https://www.linkedin.com/company/qi-electronics
Nurmina,"Smarter Life, Better Living.

At Nurmina, we believe premium atmosphere-driven living shouldn't be exclusive or expensive.
We create smart ambient home experiences that combine immersive lighting, modern aesthetics, and seamless smart connectivity — bringing high-end lifestyle scenes within reach of a new generation.

Whether it's a cozy bedroom, an elevated gaming setup, a cinematic living room, or a creative workspace, Nurmina transforms everyday spaces into personalized environments full of mood, energy, and self-expression. Powered by intelligent scene control, cross-device synchronization, and Matter-ready smart ecosystems, our products make creating the perfect vibe effortless.

Designed for modern lifestyles with a balance of innovation, style, and value, Nurmina is more than smart home technology — it's a smarter way to experience living.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,Singapore,Singapore,nurmina.ai,https://www.linkedin.com/company/nurminaofficial
"Marian, Inc.","Marian, Inc. is a global leading converter that manufactures custom precision die-cut components made using innovative flexible materials from world-class suppliers for the medical, electronics, automotive, aerospace, battery industries and more.

For 70 years, Marian has provided innovative solutions to our customers by offering services like rotary, laser, water-jet, and flatbed die-cutting as well as prototyping, precision slitting, and packaging.

Marian engineers work closely with our customers and suppliers from design and material selection to prototyping and final production to ensure the highest quality parts for their applications.

With 13 locations throughout North America, Asia, and Europe, we strive to provide our customers with quality products that solve their most challenging manufacturing and assembly problems while offering exceptional service at competitive prices.

For more information, visit www.marianinc.com

What our customers say...

“Marian is in a class all by themselves among all of our suppliers, offering amazing value and incredible support.” - President, Medical Device Company

“Marian continues to amaze us. By utilizing innovative manufacturing techniques, Marian has helped differentiate our product from others in the market. Marian is constantly looking for ways to improve our product while trying to lower costs. Marian continues to be one of our most trusted suppliers and is crucial to our growth in upcoming years.” - CEO, Electronics Manufacturer","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Privately Held,"Singapore, Singapore",Singapore,marianinc.com,https://www.linkedin.com/company/marian-inc.
Fuji Electric Asia Pacific,"Fuji Electric Asia Pacific Pte Ltd was established in Singapore as the regional headquarter of Fuji Electric. The core function of the establishment includes overseeing the regional sales companies in Southeast Asia and Oceania Region.

Fuji Electric Asia Pacific Strategic planning team aims to provide innovative energy technology products and solutions across South East Asia, Oceania and the Middle East countries. The group has an extended global footprint in Singapore, Malaysia, Philippines, Thailand, Indonesia, Vietnam, Cambodia, Sri Lanka, Bangladesh, Australia, New Zealand & the Gulf Corporation Council.

The company product focus ranges from Drives & Automation, Transmission & Distribution, Integrated Data Centre, Electronic Devices, Instrumentation and Food & Beverage Distribution.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Public Company,"Singapore, Singapore",Singapore,fujielectric.com,https://www.linkedin.com/company/fuji-electric-asia-pacific
Electronics & Engineering Pte Ltd,"Established in 1951, Electronics & Engineering Pte Ltd is a leading Specialist Contractor, Consultant and Systems Integrator alongside being a Distributor and Supplier of a vast array of reputable audio-visual equipment in Singapore and the Region.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Privately Held,"Singapore, Singapore",Singapore,enepl.com.sg,https://www.linkedin.com/company/electronics-&-engineering-pte-ltd
