Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
EMROD,"Emrod shapes a world where energy transmission is not constrained by wires. 

Our power beaming technology can take on some of the world's biggest energy and environmental challenges.

Find out more on www.emrod.energy",Space Research and Technology,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,emrod.energy,https://www.linkedin.com/company/emrodenergy
Outlier Space,"Outlier Space is unlocking microgravity with a scalable, reusable, uncrewed satellite platform. From semiconductors to biotechnology, our customers can access what once seemed impossible. Build what can’t be built on Earth – and return it safely home. We’re on a mission to accelerate the global space economy. Thanks for following us on the journey.",Space Research and Technology,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,outlier.space,https://www.linkedin.com/company/outlierspaceltd
SpaceBase Limited,"SpaceBase is a purpose driven consultancy focused on democratizing access to space.  Our vision is to live in a world where space plays a critical role in addressing planetary challenges, and provides the pathway for unlimited resources and economic benefits. There is a technological divide between space faring nations and the rest of the world. Our mission is to address this challenge by catalyzing space industries as a service in emerging and developing countries.  Over the past 8 years, we have developed the expertise and prototyped a playbook for building entrepreneurial space ecosystems in New Zealand and are expanding our services around the world.",Space Research and Technology,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,spacebase.co,https://www.linkedin.com/company/spacebase-ltd
Space Operations New Zealand Ltd,"SpaceOps NZ provides:
- Antenna hosting
- Antenna leasing
- LEOP services
from Awarua Satellite Ground Station at 186.38°E 46.53°S and Warkworth Space Centre at 36.43°S 174.66°E.

We also undertake:
- RF consultancy
- Radio licencing for ground segment
-Ground Segment R&D",Space Research and Technology,2-10 employees,Privately Held,"Invercargill, Southland, New Zealand",New Zealand,spaceops.nz,https://www.linkedin.com/company/spaceops-nz
Earth Observation Lab Aotearoa,"Earth Observation Laboratory Aotearoa seeks to establish a Laboratory for Earth Observation (EO), supported by Te Pūnaha Ātea | Space Institute and Ngā Ara Whetū | Centre for Climate, Biodiversity & Society. Our mission is to be Aotearoa’s nexus for collaborative earth observation and data-driven decisions.

We are committed to inclusivity and welcome all who want to join this community—breaking down barriers within and beyond the field.",Space Research and Technology,2-10 employees,Partnership,"Auckland, Auckland, New Zealand",New Zealand,eolabaotearoa.co.nz,https://www.linkedin.com/company/earth-observation-lab-aotearoa
Remix Astronautics,Space Operations,Space Research and Technology,2-10 employees,Public Company,"Auckland, Auckland, New Zealand",New Zealand,burst-transmission.com,https://www.linkedin.com/company/remix-astronautics
Aero+Space South,"Coordinated by the University of Otago's Research and Enterprise Team, Aero+Space South brings together researchers, policy makers, industry and NGOs to promote space and aerospace science and economic opportunities for our region and the country.",Space Research and Technology,"1,001-5,000 employees",Educational,"Dunedin, Otago, New Zealand",New Zealand,otago.space,https://www.linkedin.com/company/aero-space-south
The New Zealand Space Health Research Network,"By leveraging New Zealand’s research strengths in medicine, surgery, physiology, biotechnology and bioengineering, pioneering space companies, and advanced space infrastructure, this network aims to foster innovative research, unlock new opportunities, and elevate New Zealand’s position as a major contributor in this emerging field.

Focus and collaborative approach
The network will focus on addressing the unique health challenges of long-term space occupancy while also exploring the benefits these innovations can offer for terrestrial health. The same network aims to coordinate strategic research and foster deep-tech development in space health, seeding new companies that will contribute to the growth and impact of New Zealand’s space sector.

A key commitment of the SHRN is to engage with Māori partners, ensuring their voices help shape the network’s development. Collaboration and engagement are central to the network’s mission, positioning the SHRN to make meaningful contributions to space health and the broader NZ space sector.

Network activities
The Network aims to support the growth and impact of New Zealand’s contribution to the space health field by:
• Coordinating space health initiatives nationwide, to foster synergy and collaboration.
• Integrating Māori perspectives into space health research through a newly established framework.
• Creating pathways for New Zealand students to be involved in the global space industry.
• Engaging with both local and international researchers and commercial stakeholders.
• Facilitating coordinated interactions with major international space research entities (e.g. NASA and ESA).
• Fostering international collaborations and attracting funding for space health project.",Space Research and Technology,2-10 employees,Educational,"Auckland, Auckland, New Zealand",New Zealand,auckland.ac.nz,https://www.linkedin.com/company/the-new-zealand-space-health-research-network
Project Kororā - Student Satellite Project,"Project Kororā is Victoria University of Wellington’s first student-run space mission. Our goal is to foster and grow New Zealand’s space community through the development of a 3U CubeSat satellite.

We are a multidisciplinary team of 100+ students from STEM, law, design, and the arts, working together to explore space technology and build real-world skills. Through hands-on projects, workshops, and peer mentorship, Project Kororā provides a platform for students to learn everything from orbit simulation and embedded systems to mechanical design, communications, and space policy.

Our long-term goal is to design and propose a 3U CubeSat equipped with a miniature Hall-effect thruster, developed to operate within the size, power, and thermal constraints of a CubeSat platform. We collaborate with researchers at the Robinson Research Institute and aim to engage with partners across New Zealand’s growing space sector.

The name Kororā comes from New Zealand’s little blue penguin, which is roughly the same size and weight as a 3U CubeSat. The penguin symbolises our mission: to dream boldly and build something extraordinary together, proving that even a flightless bird can inspire a journey to space.",Space Research and Technology,51-200 employees,Self Employed,"Wellington, Wellington, New Zealand",New Zealand,,https://www.linkedin.com/company/project-korora
Global Space Enablers Network,"The Global Space Enablers Network (GSEN) is coalition of space enablers and organizations around the world committed to catalyzing and empowering equitable entrepreneurial space ecosystems in developing and emerging countries, to ensure an abundant future in space for everyone.

Founded at the International Astronautical Congress in Milan on 15 October 2024 by 16 organizations from across six continents.  NGO space enabler organizations and individuals worldwide have co-created a decentralized alliance to share best practices, resources, knowledge, etc. We hope to empower local movers directly to catalyze space ecosystems in developing and emerging countries.

Current Initiatives:
1. Knowledge Base - repository of resources to help space enablers catalyze and grow their local ecosystems.
2. Mentorship Program - a pilot to shepherd and mentor new and emerging space communities currently from Costa Rica, Bolivia, Timor Leste, Mexico and Rwanda.

To become a free member org or individual  member (core, project or observer) - sign up at spaceenablers.net/GSEN-Membership/

JOIN US!",Space Research and Technology,Self-employed,Non Profit,"Auckland, Auckland, New Zealand",New Zealand,spaceenablers.net,https://www.linkedin.com/company/global-space-enablers-network
