Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Melbourne, Victoria, Australia",Australia,siemens.com,https://www.linkedin.com/company/siemens
Die Mould Equipment,"Die Mould Equipment supply's a range of high quality components required for the plastics moulding industry. These products include: Moulding Supplies, Hot Runner Systems, Control Systems, Cold Runner Systems, Mould Components, Mould Bases and Plates, DIe Casting, Quick Change Systems, Equipment and Supplies.",Automation Machinery Manufacturing,2-10 employees,Public Company,"Sydney, New South Wales, Australia",Australia,diemouldequipment.com.au,https://www.linkedin.com/company/die-mould-equipment
EIA Services Pty Ltd,"EIA Services (Pty) Ltd. is a leading control system specialist company, based in Australia, offering a professional and simplistic approach to complete systems implementation. Although EIA Services has been at the forefront of engineering and implementation of the latest automation and control technologies, we believe in using proven technologies combined with a methodical and managed strategy from inception to completion.

We offer comprehensive intelligent solutions in a variety of areas in both continuous and batching process environments. These include:

Electrical & Instrumentation (E&I)
Programmable Logical Controllers (PLC)
Human Machine Interfaces (HMI)
Manufacturing Execution Systems (MES)

EIA Services has a team of dedicated full time skilled engineers and specialists. EIA Services partners exclusively with trusted industry specialists in its field as well as having access to a reliable contractor base.",Automation Machinery Manufacturing,11-50 employees,Public Company,"Brisbane, Queensland, Australia",Australia,eiaservices.com.au,https://www.linkedin.com/company/eia-services-pty-ltd-
Automation Alliance,,Automation Machinery Manufacturing,,,"Perth, Western Australia, Australia",Australia,,https://www.linkedin.com/company/automationalliance
Auto ID Labelling Solutions | ALS Automation,"Leading Australian-based experts in Warehouse Automation, Data Engineering & Labelling Solutions.

With over 20 years experience across multiple industries our engineers at Auto ID Labelling Solutions are established innovators of auto-id and
data capture technology within Australia.

Complementing our Engineering and Software Divisions is our extensive label manufacturing capabilities supplying a wide range of blank and digitally printed label options to local businesses.

We provide cutting-edge automated labelling solutions that include inkjet, packaging, vision and data capture technologies.

Having established strong partnerships with leading global hardware and software vendors we can provide all clients with sustainable, robust purpose-built solutions with ongoing service support.

With a worldwide pedigree of data capture solutions, label applications and the emergence of the latest inkjet technology, Auto ID Labelling Solutions can automate your business requirements with many technologies and services.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,autoidlabelling.com.au,https://www.linkedin.com/company/auto-id-labelling-solutions-als-automation
Sterling Robotics Pty Ltd,"Sterling Robotics partners with system integrators, machine builders, and end users to provide robotic automation solutions. We offer Sales and services for NACHI robots, from robot spares, annual maintenance service, robot programming, training, and offline simulation for robot reach and cycle time study. Please contact us for expert assistance in integrating a NACHI robot within your manufacturing facilities.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,sterlingrobotics.com.au,https://www.linkedin.com/company/sterling-robotics-pty-ltd
Memolub Australia,"Protect the world's machinery through precise and timed lubrication. 
Helping industrial companies to improve their operations with lubrication systems that preserve the lubricants' structure and benefits. 

Memolub is a leading company in automated lubrication, the expert at manufacturing and marketing electro-mechanical autonomous lubricators.

Memolub International operates across many industries such as mining, steel, paper, chemical, automotive, and food, implementing lubrication solutions viable in the long run. 
 
Supported by a distributor network covering 70+ countries, we have helped more than 20.000 companies to improve their production efficiency. 

For more information about our global network of distributors and our products, visit www.memolub.com.au",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Welshpool, Western Australia, Australia",Australia,memolub.com.au,https://www.linkedin.com/company/memolub-australia
Lycaon Group Pty Ltd,"Lycaon Group offers a range of contract and project delivery services. Helping established businesses develop new opportunities, and emerging businesses scale without needing an established in house industrial EIC & IT team. 

With experience across Oil & Gas, Mining, Energy, Sub-sea, Aerospace and Defence industries; Lycaon Group is positioned to deliver cutting edge products, reliable services and expert advice.

We are focussed on delivering best in class solutions which are commercially and environmentally sustainable. 

For enquiries call our engineering team:

6115 6343

Monday to Friday     | 8:30 am - 5:00 pm",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Perth, Western Australia, Australia",Australia,lycaonsolutions.com,https://www.linkedin.com/company/lycaongroup
IPACS Group,"We specialise in the programming, configuration and commissioning of PLC, SCADA, HMI and Energy metering and monitoring systems to bring all of your plant floor information right into your boardroom.

With a particular focus on ‘mission critical facilities, with complex electrical infrastructure’, such as hospitals, data centres and telecommunication providers, we also have many smaller industrial, commercial and process clients.  We aim to be our clients partner of first choice, actively targeting requirements such as maintaining and delivering robust and solid High & Low voltage primary power and alternative power solutions, coupled with high availability automation systems, as an independent, non-biased business.  

We are in effect an agency of all things electrical and automation, such is the diversity of our collective skillset, we are just like your electrical engineer, electrical contractor, and automation provider all rolled up into one, only better! as you (the client) are no longer the meat in the sandwich!

We are certified by Schneider as Critical Power EcoXpert Partners, certified to work on their ION Enterprise, Power Monitoring Expert, and Power SCADA Operation product range, as well as Alliance Partners for their other ranges of PLC, SCADA and industrial control products, amongst other things.  

Please keep us in mind if you have and PLC, SCADA, EMS / Energy Management, Base or primary power systems or Generator controls opportunities we may be able to assist you with.  As well as Power Factor correction and Harmonic filtering.

Our homepage www.ipacsgroup.com.au lists some of our specialty services, and the drop-down menus give further clarity to our capabilities.

Look forward to seeing you soon ... until then...",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,ipacsgroup.com.au,https://www.linkedin.com/company/ipacs-group
Current Consulting Australia P/L,"Current Consulting specialises in the provision of comprehensive electrical design and automated control systems to major industrial businesses. 

As an electrical engineering consultancy company, Current Consulting has grown to be recognised for delivering reliable yet innovative solutions of electrical engineering excellence. We are committed to pursuing opportunities to minimise the environmental impact of our activities and those of our clients.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,currentconsulting.com.au,https://www.linkedin.com/company/current-consulting-australia
Transtek,"Transtek is a Western Australian supplier of Industrial Calibration, Configuration and Hazardous Area maintenance equipment.  Our focus is to provide manufacturer-direct access to specialized equipment for clients in Western Australia and into South East Asia.  For further information on our products and services, please visit our website at www.transtek.com.au.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Perth, Western Australia, Australia",Australia,transtek.com.au,https://www.linkedin.com/company/transtek-pty-ltd
REAZ Australia,"REAZ a drives & automation company, offering:
Vacon drives product range from 0.37kW to 5.0MW.
NORD Gearmotors including decentralised solutions
Datalogic sensors including vision & barcode readers

REAZ is focused on customer drive and motion solutions with your needs in mind.

We care for your business",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,reaz.com.au,https://www.linkedin.com/company/reaz-australia
Electric Control Solutions,"Electric Control Solutions are leaders in all aspects of industrial automation and electrical installations.

We have a heavy focus on, and over 30 years of combined experience in food and beverage operations, refrigeration, waste recycling, conveying systems and water treatment.

Our team of experienced engineers and technicians are always available for your specific needs.",Automation Machinery Manufacturing,11-50 employees,Privately Held,"Adelaide, South Australia, Australia",Australia,ecsol.com.au,https://www.linkedin.com/company/electric-control-solutions
Concept Automation Group Pty Ltd,"Concept Automation Pty. Ltd. Is the Australian and New Zealand Agent for the following leading Packaging and machinery Suppliers: Laetus - HAPA - Norden - Citus Kalix - Rota - Freund-Vector - OMAR - ProXES - FrymaKoruma - Terlet -Stephan
 
Concept Automation Group Pty. Ltd. also provides service based electrical and electronic engineering services, in addition to expertise in industrial automation to all areas of industry. From Breakdown Service to Turnkey projects, Concept Automation has your solution.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,conceptautomation.com.au,https://www.linkedin.com/company/concept-automation-pty-ltd-
Antikythera Robotics Pty Ltd.,"We at Antikythera Robotics aim to revolutionize the mining industry by introducing a quadrupedal robot deployed in hazardous operating conditions, carrying out vital tasks such as terrain/tunnel localization and mapping as well as experimental data sample collection and inspections. Our innovative and disruptive approach allows us to provide enhanced safety and maximize the reliability and accuracy of performed tasks, all of which are achievable through minimal supervision and training by the users. Uniting conventional and AI algorithms, we enable our robots to achieve a superior level of performance in terms of autonomy, energy-efficiency, robustness and adaptability to new environments.",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,antikytherarobotics.com.au,https://www.linkedin.com/company/antikythera-robotics-pty-ltd
