Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
i4sea,"i4sea turns risk into opportunity in the maritime, port, and energy sectors through its exclusive climate risk management platform.

Powered by high-resolution metocean forecasts, continuous monitoring, real-time data, and automated alerts, i4cast is a robust tool for climate intelligence.

i4sea’s forecasting capabilities currently span the entire Brazilian territory—including both coastal and inland regions—as well as parts of South America and Europe. With a wide range of meteorological and oceanographic variables, the platform delivers critical insights to support decision-making in complex operations across multiple markets.",Climate Data and Analytics,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,i4sea.com,https://www.linkedin.com/company/i4sea
GreenAnt,"GreenAnt leverages the power of satellite data to empower more informed, more profitable, and more climate-resilient land management. We've built a game-changing platform named Desidera that is a one-stop-shop tool for environmental monitoring and risk assessment. Working with GreenAnt, farmers boost yields, businesses optimize supply chains, insurers create more competitive, more effective coverage options, and governments develop smarter policies for a greener future.",Climate Data and Analytics,11-50 employees,Privately Held,"Den Haag, Zuid-Holland, South Holland, Netherlands",Netherlands,greenant.ai,https://www.linkedin.com/company/greenantai
IrriWatch,"IrriWatch joined forces with Hydrosat in June 2023, a move that holds great promise for the future of our developments. While we are all Hydrosat now. 

To continue following our journey and staying updated with the latest news, be sure to connect with Hydrosat on LinkedIn. Together, we'll embark on an exciting journey to redefine the way we monitor and manage agriculture.

Follow Hydrosat here: https://www.linkedin.com/company/hydrosat/",Climate Data and Analytics,2-10 employees,Privately Held,"Wageningen, Gelderland, Netherlands",Netherlands,hydrosat.com,https://www.linkedin.com/company/irriwatch
GACS 2026,"Maak uw gebouw klaar voor de GACS-verplichting. 
Vanaf 1 januari 2026 moeten alle gebouwen met een installatie van 290 kW of voldoen aan de GACS-verplichting. 

De uitdaging: nieuwe wetgeving komt snel dichterbij
Niet op tijd compliant? Dan dreigen sancties en waardeverlies.

Hoe wij helpen:
1. Quickscan: onze GACS 360-analyse
• Inzicht in verbruik en prestaties, technische controle, concreet advies

2. Implementatie & begeleiding
Wij realiseren de volledige overstap en richten uw systemen in. Via één dashboard houdt u alles overzichtelijk bij.

3. Monitoring & optimalisatie
Continue prestatiebewaking voor blijvende compliance en energiebesparing.

Aanvullende diensten:
• Renovatiepaspoort
• EPA-label (naar C of beter)
• SRI-voorbereiding en advies

Waarom GACS 2026?
Met onze technische expertise en bewezen aanpak ontzorgen we u volledig. U voldoet aan de wet, bespaart energie én verhoogt de waarde van uw vastgoed.

Meer info: www.gacs-2026.nl

GACS 2026 is een initiatief van MenRtech.",Climate Data and Analytics,2-10 employees,Privately Held,"Numansdorp, South Holland, Netherlands",Netherlands,gacs-2026.nl,https://www.linkedin.com/company/gacs-2026
Arboretica,"Arboretica is a pioneer in using AI to expedite the work of environmentalists and policymakers. We constantly innovate cutting-edge data-driven technologies to make sustainability analyses more streamlined and scalable, by connecting dots between otherwise unconnected public data, across language and formats. 

Arboretica has been trusted by policymakers, universities, institutions, and corporates all over the world to automate manual working processes, discover hidden insights, and create tangible impact in environmental/sustainability use cases.

Get in touch to see how we can help your organization use data to make smarter decisions, faster.

www.arboretica.com",Climate Data and Analytics,2-10 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,arboretica.com,https://www.linkedin.com/company/arboretica
TService.nl,"TService: Your specialist in cold chain monitoring and solutions.

At TService, we provide solutions for temperature, transport, and engineering needs, from reliable monitoring products (HACCP, GMP, GDP, BRC) to temperature studies and mapping for cold storage warehouses, ultra-low freezers, and vehicles. We also specialize in traceable calibration of thermometers and data loggers, with a super-fast and flexible service guaranteed within 48 hours.

With years of hands-on experience, we respond swiftly to your needs.

Equipping a 50,000 m2 warehouse with an adaptive and fully compliant monitoring solution within a week? No problem!

Need last-minute summer or winter mapping? We’ve got you covered!

At TService, you’ll receive honest, no-nonsense advice and solutions that truly work. Backed by ISO certification through TÜV Nord, we guarantee reliable processes and an approach that meets the highest international standards. Trust TService for expertise, speed, and practical guidance.",Climate Data and Analytics,11-50 employees,Privately Held,"Gennep, Limburg, Netherlands",Netherlands,tservice.nl,https://www.linkedin.com/company/t-service
hydrominds,"At hydrominds, we develop high-quality technological tools and services that revolutionize water resources and disaster risk management in high mountain regions around the globe. Our innovative solutions harness state-of-the-art science and technology to empower our clients with precise, data-driven foresight essential for their operations.

Backed by a hydro-minded team of world-leading experts with decades of experience in high-mountain research and consultancy, we bring unparalleled know-how to our products and services, applied in a range of sectors. Our flagship product is the hydromind engine, which provides essential hydrological data to predict hydropower generation, water resource availability and climate risk, and drive early warning systems in mountain regions.

We also provide consultancy on these topics and our products and services cater to a diverse range of clients, including private-sector organizations, governments, research institutions, and NGOs, ensuring sustainable and resilient water and disaster management strategies for the mountain regions of the future.",Climate Data and Analytics,2-10 employees,Partnership,"Utrecht, Utrecht, Netherlands",Netherlands,hydrominds.nl,https://www.linkedin.com/company/hydrominds
Centilix B.V.,"Centilix is a custom software development company that specializes in creating cutting-edge solutions for businesses in various sectors and industries. With a focus on energy management and climate control, we are revolutionizing the way companies optimize energy savings and CO2 reduction.

With expertise in full-stack development, machine learning, and IoT, Centilix helps businesses streamline their operations and maximize their potential. 

We work closely with clients to deliver customized web and mobile applications that meet their unique business needs. 

Join us in empowering businesses to optimize energy management and climate control systems, contributing to a greener future. Together, we can make a significant impact on sustainability, efficiency, and comfort. Let Centilix help your business reach new heights with tailored and user-friendly software solutions.",Climate Data and Analytics,2-10 employees,Partnership,"Eindhoven, North Brabant, Netherlands",Netherlands,centilix.com,https://www.linkedin.com/company/centilix
Initiative on GHG accounting of war,"The Initiative on GHG accounting of war is an association of climate experts estimating with the impact of Russia's full-scale invasion on our climate. At this page we will update you on our publications, media reports and relevant events.",Climate Data and Analytics,2-10 employees,Non Profit,"Rotterdam, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/warbon
Fast Hazard,"Fasthazard is a Dutch SME, making ground-breaking tools for flood and other natural hazard. Know their impacts and be prepared! Find our flood tools at www.fastflood.org.",Climate Data and Analytics,2-10 employees,Privately Held,"Apeldoorn, Gelderland, Netherlands",Netherlands,fasthazard.com,https://www.linkedin.com/company/fast-hazard-b-v
Climate Campus,"Climate Campus is een regionaal netwerk van meer dan 40 partijen die samenwerken om de steden en de Deltaregio weerbaar te maken tegen klimaatverandering nu de gevolgen van klimaatverandering steeds merkbaarder worden in heel Nederland en de rest van de wereld. De ambitie is om uit te blinken in het toepassen van nieuwe en bestaande kennis en technologie, en te investeren in een intensieve samenwerking tussen overheid, bewoners, bedrijven en instellingen. Uitgangspunt is de internationale vakwereld van kennis en innovatie te verbinden met de lokale gemeenschap.

De ambitie is om uit te blinken in het toepassen van nieuwe en bestaande kennis en technologie, en te investeren in een intensieve samenwerking tussen overheid, bewoners, bedrijven en instellingen.",Climate Data and Analytics,51-200 employees,Non Profit,"Kampen, Overijssel, Netherlands",Netherlands,climate-campus.nl,https://www.linkedin.com/company/climate-campus
Global Water Watch,"Global Water Watch, supported by Google.org and the Water, Peace, and Security Partnership, will provide free, globally accessible, near-real-time and high-resolution spatiotemporal information on the amount of water stored in reservoirs and the water level and flow in major river systems.

World Resources Institute, Deltares and World Wildlife Fund are partnering to create this data platform, which will house information on thousands of global reservoirs and major river systems. The platform uses Earth Observation (EO) algorithms, satellite data, artificial intelligence, cloud computing and machine learning to map dams and produce high-resolution spatiotemporal and granular (10m) information on the amount of water stored in reservoirs as well as water level and flow information in major river systems in near-real-time.

This data will help decision-makers respond quickly to extreme weather events, manage growing risks of climate change, make societies more climate resilient and preserve and restore our vital ecosystems and the many services they provide. National and subnational governments can use the data to manage water resources more sustainably, efficiently and equitably. Making this information publicly accessible will hold governments accountable for proper water stewardship and uncover water resource conditions in upstream states and nations, who may be reluctant to share data with downstream neighbors.",Climate Data and Analytics,11-50 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,globalwaterwatch.earth,https://www.linkedin.com/company/global-water-watch
Sustate,"Most impact-driven businesses don’t fail because their mission isn’t strong.

They struggle because their impact isn’t clearly translated into structure, strategy, and funding.

That’s where Sustate comes in.

We help impact entrepreneurs turn their ideas into clear, measurable, and fundable businesses. 

By combining impact frameworks, strategic structuring, and financing readiness, we build the foundation that allows real impact to grow.

No vague impact claims.
No empty storytelling.

Just clarity, structure, and a strategy that actually works.

So you can focus on what truly matters:

Building something that creates real impact.",Climate Data and Analytics,11-50 employees,Public Company,Netherlands,Netherlands,sustate.nl,https://www.linkedin.com/company/sustate
ESG Days,"Een geblokkeerde Straat van Hormuz. Importheffingen. Verstoorde toeleveringsketens. Geopolitieke ontwikkelingen laten zien hoe snel de context waarin je onderneemt kan veranderen. Nu zoek je richting, handvatten en bewezen oplossingen om duurzaamheid structureel te verankeren in je strategie en bedrijfsvoering. Samen met koplopers, vernieuwers en experts ga je aan de slag met vragen als: hoe maak je je organisatie weerbaarder in een onvoorspelbare economie? Welke inzichten en praktijkvoorbeelden helpen je betere strategische keuzes te maken? Hoe vertaal je maatschappelijke verwachtingen en marktkansen naar concrete acties? Welke samenwerkingen helpen je sneller resultaten te boeken op onderwerpen die belangrijk zijn voor de toekomst van je organisatie? En hoe maak je je keten minder kwetsbaar voor geopolitieke veranderingen? 

ESG Days brengt de markt in beweging door kennis, praktijkervaring en innovatie samen te brengen. Je gaat naar huis met concrete ideeën, praktische tools, nieuwe contacten en vervolgstappen die je direct kunt toepassen. Dankzij interactieve sessies, praktijkvoorbeelden en doelgroepgerichte tracks werk je aan oplossingen die passen bij de uitdagingen van jouw organisatie.",Climate Data and Analytics,2-10 employees,Privately Held,"Utrecht, Utrecht, Netherlands",Netherlands,esgdays.com,https://www.linkedin.com/company/esgdays
Comforest,"Our mission is to achieve sustainable and smart office buildings with a high level of comfort. By use of artificial intelligence, we provide maximum comfort and a healthy climate whilst reducing energy costs and emissions. 
Comforest's Smart Indoor Climate system continuously monitors your office building and directly manages all climate systems with a central controller. Whenever some part of the office is unused, all equipment is turned off and the climate is retained at a minimal level. The air quality and temperature are monitored through our multi-sensor units. For larger office spaces, it is possible to make use of multiple sensor units.

Comforest's Smart Indoor Climate system realizes energy savings and a healthier indoor climate which leads to reduced energy costs and increased productivity of employees.",Climate Data and Analytics,2-10 employees,Privately Held,"Assen, Drenthe, Netherlands",Netherlands,comforest.eu,https://www.linkedin.com/company/comforest
GroeneBaan.nl,"Het Groene Netwerk, voor Kennis en Kansen
Dit netwerk is een goed startpunt voor kennis en kansen in een Groene toekomst; een Groene Baan. Een platform voor alle soorten groene vacatures.",Climate Data and Analytics,2-10 employees,Non Profit,"Amsterdam, North Holland, Netherlands",Netherlands,groenebaan.nl,https://www.linkedin.com/company/groenebaan-nl
Cappi,"Commercial power now runs on proof.

Carbon borders are rising around the world's largest markets, and more are coming. Fuel buyers on the road, at sea and in the air price each batch on its carbon intensity. Tenders, banks and investors ask for your data before they accept your price. Prove your actual performance and you hold your margin, keep the order and keep your place in the market. Fall back on defaults and you pay a discount that never appears on an invoice, on every tonne, every batch, every contract.

Most companies fight this with spreadsheets, consultants and endless data requests. Cappi wins it with one move.

Your data goes in once. Product intelligence turns it into proof at the level your markets actually price, the product and the batch. From that single foundation, everything follows. CBAM proof that keeps exporters inside the world's most demanding supply chains and lets importers buy on actual figures, not punitive defaults. Batch Carbon Intelligence that makes every low-carbon fuel and feedstock batch count where it is priced, across road, shipping and aviation. Product sustainability that runs from carbon footprint to Digital Product Passport and ecodesign readiness. Reporting across CSRD, VSME, GRI and ISSB from the same verified data, so customers, tenders and investors get their answers in days, not quarters.

Then the same data works for you. It shows where the savings are, which market pays most for each batch, which suppliers strengthen your hand, what to fix first and what it returns. Sustainability stops being a reporting duty and becomes a decision you can price and act on.

Every figure traces to its source, and holds when it is challenged. In a market filling with fast, unverifiable numbers, that is the difference between a claim and an asset. Ask us to show you.

If you export, import, trade or supply where proof is priced, Cappi is built for you.

Cappi captures value from sustainability.",Climate Data and Analytics,11-50 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,cappi-sustainability.com,https://www.linkedin.com/company/cappi-sustainability
Groengewoon Consultants,"Groengewoon Consultants richt zich op klimaatadaptatie en het verduurzamen van (openbare) buitenruimtes. Samen ontwikkelen we plannen om hittestress te verminderen, regenwater efficiënt te beheren en biodiversiteit te bevorderen. Onze gedreven professionals maken het verschil voor jou.",Climate Data and Analytics,2-10 employees,Self Employed,"Enschede, Overijssel, Netherlands",Netherlands,lso-adviseurs.nl,https://www.linkedin.com/company/twentsch-goed
Midgard,Midgard is building AI agents that take over boring sustainability compliance workflows.,Climate Data and Analytics,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,midgard.earth,https://www.linkedin.com/company/midgard-earth
Groundwater Global,"Groundwater Global is a foundation that offers the Groundwater Global app to the entire world.

Anyone can measure groundwater levels using their phone and the Groundwater Global app. Institutions collect observations for any area from all locations marked by users as publicly visible. Insights are transferred from governing institutions and academics back to the communities.",Climate Data and Analytics,2-10 employees,Non Profit,"Delft, South Holland, Netherlands",Netherlands,groundwater.global,https://www.linkedin.com/company/groundwater-global
CO2 Improve,"In the field of logistics the IAF has developed a concept: CO2 Improve.
Driven by the rapid growth in attention for sustainable logistics, this logistics concept has been created to lower the CO2 footprint of any company in the  Fashion, Textile and Sports industry. 

CO2 Improve deliver transport CO2 emission calculations and helps fashion-, textile- and sports companies to plan and implement reduction measures to improve their performance. Our emission calculations are accredited and in methodological conformance with the Global Logistics Emissions Council Framework for Logistics Emissions Methodologies (GLEC Framework, compliant with the EN16258, CCWG and ICAO/IATA RP1678).",Climate Data and Analytics,2-10 employees,Partnership,"Zeist, Utrecht, Netherlands",Netherlands,co2improve.com,https://www.linkedin.com/company/co2improve
HydroAs,"HydroAs is a startup that believes and aims at supporting the building of well-balance and sustainable societies in Low and Middle Income countries, in which everyone is safe and where the too little (drought) or too much (flooding) water is no more a threat. 

Contact: contact@hydroas.org

Our mission entails i) the development and installation of a network of low-cost sensors to monitor weather (and more importantly water fluxes), ii) associated with a digital warning platform with synthetic maps of vulnerable locations to (drought and flooding) and iii) a set of first actions in situation of disaster. 

We are a team of passionate engineers with African roots from various fields including water resources management, hydrology, environmental science, data science, electrical engineering, telecommunications and risk management.",Climate Data and Analytics,2-10 employees,Privately Held,"Delft, South Holland, Netherlands",Netherlands,,https://www.linkedin.com/company/hydroasteam
Sustainability Reporting Manual,"We are dedicated to empowering sustainability professionals with the knowledge and tools needed to excel in sustainability reporting. Our comprehensive eBook offers practical insights, best practices, and expert guidance to help you navigate the complexities of sustainability reporting.

At Sustainability Reporting Manual, we believe in the power of informed reporting to drive positive change. Our mission is to commercialize top-tier resources and create a community where professionals can share knowledge, stay updated on industry trends, and enhance their reporting skills.

Join us on this journey towards a more sustainable future. Let's make a difference, one report at a time.",Climate Data and Analytics,Self-employed,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,sustainabilityreporting.shop,https://www.linkedin.com/company/sustainability-reporting-manual
ESG BI,"Let’s turn a €35 billion regulatory cost into an opportunity by making all European businesses stronger. At ESG BI we turn compliance data into ESG strategy to enable data guided business transformation.

EMMA is the ESG Maturity Metrics Algorithm which combines 5 business metrics to enable leaders to steer their organisation over the X-curve of transformation. 

Our Services:
- Data Readiness Assessment
- ESG Maturity Assessments
- Implementing the Data Hub
- Run EMMA to create an ESG benchmark report
- Ready2Report service for #CSRD
- Develop an ESG strategy and change program
- Manage ESG transformation with the ESG Performance Platform",Climate Data and Analytics,2-10 employees,Privately Held,"Utrecht, Utrecht, Netherlands",Netherlands,esgbi.com,https://www.linkedin.com/company/esg-bi
