Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gartner,"We deliver actionable, objective business and technology insights. Our expert guidance and tools enable faster, smarter decisions and stronger performance on an organization’s mission-critical priorities.

Our unrivaled combination of business and technology insights steers clients toward the right decisions on the issues that matter most. As a $6.5 billion company, with over 20,000 associates, and a member of the S&P 500, we are an objective partner with 13,000+ client enterprises in ~90 countries and territories — across every major function, geography, industry and market sector — and boast 45+ years of experience providing insights and expert guidance to client enterprises worldwide.

To learn more about how we guide the leaders who shape the world, visit gartner.com. 

Gartner, Inc. (NYSE: IT) 

Community guidelines: https://gtnr.it/3tceMrU

Hot Topics Across the C-Suite LinkedIn Newsletter: https://gtnr.it/4c56S97",Information Services,"10,001+ employees",Public Company,"Melbourne, Victoria, Australia",Australia,gtnr.it,https://www.linkedin.com/company/gartner
Experian,"Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, deliver digital marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to realise their financial goals and help them to save time and money.
We operate across a range of markets, from financial services to healthcare, automotive, agrifinance, insurance, and many more industry segments.
We invest in talented people and new advanced technologies to unlock the power of data and innovate. As a FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 22,500 people across 32 countries. Our corporate headquarters are in Dublin, Ireland. Learn more at experianplc.com.",Information Services,"10,001+ employees",Public Company,"Sydney, New South Wales, Australia",Australia,experianplc.com,https://www.linkedin.com/company/experian
Dun & Bradstreet,"Dun & Bradstreet, a leading global provider of business decisioning data and analytics, enables companies around the world to improve their business performance. Dun & Bradstreet’s Data Cloud fuels solutions and delivers insights that empower customers to accelerate revenue, lower cost, mitigate risk, and transform their businesses. 

Since 1841, companies of every size have relied on Dun & Bradstreet to help them manage risk and reveal opportunity. For more information on Dun & Bradstreet, please visit www.dnb.com.",Information Services,"5,001-10,000 employees",Public Company,"Melbourne, Victoria, Australia",Australia,dnb.com,https://www.linkedin.com/company/dun-&-bradstreet
Informa,"Informa champions specialists working in academic and business-to-business markets, connecting people with knowledge to help them learn more, know more and do more. 

We’re a leading international events, digital services and academic knowledge business, headquartered in the UK and a member of the UK’s FTSE 100 group of public companies. 

We’re also home to a fantastic, inclusive community of over 14,000 colleagues across 30 countries, and a place where our colleagues have the freedom and flexibility to bring ideas to life, do work that makes a real impact and discover opportunities to grow.

Our businesses include Informa Markets, Informa TechTarget, Informa Connect, Informa Festivals and Taylor & Francis, but if you work in one of the specialist markets we serve, you might also know us through our brands. 

In Pharma, Medical and Biotech, that includes WHX Dubai, CPHI and EBD; in Tech, Enterprise Connect, AI Summit, Black Hat and GDC; in Natural Products, New Hope Network, Vitafoods and Natural Products Expo; in Beauty & Aesthetics, China Beauty Expo and Premier Beauty; in Finance, SuperReturn International, Money20/20, Finovate and IGM; in Research and Advanced Learning, Routledge and F1000; and many more brands in more markets too.",Information Services,"10,001+ employees",Public Company,"Sydney, New South Wales, Australia",Australia,informa.com,https://www.linkedin.com/company/informa
Guidepoint,"Guidepoint is a research enablement platform designed to advance understanding and empower our clients’ decision-making process. Powered by innovative technology, real-time data, and hard-to-source expertise, we enable our clients to turn answers into action.

Backed by a network of nearly 1.75 million experts, and Guidepoint’s 1,600 employees worldwide we inform leading organizations’ research by delivering on-demand intelligence and research on request. With Guidepoint, companies and investors can better navigate the abundance of information available today, making it both more useful and more powerful.

For more information, visit www.guidepoint.com.",Information Services,"1,001-5,000 employees",Privately Held,"Sydney, New South Wales, Australia",Australia,guidepoint.com,https://www.linkedin.com/company/guidepoint
EcoVadis,"EcoVadis is a purpose-driven company dedicated to embedding sustainability intelligence into every business decision worldwide. With global, trusted and actionable ratings, businesses of all sizes rely on EcoVadis’ detailed insights to comply with ESG regulations, reduce GHG emissions, and improve the sustainability performance of their business and value chain across 220 industries in 180 countries. Leaders like Johnson & Johnson, L’Oréal, Unilever, BASF and JPMorgan are among 175,000+ businesses that use EcoVadis ratings, risk, and carbon management tools and e-learning platform to accelerate their journey toward resilience, sustainable growth and positive impact worldwide. Discover what life at EcoVadis looks like: linkedin.com/showcase/life-at-ecovadis & check our latest job opportunities: ecovadis.com/careers.",Information Services,"1,001-5,000 employees",Privately Held,"Melbourne, Victoria, Australia",Australia,ecovadis.com,https://www.linkedin.com/company/ecovadis
Argus Media,"Argus is the leading independent provider of market intelligence to the global energy and commodity markets. We offer essential price assessments, news, analytics, consulting services, data science tools and industry conferences to illuminate complex and opaque commodity markets.

Headquartered in London with over 1,500 staff, Argus is an independent media organisation with 30 offices in the world’s principal commodity trading hubs.

Companies, trading firms and governments in 160 countries around the world trust Argus data to make decisions, analyse situations, manage risk, facilitate trading and for long-term planning. Argus prices are used as trusted benchmarks around the world for pricing transportation, commodities and energy.

Founded in 1970, Argus remains a privately held UK-registered company owned by employee shareholders and global growth equity firm General Atlantic.",Information Services,"1,001-5,000 employees",Privately Held,"Sydney, New South Wales, Australia",Australia,argusmedia.com,https://www.linkedin.com/company/argus-media
Experian Asia Pacific,"Experian is a global data and technology company, powering opportunities for people and businesses around the world. We help to redefine lending practices, uncover and prevent fraud, simplify healthcare, deliver digital marketing solutions, and gain deeper insights into the automotive market, all using our unique combination of data, analytics and software. We also assist millions of people to realise their financial goals and help them to save time and money. 

We operate across a range of markets, from financial services to healthcare, automotive, agrifinance, insurance, and many more industry segments.

We invest in talented people and new advanced technologies to unlock the power of data and to innovate. A FTSE 100 Index company listed on the London Stock Exchange (EXPN), we have a team of 25,200 people across 32 countries. Our corporate headquarters are in Dublin, Ireland.

We’d love to hear from you on ways we can better serve you.",Information Services,"501-1,000 employees",Public Company,"Melbourne, Victoria, Australia",Australia,experian.com.sg,https://www.linkedin.com/company/experian-asia-pacific
ISG (Information Services Group),"ISG (Nasdaq: III) is a global AI-centered technology research and advisory firm. A trusted partner to more than 900 clients, including 75 of the world’s top 100 enterprises, ISG is a long-time leader in technology and business services that is now at the forefront of leveraging AI to help organizations achieve operational excellence and faster growth. The firm, founded in 2006, is known for its proprietary market data and research, in-depth knowledge and governance of provider ecosystems, and the expertise of its 1,500 professionals worldwide working together to help clients maximize the value of their technology investments. For more information, visit www.isg-one.com.",Information Services,"1,001-5,000 employees",Public Company,"Sydney, New South Wales, Australia",Australia,isg-one.com,https://www.linkedin.com/company/information-services-group
Informa Connect,"Informa Connect delivers live and on-demand events, training, and specialist digital content to businesses and professionals. We work in close collaboration with industry leaders to curate and create unique and relevant content for our communities and audiences, giving them access to extraordinary people and exceptional insight. 

Informa Connect is a division of Informa PLC.",Information Services,"1,001-5,000 employees",Public Company,"Sydney, New South Wales, Australia",Australia,informaconnect.com,https://www.linkedin.com/company/informa-connect
