Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
MediaKind,"MediaKind’s mission is to lead the future of global media technology and be the first choice for service providers, operators, content owners, and broadcasters looking to create and deliver immersive media experiences. 

MediaKind’s end-to-end video delivery solutions include Emmy award-winning video compression solutions for contribution and direct-to-consumer video service distribution, advertising and content personalization solutions, high efficiency cloud DVR, and TV and video delivery platforms.",Media & Telecommunications,"501-1,000 employees",Privately Held,"Southampton, England, United Kingdom",United Kingdom,mediakind.com,https://www.linkedin.com/company/mediakind
Windpower Monthly,"Windpower Monthly has been the leading wind industry publication for more than forty years, offering news, technology reviews, analysis and interviews with senior industry figures. We cover innovations in wind technology, industry developments, financial results and policy and regulatory changes in global markets, as well as milestones in major wind projects.",Media & Telecommunications,11-50 employees,Privately Held,"Twickenham, England, United Kingdom",United Kingdom,windpowermonthly.com,https://www.linkedin.com/company/windpower-monthly
Ink - we are travel media,"Ink has been in business for 30 years and is the world’s leading travel media company. 

We work with the largest travel brands and airlines worldwide - including Booking.com, easyJet, Agoda, Virgin Atlantic, Eurowings, Singapore Airlines, Malaysia Airlines, Ethiopian Airlines and many more - to craft award winning content across video, social, digital and print, and drive unparalleled media sales. 

Our divisions include ReachTV, the world’s largest airport TV network; Business Traveler, which engages HNW audiences in print, online and on TV; and More Corners, a social-first travel inspiration channel and co-branded content feed. 

In 2019 we became part of Stagwell a Nasdaq trading company, founded in 2015, by Mark Penn (ex-Microsoft). We have a collective vision as a global marketing and communications group on transforming marketing globally.  We say our industry has been dominated for decades by four firms that haven’t evolved fast enough to adapt to the times. We believe that unrivalled creativity plus data-driven connectivity drives unmistakable effectiveness. Our headquarters is in London, and we have global offices in Miami, San Diego, Singapore, Kuala Lumpur and São Paulo.",Media & Telecommunications,201-500 employees,Privately Held,"London, England, United Kingdom",United Kingdom,ink-global.com,https://www.linkedin.com/company/inkglobal
TheBusinessDesk.com,"Business news website for the North West, Yorkshire, West Midlands, East Midlands, South West and Scotland.

Our subscribers receive free daily news on business in their region direct to their inbox before 8.30am every working day.

Our website is updated with business news as it happens throughout the day.",Media & Telecommunications,11-50 employees,Privately Held,"Leeds, England, United Kingdom",United Kingdom,thebusinessdesk.com,https://www.linkedin.com/company/thebusinessdesk-com
Move It Magazine,"MOVE IT MAGAZINE 
The world’s leading publication for heavy lifting and transport equipment.  

What is Move It Magazine
Move It Magazine is a bi-monthly publication available in both digital and print formats. It is distributed globally to key professionals in heavy lifting, transport, equipment manufacturing, maritime, logistics, construction, and the energy industry. 

What kind of content does it offer?
Move It Magazine and its website feature industry news, in-depth articles, interviews, and valuable insights. It covers everything related to lifting and transporting heavy, oversized, and abnormal loads worldwide. The magazine also highlights the latest materials, logistics innovations, maritime solutions, construction advancements, environmental initiatives, and energy sector developments.  

Who does it reach?
Move It Magazine reaches over 110,000 industry professionals per issue, including 85% decision-makers — a highly sought-after audience. To maximize visibility, the magazine is distributed worldwide, mostly across Europe, USA, Asia, the Middle East, Africa, South America and beyond.  

What are its regular features?
Regular topics include:  
- Lifting & Transport Equipment  
- Construction & Infrastructure  
- Ports & Maritime Logistics  
- Air Cargo & Freight Forwarding 
- Mining & Oil & Gas
- Energy & Offshore Innovations
- Major Industry Projects & Innovations

For more information, visit https://moveitmagazine.com",Media & Telecommunications,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,moveitmagazine.com,https://www.linkedin.com/company/move-it-magazine
Technology Networks,"Technology Networks offer today's scientist a single resource that contains unique, engaging, and entertaining content from their field of research.",Media & Telecommunications,11-50 employees,Privately Held,"Sudbury, England, United Kingdom",United Kingdom,technologynetworks.com,https://www.linkedin.com/company/technology-networks-ltd-
Appear,"Headquartered in Oslo, Norway, Appear is a leader in live production technology, specialising in high-capacity, sustainable solutions for media processing and content delivery. Our portfolio is designed to support the most complex scenarios of live event contribution,  adapting seamlessly to the ever-evolving dynamics of the media, entertainment, and sports industries.

Our extensive client base, including world-leading content creators like NBCUniversal, Warner Bros. Discovery, Formula 1, NHL, and Riot Games, rely on our solutions to deliver the highest profile live media with utmost integrity and efficiency. This trust underscores our position at the pinnacle of live production technology, where our commitment to excellence and innovation meets the critical demands of the most prestigious live events worldwide.                                                                                                                                                                                

Founded in 2004, Appear has established itself as a leader in the industry. Thanks to our world-renowned team of experts and their relentless emphasis on modularity and functional versatility, we are at the forefront of innovation in live production technology.

We actively participate with key industry bodies and technology partners to drive the advancement of standardisation and foster continuous innovation. Our excellence is internationally recognised through numerous accolades, including the prestigious NAB Product of the Year and Excellence in Sustainability awards, celebrating our achievements in sustainability and technological leadership.",Media & Telecommunications,51-200 employees,Privately Held,"London, England, United Kingdom",United Kingdom,appear.net,https://www.linkedin.com/company/appear-net
Chartr,"Data-driven insights on business, tech, entertainment and society in less than 5 minutes with our free visual newsletter.

Get the visuals and data you need to understand today's world and take your small talk to the next level—at the office and at home.",Media & Telecommunications,2-10 employees,Privately Held,"London, England, United Kingdom",United Kingdom,chartr.co,https://www.linkedin.com/company/chartr
Woman Banker,"Woman Banker is an online magazine for women in banking and Finance ! We are dedicated to empowering women in the banking industry and providing them with the tools and resources they need to succeed.

Our magazine features articles written by women in banking, covering a wide range of topics including career development, leadership, and industry trends. We also highlight successful women in banking, providing inspiration and motivation for our readers",Media & Telecommunications,2-10 employees,Self Employed,"London, England, United Kingdom",United Kingdom,,https://www.linkedin.com/company/woman-banker
Trade Treasury Payments (TTP),"Trade Treasury Payments (TTP) is the leading independent media, research, and education platform in trade, treasury, and payments. Based in London and Lisbon, we deliver independent, honest, and meaningful conversations that cut through the noise. Our readers include industry professionals in transaction banking, payments, treasury management and corporate banking.

Through free education, community, and networks, we break down barriers in transaction banking, and give a platform to the voices that matter—from SME business owners to emerging and developing markets.",Media & Telecommunications,11-50 employees,Privately Held,"London, England, United Kingdom",United Kingdom,tradetreasurypayments.com,https://www.linkedin.com/company/trade-treasury-payments
The HR World,"Through original content and bespoke, immersive and outcome based events senior HRs collaborate and problem solve to support their business and personal ambitions.

As an independent organisation, the platform holds regular networking events and covers the issues that matter to our growing community.

The HR World is the place to be for:
- Engaging virtual and in-person events that make a difference to HR practice
- Online newsletters and eye-catching social media campaigns
- The Commercial Partner Directory making connections with the HR market
- A growing Membership group of engaged senior HR professionals
- Timely, relevant and incisive thought leadership content
- Strategic online advertising and content
- Profile opportunities to get your work and voice heard

Join the HR Partner Directory 
> https://www.thehrworld.co.uk/partners

Become a member 
> https://www.thehrworld.co.uk/membership

Events
> https://www.thehrworld.co.uk/events

Please get in touch at hello@thehrworld.co.uk and let’s talk about how we can help you make an impact on the future of work.",Media & Telecommunications,2-10 employees,Privately Held,"Bristol, England, United Kingdom",United Kingdom,thehrworld.co.uk,https://www.linkedin.com/company/thehrworld
