Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Siemens,"Siemens AG (Berlin and Munich) is a leading technology company focused on industry, infrastructure, mobility, and healthcare. The company’s purpose is to create technology to transform the everyday, for everyone. By combining the real and the digital worlds, Siemens empowers customers to accelerate their digital and sustainability transformations, making factories more efficient, cities more livable, and transportation more sustainable. A leader in industrial AI, Siemens leverages its deep domain know-how to apply AI – including generative AI – to real-world applications, making AI accessible and impactful for customers across diverse industries. Siemens also owns a majority stake in the publicly listed company Siemens Healthineers, a leading global medical technology provider pioneering breakthroughs in healthcare. For everyone. Everywhere. Sustainably. In fiscal 2025, which ended on September 30, 2025, the Siemens Group generated revenue of €78.9 billion and net income of €10.4 billion. As of September 30, 2025, the company employed around 318,000 people worldwide on the basis of continuing operations.",Automation Machinery Manufacturing,"10,001+ employees",Public Company,"Brande, Middle Jutland, Denmark",Denmark,siemens.com,https://www.linkedin.com/company/siemens
Retina Systems ApS,"Retina Systems ia a solution and service provider that comprehensively handles the project needs of their client from concept to installation through support.

This process normally involves studying the client's current situation, evaluating the client's needs, specifying the mix of new developments, manufacturers' hardware and software required to meet project goals, installing the hardware and software at the client's site(s).

In many cases, the ""solution"" also includes ongoing service and support and in this case Retina Systems also is your ""value-added reseller"".",Automation Machinery Manufacturing,2-10 employees,Privately Held,"Roskilde, Zealand, Denmark",Denmark,retina.dk,https://www.linkedin.com/company/retina-systems-aps
Baercon,"Baercon provides consultancy worldwide in relation to bulk material stockyard management in the mining and minerals sectors, hereunder iron ore, coal, fertilizers and building materials. In addition, general consultancy on supply chain business processes in same sectors is provided.",Automation Machinery Manufacturing,Self-employed,Public Company,"Rødovre, Capital Region, Denmark",Denmark,flsmidth.com,https://www.linkedin.com/company/baercon
Aagaard AM,"Welcome to my LinkedIn profile! I am Aagaard AM, a specialist in developing and refining custom additive manufacturing (AM) processes, also known as industrial 3D printing. With a strong background in this innovative field, I collaborate with clients to create tailored solutions that enhance production systems across various industries.

**Expertise:**
- **Toolpath Planning:** Optimizing the paths that 3D printers follow to ensure efficient and accurate production.
- **Data Preparation, Generation, and Analysis:** Managing and analyzing data to drive informed decisions and improve manufacturing outcomes.
- **Machine Control Systems:** Designing and implementing systems that control and monitor 3D printing equipment for optimal performance.
- **Electronics (Hardware and Software):** Developing both the physical components and the software that powers advanced manufacturing technologies.

My goal is to work closely with customers to understand their unique needs and deliver specialized solutions that drive innovation and competitiveness. By focusing on these key areas, I help organizations achieve greater efficiency, precision, and overall excellence in their production processes.

Let's connect and explore how we can collaborate to push the boundaries of additive manufacturing together!",Automation Machinery Manufacturing,Self-employed,Self Employed,"Køge, Zealand, Denmark",Denmark,,https://www.linkedin.com/company/aagaard-am
VP Electric ApS,,Automation Machinery Manufacturing,,,"Gentofte, Denmark",Denmark,vpelectric.dk,https://www.linkedin.com/company/vp-electric-aps
Active Communication Denmark,"Distribution af automationsprodukter fra Wiesemann & Theis GmbH (W&T) i Danmark, Norge og Sverige fra 1992. Produkterne fra W&T omfatter løsninger for seriel datakommunikation over Ethernettet, overvågning af temperatur og fugtighed, styring og overvågning af udstyr over Ethernettet.

Forhander af progeCAD i Danmark fra okt. 2013, hvilket er et prisbillig CAD softwareløsning svarende til AutoCAD.",Automation Machinery Manufacturing,2-10 employees,Self Employed,"Horsens, Middle Jutland, Denmark",Denmark,activecommunication.dk,https://www.linkedin.com/company/active-communication-denmark
HGA Automation,Our company provide Program Logic Controller (PLC)  and Supervisory Control And Data Acquisition  (SCADA)  systems programming,Automation Machinery Manufacturing,Self-employed,Self Employed,Denmark,Denmark,,https://www.linkedin.com/company/hga-automation
FIX-ID A/S,"The company are highly specialized in RFID technologi and are developing new ground-braking systems for the mink industry. Our objective is to help the farmers to improve their breeding to a higher quality, which can be done by tracking the mink through the different processes on its way to the auction house. Afterwards the farmer has the opportunity to compare and uptimize by the tracked data.
FIX-ID A/S are owned among others by Dansk Mink Papir A/S, which have supplied fur breeders all over the world with quality machines and consumables since 1987.",Automation Machinery Manufacturing,2-10 employees,Public Company,"Holstebro, Middle Jutland, Denmark",Denmark,fix-id.dk,https://www.linkedin.com/company/fix-id-a-s
Targetline - Wheel alignment system,"Targetline is a precise four wheel laser alignment system. It measures toe in/out in small increments of 6'/0,1 degree, not just total toe.
It is simple to use, has a small foot print and is low cost. In 10 minutes all four wheels have be measured.
The complete kit cost 1299 EURO.
For more information please contact autofokus@outlook.dk",Automation Machinery Manufacturing,Self-employed,Self Employed,"Klarup, North Denmark Region, Denmark",Denmark,,https://www.linkedin.com/company/targetline-4-wheel-laser-alignment
Westerling ApS,"Westerling er en handelsvirksomhed, som forhandler kvalitetsdele til industrien. Alle sliddele til plasma, laser, vand, og oxyfuel skæring.
Med har næsten 20 års erfaring fra branchen, og har Westerling ApS et stort know-how og leverer stort set alt.
Vi forhandler kvalitetsdele fra Hypertherm, Centricut, Accusteram, Precitec, II-VI, ELGA, JP Nissen mm.
Vi er leverandør til metalindustrien, og vi leverer indenfor 1-2 dage.
Vi skaffer også dele, som ikke er i vort produkt katalog, kontakt os gerne for mere.
Westerling ApS fører markedet bedste produkter, til de bedste priser.",Automation Machinery Manufacturing,Self-employed,Public Company,"Køge, Zealand, Denmark",Denmark,,https://www.linkedin.com/company/westerling-aps
