Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Dun & Bradstreet,"Dun & Bradstreet, a leading global provider of business decisioning data and analytics, enables companies around the world to improve their business performance. Dun & Bradstreet’s Data Cloud fuels solutions and delivers insights that empower customers to accelerate revenue, lower cost, mitigate risk, and transform their businesses. 

Since 1841, companies of every size have relied on Dun & Bradstreet to help them manage risk and reveal opportunity. For more information on Dun & Bradstreet, please visit www.dnb.com.",Information Services,"5,001-10,000 employees",Public Company,"Gothenburg, 14, Sweden",Sweden,dnb.com,https://www.linkedin.com/company/dun-&-bradstreet
STIFTELSEN HEDALEN.NO,,Information Services,Self-employed,,"Hedalen, 14, Sweden",Sweden,,https://www.linkedin.com/company/stiftelsen-hedalen.no
Personalplaneringsexperten,"Personalplaneringsexperten grundades i höst 2017. Vi har över 13 års erfarenhet av frågor inom personalplanering i större företag och varit med och implementerat personalplaneringssystem för företag med flera tusen anställda. 

Vi levererar tjänster inom schemaläggning och bemanningsplanering och skapar scheman enligt gällande kollektivavtal samt enligt företagets riktlinjer som gynnar människors privatliv och som ger mer rättvis arbetsfördelning mellan anställda.
Våra lösningar kan anpassas till såväl små som medelstora företag.",Information Services,2-10 employees,Public Company,"Stockholm, Stockholm County, Sweden",Sweden,personalplanera.se,https://www.linkedin.com/company/planeringsexperten
La hora de los relojes,"Maestros relojeros con 37 años de experiencia en este sector, hemos trabajado con grandes marcas como Samsung, rolex, Ferrari, Totto, enfocados en relojes  Casio con gran proyección hacia el futuro.

""nos pasamos los días mirando el reloj y seguimos llegando tarde a la vida""",Information Services,11-50 employees,Privately Held,"01, Sweden",Sweden,,https://www.linkedin.com/company/la-hora-de-los-relojes
MySupportNet,"Vi erbjuder skräddarsydda tjänster där vi tar hjälp av AI, för vi vet att det ökar mervärdet på affärsverksamheten. Detta genom utbildning som ger praktisk kunskap om möjligheterna med AI och då riktat mot din verksamhet.  Vi har också rådgivning för att migrera utsatta websidor till mer säkra och moderna tekniker.  Allt detta vilar på en plattformstjänst som effektiviserar din vardag.             Våra tjänster är utformade för att leverera resultat och skapa långsiktigt värde för din verksamhet, så häng med på AI-tåget",Information Services,2-10 employees,Privately Held,"Sundsvall, Väster Norrland, Sweden",Sweden,supportnet.se,https://www.linkedin.com/company/mysupportnet
Opexora,"Opexora är en kunskapsplattform för ledare inom fastighet, facility management, installation och infrastruktur som vill få ut mer av sin OPEX.

Vi delar insikter, analyser och förbättringar som hjälper dig fatta smarta beslut med tyngd på lönsamhet, styrning och genomförande.",Information Services,Self-employed,Self Employed,"Varberg, 13, Sweden",Sweden,,https://www.linkedin.com/company/opexora
My OKR Hub,"My OKR Hub helps teams execute strategy with clarity, alignment, and measurable outcomes — combining OKRs and Balanced Scorecard in one seamless platform.",Information Services,2-10 employees,Privately Held,"Gothenburg, Vastra Gotaland County, Sweden",Sweden,myokrhub.com,https://www.linkedin.com/company/my-okr-hub
Raizer,"Raizer is a growth and strategy firm focused on AI-enabled platforms, digital sales and scalable SaaS business models.

We work with founders, boards and leadership teams to strengthen market position, partnerships and long-term value creation.",Information Services,Self-employed,Privately Held,"Stockholm, 01, Sweden",Sweden,,https://www.linkedin.com/company/raizer-ab
OFGuide,"We help Adult Creators get started, grow and monetize to their full potential.",Information Services,2-10 employees,Privately Held,"Stockholm, 01, Sweden",Sweden,ofguide.com,https://www.linkedin.com/company/ofguide
Formael,,Information Services,Self-employed,Privately Held,"Stockholm, 01, Sweden",Sweden,formael.com,https://www.linkedin.com/company/formael
