Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Gartner,"We deliver actionable, objective business and technology insights. Our expert guidance and tools enable faster, smarter decisions and stronger performance on an organization’s mission-critical priorities.

Our unrivaled combination of business and technology insights steers clients toward the right decisions on the issues that matter most. As a $6.5 billion company, with over 20,000 associates, and a member of the S&P 500, we are an objective partner with 13,000+ client enterprises in ~90 countries and territories — across every major function, geography, industry and market sector — and boast 45+ years of experience providing insights and expert guidance to client enterprises worldwide.

To learn more about how we guide the leaders who shape the world, visit gartner.com. 

Gartner, Inc. (NYSE: IT) 

Community guidelines: https://gtnr.it/3tceMrU

Hot Topics Across the C-Suite LinkedIn Newsletter: https://gtnr.it/4c56S97",Information Services,"10,001+ employees",Public Company,"Barcelona, Catalonia, Spain",Spain,gtnr.it,https://www.linkedin.com/company/gartner
EYOS comunicación digital,"EYOS comunicación digital es una empresa tecnológica española especializada en comunicación automatizada por WhatsApp. Conocida la importancia de informar y comunicar en todo tipo de organizaciones, y puesto que WhatsApp es el canal más universal y efectivo, en EYOS hemos desarrollado una Plataforma que gestiona automatizadamente toda la comunicación a través de WhatsApp. Nos dirigimos a organizaciones como Ayuntamientos, empresas, partidos políticos, ONG ́s... que precisan comunicarse con miles de ciudadanos o clientes y buscan una comunicación efectiva y una gestión eficiente de recursos. Invitamos, en definitiva, a abrir WhatsApp como canal para atención ciudadana y de clientes.",Information Services,2-10 employees,Self Owned,"Albacete, Castile-La Mancha, Spain",Spain,eyos.es,https://www.linkedin.com/company/eyos-comunicacion
otropuntodevista,"Gobierno del DATO. Business Intelligence. Sistemas de información para la dirección y gestión de empresas. Gestionar DATOS.
Implantar ERP, CRM, BI, etc. SI. Organización, Cuadros de Mando, Dirección por Objetivos.
Gestión del cambio. Análisis de costes y escandallos, Organización, Procedimientos.",Information Services,2-10 employees,Self Owned,"Onteniente, Valencian Community, Spain",Spain,otropuntodevista.com,https://www.linkedin.com/company/otropuntodevista
TOURVEILLE - Intelligence économique & Veille stratégique,"Qui est Tourveille ?
Tourveille est une structure professionnelle basée à Mayotte, spécialisée en intelligence économique et veille stratégique. Nous accompagnons les organisations dans la maîtrise de l’information, l’anticipation des risques et la prise de décision éclairée.

 Ce que nous proposons
Formations professionnelles  
• Initiation à l’intelligence économique 
• Veille brevets 
• Veille concurrentielle 
• Sensibilisation des équipes 
• Introduction aux outils de veille

Accompagnement & conseil  
• Mise en place d’un dispositif de veille 
• Cartographie des acteurs 
• Analyse stratégique 

 Pour qui ?
TPE/PME, porteurs de projet, associations, institutions.

Bénéfices
• Mieux décider grâce à une information fiable
• Anticiper les risques et les évolutions du marché
• Surveiller les concurrents et les innovations
• Protéger ses idées et ses projets",Information Services,Self-employed,Self Owned,"Sada, Galicia, Spain",Spain,,https://www.linkedin.com/company/tourveille
YOiD,"Una forma común, sencilla, segura y bajo tu control de identificarte en canales digitales con tu móvil.

""El equivalente digital a estar físicamente con el ID en la mano, una tarjeta para pagar o un boli para firmar"".",Information Services,2-10 employees,Privately Held,"Bilbao, Basque Country, Spain",Spain,yoid.es,https://www.linkedin.com/company/yoidentidad
WaitingList,"WaitingList es una lista de espera para hoteles de cuatro y cinco estrellas, vendemos a los hoteles lo que les queda en el último minuto para producir un ingreso extraordinario sobre un activo que ahora no produce nada.",Information Services,2-10 employees,Privately Held,"Pozuelo de Alarcón, Community of Madrid, Spain",Spain,waitinglist.es,https://www.linkedin.com/company/waitinglist
"Atento Holding Telecomunicaciones, S.A.",,Information Services,,,"Madrid, Community of Madrid, Spain",Spain,,https://www.linkedin.com/company/atento-holding-telecomunicaciones-s.a.
Hal2B,"Hal2B quiere acercar la IA al mundo de la cultura. Creemos en las personas y en sus capacidades creativas, pero también pensamos que la tecnología bien utilizada permite acceder a niveles superiores y democratizar los servicios de calidad al mejor precio.",Information Services,2-10 employees,Self Owned,"Barcelona, Catalonia, Spain",Spain,hal2b.com,https://www.linkedin.com/company/hal2b
VinosCLM MEDIA,"VinosCLM MEDIA es un medio digital independiente creado a finales del 2012 para compartir información sobre el mundo del vino de Castilla-La Mancha, sus denominaciones de origen, bodegas y temas relacionados con la viticultura.",Information Services,2-10 employees,Privately Held,"Toledo, Castile-La Mancha, Spain",Spain,vinosdecastillalamancha.es,https://www.linkedin.com/company/vinosclm
Synergy Group,"Synergy Group is an organization with movements that generates results. We have built this on three pillars, Synergy invest, The Synergy Accelerate, And the Synergy room entrepreneurship space in Marbella.",Information Services,11-50 employees,Educational,"Marbella, Andalusia, Spain",Spain,synergyroom.es,https://www.linkedin.com/company/synergy-room
Suxxify Solutions SL,"Digitale Dynamik für Ihren Erfolg – Leadgenerierung, die begeistert!

Wir, die Suxxify Solutions SL, sind Ihr digitales Powerhouse, das eine umfassende Abdeckung des gesamten Verkaufsfunnels
bietet. Von professionellem Marketing über Leadgenerierung, Leadqualifizierung bis hin zur Terminierung - wir sind Ihr Partner für nachhaltigen Erfolg. Darüber hinaus unterstützen wir Sie mit erstklassigem Consulting in digitalen Prozessen und schulen bei Bedarf Ihren Außendienst.
Entdecken Sie in dieser Präsentation, wie Suxxify Solutions SL Ihnen dabei helfen kann, Ihre Geschäftsziele zu erreichen und Ihr Unternehmen auf die nächste Stufe zu heben.

Als innovative digitale Agentur unterstützen wir unsere Kunden dabei, ihre Online-Präsenz zu stärken und ihr Geschäftswachstum zu beschleunigen. Unser maßgeschneidertes Serviceangebot deckt alle Aspekte des digitalen Marketings ab und bietet Lösungen für verschiedenste Branchen und Unternehmensgrößen.
Mit unserer Expertise und unserem kundenorientierten Ansatz helfen wir Ihrem Unternehmen, in der digitalen Landschaft erfolgreich zu sein und nachhaltig zu wachsen.

Lassen Sie uns gemeinsam eine erfolgsversprechende Zukunft gestalten!",Information Services,11-50 employees,Public Company,"Palma, Balearic Islands, Spain",Spain,suxxify.com,https://www.linkedin.com/company/suxxify-solutions-sl
Waveconomy,"Waveconomy convierte el comportamiento de pago en una señal de confianza verificable.

Las cotizadas españolas pagan a 136 días de media. El límite legal son 60. Una de cada cuatro pymes quiebra por problemas de liquidez derivados de cobros tardíos.

El sistema actual evalúa el riesgo mirando al pasado: balances de hace 12 meses, registros de morosos después del daño. Nosotros miramos al presente. WaveScore mide cómo pagan realmente las empresas (en tiempo real, con datos de facturación verificados) y lo convierte en una puntuación de 0 a 100.

Para pymes, eso significa visibilidad sobre su cartera de clientes antes de vender, no después de impagar. 
Para instituciones financieras es una señal predictiva de riesgo basada en comportamiento real, no en balances obsoletos. 

Estamos construyendo la infraestructura de confianza del comercio B2B en España.",Information Services,2-10 employees,Privately Held,"Madrid, Community of Madrid, Spain",Spain,waveconomy.com,https://www.linkedin.com/company/waveconomy
