Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Climate Analytics,Climate Analytics is a global climate science and policy institute working to accelerate climate action and keep warming below 1.5°C.,Climate Data and Analytics,51-200 employees,Non Profit,"Berlin, Berlin, Germany",Germany,climateanalytics.org,https://www.linkedin.com/company/climate-analytics
Vaayu,"Vaayu is the world’s first automated software empowering the retail industry to track and cut its carbon and environmental impact in real-time. 

By leveraging proprietary AI and machine learning technology, Vaayu calculates impacts like emissions, water and waste across product, packaging and logistics, using certified LCA methodologies to provide granular insights and inform data-driven decision-making. 

Vaayu has pioneered research into the climate impact potential of circular business models with Vinted and Otrium, and calculated product footprints at scale for Klarna and Redcare (previously Shop Apotheke). Other global partnerships include Veja, New Balance, ASKET, Missoma, Ace & Tate and Wunderman Thompson Commerce.  

Among other notable awards, Vaayu was named one of TIME’s 2022 Best Inventions, Fast Company’s 2022 Next Big Things in Tech, won the Europas 2022 Hottest Climate Tech/Sustainability Startup Award and the German Innovation Award 2023 for Excellence in B2B. In 2023, Vaayu was named a finalist for Fast Company’s Innovation by Design Award and included as one of TechRound’s SaaS66. Vaayu’s Founder and CEO Namrata Sandhu was also recognized as Reuter’s Sustainability Trailblazer as part of the Sustainable Business Awards in November 2023. 

For more information, visit our website. 

www.vaayu.tech/",Climate Data and Analytics,51-200 employees,Privately Held,"Berlin, Berlin, Germany",Germany,vaayu.tech,https://www.linkedin.com/company/vaayu
revalu,"revalu is a next-gen platform empowering AEC professionals and developers to seamlessly research, specify, collaborate and document material decisions. 
An all-in-one hub for your materials. Sign up now.",Climate Data and Analytics,2-10 employees,Privately Held,"Hamburg, Hamburg, Germany",Germany,revalu.io,https://www.linkedin.com/company/revalu-impact-ag
VIDA,"VIDA (www.vida.place) is the leading software for infrastructure investors to assess climate risks, track their impact, and meet reporting requirements. Our mission is to help people understand the world we need and empower them to take swift action toward a better future.",Climate Data and Analytics,11-50 employees,Privately Held,"Munich, Bavaria, Germany",Germany,vida.place,https://www.linkedin.com/company/vida-place
Initiative for Climate Action Transparency (ICAT),ICAT provides countries with tailored support and practical tools and methodologies to build the robust transparency frameworks needed for effective climate action in sync with national development priorities.,Climate Data and Analytics,11-50 employees,Non Profit,"Bonn, North Rhine-Westphalia, Germany",Germany,climateactiontransparency.org,https://www.linkedin.com/company/initiative-for-climate-action-transparency
Repath,"The leader in physical infrastructure risk.

Repath is the number one resilience and adaptation solution for infrastructure operators. We help you safeguard performance, extend asset life, and confidently plan investments.

We combine award-winning climate and efficiency modelling with deep infrastructure expertise to deliver tailored resilience strategies that show where to invest, when to adapt, and how to maximise financial and operational impact.

Every storm, flood, or heatwave carries hidden costs, from performance loss and downtime to rising OPEX and wasted CAPEX. Repath quantifies these risks and reveals the upside of targeted adaptation, providing operators with clear, data-backed actions and the ROI case to act fast!

Our approach goes beyond physical damage to capture how climate hazards affect operational efficiency. This gives decision-makers a complete picture of portfolio risk and opportunity, and turns climate uncertainty into a measurable advantage.

That’s why leaders, including Enel, UK Power Networks, Energy Infrastructure Partners, John Laing, and Denham Capital trust Repath to power their resilience strategies.

See your tailored resilience roadmap in days, not months.",Climate Data and Analytics,11-50 employees,Public Company,"Hamburg, Hamburg, Germany",Germany,repath.earth,https://www.linkedin.com/company/repathnow
i4sea,"i4sea turns risk into opportunity in the maritime, port, and energy sectors through its exclusive climate risk management platform.

Powered by high-resolution metocean forecasts, continuous monitoring, real-time data, and automated alerts, i4cast is a robust tool for climate intelligence.

i4sea’s forecasting capabilities currently span the entire Brazilian territory—including both coastal and inland regions—as well as parts of South America and Europe. With a wide range of meteorological and oceanographic variables, the platform delivers critical insights to support decision-making in complex operations across multiple markets.",Climate Data and Analytics,11-50 employees,Privately Held,"Schleswig-Holstein, Germany",Germany,i4sea.com,https://www.linkedin.com/company/i4sea
XDI (Cross Dependency Initiative),"Our goal is to accelerate action on climate change by embedding physical climate risk data in all decisions.

As the physical climate risk experts, we’re here to help you - whether at the start of your journey, or advanced, we deliver actionable results.

We’re independent.

XDI is part of The Climate Risk Group, a group of companies committed to quantifying and communicating the costs of climate change.

We’re serious about climate.

Ours is a mission-driven company.
We exist to help our clients and community understand and manage unavoidable climate change, whilst demonstrating the imperative for a low carbon world.  

We see every contract as a collaboration. We are trusted by governments, NGOs, companies, banks and communities  - and while some see themselves in opposite corners - we believe it will take all actors working together to solve this challenge.

We’ve got heart

Data and information alone do not create change: data needs humanity and humanity needs ambition.
Our vision is not just to identify physical climate risks, but to also mitigate them.
Our goal is a more climate-resilient community.
Our approach is to work with you over the course of your climate risk journey.",Climate Data and Analytics,11-50 employees,Privately Held,"Hamburg, Hamburg, Germany",Germany,xdi.systems,https://www.linkedin.com/company/xdi-systems
leonardo. impact,"Science. Engineering. Art.

leonardo is a leading impact-driven software partner for impact funds, DFIs and SMEs. We enable organisations to measure, verify, and report their impact confidently.

As a spin-off from TU Munich we combine scientific standards with a great software product that drastically simplifies the complex task and includes AI-powered impact verification.",Climate Data and Analytics,11-50 employees,Privately Held,"Frankfurt, Hesse, Germany",Germany,leonardo-impact.com,https://www.linkedin.com/company/leonardo-impact
sustamize,"Calculate, optimize, and manage Product Carbon Footprints with reliable CO2e data, designed for carbon transparency, Scope 3 reporting, and ESG compliance.
We provide one of the world’s largest and most dynamic CO2e databases, updated twice a year and covering an exceptionally broad spectrum of materials, processes, and geographies.",Climate Data and Analytics,11-50 employees,Public Company,"Munich, Bavaria, Germany",Germany,sustamize.com,https://www.linkedin.com/company/sustamize
