Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Refinery29,"For the last 20 years, Refinery29 has changed the way content speaks to and represents women and underrepresented communities. As a global platform that celebrates and challenges the world, R29, inclusive of namesake Refinery29, Unbothered and Somos brands, truly reflect audiences today, while identifying the shifts of tomorrow. Across its global team of journalists and creators, insight chasers and trend forecasters, Refinery29 engages, telling stories across the platforms where their audiences gather most.",Media & Telecommunications,51-200 employees,Privately Held,"Brooklyn, New York, United States",United States,refinery29.com,https://www.linkedin.com/company/refinery29
The Entrepreneur's Edge,Receive weekly AI and peak performance insights to shape the future of entrepreneurship - all in the time it takes to enjoy your morning coffee.,Media & Telecommunications,Self-employed,Self Employed,"San Francisco, California, United States",United States,racheldweissman.com,https://www.linkedin.com/company/the-entrepreneurs-edge-hq
ConnectMa,"ConnectMa is The Gambia's dedicated internet provider — built on one principle: your bandwidth is yours alone.
Unlike traditional ISPs, we provide dedicated, unshared bandwidth to homes, businesses, educational institutions, and social enterprises. No hidden fees, no shared connections, just fast and reliable internet at a price that makes sense.
Every package includes: dedicated bandwidth up to 1,000 Mbps, a router with intelligent Mesh technology, and direct network connection — no landline required. All plans are flexible and month-to-month.
Trading under SkyNet Inc, ConnectMa is committed to helping Gambians connect with confidence and get maximum value for money.
 Contact us to discuss a package for your home or business.",Media & Telecommunications,11-50 employees,Privately Held,United States,United States,connectma.gm,https://www.linkedin.com/company/connectma
Cibao Cell Service,"Distribuidor Autorizado de CLARO Dominicana, ventas al por mayor y detalle de celulares y accesorios.",Media & Telecommunications,51-200 employees,Self Owned,"New York, New York, United States",United States,,https://www.linkedin.com/company/cibao-cell-service
Miss Bangladesh US Organization,"Miss Bangladesh US Organization is an award-winning global platform redefining how South Asian women are represented on the world stage.

Founded in 2015, the organization was created to evolve traditional pageantry into a modern platform centered on leadership, visibility, mentorship, and opportunity. Through international competitions, media initiatives, strategic partnerships, and year-round development programs, we help women grow their confidence, strengthen their voice, and expand their impact across industries including entertainment, healthcare, entrepreneurship, advocacy, and public leadership.

Miss Bangladesh US played a historic role in reintroducing Bangladesh to the international pageant industry after nearly two decades, becoming the first organization to debut Bangladesh at Miss Asia Pacific International in 2016 and later achieving one of the country’s first international placements. The organization later expanded its international footprint through partnerships and national directorships connected to leading global platforms including Miss Grand International, where it represented both Bangladesh and Pakistan.

As a digital-first organization, we pioneered online contestant selection and globally connected training initiatives designed to support talent across borders. Today, our growing network of contestants, alumni, creatives, and collaborators reflects a new generation of South Asian women shaping conversations across media, business, entertainment, and culture.

In 2025, the organization received the Gold SABRE Award South Asia in the Bangladesh category alongside multiple international recognitions for innovation and digital impact.

Through our journey, we remain committed to empowering women and evolving lives.",Media & Telecommunications,11-50 employees,Non Profit,"New York, New York, United States",United States,missbangladeshus.org,https://www.linkedin.com/company/missbangladeshus
"C. A. Cross & Associates, LLC","C.A. Cross & Associates: The Visionary Nexus of Media, Strategy, & Empowerment

At the helm stands Cheryl Cross - a Talent Architect, Growth Strategist, C-Suite Partner and a voice that once graced the airwaves as a seasoned broadcaster. With two decades immersed in the vibrant tapestry of Los Angeles, Cheryl has cultivated an intricate understanding of diverse landscapes - from the sun-kissed boulevards of LA to a growing understanding of the intricate corridors of the Indo-Pacific.

Driven by a relentless pursuit of excellence and a penchant for curating powerful narratives, Cheryl envisioned a platform that was more than just a consultancy - it was a beacon of transformation. C.A. Cross & Associates, LLC is born from this vision, a testament to deep regional mastery, tactical brilliance, and an unwavering commitment to education and empowerment through personal stories and an exchange of ideas. 

In an audacious new chapter, Cheryl introduces a bright new platform, ""X Change Podcast Series."" A symphony of voices converging to challenge, change, and inspire. Complementing this auditory journey is her literary venture: ""Civilian Mission,"" a guiding compass for military professionals venturing into civilian terrains, and ""Unlocking Your Worth: Salary Negotiation for Veterans,"" a salient reminder of veterans' unmatched value in the marketplace.

But the narrative doesn't end here. With aspirations soaring sky-high, Cheryl envisions C.A. Cross & Associates as a burgeoning media empire, a sanctum for content creators, and a torchbearer for pivotal stories.

In a world awash with transient noise, let C.A. Cross & Associates be your enduring clarion call. Where strategy meets story, and vision becomes legacy.",Media & Telecommunications,Self-employed,Self Owned,"Honolulu, Hawaii, United States",United States,xchangepodcast.com,https://www.linkedin.com/company/cacross
"G&G Media Group, LLC","Headquartered in Elkhart, Ind., G&G Media Group LLC publishes RVBusiness and Woodall’s Campground Management, two highly respected trade magazines covering the recreational vehicle (RV) and campground industries, respectively, as well as their corresponding websites. In addition, G&G Media provides professionally written content, on-air talent and advertising expertise to partnering publications and national television programs in the same and other industries. Lastly, G&G Media includes among its operations several high profile and exclusive trade events and awards programs in the RV industry such as the RV Industry Power Breakfast, Top 50 Dealer Awards, RV of the Year Awards, and RISE Awards.

G&G Media personnel are experienced and talented journalists and advertising sales and design professionals who strive for excellence in all they do. Leaders include: Partner and Publisher Rick Kessler; Partner and Chief Operating Officer Scott Stropkai; RVBusiness Editor Gary Gerard, and Woodall's Campground Magazine Editor Ben Quiggle.",Media & Telecommunications,11-50 employees,Privately Held,"Elkhart, Indiana, United States",United States,,https://www.linkedin.com/company/g-g-media-group
DogPatch Solutions,"The hardest part about running a business is putting the pieces together. How do you build a website? What's the best way to let people know you're open? Is it helpful to launch a podcast and how should you use social media? That's where we come in. Our goal is to help you build the infrastructure needed for success and troubleshoot any issues along the way, regardless how big or small your business is.",Media & Telecommunications,2-10 employees,Privately Held,"Martinsville, Virginia, United States",United States,,https://www.linkedin.com/company/dogpatchsolutions
Real Producers of Wayne County,Monthly publication featuring the Top Realtors in Wayne County and our partners. We also have private events throughout the year to build stronger relationships in the real estate community.,Media & Telecommunications,2-10 employees,Self Employed,"Rochester, Michigan, United States",United States,realproducersmag.com,https://www.linkedin.com/company/real-producers-of-wayne-county
POP MEDIA,"We are a team of creative professionals who specialize in producing high-quality commercials and social media content for businesses.

Our goal is to help businesses tell their story through video and to create engaging content that resonates with their target audience. We understand the importance of video in today's digital landscape and the impact it can have on a brand's success.

We work closely with our clients to understand their unique needs and vision for their project. Our team brings expertise in all areas of video production, including concept development, scriptwriting, filming, editing, and post-production.

We have experience working with a wide range of industries, from small startups to large corporations, and we are dedicated to delivering exceptional results that exceed our clients' expectations.

Our portfolio includes a variety of projects, including TV commercials, social media ads, promotional videos, and corporate videos. We take pride in our ability to create visually stunning content that tells a compelling story and connects with audiences on an emotional level.

At POP Media, we are passionate about using video to help businesses grow and thrive. If you're looking for a creative partner to help you tell your brand's story, we would love to work with you.",Media & Telecommunications,2-10 employees,Partnership,"Charlotte, North Carolina, United States",United States,popmediavco.com,https://www.linkedin.com/company/popmediavco
