Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Aalberts hydronic flow control,"When it comes to comfortable climate in buildings, we set the ultimate standards.

Because everyone deserves optimal climate in their buildings, the world needs cleaner heating and cooling technology and our customers require a one-stop specialist for innovative hydronic solutions.

We are where ground-breaking visions are conceived for the entire building life cycle. Our partners trust us to tirelessly co-create bespoke optimal hydronic solutions.

We exist to improve the world of today and invent it for tomorrow.",Climate Technology Product Manufacturing,"1,001-5,000 employees",Public Company,"Almere, Flevoland, Netherlands",Netherlands,aalberts-hfc.com,https://www.linkedin.com/company/aalberts-hydronic-flow-control
Skytree,"Skytree is engineering the CO2 transition by building machines to capture CO2 from the air and repurpose it for good: whether it’s reused across different industries or stored permanently.

Our DAC technology transforms atmospheric CO2 into a valuable resource: powering applications like renewable fuels and chemicals, greenhouse operations, beverage carbonation and water treatment.

Our modular DAC machines and unique DAC Park architecture allow us to deploy in any climate, at scale - empowering more industries to switch to a circular CO2 source and contribute to a cleaner planet.

With more than 10 years of applied research starting at the European Space agency, we have the engineering excellence and the patented technology to enable the shift towards decarbonization. Our machines are already hard at work, capturing over 10M tonnes of CO2 by 2030.


Learn more about how we are engineering the CO2 transition at https://skytree.tech/.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,skytree.tech,https://www.linkedin.com/company/skytree
Photanol,"At PHOTANOL, we turn our world's CO2 problem into a solution: our technology uses CO2 as feedstock to produce renewable chemicals while leaving fossil resources in the ground. Our chemicals can be used to create a large variety of circular products, such as plastics, detergents, beauty and healthcare products, or even biofuels. Join our green revolution and transform the chemical industry to circular with us!",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,photanol.com,https://www.linkedin.com/company/photanol
BigCircle Ventures,"BigCircle Ventures scouts promising deeptech and turns this into successful startups that tackle the world's climate and circularity challenges. How? Many promising inventions stay untouched on a shelf, hidden in a university, research institute or company lab. We collaborate with these parties to create startups based on their inventions. This way, we bring a unique flow of early stage cleantech innovations to the market, to accelerate the transition to a net zero and circular world.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,bigcircle.ventures,https://www.linkedin.com/company/bigcircle-ventures
UniWarm B.V.,"UniWarm B.V. is systeemleverancier van Vloerverwarming/-koeling, Wandverwarming/-koeling en Plafondverwarming/-koeling.
Het assortiment is binnen haar specialisme zeer ruim en zeer innovatief. 
Uniwarm heeft voor iedere situatie de juiste oplossing.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Vorden, Gelderland, Netherlands",Netherlands,uniwarm.nl,https://www.linkedin.com/company/uniwarm
StimBlue+,"StimBlue+, our cultivated macrocystis pyrifera seaweed, empowers farmers to build stronger, more resilient crops without relying on harmful, expensive chemicals, safeguarding our food systems and the planet's future.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,kelp.blue,https://www.linkedin.com/company/stimblue
TROX Netherlands,"TROX is leider in ontwikkeling, productie en distributie van componenten, units en systemen voor de ventilatie en airconditioning van ruimtes. 

TROX Nederland B.V. behoort tot de TROX GROUP, opgericht in 1951 te Duitsland. Met wereldwijd meer dan 4.800 medewerkers, 33 dochterondernemingen in 28 landen op 5 continenten, 11 research en ontwikkeling centra en 20 productielocaties, importeurs en vertegenwoordigers is TROX actief in ruim 70 landen. 

Reeds sinds 1957 is TROX al actief op de Nederlandse markt. TROX Nederland B.V. is in 2011 opgericht en is gevestigd te Spijk (West Betuwe).

Het individu is belangrijk bij TROX: als klant met ideeën als technologisch doel, als gemotiveerde en gekwalificeerde medewerker, als een verantwoordelijke beslisser in het management en 'last but not least' als mens die leeft en werkt in goed geventileerde ruimten. 

Sinds ons bedrijf is opgericht werken we volgens deze denkwijze en bevestigen we daarmee onze goede naam. Het is onze basis bij onze klanten en is sturend bij onze oplossingsgerichte aanpak en daarom de bron van het succes van ons bedrijf.

Wij garanderen een goed en gezond binnenklimaat. Wereldwijd.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Spijk, Gelderland, Netherlands",Netherlands,trox.nl,https://www.linkedin.com/company/trox-netherlands
ACR Klimaat,"Bij ACR Klimaat combineren we innovatie en vakkennis om installateurs te ondersteunen met slimme klimaatsystemen, van warmtepompen met natuurlijke koudemiddelen tot monitoring.

Ons kenniscentrum staat klaar om jou te helpen met advies en de nieuwste inzichten, zodat jij altijd voorop blijft lopen in een snel veranderende markt.

We investeren in sterke samenwerkingen en de juiste correlatie tussen kennis, technologie en duurzame oplossingen. Of het nu gaat om verwarming, koeling of ventilatie: bij ACR Klimaat vind jij alles wat je nodig hebt om jouw projecten succesvol te maken.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Waalwijk, North Brabant, Netherlands",Netherlands,acr.nl,https://www.linkedin.com/company/acrklimaat
Inexeon,"Inexeon is gespecialiseerd in het reviseren en repareren van elektronica en (fijne) mechanica en reviseert onder andere op grote schaal onderdelen voor klimaatsystemen waaronder een besturingsprint, ventilator en pomp. 

Soms lijkt het alsof we ons bij Inexeon bezighouden met het best bewaarde geheim van de installatiebranche, maar iedereen mag het weten! Wij zijn fan van revisie. We zijn zelfs zo groot fan dat we een fanclub op hebben gericht. 

Zet je revisiebril maar op en kijk mee op www.fanvanrevisie.nl",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Wijchen, Gelderland, Netherlands",Netherlands,fanvanrevisie.nl,https://www.linkedin.com/company/inexeon
Inteco B.V.,"Inteco supplies climate solutions with a distinctive character.

We do this by making use of climate ceilings, induction units and hybrid ceilings. The Inteco climate experience fits in with people's comfort requirements, the aesthetic eye of a designer and the technical requirements of a building. Every project is custom-built as we have our own R&D, engineering, production and assembly departments. It is not without reason that our motto is: ‘Comfort without compromise’. Our head office is in Boxtel, but we are also internationally active in Luxembourg, Belgium, Denmark and other countries. Our progressive service, quality guarantee and our constant customer focus make Inteco a reliable partner. That is the distinctive character of Inteco.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Drunen, North Brabant, Netherlands",Netherlands,inteco.nl,https://www.linkedin.com/company/inteco-bv
