Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SunGreen,"SunGreen is building the materials operating system for a decarbonized molecule economy. Our NanoFuzeXTM platform engineers nanostructured electrodes that double yield and increase energy efficiency using advanced materials 100% free of precious metals (PGM), rare earths and boron-diamond, creating new frontiers in electrochemical manufacturing - from hydrogen to CO2 fuels to water treatment and metal-air batteries.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,sungreenh2.com,https://www.linkedin.com/company/sungreen-advanced-materials
Aquama,"aquama offers a comprehensive approach to cater for cleaning & disinfection needs of any surface in any business sector.  

Our best of breed water electrolysis technology allows us to offer you smart solutions that are efficient, economical and ecological.

Our business model is tailor-made to adapt to the most demanding needs, in cleaning & sanitizing, and across all industries and business areas, while proposing a profitable yet affordable solution.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,aquama.com,https://www.linkedin.com/company/aquama-suisse
Zentide,"""Building accessible and scalable bio-solutions for a greener future.""

Zentide is transforming the future of agriculture by harnessing tropical seaweed to create high-performance bio-solutions. Modern farming faces a critical challenge—degraded soils, excessive reliance on synthetic fertilizers, and rising emissions. By providing natural, scalable alternatives, we help farmers restore soil health, reduce input costs, and lower greenhouse gas emissions, all while improving long-term agricultural resilience.

Beyond farming, seaweed cultivation offers a powerful social and environmental impact. We work alongside coastal communities, creating sustainable livelihoods for seaweed farmers and strengthening local economies. As one of the world’s most effective carbon sinks, seaweed absorbs CO2, enhances marine ecosystems, and prevents agricultural runoff, making it a vital solution in the fight against climate change.

Backed by Wavemaker Impact, Southeast Asia’s leading climate-tech venture builder, Zentide is committed to scaling real solutions that drive sustainability and economic growth. Our goal is to transform agriculture while creating lasting positive change for farmers, communities, and the planet.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,zentide.co,https://www.linkedin.com/company/zentide
OffsetFarm,OffsetFarm makes financing climate action simple and quick. We are actively developing carbon offset projects and a suite of technology and products that de-risks investments in the sector.,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,offsetfarm.io,https://www.linkedin.com/company/offsetfarm
AlterPacks,"Alterpacks is an advanced materials start-up revolutionizing how we use nature’s leftovers.  We upcycle spent grains and agricultural by-products into high-performance, 100% plant-based materials designed to replace billions of single-use, unsustainable products.

Our proprietary technology delivers durable, home-compostable, and food-safe materials — certified by leading international agencies — that perform without compromise. We’re not just making new materials; we’re reshaping the future of consumption toward circularity and human-safe design.

Partnering with distributors, retailers, and innovators worldwide, we’re driving a bold mission: to eliminate single-use waste at scale and redefine the materials of everyday life for a healthier planet.   https://alterpacks.com/",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,alterpacks.com,https://www.linkedin.com/company/alterpacks
GREENLYZER,"Greenlyzer is a Singapore-based deep tech company solving one of the most pressing challenges of the AI era: sustainable, reliable energy infrastructure at scale.
 
Powered by the Green Moving Grid, a new paradigm that hybridizes the conventional grid to deliver rapidly deployable, sustainable and resilient power. Our Alpha Energy System brings this vision to life through hydrogen-powered Alpha Nodes and the Alpha Grid Orchestrator, an AI-orchestrated software platform that optimizes usage and generation in real-time.
 
Our platform powers AI data centers, industrial operations, EV charging infrastructure, and remote deployments anywhere they're needed. By hybridizing distributed and traditional energy assets, we move clean energy where and when it is needed, reducing costs, enhancing resilience, and accelerating decarbonization.
 
We're not building backup power. We're building the future of energy infrastructure for intelligent systems.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,,https://www.linkedin.com/company/greenlyzer
Green COP Pte Ltd,"Green COP Pte Ltd is a Singapore-based biotechnology startup that enables the production of second-generation biobutanol from agricultural waste. The company licenses its proprietary technology and patented processes, while supplying its patented bacterial strains to licensed partners. Through this model, Green COP facilitates the sustainable production of low-carbon biofuels and supports the global transition to renewable energy.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,greencop.sg,https://www.linkedin.com/company/green-cop
Greenitio,"Greenitio is a  sustainable materials development company. Our team combines computer simulations and green chemistry to design and synthesize bio-based, biodegradable alternatives to intentionally added microplastics and other petroleum-based ingredients in products with high environmental impact. 


Not so fun fact: the amount of microplastics that gets invisibly released to the environment from these three sectors can recreate the Great Pacific Garbage Patch every 2 years. We are envisioning a future where this sad reality ceases to exist.",Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Singapore, Singapore",Singapore,greenitio.com,https://www.linkedin.com/company/greenitio
Neurair,"At NEURAIR, we deliver more than liquid cooling systems. We provide end-to-end lifecycle support for the world’s most demanding digital infrastructure. NEURAIR ensures that clients benefit from global expertise with strong local support.

Our portfolio spans direct-to-chip and secondary loop cooling systems, with capabilities extending beyond supply into design, integration, and continuous project support. From early-stage engineering to deployment and long-term operations, we guide partners through every step, ensuring resilience, efficiency, and sustainability are never compromised.

By combining cutting-edge cooling technologies with holistic project collaboration, we help data centers, AI facilities, and high-performance environments reduce energy intensity while scaling to meet tomorrow’s workloads. NEURAIR’s commitment is simple: to deliver solutions that enable performance today and sustainability for the future.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Singapore, Singapore",Singapore,neurair.com,https://www.linkedin.com/company/neurair
Sydrogen Energy,"Sydrogen Energy Pte. Ltd. (“Sydrogen”) is Nanofilm Technologies International Limited’s (“Nanofilm”) effort in building sustainable energy solutions for the hydrogen economy. 

Building on Nanofilm’s deep expertise in vacuum coatings and carbon technology, Sydrogen brings to market innovative solutions in components, systems and integrated solutions for both fuel cell and electrolysers, completing the hydrogen value chain. 

Our vision is to realise our Hydrogen economy, today.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Singapore, Singapore",Singapore,nti-sydrogen.com,https://www.linkedin.com/company/sydrogen
