Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Advanced Navigation,"Advanced Navigation is a global leader in navigation and autonomous systems. By leveraging capabilities in software-enhanced hardware, every solution delivers unrivaled capabilities and exceptional performance across land, air, sea and space applications where GPS is unreliable. 

Made possible with extensive research, testing and vertically integrated manufacturing, the company has progressed into deep technology fields, including robotics, inertial, photonic and quantum sensing, artificial intelligence, underwater acoustics, and GPS antennas and receivers. Customers choose Advanced Navigation for rapid product delivery and unmatched technical field expertise.

Headquartered in Sydney, Australia, with research and production facilities nationwide and offices globally. Advanced Navigation is an Australian manufacturer exporting worldwide. #JoinTheAutonomyRevolution",Robotics Engineering,201-500 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,advancednavigation.com,https://www.linkedin.com/company/advanced-navigation
One Brake Pty Ltd,One Brake owns an extensive portfolio of intellectual property on 2-wheeler braking technology to enable Smarter Braking Every Ride.,Robotics Engineering,2-10 employees,Privately Held,"Perth, Western Australia, Australia",Australia,onebrake.bike,https://www.linkedin.com/company/one-brake-pty-ltd
The Robot Doctor,"We are The Robot Doctor, a specialist in providing turnkey robotic automation solutions designed specifically for the Australian industry. 

Our end-to-end robotic systems are tailored to optimize production, enhance precision, and reduce operational costs, ensuring maximum efficiency and reliability for your business.

In the caravan chassis manufacturing sector, we’ve successfully delivered customized automation solutions, including suspension arm and A-frame fabrication, as well as fully automated welding systems. 

Beyond automation, we provide a range of engineering services such as:
Turnkey Welding Automation & Services

FEA analysis
Jig and fixture design
Process and material optimisation

What We Offer:
 Customized Robotic Solutions: Tailored systems for welding, cutting, assembly, material handling, and more.
 Complete Turnkey Projects: From design and installation to integration and training.
 Performance Optimization: Boost productivity and ensure seamless operations with expert support.

Why Partner with The Robot Doctor?  
 Proven expertise in the Australian manufacturing and fabrication sectors.
 Advanced technology to meet industry-specific needs.
 Ongoing technical support and training.

I’d be happy to arrange a no-obligation Zoom meeting at your convenience to discuss how our solutions might benefit your business. Even if automation hasn’t been on your radar, you may be surprised by how accessible and impactful it can be for your operations.

Let’s explore the potential for enhancing your production line. Please let me know a time that works for you.

 Contact us today to discuss your needs!

E: support@therobotdoctor.com.au
 therobotdoctor.com.au

Take your manufacturing to the next level with The Robot Doctor.",Robotics Engineering,2-10 employees,Privately Held,"Broadmeadows, Victoria, Australia",Australia,therobotdoctor.com.au,https://www.linkedin.com/company/the-robot-doctor
Mobian Dynamics,Building advanced Drones for scaled industrial applications,Robotics Engineering,2-10 employees,Privately Held,"Mount Waverley, Victoria, Australia",Australia,mobian.io,https://www.linkedin.com/company/mobian-dynamics
Hyperion Automata,"At Hyperion Automata, we design modular autonomous robots that deliver essential services in disaster affected and remote regions. Our flagship system, the Atlas robot, provides rapid deployment of power and communications to support humanitarian response and strengthen community resilience.

Our vision is to scale this technology from Earth into future applications in agriculture, mining, and space exploration, advancing practical robotics for both immediate impact and long term human progress.",Robotics Engineering,Self-employed,Privately Held,"Adelaide, Sa, South Australia, Australia",Australia,hyperionautomata.com.au,https://www.linkedin.com/company/hyperion-automata
Koalafied Robotics Club,We are an Australian high-school robotics team competing in the FIRST Robotics Competition.,Robotics Engineering,11-50 employees,Non Profit,"Adelaide, South Australia, Australia",Australia,,https://www.linkedin.com/company/frc-team-6996-koalafied
Toned,"Toned is a pioneering Robotics and Mechatronics Engineering start-up, specializing in the integration of AI-powered algorithms and state-of-the-art hardware to address complex audio-related challenges and innovate new solutions to existing problems.",Robotics Engineering,2-10 employees,Privately Held,"Clayton, Victoria, Australia",Australia,,https://www.linkedin.com/company/tonedaudio
IRTC PTY LTD,"IRTC (Australia / New Zealand) is a technology distributor and systems integrator specializing in embodied AI robotics. We work with customers across industrial and commercial environments to turn quadruped robots into dependable, field-ready solutions.

What we do:
	•	Robotic inspection: routine rounds in boiler rooms and other high-risk facilities, automated data capture, and anomaly alerts.
	•	Security and patrol: autonomous site patrol, event detection, and incident reporting.
	•	Emergency response support: reducing human exposure in hazardous environments and improving situational awareness.

How we deliver:
	•	Hardware supply and commissioning (including Unitree quadruped platforms in ANZ)
	•	System integration: navigation, perception, alerting, and reporting workflows
	•	Data enablement: cloud dashboards and traceable records
	•	Local deployment and support with teams in Sydney and Auckland

Open to partnerships and pilot projects across AU/NZ.",Robotics Engineering,11-50 employees,Partnership,"Sydney, New South Wales, Australia",Australia,irtc.com.au,https://www.linkedin.com/company/irtc-pty-ltd
Zeno AI,"Zeno AI is building a general-purpose, full-stack physical intelligence platform, delivering reliable solutions for whole-body manipulation across real-world environments.",Robotics Engineering,11-50 employees,Partnership,"Sydney, New South Wales, Australia",Australia,zenobot.ai,https://www.linkedin.com/company/zeno-ai芝诺机器人
ProxiTech,"Specialising in Robotics and A.I. Engineering and Education
Developing applications for Generative AI in robotics industry and services.
Educating in primary, secondary, and beyond teaching the wonders of robotics, STEM, and competitions.",Robotics Engineering,2-10 employees,Self Employed,"Brisbane, Queensland, Australia",Australia,proxitech.com.au,https://www.linkedin.com/company/proxitechaus
BotBuilders,"BotBuilders Robotics is a not-for-profit, community-based team established in 2016 in North Brisbane. Our members, drawn from various schools, meet each week to design, build, and code robots. We actively mentor other community and school teams and deliver a Robotics Immersion Program to develop younger students’ skills and confidence in STEM. BotBuilders participates in FIRST Lego League, FIRST Tech Challenge, and FIRST Robotics Competition.",Robotics Engineering,2-10 employees,Non Profit,"Geebung, Queensland, Australia",Australia,botbuilders.com.au,https://www.linkedin.com/company/botbuilders-au
UNSW Robotics Competition Club,,Robotics Engineering,51-200 employees,Non Profit,"Sydney, New South Wales, Australia",Australia,unswrobotics.com,https://www.linkedin.com/company/unswrobotics
Student Robotics Club of South Australia Inc.,"We’re a community group, a FIRST Robotics Team and so much more – including South Australia’s first FRC team.

The team’s purpose is to excite young minds about STEM (science, technology, engineering and mathematics), by using a common interest: Robots.

As part of this, students get real industry experience, with help and guidance from dedicated industry professionals as mentors. It circumvents the age-old circle of being unable to get a job due to lack of experience.

Part of our ethos is to maintain a gender balance, which we continue to strive for and achieve.",Robotics Engineering,11-50 employees,Non Profit,"Adelaide, South Australia, Australia",Australia,roboroos.org.au,https://www.linkedin.com/company/teamroboroos
Ampere Robotics,"Ampere Robotics builds all-terrain, autonomous, fully electric robots that keep Australian solar farms clean, compliant, and online.

Vegetation is a relentless operation, and maintenance costs for solar operators. Now a compliance risk. In Victoria, grass near equipment must stay under 100mm during the declared Fire Danger Period, and in 2025 Energy Safe Victoria ordered five solar farms offline over unmanaged vegetation. Ampere keeps farms under the line and returns a geotagged, timestamped compliance record on every task, ready for Energy Safe Victoria, the CFA, and insurers.

Our proprietary AI software, AMP OS, understands the O&M teams' intent, plans the work, and coordinates the whole fleet. They are all terrain and self charging, operate day and night, and navigate with centimetre level accuracy. Operators manage every site and every robot through Ampere OneFleet.

We deliver this as Robots as a Service, so operators pay for outcomes with no capital expenditure. 

Founded in Melbourne by engineers with a combined decade building robots, Ampere is purpose built for Australian solar. We are accepting founding operators for early pilots.

Build. Maintain. Protect.

Get in touch: bhargavram@ampererobotics.com.au | ampererobotics.com.au",Robotics Engineering,2-10 employees,Privately Held,"Melbourne, Vic, Victoria, Australia",Australia,ampererobotics.com.au,https://www.linkedin.com/company/ampere-robotics
Faker for Worlds — First Tech Challenge Team #25754,"""Faker for Worlds"" is an independent robotics team that competed in the First Tech Challenge 2024 - 2025 season. 

The team is composed of nine students from a multitude of top high schools across New South Wales. In 2024, It received financial sponsorship from Westpac Banking Corp. and in-kind sponsorship from Standard Print Co. 

Through its time in the 2024 - 2025 season, the team achieved:
- 5th place overall in the Sydney Qualifier, 
- 3rd place alliance in the Sydney Qualifier
- 3rd place ""Aspire Award"" in the Sydney Qualifier
- Competed in the National Qualifier",Robotics Engineering,2-10 employees,Non Profit,"Sydney, New South Wales, New South Wales, Australia",Australia,,https://www.linkedin.com/company/faker-for-worlds-—-first-tech-challenge-team-25754
Koalabots,"Koalabots is a 100% Australian owned data science company specialising in tailored data solutions that help organisations modernise and operate with greater intelligence. We support businesses in automating reporting, optimising processes, and leveraging data for informed, strategic decision making. Our team of experienced data scientists has reputation in building scalable data models that enable predictive modelling, KPI monitoring, and advanced analytics to enhance performance and deliver measurable outcomes.
With a strong focus on data quality and governance, Koalabots delivers solutions that are reliable, transparent, and built for long term value. We partner with organisations seeking to strengthen their analytical capability, redesign systems with confidence, and unlock the full potential of their data assets.",Robotics Engineering,Self-employed,Self Employed,"Perth, Western Australia, Australia",Australia,koalabots.com.au,https://www.linkedin.com/company/koalabots
KIRI SENSE,"KIRI-SSE provides sensor solution services focused on the design, development, and deployment of sensor systems mounted on unmanned ground vehicles for operation in tunnels, pipes, and confined spaces. We offer network configuration, PC-to-MCU communication setup, sensor system integration, and commissioning support for automation projects.",Robotics Engineering,2-10 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,,https://www.linkedin.com/company/kiri-sse
Advanced Bot Works [ABW],"Advanced Bot Works sells high quality made in QLD parts for robotics projects and competitions such as RoboCup and FIRST!
https://advancedbotworks.com/",Robotics Engineering,2-10 employees,Self Owned,"Brisbane, Queensland, Australia",Australia,advancedbotworks.com,https://www.linkedin.com/company/advanced-bot-works-abw
