Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
NKT,"NKT connects a greener world with high-quality power cable technology and plays a key role as the world moves towards clean energy. NKT designs, manufactures and installs low-, medium- and high-voltage power cable solutions enabling reliable transmission of energy. Since 1891, NKT has innovated the power cable technology, building the infrastructure from the first light bulbs to the megawatts created by renewable energy today. 

NKT is headquartered in Denmark, operates from more than 30 locations worldwide, and employs 6,500 people globally. NKT is listed on Nasdaq Copenhagen. 
NKT - We connect a greener world.","Appliances, Electrical, and Electronics Manufacturing","5,001-10,000 employees",Public Company,"Copenhagen, Capital Region, Denmark",Denmark,nkt.com,https://www.linkedin.com/company/nkt-cables
Din Elmand,"Din Elmand er en moderne elinstallatør virksomhed med afdelinger i Kolding og Vejen.

Din Elmand er en 12 år ”ung” virksomhed og er i konstant udvikling. Vi arbejder med en flad organisation med kort vej fra idé til handling. 
Din Elmand er økonomisk velfunderet og vi har tre gange, inden for de seneste fem år, haft fornøjelsen af, at blive udnævnt til gazelle virksomhed af Dagbladet Børsen. 
Virksomhedens kunder er private samt små og mellemstore virksomheder.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Privately Held,"Kolding, South Denmark, Denmark",Denmark,din-elmand.dk,https://www.linkedin.com/company/din-elmand
PSQ Power ApS,"24/7/365 securing power to business critical elements in your company, that is the mission of PSQ Power. As specialists in both UPS, generators and technical switchboards, PSQ Power can deliver a full service and complete solution to all emergency power projects, largescale and small.
From counseling, analysis, planning to delivery, installation, commissioning to aftermarked operation protection and service, PSQ Power can guarantee robust and reliable units, thorough documentation and a save supply for your business critical elements, in Denmark and Scandinavia.
We have the right suppliers, the advanced equipment and the skills to give our clients the best value-for-money, and the creativity and flexibility to be able to offer the right solution for your specific project.
You can always call PSQ Power for a free sparring session on your project, so we can help you towards your goal.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Public Company,"Dragør, Capital Region, Denmark",Denmark,psq.dk,https://www.linkedin.com/company/psqpower
el-tech.dk,"Vi dækker hele Jylland – klar til at hjælpe dig, også ved akutte el-opgaver

Vores autoriserede elinstallatører og erfarne elektrikere står klar til at løse alle typer el-tekniske og installationsopgaver i hele Jylland. Med fokus på kvalitet og mange års erfaring sikrer vi, at din opgave bliver løst hurtigt, effektivt og professionelt – uanset om det drejer sig om akutte problemer eller planlagte projekter.

Uanset hvor i Jylland du befinder dig, rykker vi hurtigt ud til både små og store opgaver.

Vores mission:

At levere pålidelig el-service til konkurrencedygtige priser.

Vi tilbyder:

 El-installationer
 Elektriker til private
 Elektriker til industrien
 Reparation og service af hvidevarer
 Dørtelefonanlæg
 IHC-anlæg
 LED-løsninger

Kontakt os i dag, og lad os hjælpe dig med dine el-opgaver – vi er kun et opkald væk!","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,"Vejle, South Denmark, Denmark",Denmark,el-tech.dk,https://www.linkedin.com/company/el-tech-dk
LED Livestock ApS,"LED Livestock develop and market welfare and productivity enhancing LED solutions for livestock productions.

Light deeply affects the well-being and physiology of all living creatures. That is why we believe the potential of light in animal production goes far beyond the traditional function of LED luminaires as just a means of providing illumination. 
As such, our focus is not only on optimizing energy use and lifetime of LED solutions.  Rather, we focus on using light as a driver for increased productivity and production yield in animal facilities. And we do this while improving animal welfare as well!

All our solutions are based on new LED Aluminum Composite Panel technology that allow us to build longer lasting and more energy efficient solutions with a high degree of design-freedom.","Appliances, Electrical, and Electronics Manufacturing",Self-employed,Privately Held,"Odense, South Denmark, Denmark",Denmark,ledlivestock.com,https://www.linkedin.com/company/ledlivestock
Hansens El-Service,"Hansens El-Service varetager alle opgaver inden for faget. Herunder industri, privat, renovering samt nybyggeri.","Appliances, Electrical, and Electronics Manufacturing",Self-employed,Self Owned,"Nakskov, Zealand, Denmark",Denmark,,https://www.linkedin.com/company/hansens-el-service
Melph El,"Velkommen til Melph EL

Melph EL er specialister i el-installationer til erhverv, f.eks. boligbyggerier, butiks-eller kontorlokaler mv. Vi er en lokal installationsvirksomhed beliggende på Amager, med 20 ansatte. Vi udfører alt i el, alarmanlæg, adgangskontrol og videoovervågning.

Vi udfører altid el-arbejde efter gældende regler og bestemmelser, på området, hvorfor du er sikret et forsvarligt resultat. Dermed slipper du for at bekymre dig om sikkerheden i el installationerne, i din ejendom.
Hos Melph EL lægger vi stor vægt på gode samarbejdsrelationer, hvorfor vi har en lang række faste samarbejdsvirksomheder, som vi løbende udfører el-arbejde for, bl.a. Københavns Kommune, Mercedes Danmark og Fisketorvet.

Har din virksomhed brug for at få udført el-arbejde, så kontakt Melph EL i dag.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Self Employed,"Copenhagen, Capital Region, Denmark",Denmark,melph-el.dk,https://www.linkedin.com/company/melph-el
RELIAS ApS,"RELIAS helps its customers reach excellence in product quality.

RELIAS is a supplier of top-of-market testing equipment for testing, analysing, understanding, and improving quality and reliability of electronic designs.

Check our website at www.relias.eu or contact us on info@relias.eu for more information.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Viborg, Middle Jutland, Denmark",Denmark,relias.eu,https://www.linkedin.com/company/relias-engineering
FA-EL A/S,"FA-EL A/S er en moderne elektriker-virksomhed med aktiviteter indenfor industri, landbrug, kontor og private.

FA-EL A/S bestræber sig på at udføre alle opgaver til kundens tilfredshed. Vi yder en hurtig ekspedition, og prioriterer hasteopgaver højt.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,"Randers, Middle Jutland, Denmark",Denmark,fa-el.dk,https://www.linkedin.com/company/fa-el
HandyHeat,"Floor heating systems. Industrial heat tracing systems, Ice- & Snowmelting systems, Frost protection Systems
Heating Cables, Sensors, Heating units.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Hedensted, Middle Jutland, Denmark",Denmark,handyheat.net,https://www.linkedin.com/company/dansk-varmekabel-a-s
el gruppen as,"Vores målsætning i el gruppen as er at udføre et håndværksmæssigt korrekt arbejde, i takt med branchens høje krav til den teknologiske udvikling inden for el-Installationer, data-løsninger samt energioptimering og grøn energi i form af solcelleanlæg, varmepumpeanlæg o.lign. Vores målsætning er, at det skal være nemt at være kunde hos el gruppen as. Vore kunder skal føle, at vores rådgivning, service og arbejde er professionelt og en naturlig del af et godt og konstruktivt samarbejde.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Self Employed,"Skovlunde, Capital Region, Denmark",Denmark,el-gruppen.dk,https://www.linkedin.com/company/el-gruppen-as
Security Engineering ApS,"Security Engineering has in depth know how on specialized electronics for security solutions. With RFID card readers and Convergence between physical and logical security as the main area of expertise.

Card readers and interfacing products are available with modern communication technologies  such as TCP/IP, USB, Bluetooth & OSDP combined with classic interfaces like RS232, RS485, Wiegand and Clock/Data.

Security Engineering is offering a range of standard products targeting both access control, time & attendance and cantina payment. Customizes firmware and /or hardware versions is also available to meet special requirements.

Security Engineering was started as a company in 1993 under the name SB Research. With more the two decades of experience in security industry Security Engineering can provide in depth know how on specialized electronics for security solutions.","Appliances, Electrical, and Electronics Manufacturing",2-10 employees,Privately Held,"Kongens Lyngby, Capital Region, Denmark",Denmark,securityengineering.dk,https://www.linkedin.com/company/sb-research-aps
Instrumeter A/S,"Instrumeter har været underleverandør af elektronisk hardware til Dansk Industri i over 30 år. 

Vi er din professionelle elektronikproducent. Vi leverer driftssikre elektronik produkter til den danske industri. Vores konstante elektronik udvikling og elektronik produktion sikrer dig fremtidssikrede løsninger. Vi udvikler og producerer elektroniske produkter i samarbejde med dig, så de er skræddersyede efter dine specifikke behov. Ingen løsning er ens.

Vi tilbyder totalløsninger, hvor vi varetager hele processen gennem udvikling, prototype, produktion, levering og efterfølgende support. Vi er fleksible og rådgivende i forhold til dine ønsker – og det har sikret os glade kunder i over 30 år.

Leder du efter en dygtig leverandør, er du kommet til den helt rette elektronikproducent. Vi hører til i Birkerød, men hjælper gerne kunder i hele landet.","Appliances, Electrical, and Electronics Manufacturing",11-50 employees,Public Company,"Birkerød, Capital Region, Denmark",Denmark,instrumeter.dk,https://www.linkedin.com/company/instrumeter-a-s
