Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Rewiring Aotearoa,"Our mission: To make New Zealand more electric / Whakahiko te ao.

By combining research, communication and demonstration, Rewiring Aotearoa’s work accelerates the country’s equitable transition to a low cost electrified economy.

Who are we? 

- Philanthropically funded Think-Do Tank
- The world’s first electric cherry farmer, Mike Casey, as CEO
- A group of policy, energy, economic, data, research and storytelling experts
- Aotearoa New Zealand focused
- Fiercely independent

What are we here for? 

- Electrify almost all our fossil fuel machines by 2040
- Fight for the New Zealanders who use the energy system
- Build the cheapest and most renewable energy system in the world
- Create rapid emissions reductions 
- Introduce a new climate narrative",Climate Data and Analytics,11-50 employees,Non Profit,New Zealand,New Zealand,rewiring.nz,https://www.linkedin.com/company/rewiring-aotearoa
Urban Intelligence,"Urban Intelligence empowers communities and organisations with the best available tools and evidence to navigate a rapidly changing world. Based in Ōtautahi Christchurch, the UI team are passionate about harnessing the most up-to-date data to understand and provide insights and actions for risk, resilience and adaptation through the Resilience Explorer.",Climate Data and Analytics,11-50 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,resilience-explorer.com,https://www.linkedin.com/company/urban-intelligence-nz
Geoid - digital geography,"Geoid helps people make sense of their place in the world.

We specialise in turning complex spatial data into clean, interactive maps and understanding that inform better decisions; across diverse land use, environment, infrastructure, and climate.

Whether you're advising councils, catchment groups, iwi, or landowners - we support your work with high-quality GIS mapping, spatial analysis, and custom 3D or animated visuals.  From paddock-scale mitigation to catchment planning, our outputs are made to integrate with reports, engage stakeholders, and stand up to scrutiny.

In-house GIS analysis for your business, from my house.  
Linking spatial environmental information with: relevant inherent vulnerability descriptions; real life examples of risks and actions; as well as with practical environmental mitigation strategies. 

If your work relies on location-based data, we make it visible, meaningful, and useful.
Maps that can communicate intricate relationships between different landscapes and provide unique vantage points from which to explore and investigate the world.",Climate Data and Analytics,Self-employed,Self Employed,"Invercargill, Southland, New Zealand",New Zealand,geoid.co.nz,https://www.linkedin.com/company/geoid-digital-geography
Ocean Intelligence,"At Ocean Intelligence, we leverage real-time data to empower marine farmers, enhance productivity, and preserve the health of marine ecosystems.
Our platform combines real-time environmental data with advanced analytics to help you make informed decisions, optimise your operations, and ensure sustainability. Currently, we offer alpha versions of species-specific dashboards for mussels and salmon, with oysters and algae in the works.",Climate Data and Analytics,2-10 employees,Public Company,"Nelson, Nelson, New Zealand",New Zealand,oceanintelligence.io,https://www.linkedin.com/company/oceanintelligence
Envirolapse,"At Envirolapse, we’re a team of climate-driven technologists, adventurers, and problem-solvers working to make environmental monitoring smarter, more scalable, and more impactful.

We are a deep-tech climate company building real-time environmental monitoring systems for extreme and remote environments — combining AI, ruggedised hardware, and smart data pipelines to improve safety, scientific research, and sustainability outcomes.

Our mission is to deliver real-time, visual environmental insights using advanced camera systems, weather stations, and edge-based data tools—empowering researchers, industries, and frontline decision-makers to act quickly, safely, and responsibly in the face of a rapidly changing planet.

From the glaciers of Antarctica to alpine corridors in Aotearoa and the Canadian Rockies, we design and deploy remote-access systems that monitor avalanche activity, track glacial retreat, support search and rescue, and reduce emissions by replacing the need for high-risk, high-emission field visits.

We believe data should be more than numbers — it should tell stories, save lives, and drive meaningful, real-world impact. That belief powers our vision: to lead a new era of climate visibility and resilience through bold innovation, deep field experience, and a commitment to protecting the world’s wildest places.",Climate Data and Analytics,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,envirolapse.com,https://www.linkedin.com/company/envirolapse
risk horizon ltd,"Saving lives, money and property with the world’s most sophisticated climate risk analysis, delivered in the most useful way.",Climate Data and Analytics,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,riskhorizon.com,https://www.linkedin.com/company/riskhorizon
Auxein,"Founded in 2024 to lead the global wine industry toward a sustainable and resilient future. This vision drives all that Auxein aspires to achieve. 

Auxein has developed the foundation for a world-class wine insights platform, with our first release: Regional Insights live and free in the market. Our first commercial app - a vineyard and winery management and insights app will be live in May 2026. 

Who we serve:
From boutique vineyards to multinational producers, Auxein Insights is built to scale with your business. Whether you manage a single block or an international portfolio, you’ll have the tools and insights you need, in one place.

Our vision:
To lead the global wine industry toward a sustainable and
resilient future, creating a legacy for generations.

 www.auxein.co.nz
 Based in New Zealand, serving the world’s wine regions.",Climate Data and Analytics,Self-employed,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,auxein.co.nz,https://www.linkedin.com/company/auxein-nz
Climate Prescience Limited,"About Climate Prescience

Empower your organization with Climate Prescience in our rapidly changing climate. Industries from banking to insurance, and government to finance, face unprecedented risks due to climate change. Billions in assets are at stake, carrying profound financial implications. Climate Prescience serves as the crucial bridge between academic climate science and organizational needs, translating complex data into actionable strategies.

Our Impact

Our expertise has guided risk strategies for entities managing billions in assets, including the largest forest management company in the southern hemisphere. This track record underlines our ability to meet and exceed the TCFD framework's legal reporting requirements, proving our capacity to handle large-scale, high-stakes projects.

Our Services

In-Depth Risk Analysis: We visualize future climate trends and severe weather events, enabling organizations to plan ahead and minimize potential financial exposure.
Bespoke Reporting, Briefing, and Presentation: Our services extend to creating comprehensive reports tailored for sustainability teams and delivering board-level briefing packages that clearly contextualize key findings.
At Climate Prescience, we leverage peer-reviewed frameworks to communicate the uncertainty and variability inherent in climate projection work—a unique strength in our industry. Entrust your future to us; together, we can navigate the risk-exposed world, securing your future in a changing climate.",Climate Data and Analytics,2-10 employees,Privately Held,"Rotorua, Bay of Plenty, New Zealand",New Zealand,climateprescience.com,https://www.linkedin.com/company/climate-prescience-limited
Electrify Hawke’s Bay,"Our mission is to help households and businesses lower their power bills, improve efficiency, and navigate the cost-of-living crisis by switching to renewable electricity generation like solar.

Energy independence is a no-brainer. Whether for sustainability, financial savings, or resilience. With Hawke’s Bay’s abundant sunshine, we have the power to take climate action while reducing costs.

It’s time to harness the sun and electrify our future!",Climate Data and Analytics,2-10 employees,Non Profit,"Hastings, Hawke's Bay, New Zealand",New Zealand,rewiring.nz,https://www.linkedin.com/company/electrify-hawkes-bay
GreenBlue Page,"Welcome to GreenBlue Page

At GreenBlue Page, we are dedicated to building a sustainable future by bridging the gap between the financial world and the real economy. As a leading think tank and consulting organization, we specialize in addressing the critical challenges of climate change, promoting green and blue finance, advancing sustainable infrastructure, new energy solutions, and water desalination technologies.

Our mission is to empower businesses, communities, and individuals to achieve sustainability in both their operations and their lives. We are committed to guiding our partners toward a greener and bluer future, ensuring that environmental stewardship and economic growth go hand in hand.

Join us on this journey and be part of the movement towards a sustainable world. We invite you to connect and explore opportunities for collaboration.

Contact us: contact@greenbluepage.com",Climate Data and Analytics,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,greenbluepage.com,https://www.linkedin.com/company/greenblue-page
