Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
KorrAI,"Traceable AI for billion-dollar infrastructure.

We exist for the moments when the data is overwhelming, the timeline is unforgiving, and the decision can't wait, giving every stakeholder the clarity and confidence to act on high-stakes decisions across critical infrastructure, mining, and commercial insurance.

TRAIL is the AI workspace for site risk assessments, investment decisions, hazard identification, and continuous monitoring across the full project lifecycle. It unifies geospatial data, geotechnical studies, proprietary satellite data pipelines, catastrophe model outputs, and engineering documentation into a single, traceable AI workspace. 

So every analysis output, failure mode, and report is grounded in defense.

Built for mining operations, risk engineers, underwriters, geotechnical consultants, and asset owners who can't afford to miss early signals.

We have worked with Zurich North America, Amazon Web Services, Stantec, TransAlta, Ramboll, Agnico Eagle, Hecla, and Eldorado Gold Corporation, and many more - across mining, data centers, energy infrastructure, and commercial property insurance.

Today, we monitor over $100B in assets across 5 million sq. km.

Work with us:

→ Book a meeting: korrai.com/book-a-meeting

→ Partnerships & press: contact@korrai.com

→ Careers: korrai.com/careers",Climate Data and Analytics,11-50 employees,Privately Held,"Halifax, Nova Scotia, Canada",Canada,korrai.com,https://www.linkedin.com/company/korrai
Quadrical Ai,"Increase Performance by 2-4% while Monitoring with our Digital Twin based Platform

Plant Audit | Digital Twin based CMMS | Snap-On Advanced Analytics | Forecasting | ROC

We help solar improve generation by 2 – 4% while optimizing performance and asset management.   Digital Twin AI is at the core of our Asset Management Platform. We build a personalized, digital replica of your plant, & leverage these special purpose ‘Digital Twins’ for identifying and quantifying shading, soiling, insulation, long term degradation, due diligence etc. This allows us to deploy true Condition Based Maintenance.

- Plant Audit. Actionable guidance in 2 weeks with no time, impact to your existing systems. 
- Fast Onboarding for immediate results. 
- RealTime Monitoring & Reporting (Faults/Failures) across Plants and Portfolio 
- Predictive Maintenance with AI.  Actionable O&M Guidance, prioritized by revenue impact 
- Digital Twin AI Based Data Platform 
- Forecasting generation >98% Daily accuracy in Head-to-Head Tests 

Combining Data Engineering and Deep Math, founders Sharat Singh and Dr. Hugh Hind have built this Solar Management platform with proprietary and patented AI.  

‘Future Proof,’ and Extensible, these ‘Digital Twins’ of solar plants learn how to optimize every aspect with a holistic 25-Year Plan.",Climate Data and Analytics,11-50 employees,Privately Held,"Waterloo, Ontario, Canada",Canada,quadrical.ai,https://www.linkedin.com/company/quadrical
Arbor,"Arbor is a carbon accounting platform that helps companies calculate and reduce emissions to reach net zero.

With Arbor’s automated Product Carbon Footprinting (PCF) platform, you can quickly compute carbon footprints across the full lifecycle of your products.
• Hotspot Analysis: See a breakdown of which materials, suppliers, components or activities are contributing the most to your emissions
• Product Prototyping: Test product designs to reduce emissions strategically

Our platform enables companies like Crocs, Scott Sports, and Canada Goose to measure emissions accurately, get to net-zero faster, and confidently navigate compliance regulations. 

Supercharge your climate strategy and measure your emissions with Arbor.

Try Arbor’s platform at arbor.eco",Climate Data and Analytics,11-50 employees,Privately Held,"Calgary, Alberta, Canada",Canada,arbor.eco,https://www.linkedin.com/company/arbor-eco
XDI (Cross Dependency Initiative),"Our goal is to accelerate action on climate change by embedding physical climate risk data in all decisions.

As the physical climate risk experts, we’re here to help you - whether at the start of your journey, or advanced, we deliver actionable results.

We’re independent.

XDI is part of The Climate Risk Group, a group of companies committed to quantifying and communicating the costs of climate change.

We’re serious about climate.

Ours is a mission-driven company.
We exist to help our clients and community understand and manage unavoidable climate change, whilst demonstrating the imperative for a low carbon world.  

We see every contract as a collaboration. We are trusted by governments, NGOs, companies, banks and communities  - and while some see themselves in opposite corners - we believe it will take all actors working together to solve this challenge.

We’ve got heart

Data and information alone do not create change: data needs humanity and humanity needs ambition.
Our vision is not just to identify physical climate risks, but to also mitigate them.
Our goal is a more climate-resilient community.
Our approach is to work with you over the course of your climate risk journey.",Climate Data and Analytics,11-50 employees,Privately Held,"East York, Ontario, Canada",Canada,xdi.systems,https://www.linkedin.com/company/xdi-systems
ClimateFirst Building Solutions,"Your asset was designed for yesterday's climate.  It's time to adapt. 

ClimateFirst is climate-risk analysis and adaptation software for climate-informed due diligence, resiliency and capital planning.

Developed by the climate and performance engineers at RWDI, ClimateFirst software models climate impacts against individual building systems for more accurate accounting. Its in-depth analysis goes beyond the general climate-data scanning tools to deliver actionable guidance for long-term resiliency.

 Meet ESG targets and simplify reporting.
 Account for hidden climate costs to improve due diligence.
 Manage risk by optimizing portfolios and refining insurance strategies.",Climate Data and Analytics,11-50 employees,Privately Held,"Guelph, Ontario, Canada",Canada,climatefirst.net,https://www.linkedin.com/company/climatefirstbuildings
Resiliocs Intelligence,"Resiliocs is an AI-powered climate risk intelligence platform built for asset owners, institutional investors, and insurers managing climate-exposed portfolios. We move beyond static risk maps and generic scores to deliver layered, engineering-grade insights that quantify financial impact and tell you exactly what to do about it, identifying the highest-return adaptation strategies so you can avoid losses, invest smarter, and protect what matters. Because adaptation isn't a cost - it's a capital allocation decision.",Climate Data and Analytics,2-10 employees,Privately Held,"Hamilton, Ontario, Canada",Canada,resiliocs.com,https://www.linkedin.com/company/resiliocs
ÁCARA CLIMATE,"ÁCARA CLIMATE is a risk management platform for making informed decisions about sustainable lending and sustainable investment in agriculture. It empowers financial institutions to understand climate risks within their agricultural portfolios and aids compliance with financial disclosure standards. Our climate physical risks management software predicts crop yields and losses across various timescales, regions, and crop types. It quantifies the financial impact of climate change on agriculture and recommends sustainable risk mitigation strategies.

Our proprietary model and dataset adhere to international regulatory standards and frameworks, ensuring robustness and reliability (aligned with UNEP-FI, IFRS-ISSB, and TCFD).",Climate Data and Analytics,2-10 employees,Privately Held,"Montreal, Quebec, Canada",Canada,acara-carbon.com,https://www.linkedin.com/company/acara-climate
SKYFOREST (an EarthDaily Analytics Company),"SkyForest Inc., is an an EarthDaily Analytics Company.

Managing wildfire risk is increasingly important for many insurers. Catastrophic wildfires are increasing in scope, frequency, and severity. Long-term projections dictate that this trend will continue to impact our communities. Data is key to understanding how to minimize and estimate potential damages from wildfires. SkyForest's wildfire data is precise; providing 10-20 metre resolution that enables detailed risk assessment resulting in improved data for insurance, engineering, and utilities infrastructure.",Climate Data and Analytics,11-50 employees,Privately Held,"Toronto, Canada",Canada,skyforest.io,https://www.linkedin.com/company/skyforest
Connect-X,"We are enabling an internet of energy to provide access to cleaner, cheaper, reliable electricity to every home. With Connect X platform utilities and DER aggregators can launch and operate their virtual power plants at scale. This saves billions in new power plant buildout and distribution grid upgrade expense. Connect X is industry’s first universal VPP operating system that’s committed to energy security by democratizing access to clean electricity 24/7.",Climate Data and Analytics,2-10 employees,Privately Held,"Calgary, Alberta, Canada",Canada,connectex.io,https://www.linkedin.com/company/connectex
Net-Zero Advisory Body (NZAB) - Groupe consultatif pour la carboneutralité (GCPC),"The Net-Zero Advisory Body, NZAB, is a group of experts mandated to engage with Canadians and give advice on how Canada can achieve its goal of net-zero greenhouse gas emissions by 2050.
-
Le Groupe consultatif pour la carboneutralité, GCPC, est un groupe d'experts qui fournit des conseils sur la façon dont le Canada peut atteindre son objectif de carboneutralité d'ici 2050.",Climate Data and Analytics,11-50 employees,Government Agency,"Gatineau, Quebec, Canada",Canada,nzab2050.ca,https://www.linkedin.com/company/net-zero-advisory-body-nzab-groupe-consultatif-pour-la-carboneutralité-gcpc
