Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
"Solar Energy Initiatives, Inc.","Solar Energy Initiatives, Inc. (OTC BB: SNRY) is a catalyst for the entire solar value chain. Our diversified portfolio of businesses connect manufacturers, the building trades and energy consumers. 

We are dedicated to advancing the solar economy through awareness, training, supply chain services and direct capital projects. We help small businesses enter the fast-growing solar economy. We connect buyers and sellers bringing global manufacturers to market through indirect and direct distribution channels. We source, execute and manage large-scale solar projects driving demand, creating jobs and generating energy for a variety of commercial and government interests.

Our vision is to renew the nation's economy through solar energy. Our mission is to advance the mainstream adoption of solar technologies, diversifying America's energy portfolio and creating economic advantages for manufacturers, small businesses and energy consumers.

We're ambitious. So is America. Join us.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Public Company,"Cary, United States",United States,solarenergy-us.com,https://www.linkedin.com/company/solar-energy-initiatives-inc.
Ameresco Solar,"Ameresco Solar is a design, engineering, and solar integration company specializing in creating custom off-grid systems for industrial customers in various sectors such as oil and gas, railroad, telecommunications, and more. They also serve as a solar component supplier for a network of solar retailers, installers, contractors, and industrial end users, distributing a wide range of solar components. Additionally, Ameresco Solar designs and engineers grid-tie, grid-tie with battery backup, and residential solar power systems, providing a one-stop solution for products, engineering services, and project management. They offer the Ameresco Solar Financing Program for contractors and dealers, and sell products to both retailers and end-users through their distribution network.",Renewable Energy Semiconductor Manufacturing,,,"Tomball, United States",United States,amerescosolar.com,https://www.linkedin.com/company/ameresco-solar
"Velocity Energy Partners, Inc.","Velocity Energy Partners specializes in partnering with companies in the Renewable Energy industry by providing them with highly skilled and talented professionals in the areas of construction, engineering manufacturing and emerging technology to enable them to grow their business without having to incur additional headcount.  

We are true leaders in this industry with extensive knowledge and experience in providing project support for commercial and utility-scale projects to many of the industry's most respected companies.  

VEP provides alternative energy organizations with unrivaled talent in support of commercial and utility-scale renewable energy construction projects in the areas of PV solar, thermal and wind as well as direct placement of skilled and professional talent.

We provide a highly-skilled, scalable and mobile workforce to facilitate the implementation and installation of your projects.  Partnering with VEP eliminates unnecessary overhead associated with self-hiring...ultimately, delivering your project on-time while staying lean and competitive in today's challenging economy.",Renewable Energy Semiconductor Manufacturing,51-200 employees,Privately Held,United States,United States,,https://www.linkedin.com/company/velocity-energy-partners-inc.
Brayton Energy LLC,"Brayton Energy specializes in design, prototyping, and testing of turbomachinery and gas turbine systems. They focus on developing advanced energy systems in fields such as concentrated solar power, biomass power, bio-gas, bio-fuels, nuclear gas-cooled reactors, and hybrid fuel cells. With expertise in gas turbine engines, microturbines design, heat exchangers, propulsion systems, and combustion studies, Brayton Energy aims to contribute to environmentally responsible and sustainable energy production through innovative R&D efforts.",Renewable Energy Semiconductor Manufacturing,,,"Hampton, United States",United States,braytonenergy.com,https://www.linkedin.com/company/brayton-energy-llc
Solar Watt Solutions,Solar Power PV Systems and Energy Consultants,Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Carlsbad, United States",United States,solarwattsolutions.com,https://www.linkedin.com/company/solar-watt-solutions
The Green Bag Company,"Operating as a specialist advisory, design and product supply company,
we at the Green Bag Company address the needs and opportunities related
to this worldwide issue of disposable, plastic shopping bags.
 
Commencing our trade in the Republic of Ireland in 1999, the Green Bag
Company has since been at the forefront of the reusable bag trend in Europe,
Japan, South Africa, Australia and most recently in the United States and Canada.
 
Our aim here at the Green Bag Company is not merely to provide a bag,
but an offering that promotes a change in consumer shopping habits while
keeping the consumer themselves the focal point.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,United States,United States,greenbagco.com,https://www.linkedin.com/company/the-green-bag-company
TVIG,"TVIG is headquartered in Chattanooga, Tennessee and was established in 1998.  We provide EPC turnkey services to wind energy project owners and developers in the United States.  TVIG’s wind power generation offering includes turnkey EPC and balance of plant contracting, turbine siting, permitting, land contract negotiations, project design and construction and interconnection agreements.  TVIG has also supplied grid interconnection project management for TVA.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,United States,United States,tvigroup.com,https://www.linkedin.com/company/tvig
Solar Service Center,"Sales, service, and installation for solar pv panel systems.",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,United States,United States,solarservicecenter.com,https://www.linkedin.com/company/solar-service-center
"SANYO Solar, USA",a subdivision of Sanyo Electrics,Renewable Energy Semiconductor Manufacturing,201-500 employees,Public Company,United States,United States,sanyo.com,https://www.linkedin.com/company/sanyo-solar-usa
"Advanced Bioenergy, LLC",Ethanol Production,Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Minneapolis, United States",United States,advancedbioenergy.com,https://www.linkedin.com/company/advanced-bioenergy-llc
California Solar,"California Solar is a design and installation firm specializing in solar electricity, thermal solar hot water and radiant heat.
www.californiasolar.com",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,United States,United States,californiasolar.com,https://www.linkedin.com/company/california-solar
"InSem USA, Inc.","InSem USA, Inc. is a full service provider (manufacturer, supplier, consultant) of quality eco-friendly LED lighting products.  InSem USA provides LED lighting solutions for the electronic / 3-D (channel letter) sign manufacturers, sign supply distributors, and high end retail POS/POP display manufacturers.  We carry high quality LED products designed and manufactured in Korea, and warehoused and distributed in Santa Ana, California.",Renewable Energy Semiconductor Manufacturing,2-10 employees,Privately Held,"Irvine, United States",United States,insemusa.com,https://www.linkedin.com/company/insem-usa-inc-
