Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Rotex Automation Limited,"Rotex Automation: At the Heart of Big Things

Since 1967, Rotex Automation has driven innovation and excellence in fluid control and automation, empowering industries that shape the world. This is where innovation meets impact.

Global Leader: Operating in 81+ countries with international hubs in the USA, UAE, Netherlands, and Malaysia, supported by 83 channel partners.

Relentless Innovation: 22+ patents and cutting-edge engineering that have saved industries over USD 300 million.

Unmatched Certifications: Meeting the highest global standards, including SIL3, ATEX, IECEx, and PED.

Empowering Giant Industries: Trusted partner across Oil & Gas, Automotive, Nuclear Power, Pharma, and more.

Rotex is more than a solutions provider—we are the force driving progress, powering critical operations, and enabling industries to achieve the extraordinary.

We don’t just power machines; we empower the future.",Industrial Automation,201-500 employees,Privately Held,"Raʼs Al Khaymah, United Arab Emirates",United Arab Emirates,rotexautomation.com,https://www.linkedin.com/company/rotex-automation-limited
Unique,"Transforming dreams into reality; that’s what we do at Unique. With our home automation services, we are the leading provider of premier LED and luxury lighting, smart technologies and home theatres systems across the region.

Modern, sleek, efficient fixtures coupled with current technology is what we offer to our clients. With creative minds and innovative hands, we develop engaging, sophisticated and memorable spaces.

We’re your one-stop-shop for proficient consultancy and cost-effective implementation, saving you time and energy as well as reducing the need to coordinate with multiple suppliers. This is something that other smart home automation companies do not offer.",Industrial Automation,11-50 employees,Partnership,"الخليج التجاري, Dubai, United Arab Emirates",United Arab Emirates,uniquetechgroup.com,https://www.linkedin.com/company/uniqueluxurylighting
C3 Automation Limited,"C3 Automation Limited is an industrial automation company based out of West Wing 2 Building, Dubai, Dubai, Ukraine.",Industrial Automation,11-50 employees,,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,c3automation.com,https://www.linkedin.com/company/c3-automation-limited
GET Middle East,"GET Middle East is an authorized distributor of JCB, Lister Petter and Hatz engines. The company principal areas of business are the sales and after sales support of world beating diesel engine product for a diverse range of application in the off-highway equipment, construction, industrial, Power Generation and OEM markets .

We offer a standardized solution for over 50 different diesel engine models , starting from 8 KW -200 KW in both water-cooled and air cooled design.",Industrial Automation,51-200 employees,Partnership,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,get-uae.com,https://www.linkedin.com/company/get-middle-east
Industrial Services Middle East LLC,,Industrial Automation,,,"Thiruvananthapuram, United Arab Emirates",United Arab Emirates,jbtgreentech.com,https://www.linkedin.com/company/industrial-services-middle-east-llc
Meta Informatique,"Meta Informatique, previously known as Meta Controls Advanced Technologies (MCAT), has provided automation solutions since 2009. Meta Informatique opened it's doors as a Systems Integrator and over the years, has evolved to offer automation and turnkey software solutions. 

Meta Informatique is a subsidiary of ARC Informatique and is the distributor of PcVue Solutions Suite in the MENA region. Our team comprises of professionals that have undergone arduous training in multiple fields in order to ensure we meet the criteria and give you the best solutions for you.",Industrial Automation,2-10 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,metainformatique.com,https://www.linkedin.com/company/meta-informatique
Propix Technologies,"Propix Technologies is a global leader in Track and Trace solutions, Machine Vision systems and Software solutions for Robotics, Optics and Illumination. With over 2 decades of experience and expertise in traceability and automation systems, Propix has over 1700 installations worldwide, offices in 5 countries (India, Dubai UAE, Germany, Canada and Brazil) and a large distribution network.

Propix offers true end-to-end integrated hardware and software solutions that are scalable and flexible and can meet the most stringent production and compliance requirements anywhere in the world. For more information visit https://www.propixtech.com/",Industrial Automation,201-500 employees,Privately Held,"Sharjah, Sharjah, United Arab Emirates",United Arab Emirates,propixtech.com,https://www.linkedin.com/company/propix-technologies-private-limited
VEGA Level and Pressure,"Imprint: https://www.vega.com/imprint
VEGA is a world leader in the area of level, switching and pressure measurement. The company employs over 2,800 people worldwide, 1,300 of whom work at its headquarters in Schiltach in the Black Forest. This is where, for over 65 years now, solutions to demanding measuring tasks are being conceived and brought to realization: for chemical and pharmaceutical plants, the food industry, drinking water supply systems, sewage treatment plants, landfills, mining, power generation, oil platforms, ships and airplanes.

VEGA is active in over 80 countries with its globe-spanning network of subsidiaries and distributors. The company and its products have all the necessary certificates and approvals for worldwide application. This applies to the technical safety as well as the quality of the products and services.

With the goal of considerably simplifying level and pressure instrumentation, VEGA introduced plics, the world’s first standardized instrument platform, in 2003. What at that time seemed unthinkable for many users became a reality with plics: a standard compact housing, a simple, universal adjustment concept as well as short delivery times. Since then VEGA delivers 80 percent of its instruments within a week after ordering.

Technologies
Level
Radar, guided radar, ultrasonic, capacitive, hydrostatic, radiometric, conductive, vibration
Pressure
Process pressure, hydrostatic, differential pressure",Industrial Automation,"1,001-5,000 employees",Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,vega.com,https://www.linkedin.com/company/vega-level-and-pressure
Action To Action Robotics,"Action To Action Robotics & automation company is a technology solution provider in the MEA Region having an advanced disruptive technology experience center in Dubai - UAE. Some of the latest Humanoid robotics and advanced technology at the Robots experience center is shown daily to businesses exploring the opportunities to improve business performance using robotics and automation technology.

Dubai Robots & Technology Experience Center offers an opportunity to see and interact with a wide range of robotic automation solutions and advanced technology for businesses to experience how robots can improve business performance and efficiency.

Action To Action aims to demonstrate how new technology and collaborative Robotics will help advance the retail and F&B industry at the moment the experience center demonstrates humanoid robots and robotics solutions that can serve at restaurants and delivery robots.

Action To Action advances the use of humanoid robotics innovation and the latest technology in business, while establishing solid system integration channels, establishing distribution and sales channels, and ensuring a successful go-to-market strategy is executed effectively.

Our value for after-sales support is evident with a robotic service center, technology, and automation experience center in Dubai UAE.",Industrial Automation,51-200 employees,Privately Held,"Dubai, Dubai, United Arab Emirates",United Arab Emirates,actiontoaction.ai,https://www.linkedin.com/company/action-to-action-robotics
"ProSoft, a Belden brand","ProSoft Technology, one of Belden’s connected brands, helps customers increase production, reduce downtime and lower operating and maintenance costs. Its industrial communication addresses connectivity, optimization, modernization and migration challenges to update legacy equipment. Together, Belden connected brands deliver complete connection solutions that unlock untold possibilities for businesses and the world.",Industrial Automation,51-200 employees,Public Company,"Dubai, United Arab Emirates",United Arab Emirates,prosoft-technology.com,https://www.linkedin.com/company/prosoft-technology-inc
Velox Automation Pvt. Ltd.,"Innovating for the Future, One Step at a Time. #MakesSense

VELOX Automation is at the forefront of Automation Solutions in India. We create bespoke solutions for varied businesses irrespective of their scale and size. Helping businesses to automate operations and boost productivity. 

We have served varied industries since 1997, as diverse as Chemical, Pharma, Metals, Logistics, Power, Paper, Food & Beverage, Packaging, Glass, and Textile Industries. Providing Turn-key solutions is our forte, but we also master Manufacturing & Trading Automation parts as per your requirement. 

Backed by a team of thorough professionals, VELOX Automation equips you with systems and products that make your business or city more Productive, Accurate, and Efficient.

We strive to reduce Environmental Footprints while making your City or your Business Optimal and Sustainable.",Industrial Automation,201-500 employees,Privately Held,"Ajman, Ajman Emirate, United Arab Emirates",United Arab Emirates,veloxautomation.com,https://www.linkedin.com/company/industrial-automation-system
Lean Automation,"Lean Automation is a system integrator and advanced automation solution provider rendering services actively to Oil & Gas, Petrochemical, Metal & Mining, Water & Wastewater and Utilities. Our Automation solutions are right from the plant floor to the top floor. We are ready to cooperate with the manufacturers to take them to the next level of operational excellence. We help manufacturers reach the point where potential meets performance.

We not only understand your goals, we make them happen. We combine all of that technical and manufacturing expertise with our world-class solution model to help you turn your plans into action.

Lean Automation is an adoption of Evolving Smart Automation Concepts in the world. The concepts/technologies that are helping manufacturers to improve their bottom-line by improving their Quality, Energy, Production and Maintenance. Lean Automation is investing in the sophisticated technologies of artificial intelligence to roll out advanced control based on multitude techniques of multi-variable predictive control.

Lean Automation is providing high performance solutions for a connected world by evaluating the needs and requirements of each project before applying. And that’s why we have partnership with major manufacturing platform vendors such as ABB, Rockwell Automation, Honey Well, Schneider, Siemens, Yokogawa, Emerson, Wonderware, Iconics, Aspentech, Microsoft, SAP,Triconex and OSISoft . Lean doesn’t favor one technology over the others, We  recommend the one that is a best fit for the project requirements based on our team knowledge. To us,  it’s not only about the technology. It’s also about the process, and finding the solution that facilitates the process in the best way possible.",Industrial Automation,51-200 employees,Privately Held,"Sharjah, Sharjah, United Arab Emirates",United Arab Emirates,leanautomation.com,https://www.linkedin.com/company/lean-automation
MNtronic,"MNtronic are specialized in industrial Automation Solution for Motors, VFD, Instrumentation and Sensors.  MNtronic provide a comprehensive automation solution and after Sales Support with Site Services via its partners. Also we support with turn key projects in #scada & #PLC systems.

1- KOBOLD – Germany measuring instruments (flow; level; temperature; pressure gauges; ...etc.) 
2- Nidec
     a- NIDEC ASI S.P.A– engages in design, manufacturing, and installation of a variety of motors and power generators, and industrial automation systems..- Italy.
     b- Control Techniques “Ac, DC and Servo drives” - England
     c- LEROY SOMER “AC, DC, Geared, braked,  motors” - France
     d- Nidec Graessner - Bevel gears create powerful systems using housings, shafts, flanges, and bearings - Germany.

3- Leuze Electronic ( ‘’ Smart sensors’’- Germany )
4- MOTORTECH (‘’Gas Engine technology’’- Germany).
5- Gimatic - a leading global manufacturer of pneumatic and electric grippers for industrial automation.- Italy.



MNtronic is the first certified maintenance / repair center by Control Techniques - United Kingdom, we also activate the guarantee for all Control Technic devices in the Middle East, and North Africa which are still in the warranty period according to the warranty policy approved by Control Techniques.

MNtronic provides a comprehensive automation solutions., after Sales Support and Site Service to all our clients in Egypt.

MNtronic General Trading established in 2022, as a branch of MNtronic Egypt in United Arabs Emirates, UAE",Industrial Automation,11-50 employees,Self Owned,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",United Arab Emirates,mntronic.com,https://www.linkedin.com/company/mntronic
Festo Middle East & Northeast Africa,"Festo is a global player and an independent family-owned company with headquarters in Esslingen am Neckar, Germany. The company supplies pneumatic and electrical automation technology to 300,000 customers of factory and process automation in over 40 industries. The products and services are available in 176 countries. With about 20,100 employees in over 250 branch offices in 61 countries worldwide, Festo achieved a turnover of around €3.20 billion in 2019. Each year around 8% of this turnover is invested in research and development. In this learning company, 1.5 % of turnover is invested in basic and further training. Yet training services are not only provided for Festo's own staff – Festo Didactic SE also supplies basic and further training programs in the field of automation technology for customers, students and trainees.",Industrial Automation,11-50 employees,Privately Held,"Business Bay, Dubai, United Arab Emirates",United Arab Emirates,festo.ae,https://www.linkedin.com/company/festo-dmcc
