Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Affibody AB,"Affibody is a private clinical-stage Swedish biotech company focused on developing into an integrated biopharma company utilizing next generation biotherapeutics based on its unique proprietary technology platforms: Affibody molecules and AlbumodTM.

The company operates a focused experimental medicine model and currently has three clinical stage programs. The first two are therapeutic programs that targets psoriasis, and B-cell driven autoimmune diseases respectively. The third program is a diagnostic imaging program that is directed primarily towards metastatic breast cancer.

Affibody has ongoing commercial relationships with several companies such as AbClon, Alexion, Biotest, Daewoong, Daiichi Sankyo, GE Healthcare, and Swedish Orphan Biovitrum.

Affibody was founded in 1998 by researchers from the Royal Institute of Technology and the Karolinska Institute and is based in Stockholm, Sweden.

Affibody AB is a holding of Patricia Industries.",Biotechnology,51-200 employees,Privately Held,"Haga, 01, Sweden",Sweden,affibody.com,https://www.linkedin.com/company/affibody-ab
BioInvent International AB,"BioInvent International AB (Nasdaq Stockholm: BINV) is a clinical-stage biotech company that discovers and develops novel and first-in-class immuno-modulatory antibodies for cancer therapy, with currently five drug candidates in six ongoing clinical programs in Phase 1/2 trials for the treatment of hematological cancer and solid tumors. The Company's validated, proprietary F.I.R.S.TTM technology platform identifies both targets and the antibodies that bind to them, generating many promising new immune-modulatory candidates to fuel the Company's own clinical development pipeline and providing licensing and partnering opportunities.

The Company generates revenues from research collaborations and license agreements with multiple top-tier pharmaceutical companies, as well as from producing antibodies for third parties in the Company's fully integrated manufacturing unit. More information is available at www.bioinvent.com.",Biotechnology,51-200 employees,Public Company,"Lund, 12, Sweden",Sweden,bioinvent.com,https://www.linkedin.com/company/bioinvent-international-ab
Devyser,"Devyser. A new level of certainty
We’re specialists when it comes to diagnostic kits for complex DNA testing within oncology, hereditary diseases and transplantation. Our products are used to guide targeted cancer therapies, to enable rapid prenatal diagnostics, as well as in post transplant follow-up.

We have a guiding principle when it comes to developing products that are ideal for routine diagnostics: make the technology simple, reproducible and less prone to user-generated errors.

And this is precisely what our customers appreciate about us, which is why routine diagnostic laboratories in more than 60 countries worldwide use our products.",Biotechnology,51-200 employees,Public Company,"Stockholm, 01, Sweden",Sweden,devyser.com,https://www.linkedin.com/company/devyser-ab
TATAA Biocenter,"At TATAA Biocenter, we offer PCR bioanalytical services to address the challenges in nucleic acid therapy drug development. Our mission as a CRO is to provide assay development, validation, and high-throughput analyses with high sensitivity for regulated and non-regulated bioanalysis, clinical biomarkers, and manufacturing quality assessments to accelerate your time-to-market.

As your extended workbench of specialists and dedicated partner, we prioritize quality, innovation, and building strong client relationships.

We are a GLP-accredited, GCLP-compliant, and ISO/IEC 17025-certified laboratory. Our purpose-built facility for nucleic acid analyses enhances sensitivity and minimizes contamination risks. With state-of-the-art instrumentation and an IT structure ensuring the highest data integrity and sample management, our collaborative and highly skilled scientists deliver advanced competence and precise execution.",Biotechnology,51-200 employees,Privately Held,"Gothenburg, Vastra Gotaland County, Sweden",Sweden,tataa.com,https://www.linkedin.com/company/tataa-biocenter
Xbrane Biopharma AB,"Xbrane is a biopharmaceutical company specialized in high demand biosimilars and long acting injectables.

We enable global health equality by bringing affordable drugs to treat underserved people suffering from critical diseases. 

Xbrane posses world leading expertise in developing true generics for injectable controlled release drugs and proprietary high-yield protein expression technology.",Biotechnology,11-50 employees,Public Company,"Solna, 01, Sweden",Sweden,xbrane.com,https://www.linkedin.com/company/xbrane-biopharma-ab
Cellcolabs,Cellcolabs mission is to prevent and treat diseases by making high quality stem cells available and affordable. We do that by industrial scale production and collaborations.,Biotechnology,51-200 employees,Privately Held,"Solna, 01, Sweden",Sweden,cellcolabs.com,https://www.linkedin.com/company/cellcolabs
Rarity Bioscience,"Rarity Bioscience provides ultra-sensitive multiplex assays for mutation detection in blood and other liquid biopsies for research, pharma and labs.
 
The superRCA technology is based on padlock probes and rolling circle amplification, enabling extreme sensitivity and specificity, and utilize well established high throughput flow cytometry for the read-out. 

The company was founded in 2021 based on a discovery by Dr Lei Chen, PhD in molecular biology, and a member of Professor Ulf Landegrens team at the Department of Immunology, Genomics and Pathology at Uppsala University.",Biotechnology,11-50 employees,Privately Held,"Uppsala, 03, Sweden",Sweden,raritybioscience.com,https://www.linkedin.com/company/rarity-bioscience
Melt&Marble,"Melt&Marble is dedicated to enabling the transition towards a more sustainable future by revolutionizing the production of fats. Melt&Marble’s technology allows the production of any fat from simple feedstocks, without relying on unsustainable animal and plant sources. This technology allows Melt&Marble to deliver innovative, tailor-made fat solutions with improved sustainability, functionality, and health profile for the food industry and beyond.",Biotechnology,11-50 employees,Privately Held,"Gothenburg, 14, Sweden",Sweden,meltandmarble.com,https://www.linkedin.com/company/meltandmarble
Ribocure Pharmaceuticals AB,"We are a clinical stage biotech company focusing oligonucleotide therapeutics. With presence in Gothenburg, Sweden, and with our own clinical trial facility, and clinical and R&D expertise.",Biotechnology,11-50 employees,Privately Held,"Gothenburg, 14, Sweden",Sweden,ribocure.com,https://www.linkedin.com/company/ribocure-pharmaceuticals-ab
SpinChem,"SpinChem provide technology solutions that reshape the way biotechnology and chemical process work is performed. We are trusted as business partners by being service-minded, adaptable and genuinely interested in transforming your workflow. Our goal is to surprise you with state of the art technology that changes your work to a simpler, quicker, more stable and less resource consuming process.

SpinChem. Transforming your solutions.",Biotechnology,2-10 employees,Privately Held,"Umeå, 24, Sweden",Sweden,spinchem.com,https://www.linkedin.com/company/spinchem-ab
