Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
GlobalPETS (& PETS International magazine),"PETS International has been the leading B2B information platform for the international pet industry since 1988, linking people's business in a pets' world. PETS International offers up-to-date industry news, in-depth information and the latest trends and market figures, at the same time connecting you with business partners all over the world.",Media & Telecommunications,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,globalpetindustry.com,https://www.linkedin.com/company/globalpets-pets-international
HOOG.design Exclusive Living & Garden Inspiration,HOOG. is an online inspiration platform for luxury living & garden inspiration. Leading architects and professionals present here the most exclusive residential and garden projects in an overview.,Media & Telecommunications,11-50 employees,Privately Held,"Beek en Donk, North Brabant, Netherlands",Netherlands,hoog.design,https://www.linkedin.com/company/hoog.-exclusieve-woon-&-tuininspiratie
Flow Magazine,"Flow - een ode aan bewuster leven, creativiteit en dagen zonder haast. 
Flow wordt uitgegeven door DPG Media.",Media & Telecommunications,2-10 employees,Public Company,"Hoofddorp, North Holland, Netherlands",Netherlands,flowmagazine.nl,https://www.linkedin.com/company/flow-magazine
IntoNijmegen,"IntoNijmegen.com is dé website waarop je alles kunt vinden over Nijmegen. Vind hier info over de leukste evenementen, de highlights van de stad, de gezelligste cafés en nog veel meer!",Media & Telecommunications,2-10 employees,Non Profit,"Nijmegen, Gelderland, Netherlands",Netherlands,intonijmegen.com,https://www.linkedin.com/company/intonijmegen
ChatLicense,"Kids don’t need another app.They need to know what they’re doing, online and off.

We don’t sell screen time - we cap it. We build confidence, awareness and judgement from the very first device. 

 ChatLicense turns “going online” into something you actually prepare for.
Like learning to drive. Because that matters, for yourself and for the others on the online roads.

 We work with organisations that understand this:
You’re not shaping the future by adding features.You’re shaping it by shaping behaviour. 
Telecom. Banks. Insurers. Schools. Governments.Those who choose to own & optimize their role, not watch from the sidelines. 

 One platform. Two experiences.
 For (grand)parents:Clarity in a world that changes daily.What’s right, what’s risky, what to allow, what to avoid.No noise. Just what you need to guide your family. 
 For kids:Not lectures. Experience that shapes empathy.They learn by doing, how to use their first device in a way that makes them smarter, safer and more aware. 

How? With wit, empathy, information & education that’s objective, vetted, and science-backed. We ask the experts, because we are just parents ourselves, trying to prepare our kids for a world that keeps breathing down our neck.

 The result: Kids who understand tech (plus when not to use it) Parents who feel in control and involved Families who navigate life together 

This is the new standard for growing up online and we call it Happy Cyber Vibes

Awarded Best Solution Worldwide for Digital Wellbeing of Kids and Teens (Singularity University, Silicon Valley 2024) 

Languages English, Spanish, French, Dutch & Flemish 

 In App Store & Playstore.",Media & Telecommunications,2-10 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,chatlicense.com,https://www.linkedin.com/company/chatlicense
VG Visie,Mensen maken de stad,Media & Telecommunications,2-10 employees,Privately Held,"The Hague, South Holland, Netherlands",Netherlands,vgvisie.nl,https://www.linkedin.com/company/vastgoed-visie-media
Bright.nl,"Bright is one of the biggest tech media brands of the Netherlands with content on Bright.nl and social media. Bright also organises events: Bright Nights and Bright Day, the biggest tech festival of the Netherlands. The 8th edition of Bright Day in November 2018 attracted 22.500 visitors.",Media & Telecommunications,2-10 employees,Privately Held,"Amsterdam, North Holland, Netherlands",Netherlands,bright.nl,https://www.linkedin.com/company/brightnl
Autoblog.nl,De site voor petrolheads,Media & Telecommunications,11-50 employees,Privately Held,"Rodenrijs, South Holland, Netherlands",Netherlands,autoblog.nl,https://www.linkedin.com/company/autoblog-nl
Androidworld,"Androidworld.nl is een initiatief om Nederlandse informatie te verstrekken met betrekking tot Google’s besturingsysteem genaamd Android. Wij willen graag elke dag het laatste Android nieuws brengen, maar ook leuke Android applicaties laten zien. Kortom, Androidworld is jouw gids voor Android met een actieve community.",Media & Telecommunications,2-10 employees,Privately Held,"Nijmegen, Gelderland, Netherlands",Netherlands,androidworld.nl,https://www.linkedin.com/company/androidworld
Onze Branche! | Online B2B Lifestyle Media Platform,"Onze Branche! is sinds 2015 een online B2B lifestyle platform. Op onze website, sociale media en in de wekelijkse nieuwsbrief delen wij het allerlaatste nieuws van verschillende lifestyle groothandels, bedrijven, inkoopcentra en (vak)beurzen.",Media & Telecommunications,2-10 employees,Self Employed,"Assen, Drenthe, Netherlands",Netherlands,onzebranche.nl,https://www.linkedin.com/company/onze-branche
