Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Dun & Bradstreet,"Dun & Bradstreet, a leading global provider of business decisioning data and analytics, enables companies around the world to improve their business performance. Dun & Bradstreet’s Data Cloud fuels solutions and delivers insights that empower customers to accelerate revenue, lower cost, mitigate risk, and transform their businesses. 

Since 1841, companies of every size have relied on Dun & Bradstreet to help them manage risk and reveal opportunity. For more information on Dun & Bradstreet, please visit www.dnb.com.",Information Services,"5,001-10,000 employees",Public Company,"Aarhus, Middle Jutland, Denmark",Denmark,dnb.com,https://www.linkedin.com/company/dun-&-bradstreet
Halalist.dk,"Halalist is a digital platform dedicated to making it easy and straightforward to find halal dining options in Denmark. Our web application gathers information about local restaurants and presents it in an intuitive interface. With interactive map features and precise filtering options, we help users quickly distinguish between places with a full halal menu and those offering partial halal options. The goal of Halalist is to build a reliable resource that improves the dining experience for users seeking halal food, while creating better visibility for local restaurants.",Information Services,Self-employed,Self Employed,"Aarhus, Middle Jutland, Denmark",Denmark,halalist.dk,https://www.linkedin.com/company/halalist-dk
Wisedrop,Learning platform with a curated collection of high-impact knowledge from across disciplines. https://wisedrop.net/,Information Services,Self-employed,Self Employed,"Copenhagen, Capital Region, Denmark",Denmark,wisedrop.net,https://www.linkedin.com/company/wisedrop
Lokalfrivillig,"Lokalfrivillig er en digital platform, der gør det enkelt for arrangører at finde, rekruttere og administrere frivillige. Vi samler frivilligheden ét sted ved at forbinde arrangører med et voksende, nationalt netværk af engagerede mennesker, der gerne vil hjælpe til ved events, aktiviteter og lokale initiativer.

Platformen er udviklet til arrangører, der ønsker færre manuelle processer og mere tid til at skabe gode oplevelser. Med værktøjer til rekruttering, kommunikation, vagtplanlægning og drift hjælper Lokalfrivillig med at reducere administration, skabe overblik og styrke samarbejdet med de frivillige.

Samtidig gør vi det nemt for frivillige at opdage nye muligheder, tilmelde sig opgaver og blive en del af fællesskaber - både lokalt og på tværs af Danmark.

Lokalfrivillig gør frivillighed mere tilgængelig, mere organiseret og mere meningsfuld for alle.",Information Services,2-10 employees,Privately Held,"Roskilde, Zealand, Denmark",Denmark,volunteerly.dk,https://www.linkedin.com/company/lokalfrivillig
Etara Partners K/S,"Står I med en it-leverance, som ikke lever op til mål eller forventninger, eller hvor estimater eller scope er skredet? Et komplekst it-projekt, hvor ledelsen og teknikerne taler forbi hinanden? Eller et teknisk team, der mangler en erfaren mentor eller leder?",Information Services,Self-employed,Self Employed,"Frederiksberg, Capital Region, Denmark",Denmark,etara.dk,https://www.linkedin.com/company/etara-partners
Sportyfriends,"The concept of Sportyfriends is to help sport clubs with a easy to use system to administrate and improve everything in their club by offering a unique platform tailored specifically for racket sports clubs. In essence, Sportyfriends gather all the assignments of a club in one place making your job easier, more effective and more profitable. The Sportyfriends Team consists of dedicated sports people and IT specialists. We have handled all possible tasks in various racket sports clubs within the past 20 years developing a deep understanding of the multifaceted tasks you face when working at a racket sports club. Based on this experience, we have developed a unique platform with the single purpose of helping you solve the tasks at your club.",Information Services,11-50 employees,Partnership,"Kongens Lyngby, Capital Region, Denmark",Denmark,sportyfriends.com,https://www.linkedin.com/company/sportyfriends
Økonomiforum ApS,"Økonomiforum er en formidlingsvirksomhed for økonomer. Vi udbyder konferencer, kurser og uddannelse til økonomer i private og offentlige organisationer. Vi bestræber os på at formidle viden, der er ’need to know’ for professionelle økonomer. 
Vi holder os orienterede om erhvervslivets udfordringer, og hvad dette særligt betyder for økonomer. Økonomiforum samarbejder med de førende formidlere af viden til økonomer, bl.a. DJØF, CBS, fagtidsskriftet Økonomistyring og Informatik og Økonomisk Ugebrev. På alle vores aktiviteter – store som små – er vores ambition at levere aktuel, relevant og nødvendig viden.

Økonomiforum er officiel CIMA-repræsentant i Skandinavien og kan derfor tilbyde uddannelser akkrediteret af CIMA (The Chartered Institute of Management Accountants).",Information Services,2-10 employees,Privately Held,"Gentofte, Capital Region, Denmark",Denmark,okonomiforum.dk,https://www.linkedin.com/company/-konomiforum-aps
Danske Fonde,"Danske Fondes formål er at varetage medlemmernes interesser og i denne forbindelse at yde oplysning og vejledning, samt at optræde på medlemmernes vegne i egenskab af interesseorganisation i forhold til offentlige myndigheder, bl.a. med det formål at gøre sin indflydelse gældende i forbindelse med lancering af lov- og regelinitiativer. Det er endvidere foreningens formål at være forum for erfaringsudveksling og videndeling.",Information Services,Self-employed,Non Profit,"Copenhagen, Capital Region, Denmark",Denmark,danskefonde.org,https://www.linkedin.com/company/danske-fonde
Avisen.dk,"Avisen.dk giver dig Danmarks nye iværksætteravis. En onlineavis hvor du altid kan finde spændende nyt om det danske iværksætteri. 

Med nyhedshistorier og portrætter af de danske ildsjæle ønsker vi at bygge bro mellem det danske iværksætteri og resten af den danske befolkning. 

Find de spændende historier på Avisen.dk og her på LinkedIn. 

Avisen.dk er et selvstændigt medie ejet af Freeway-koncernen. 

#iværksætteri #linkedin #motivation #forretning",Information Services,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,avisen.dk,https://www.linkedin.com/company/avisendk
GoMentor,"GoMentor er Nordens største online-portal for samtaleterapi, coaching og personlig udvikling.

Hvorfor
Vores vision er at hjælpe folk med at udnytte deres fulde potentiale ved at tilbyde samtaleterapi og coaching på moderne menneskers præmisser.

Hvordan
Vi har samlet psykologer, psykoterapeuter og coaches på ét sted under betegnelsen 'mentorer'. Vi har gjort det nemt at finde den rette hjælp, hvad enten det er personligt fremmøde, en online-videosamtale eller skriftlig terapi og coaching via GoMentor 24/7.

Nye muligheder
Digitaliseringen har ændret vores liv og den måde, vi kommunikerer og interagerer med hinanden på.

Vi gør det muligt at supplere det fysiske møde mellem mentor og bruger med forskellige online muligheder og tilbud – så flere mennesker har mulighed for at opnå en bedre livskvalitet.

https://www.gomentor.dk
https://www.gomentor.no",Information Services,11-50 employees,Privately Held,"Frederiksberg, Capital Region, Denmark",Denmark,gomentor.dk,https://www.linkedin.com/company/gomentor
