Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Pune, Maharashtra, India",India,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
SHAH DIPCHAND KISNAJI AND CO,"Shah Dipchand Kisnaji & Co. is among the oldest and powerful Manufacturers as well as Suppliers of GI Products, Copper Metal Products and Brass Products. Our company has been leading the Industrial Products market for more than 67 Years  and has become a renowned Copper Brass GI Aluminium Products Manufacturer / Fabricator and Supplier in India. We have established Two Branches in Mumbai, namely, 
B. R. Metal Corporation 
Global Indifest INC

We are specialised manufacturer of Copper Strips and foil",Industrial Automation,Self-employed,Partnership,"Mumbai, Maharashtra, India",India,sdkmetals.com,https://www.linkedin.com/company/shah-dipchand-kisnaji-and-co
St. Joseph Systems and Control LLP,,Industrial Automation,2-10 employees,Partnership,"Ernakulam, Kerala, India",India,,https://www.linkedin.com/company/st-joseph-systems-and-control-llp
Binary Automation - India,,Industrial Automation,,,"Faridabad, Haryana, India",India,binaryautomation.co.in,https://www.linkedin.com/company/binary-automation---india
Souvenir Technologies Pvt Ltd - India,,Industrial Automation,,,"Bengaluru North, Karnataka, India",India,souvenirtechnologies.in,https://www.linkedin.com/company/souvenir-technologies-pvt-ltd---india
Shackles & Tackles - India,,Industrial Automation,,,"New Delhi, Delhi, India",India,shacklesandtackles.com,https://www.linkedin.com/company/shackles-&-tackles---india
Vishwas Industries - India,,Industrial Automation,,,"Vadodara, Gujarat, India",India,vishwasindustries.com,https://www.linkedin.com/company/vishwas-industries---india
ALGOOD Engineering Solutions LLP,"Design and Manufactures Material handling systems, conveyors and Special Purpose Machines",Industrial Automation,2-10 employees,Partnership,"Belagavi, Karnataka, India",India,,https://www.linkedin.com/company/algood-engineering-solutions-llp
Tesseract Engineering,"Managing multiple facilities? Get an online, enterprise-wide view and control over all your buildings and systems from any PC, tablet, or web-connected device on your network. Elevate Enterprise Management solutions integrate easily with other systems via BACnet IP, Modbus giving you the information you need to make enterprise-wide decisions for optimized performance.

Tesseract’s premier web-based building management systems eliminate the complexity of managing multiple building systems across multiple sites, from a PC, tablet, or smartphone virtually anywhere, anytime.

Enterprise-level building management software for facility professionals. ElevateEnsembleTM simplifies the management of building systems within multiple facilities for owners, managers, and daily operators. Tracer Ensemble provides centralized management of scheduling and alarms, supports long-term data storage to document and monitor performance, facilitates tenant billing, work orders, and preventative maintenance, enables remote troubleshooting, and brings disparate systems together for upgrade flexibility. And because Tracer Ensemble offers full browser support, you can access your facility from wherever you are from your PC, tablet, or smartphone.",Industrial Automation,2-10 employees,Privately Held,"Bengaluru East, Karnataka, India",India,tesseract-tech.com,https://www.linkedin.com/company/tesseract-engineering12
Audyobyte Technologies LLP,We are a Bangalore-based start-up founded by alumnus of IIM Bangalore with more than 20 years of experience in Digital Automation. Our start-up is recognized by DPIIT (Department of Industrial Policy & Promotion) bearing certificate number – DIPP88780. We have a goal to help MSME in embracing digital solutions for automation and high efficiency. The overall impact will result in increased productivity and reduce wastage of time and material.,Industrial Automation,2-10 employees,Partnership,"Bengaluru, Karnataka, India",India,audyobyte.com,https://www.linkedin.com/company/audyobyte-technologies
