Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SYOS Aerospace,"SYOS is a rapidly growing uncrewed systems technology company tackling real-world challenges across air, land, sea and subsurface domains.  We design and manufacture a multi-domain portfolio of advanced, uncrewed, autonomous systems engineered for mission readiness, reliability and the best cost to capability in the market.  

Built to perform in remote environments, high-risk scenarios or everyday operations our vehicles enable defence, civil and commercial organisations to work smarter, safer and with greater capability.  

Our expertise spans autonomous hardware, mission‐critical uncrewed technologies and AI‐enabled autonomy, and we are one of the world’s largest manufacturers of Uncrewed Surface Vessels (USVs).  Combining world-class engineering and proven AI-driven autonomy, we operate with agile design, lean manufacturing and rapid innovation - with a relentless focus on Minimum Viable Capability. Working shoulder to shoulder with customers and end users, shaping solutions informed by real-world evidence and validated in the harshest conditions.

SYOS is dual headquartered in New Zealand and the United Kingdom, with a proven international footprint.  Our R&D, manufacturing and production sites are based in UK and NZ, with an operational and support presence in Ukraine.",Robotics Engineering,51-200 employees,Privately Held,"Mount Maunganui, Bay of Plenty, New Zealand",New Zealand,syos-aerospace.com,https://www.linkedin.com/company/syos-aerospace
Automate-X,"We are a talented and flexible team of engineers passionate about warehouse and industrial automation, Industry 4.0 and transforming our customers’ operations.

Delivering results now, while looking toward the future, we develop smart solutions that can grow as your business needs evolve.

With a strong focus on maximising efficiency, minimising waste and giving you complete control of your processes, let Automate-X tailor an automation solution for you.",Robotics Engineering,11-50 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,automate-x.com.au,https://www.linkedin.com/company/automate-x
Autoa Robot Welding,"Autoa — We’re here to make Robot Welding Simplified.

Global leaders in innovative robotic welding solutions, with 25% of all robot welders in AU & NZ installed by Autoa. Our innovative AI path planning technology sets us apart, and our intuitive software makes robot programming seamless—so you can focus on welding more and programming less. Let us simplify your Robotic Welding Journey.

Experience the AutoaWeld difference and follow us on LinkedIn for the latest in Robotic Welding.",Robotics Engineering,11-50 employees,Privately Held,"Blenheim, Marlborough, New Zealand",New Zealand,autoaweld.com,https://www.linkedin.com/company/autoarobotwelding
Online Oceans,"Online Oceans designs, builds and operates cutting-edge Ocean Robots.",Robotics Engineering,11-50 employees,Privately Held,"Christchurch, Canterbury, New Zealand",New Zealand,onlineoceans.com,https://www.linkedin.com/company/online-oceans
Machines at Work,"We deliver two paths to autonomous farming: retrofit kits for orchard and vineyard operators looking to upgrade their existing tractors, and integration partnerships with manufacturers building autonomy into their equipment lines. Both lead to the same outcome – self-driving machinery that works in real-world conditions.

Our AUTONOMY Platform brings together advanced AI, hybrid GPS-vision navigation, and rugged edge hardware built for tough agricultural environments. It manages everything from obstacle detection to weather-aware task scheduling, all controlled through an intuitive mobile app.

We believe the future of farming isn’t about replacing farmers or their trusted machines – it’s about making both more capable. We build on what already works rather than starting from scratch.",Robotics Engineering,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,machinesatwork.com,https://www.linkedin.com/company/machinesatwork
Bay Dynamics NZ,"Bay Dynamics is New Zealand's only bespoke Remotely Operated Vehicle (ROV) engineering and operation specialists with extensive industry experience from around the world.

We create any number of solutions to meet a customers need for specialist solutions to difficult subsea problems.
We currently make three different series of ROVs, Bespoke; Tunnel; and General Use. As well as Drop & Tow Cameras, ROV Cameras, and Static Monitoring Camera systems. 

Bay Dynamics also offers extensive operational experience utilising our own fleet of ROV units for specialist operations.",Robotics Engineering,2-10 employees,Public Company,"Tauranga, Bay of Plenty, New Zealand",New Zealand,baydynamics.co.nz,https://www.linkedin.com/company/bay-dynamics-nz
SPS Automation Limited,"SPS Automation is an innovative Christchurch-based research and development company that specialises in designing and delivering bespoke airborne and ground-based robotic systems. Our focus is on creating tailored solutions that integrate cutting-edge sensor-based AI technology with highly adaptable robotic platforms. Whether for industrial, commercial, or research applications, we provide the technology and expertise to develop systems that push the boundaries of what automation can achieve.
We specialise in the integration and design of robots that not only execute tasks autonomously but also adapt and respond intelligently to their environments. Our custom-built systems are engineered to solve unique challenges and deliver exceptional performance in a wide range of sectors, from aerospace to agriculture.
At SPS Automation, we take pride in our ability to design and build robots that can operate in complex and dynamic environments. Whether it’s a drone, ground vehicle, or robotic arm, if it flies, rolls, or moves and needs to think, we have the expertise and capability to build it. Our team works collaboratively with clients to ensure that each solution is tailored to meet specific requirements, combining innovative design with practical, real-world application.
We are committed to staying at the forefront of robotics and automation technology. Through continuous research, development, and refinement, we push the limits of what’s possible, ensuring that our solutions are not only effective but also future-proof. Our work is driven by a passion for creating intelligent systems that make a difference in the world around us.",Robotics Engineering,11-50 employees,Public Company,"Christchurch, Canterbury, New Zealand",New Zealand,spsautomation.com,https://www.linkedin.com/company/sps-automation-limited
Digitalization,"Digitalization is a senior engineering partner focused on building high‐complexity software for industrial, scientific, and robotics‐driven environments. We help companies turn demanding ideas into reliable, production‐ready systems by combining deep algorithmic expertise with practical engineering discipline. Operating globally from Delft in the Netherlands, we support organizations that require precision, robustness, and senior‐level execution.

What We Build
Our work spans computational geometry, 3D object recognition, lab automation, robotics, industrial automation, and advanced 3D applications. We design high‐performance algorithms, mesh and geometry processing pipelines, simulation and analysis tools, robotics and mechatronics software, PLC and HMI systems, and custom engineering applications with intuitive 2D/3D interfaces. Many clients rely on us to integrate hardware, software, and business logic into one coherent, maintainable system.

How We Work
We collaborate directly with founders, CTOs, and engineering leaders who need a partner capable of understanding complexity quickly and delivering independently. Our approach emphasizes clarity, reliability, and measurable outcomes. Every solution is built with modular architecture, long‐term maintainability, and real‐world performance in mind. We avoid unnecessary complexity and focus on engineering that stands up to operational demands.
Who We Support

Digitalization works with robotics startups, agritech innovators, industrial OEMs, scientific labs, and manufacturing organizations modernizing their systems. We often step in when internal teams are stretched thin or when a project requires niche expertise that is difficult to hire for.

Why Companies Choose Us
Clients value our ability to bridge the gap between concept and production. We combine algorithmic depth, industrial experience, and a senior engineering mindset to deliver technology that lasts, scales, and performs.",Robotics Engineering,2-10 employees,Privately Held,"Wellington, Wellington, New Zealand",New Zealand,digitalization.nl,https://www.linkedin.com/company/digitalization
Obsidian Systems,"Obsidian Systems provides high-performance autonomous platforms and deployment technologies designed for precision, efficiency, and scalability. Our solutions support defence, environmental, emergency, and industrial operations worldwide.",Robotics Engineering,2-10 employees,Privately Held,"Auckland, Auckland, New Zealand",New Zealand,obsidiansystems.co.nz,https://www.linkedin.com/company/obsidian-systems-nz
"New Zealand Robotics, Automation, and Sensing","New Zealand Robotics, Automation and Sensing (NZRAS) is a network of researchers, engineers, technologists and students that is concerned with research and application of robotic, automation and sensing technologies.

We aim to bring together all parties in the innovation ecosystem to facilitate the advancement of science and technology. It includes research providers from tertiary institutions, CRIs, COREs, Callaghan Innovation and various industry groups in New Zealand. It intends to foster and build collaborations, partnerships and networking to undertake research and development projects in particular those with a national focus such as the National Science Challenges.

The network organises conferences and other meetings, and serves as a focal point for New Zealand industry and researchers.",Robotics Engineering,11-50 employees,Non Profit,"Auckland, Auckland, New Zealand",New Zealand,nzras.org.nz,https://www.linkedin.com/company/nzras
