Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
B&R Industrial Automation,"Constant innovation and strong partnership are two areas that have characterized B&R for over 40 years now. Together with ABB, we are the only company in the world to offer a complete portfolio of robotics, automation and software. Closeness to our customers has always been our greatest strength.

As part of the ABB family, we continue to be guided by the same values: Creating more productive and sustainable manufacturing solutions together with our customers. We share our automation expertise through training and during collaboration.

Imprint:  https://www.br-automation.com/en/about-us/imprintdisclosure/",Industrial Automation,"1,001-5,000 employees",Public Company,"Roswell, Georgia, United States",United States,br-automation.com,https://www.linkedin.com/company/b&r-industrial-automation
"SolVIS, Inc.","Nestled in the foothills of the Smoky Mountains, Knoxville, TN based SolVIS, INC was founded in 2013 by Augustin and Lindsey Manolache. With a clear VISION in mind, SolVIS quickly grew in the machine vision sector of Industrial Automation field. Awarded the CSI (Certified Systems Integrator) honor from COGNEX in 2017, SolVIS became the go to Machine Vision Consultant in the Southeast Region of the United States. With exponential growth, SolVIS now employs a staff of Controls Engineers, Mechanical Engineers, Algorithm Engineers, and mechanical/electrical technicians. While machine vision remains SolVIS’ core competency, machine builds, track and trace, controls system service, MES/SCATA integration and Robotics have become a large portion of SolVIS’ business. With a successful customer base now reaching from the continental US to customers as far as Italy and China, let SOLVIS be your partner for a clearer VISION on your next automation project.",Industrial Automation,11-50 employees,Privately Held,"Louisville, Tennessee, United States",United States,solvis.us,https://www.linkedin.com/company/solvis-inc-
"Automated Control Systems, Inc.","ACS has developed innovative custom solutions for: Automotive, Food & Beverage, Metrology, Pharmaceutical and Water/Wastewater Treatment industries worldwide. Contact us today to find out more!",Industrial Automation,11-50 employees,Privately Held,"Farmington Hills, Michigan, United States",United States,autoconsys.net,https://www.linkedin.com/company/automated-control-systems-inc-mi
Farris Automation,"Farris Automation builds custom automation solutions tailored to your manufacturing challenges. Our systems improve efficiency, precision, quality, and safety—designed to meet your exact specifications and budget.

With full in-house capabilities including design, machining, and assembly of precision custom components, we support every stage of your project. From installation and training to troubleshooting, we stay engaged until you’re fully satisfied.

We thrive on challenges and partner with you from concept and design through prototyping, assembly, and installation. Our experience spans the agricultural, medical, food service, automotive, and recreational industries—We building solutions for you, with you.",Industrial Automation,11-50 employees,Self Owned,"Mukwonago, Wisconsin, United States",United States,farrisautomation.com,https://www.linkedin.com/company/farris-automation
"ARMAC, Inc.","ARMAC INC is a regional manufacturer’s representative firm.  Our customers are both the manufacturers trying to sell their products and services and the end users that eventually apply this equipment to their most important processes. As a commission income based operation, it is critical that we offer both value and professionalism to the New England/Upstate NY Industrial marketplace.  We believe our value, to both, is competent technical support to the immediate issues confronting our valued customers’ every-day. We do not hesitate to respond to both sales and service inquiries be it via the phone, internet or personal visit. We particularly enjoy learning about these processes and assisting to Improve, automate or make for a safer work environment.  Our goal is to be remembered as valued colleagues and support personnel, not just another sales office. We value your business and partnership.",Industrial Automation,11-50 employees,Privately Held,"Lynnfield, Massachusetts, United States",United States,armacinc.com,https://www.linkedin.com/company/armac-manufacturing-inc
AEC Engineering,"AEC Engineering designs & fabricates custom controls panels used in industrial automation.  The company, founded in 1982, represents nearly 40 years of custom controls design, engineering, programming, and fabrication expertise.  We are a UL508A & UL698A (Hazardous Locations) certified shop, and serve customers in a wide variety of industries including Water/Wastewater, Process Manufacturing, Communications, Energy, Biopharma and many others.  Our experience across several decades and multiple industries, coupled with our interest in emerging technologies, enables us to translate our customers' needs into engineered solutions.",Industrial Automation,11-50 employees,Privately Held,"Freeport, Maine, United States",United States,aec-engineering.com,https://www.linkedin.com/company/aecengineering
COGEBI Inc. - Excellence In Mica,"COGEBI has pursued EXCELLENCE IN MICA for over 90 years, earning its place as a leading solutions provider for advanced mica technologies for thermal, electrical, and flame-resistant applications.

COGEBI has excelled in multiple industries:

•	High Voltage Insulation for Motors & Generators
•	Industrial Applications (Mica Gaskets, Battery Insulation)
•	Electrical and Electronic Manufacturing
•	Aerospace 
•	Foundry 
•	Fabricated Parts
•	Fire Resistant Cable Tapes

Our customized, cutting-edge solutions such as VPI (Vacuum Pressure Impregnation) and Resin Rich mica tapes deliver outstanding quality and effectiveness while meeting the most stringent engineering and design criteria.

No matter where you are in the world, COGEBI’s experts are ready to assist you with finding the perfect mica product or solution for your application, whether you need an off-the-shelf solution or a customized solution.

COGEBI also works directly with industrial end-users to:
•	Shorten Reaction Time
•	Simplify Information Sharing Between Partners
•	Move Processes Forward Efficiently
•	Work with Stakeholders to Achieve Success

Our R&D experts use the latest production techniques to supply high-tech products with exceptional performance in the field.

COGEBI has become a go-to mica solution by staying at the forefront of industrial market developments to more effectively deliver the cutting-edge products and services our customers have come to expect.

Our constant pursuit of EXCELLENCE IN MICA is why we’re an ideal solution for your business.

Are you ready to learn more about how we can help take your project to the next level?

Contact us today! We look forward to speaking with you: 1-603-749-6896.",Industrial Automation,201-500 employees,Privately Held,"Dover, New Hampshire, United States",United States,cogebi.com,https://www.linkedin.com/company/cogebi-inc-excellence-in-mica
Failsafe Controls,"When you think process automation, think Failsafe. 

With substantial experience and a knack for finding solutions, Failsafe Controls has become a leader in managing products and services for the oil and gas industry. We’ve successfully executed projects across the globe, and we’ve made a name for ourselves along the way. 

We are committed to providing you with the best selection of products available and the dependable partnership that you deserve.
 
Our customer service is unmatched. Our methods are Failsafe.",Industrial Automation,11-50 employees,Partnership,"New Iberia, Louisiana, United States",United States,failsafecontrols.com,https://www.linkedin.com/company/failsafe-controls
Sarka Conveyors & Automated Systems,"Sarka employs a highly skilled group of engineers, fabricators, electricians, machinists and assembly techs who master the craft of Designing and Building Custom Conveyors, Automated Equipment, specialty machines, fabricated products, electrical panels, controls packages, machine refurb and repair and on-site services.",Industrial Automation,11-50 employees,Privately Held,"Tiffin, Ohio, United States",United States,sarkaconveyors.com,https://www.linkedin.com/company/sarka-conveyors-&-automated-systems
Kawasaki Tennessee Inc,"Kawasaki Tennessee, Inc. is an automotive supplier located in Morristown, TN. We specialize in high pressure die casting and machining of aluminum parts for the automotive market. Our goal is to be the number one small parts diecasting company in North America. We are located at 1111 Sakura Drive Morristown, TN 37813",Industrial Automation,201-500 employees,Privately Held,"Morristown, Tennessee, United States",United States,kawasaki-tn.com,https://www.linkedin.com/company/kawasaki-tennessee-inc
