Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
SeabinTM,Seabin has evolved into a globally recognised brand that generates revenue from delivering nature positive impact data to corporate clients worldwide,Climate Technology Product Manufacturing,2-10 employees,Privately Held,"Mullumbimby, New South Wales, Australia",Australia,seabin.io,https://www.linkedin.com/company/seabin-project
Samsara Eco,"We’re a circular materials biotech breaking the linear take-make-waste economy. 

Using AI-designed enzymes, our enzymatic recycling technology breaks down plastics and textiles into their original building blocks, creating virgin-identical circular materials ready for brands' next collections. 

Today, we’re focused on creating circular nylon and polyester. But our end game is to find circular solutions for the trickiest of plastics, so no garment, no vehicle, no bottle is left behind. Instead, it's reborn, again and again. 

Samsara Eco launched in 2021 in partnership with the Australian National University (ANU), and with backing from Main Sequence and the Woolworths Group. We have raised over USD $107M from our growing supporters including Temasek, Breakthrough VIC, DCVC, CEFC, lululemon, Hitachi Ventures, Titanium Ventures and Wollemi. Our growing team of 80+ are spread across APAC, Europe and North America.  

Proud winners: Fast Company's Most Innovative Companies 2025 | Fast Company World Changing Ideas 2025 | TIME Best Inventions 2025 

B Corp certified – working to benefit people and the planet.",Climate Technology Product Manufacturing,51-200 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,samsaraeco.com,https://www.linkedin.com/company/samsara-eco
Rumin8,"Rumin8 is an Australian climate technology company on a mission to decarbonize 100 million cattle by 2030.

Rumin8 is using a pharmaceutical approach to reproduce and stabilise nature’s solutions to make affordable feed supplements that reduce methane emissions from livestock.

Rumin8 is targeting commercialisation of a multi-product solution to suit a variety of livestock management systems, including grass-fed cattle, with potential value adds for producers. 

To learn more, visit rumin8.com",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Perth, Western Australia, Australia",Australia,rumin8.com,https://www.linkedin.com/company/rumin8
MCi Carbon,"MCi Carbon (MCi) is a world-leading and award-winning Australian clean technology transforming carbon dioxide (CO2) into building products and materials for the circular carbon economy. 

Based in Canberra, MCi Carbon has a technical headquarters in Newcastle, a global reference pilot plant at the Newcastle Institute of Energy and Resources (NIER) and will soon be building one of the world's first mineral carbonation demonstration plants at Orica's Kooragang Island manufacturing site, operational in 2024.

Founded in 2013, MCi’s proprietary mineral carbonation technology is a low-cost, low-pressure, low-energy chemical engineering process to transform CO2 emissions from industrial sources into solid materials for use in a range of products.

MCi has received local and international recognition for its R&D, recently awarded the Circular Transition Award at the 34th National Banksia Sustainability Awards and the NSW Clean Technology Award. In 2021, MCi won first prize at the Clean Energy Start-up Pitch Battle at COP26 in Glasgow. Other global accolades include the 2018 Resource Innovator of the Year Award at the New Materials Summit in Berlin and being featured at the World Economic Forum Pioneers of Change Summit, building momentum as a global brand and a leader in carbon capture and utilisation (CCU). 

Recently featured in Bloomberg, Forbes, and the Australian Financial Review, MCi CEO Marcus Dawe and COO Sophia Hamblin Wang were named in the Top 100 Australian Green Power Players, published in The Australian.

Watch: Learn About MCi's Technology https://www.mineralcarbonation.com/videos

Watch: Our Winning Pitch at COP26 Where MCi Won Amongst Thousands of Competitors 
https://www.youtube.com/watch?v=EfTgjWFCQD8&t=65s&ab_channel=NetZeroTechnologyCentre",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Canberra, Australian Capital Territory, Australia",Australia,mcicarbon.com,https://www.linkedin.com/company/mci-carbon
SunGreen,"SunGreen is building the materials operating system for a decarbonized molecule economy. Our NanoFuzeXTM platform engineers nanostructured electrodes that double yield and increase energy efficiency using advanced materials 100% free of precious metals (PGM), rare earths and boron-diamond, creating new frontiers in electrochemical manufacturing - from hydrogen to CO2 fuels to water treatment and metal-air batteries.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Melbourne, Victoria, Australia",Australia,sungreenh2.com,https://www.linkedin.com/company/sungreen-advanced-materials
PlasmaLeap Technologies,"Pioneering new pathways for sustainable eFuels and chemicals.

PlasmaLeap designs, manufactures and distributes the world's most advanced zero-emissions chemical reactors for hard to abate industries, including agriculture, energy, and transport.",Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,plasmaleap.com,https://www.linkedin.com/company/plasmaleap-technologies
Victorian Cleantech Cluster,"The Victorian Cleantech Cluster is an industry association supporting Victoria to become a major hub for innovation, uptake and commercialisation of clean technology.

The VCC provides a platform for its members to come together, share expertise and receive advice to drive the uptake of clean technology and economic growth to transition to a more sustainable and circular economy.

We establish networks, experience and institutional knowledge that can benefit export development, commercialisation, risk management and growth of their member organisations.

The future of Victorian jobs and sustainable economic development relies on a strong cleantech and environment sector, building on a legacy of innovation, effective regulation and sustainability in the state.

In the long term the VCC will support Victoria to leverage the global transition towards a more sustainable future and to better position Victoria for greater economic prosperity, increased job opportunities and continued quality of life. 

The VCC was founded in Melbourne in 2019 as an Not-for-Profit association incorporated in Victoria.",Climate Technology Product Manufacturing,2-10 employees,Non Profit,"Melbourne, Victoria, Australia",Australia,victoriancleantech.org.au,https://www.linkedin.com/company/cleantechvictoria
DIT AgTech,"We give livestock producers confidence that every animal gets the right dose of dietrary supplements, every day. Farmers across Australia deploy DIT AgTech to boost the results of supplementation while reducing the amount of time and operational costs involved.

Our proprietary technology automatically delivers a pre-determined proportion of supplements into livestock drinking water. This ensures every animal receives the appropriate amount of nutrients and minerals for optimal health and performance.

For farmers who are dedicated to reducing their environmental impact, DIT AgTech provides an easy solution for delivering methane-reducing additives, monitoring consumption, and earning carbon credits.

DIT AgTech was born out of a passionate commitment to driving on-farm efficiency. We're dedicated to helping farmers spend less time trying to keep up and more time getting ahead.",Climate Technology Product Manufacturing,51-200 employees,Public Company,"Toowoomba, Queensland, Australia",Australia,ditagtech.com.au,https://www.linkedin.com/company/ditagtech
MicroTau,MicroTau is improving the efficiency of the global aviation fleet via sharkskin-inspired drag-reducing surfaces that reduce fuel consumption and emissions for commercial and defence aircraft.,Climate Technology Product Manufacturing,11-50 employees,Privately Held,"Sydney, New South Wales, Australia",Australia,microtau.com.au,https://www.linkedin.com/company/microtau-pty-ltd
ebm-papst A&NZ,"We are the global leading manufacturer and supplier of fans, blowers and air moving products and we hope to provide you with information on our unique range of products; enable you to get to know our motor technology and engineering and to inform you of how our developments can add value to your business. We will show you who we are, and where and how we operate. Then we can provide you with the service you expect.

ebm-papst A&NZ Pty Ltd was formed in December 2005 following separation from long time partners.

Assuming the coverage of the previous company, ebm-papst has grown and developed, now inhabiting a new head office in Laverton North, Melbourne. ebm-papst A&NZ Pty Ltd provides engineering and logistics expertise to add value to clients who require air movement or specialist drives products.

From products and innovations realised from three main manufacturing and development centres in Germany, namely: ebm-papst Mulfingen, ebm-papst St. Georgen and ebm-papst Landshut. 

ebm-papst A&NZ Pty Ltd develop fan, motor and control solutions into the following applications:

Refrigeration
Air-conditioning
Heating
Ventilation
Electronics
Telecommunications
Bio medical
Automotive
Sensors and actuators
Prime movers

By signing the Kyoto protocol Australia has committed its future to tackling climate change and global warming. ebm-papst has been addressing these issues globally and now supplies 36% of its turnover with EC or high efficiency, speed controllable motor technology.",Climate Technology Product Manufacturing,11-50 employees,Public Company,"Melbourne, Victoria, Australia",Australia,ebmpapst.au,https://www.linkedin.com/company/ebm-papst-a&nz
