Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Space Denmark,"Space Denmark is a community and a global brand for the Danish space ecosystem. The membership-based organisation is dedicated to uniting and advancing Denmark’s space sector. It serves as a central hub connecting universities, companies, start-ups, government bodies, and enthusiasts across the space ecosystem. Space Denmark fosters collaboration through networking events, international delegations, and industry insights, aiming to position Denmark as a key contributor to the global space value chain. With a focus on emerging technologies, science, and research, the organisation supports its members by amplifying their impact and showcasing Denmark's capabilities on the world stage.",Space Research and Technology,2-10 employees,Partnership,"Copenhagen, Capital Region, Denmark",Denmark,,https://www.linkedin.com/company/space-denmark
EuroSpaceport,We are developing Europes sustainable offshore spaceport.,Space Research and Technology,2-10 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,spaceport.eu,https://www.linkedin.com/company/eurospaceport
SpaceTech denMACH,Your space-grade IoT partner.,Space Research and Technology,11-50 employees,Privately Held,"Copenhagen, Capital Region, Denmark",Denmark,denmach.space,https://www.linkedin.com/company/spacetech-denmach
Nord Space,"Nord Space operates as an advanced project office - a lean, experienced centre that assembles the right people for your programme from a curated network of senior space professionals. We don't maintain a large bench of generalists. Instead, we maintain deep relationships with specialists who have spent their careers in the space industry.

Whether you need a single embedded consultant to fill a critical capability gap, or a complete Tiger Team to tackle a complex mission challenge, we match expertise to need - and we move quickly. Space programmes don't wait, and neither do we.

The result is a consultancy model built for how the space industry actually works: agile enough for a Kick-Start activity, rigorous enough for a full satellite development programme, and experienced enough to add value from day one.",Space Research and Technology,2-10 employees,Privately Held,"Lillerød, Capital Region, Denmark",Denmark,nord-space.com,https://www.linkedin.com/company/nord-space
ClearSKY Vision,"At ClearSKY Vision, we transform earth observation by delivering daily, cloud-free, multi-spectral satellite imagery. Our advanced AI seamlessly integrates optical and radar data to eliminate clouds and shadows, providing analysis-ready images that empower industries such as agriculture, environmental monitoring, and forestry. Experience uninterrupted insights and make informed decisions with our up-to-date, reliable satellite data. With an open platform, we ensure transparent pricing and easy access, offering multiple data fusion models to meet diverse user needs.

Our technology has been recognized through the CASSINI Challenges and Copernicus Masters, adopted by SEGES Innovation for continuous agricultural monitoring, and ordered by the Danish Environmental Protection Agency and the Swedish University of Agricultural Sciences (SLU) for environmental and agricultural assessments. Demonstrating its value across sectors. We are supported by Innovation Fund Denmark and the European Space Agency (ESA), further strengthening our commitment to advancing earth observation technology.",Space Research and Technology,2-10 employees,Privately Held,"Aalborg, North Jutland, Denmark",Denmark,clearsky.vision,https://www.linkedin.com/company/clearskyvision
Solar System Explorers,"Solar System Explorers is a next-generation space media brand dedicated to making astronomy simple, visual, and inspiring for a global audience.

Founded in 2023, we create high-quality digital content that explores the Solar System, cosmic events, planetary science, and the future of space exploration. Our mission is to transform complex space concepts into engaging, visually immersive experiences through short-form videos, educational content, and cinematic storytelling.

With a rapidly growing global community, Solar System Explorers bridges science and creativity — turning curiosity about the universe into knowledge and inspiration.

We focus on:
• Astronomy & Solar System Education
• Sky Event Forecasts & Space Phenomena
• Visual Space Storytelling
• Science Simplified for the Digital Generation

Exploring space is like reading the Universe’s diary — and we invite the world to turn the next page with us.",Space Research and Technology,2-10 employees,Privately Held,"South Denmark, Denmark",Denmark,,https://www.linkedin.com/company/solarsystemexplorers
IDA Space,"IDA Space er et fagligt fællesskab for alle med interesse for livet, universet og teknologien og forskning i rummet. Igennem året afholder vi forskellige arrangementer, events og ture med fokus på forskning og teknologi i rummet.",Space Research and Technology,201-500 employees,Partnership,"Copenhagen, Capital Region, Denmark",Denmark,ida.dk,https://www.linkedin.com/company/idaspace
DARK Cosmology Research Unit,"DARK is a leading research unit at the Niels Bohr Institute, University of Copenhagen. Our group of 30+ researchers, including 9 PhD students, collaborates on high-level astrophysics, emphasizing gender diversity in science. We are affiliated with top observational facilities, like ESO, NASA, and the Vera C. Rubin Observatory, and engage in multiple large-scale collaborations, including projects like YSE and LSST. Our focus extends beyond exploration, emphasizing training, teaching, and public outreach about the mysteries of the dark Universe. Join us in exploring the cosmos!",Space Research and Technology,11-50 employees,Educational,"Copenhagen, Capital Region, Denmark",Denmark,ku.dk,https://www.linkedin.com/company/dark-research-center
Hoplon,"Hoplon is a globally operating company committed to reduce disasters and enhance resilience to impact from natural and human-induced hazards and vulnerabilities both on Earth and in space.

A particular area of focus of Hoplon is on; space weather. Here, Hoplon is committed to reduce space weather impact on critical space and ground-based infrastructure. The start-up works to increase resilience and enhance preparedness by fostering strategic collaborations. The aim is to enable tailored mitigation measures to industry and government in order to foster resilient systems, societies, and environments.

Join Hoplon On Our Mission!
Hoplon is building a community and looking for passionate individuals and organizations to collaborate with. We are actively seeking strategic clients and partners exploring funding opportunities to accelerate our development and impact. If you or your organization are interested in working on enhancing resilience and reduce disasters through mitigation measures that strengthens critical infrastructure, get in touch!",Space Research and Technology,Self-employed,Privately Held,"Nordsjælland, Denmark",Denmark,hoplonspace.com,https://www.linkedin.com/company/hoplonspace
Scientific Imagination,"While imagination hovers uncomfortably between what is possible and impossible, it is argued that whatever imagination might or might not reveal about the metaphysical structures of the real world, it provides experimental space to question the established structures of a conceptual framework. As Timothy Williamson put it in ‘Imagination as Knowledge’, ‘at least metaphorically, one might regard imagination as a form of attention to possibilities.’

Scientific Imagination is Sabine Winters. In this philosophical quest I attempt to address this very question: How is the function of imagination in science to be understood? For example, it is my goal to outline what imagination does when it is used as a guide to possibility in thought experiments and science fiction and to sketch a picture of the problems that may be encountered. By sharing podcasts and articles and organizing events I hope to share some of my enthusiasm for this particular field of philosophy.",Space Research and Technology,Self-employed,Non Profit,"South Denmark, Denmark",Denmark,scientificimagination.org,https://www.linkedin.com/company/scientific-imagination
