Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
LG Electronics,"Step into the world of LG Electronics, a global innovator in technology and consumer electronics focused on creating solutions for a better life. Guided by our brand promise, Life’s Good, we aim to make everyday life better, smarter and more meaningful for people around the world.

With a history spanning more than six decades, a network of more than 100 subsidiaries, and an international workforce of over 75,000, LG Electronics operates on a truly global scale. Since our founding in 1958, we have remained focused on delivering innovative products and technologies that improve lives around the world.

Through our four business divisions — Home Appliance Solution, Media Entertainment Solution, Vehicle Solution, and Eco Solution Companies — we provide innovative products and services that enhance everyday life across residential, entertainment, mobility, and HVAC sectors.

At the same time, we continue to expand into new growth areas including AI Home, smart factories, robotics and platform-based services such as webOS, building on our strengths in both consumer technology and B2B solutions.

Our management philosophy, Jeong-do Management, reflects our commitment to integrity, transparency and doing business the right way. Built on the principles of customer value creation and people-oriented management, our culture encourages collaboration, creativity and growth.

Join us as we continue to shape what comes next, because at LG, Life’s Good.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Kista, 01, Sweden",Sweden,lg.com,https://www.linkedin.com/company/lg-electronics
WEG,"Founded in 1961, WEG is a global electro-electronic equipment company, operating in the capital goods sector a with focus on electric motors, gearboxes and drives and controls, energy generation and transformers, electrification products and systems, automation and digitalization. WEG stands out in innovation by constantly developing solutions to meet the major trends in energy efficiency, renewable energy and electric mobility. With manufacturing units in 15 countries and present in more than 135 countries, the company has more than 47,000 employees worldwide. WEG’s net revenue reached R$ 38.0 billion in 2024, 57.0% from external markets.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Public Company,"Mölnlycke, 14, Sweden",Sweden,weg.net,https://www.linkedin.com/company/weg
Dyson,"Dyson solves real-world problems and creates better products through the application of engineering, science, design and creativity. It is a family-owned, global technology company, founded by Sir James Dyson who remains at the helm alongside his son Jake. 

Since inventing the first cyclonic bagless vacuum cleaner, the DC01, Dyson has consistently invested in research and development to improve its products and technologies radically. Dyson offers products across a growing range of areas: floorcare, air purification, robotics, haircare including formulations, lighting, hand drying, and most recently audio. Dyson continues to expand into new areas.

Today, Dyson sells products in more than 80 markets, has 450 Dyson stores worldwide and is available in all major technology and beauty retailers. Dyson has global headquarters in Singapore and major technology campuses in Singapore, the UK, Malaysia, and the Philippines. Its global team of engineers, scientists and software developers are focused on developing technology-enabled products which work better and which people love to use. Key areas of focus have included high-speed electric digital motors, sensing and vision systems, robotics, machine learning and aerodynamics. 

Beyond products, to encourage an inventive future, Dyson is also inspiring the next generation of engineers and inventors through the Dyson Institute of Engineering and Technology, the James Dyson Foundation and the James Dyson Award.  

The Dyson family applies its problem-solving approach in other fields, and established Dyson Farming in 2012. It is one of the largest farming businesses in the UK, extending to 36,000 acres across Lincolnshire, Oxfordshire, Gloucestershire and Somerset. It is a family-owned enterprise unlike any other, focussed on long-term investment in British farming and the countryside to grow tasty and nutritious food.","Appliances, Electrical, and Electronics Manufacturing","10,001+ employees",Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,dyson.com,https://www.linkedin.com/company/dyson
Arduino,"Arduino is the global leader in open-source hardware and software, designed from inception to provide an accessible platform and ecosystem for creativity and innovation. With over 30 million developers worldwide, Arduino’s solutions offer a powerful answer to the talent shortage in engineering and break free from vendor lock-in with a robust line of open-source products enabling IoT, automation, Industry 4.0, and machine learning at the edge. Hundreds of thousands of engineers, designers, students, and makers around the world are using Arduino to innovate in product development, education, industrial automation, smart homes, farming, fashion, music, autonomous vehicles, and more.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Privately Held,"Malmö, 12, Sweden",Sweden,arduino.cc,https://www.linkedin.com/company/arduino
Mouser Electronics,"Mouser Electronics is a worldwide leading authorized distributor of semiconductors and electronic components from over 1,200 manufacturer brands, with local sales and service centers around the globe. We specialize in the rapid introduction of new products and technologies for design engineers and purchasing professionals. Our extensive line card includes semiconductors, interconnects, passives, and electromechanical components.

In 2007, Berkshire Hathaway, Inc., acquired TTI, Inc, which included Mouser Electronics. Today, Buffett's holdings include insurance and finance subsidiaries and businesses ranging from jewelry and furniture to manufactured homes.

With a strong commitment to customer service and quality, we're proud to offer the widest selection of the newest semiconductors and electronic componentsTM from our industry-leading manufacturer partners.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Public Company,"Malmö, 12, Sweden",Sweden,mouser.com,https://www.linkedin.com/company/mouser-electronics
XP Power,"We are committed to being a leading provider of power solutions, including AC-DC power supplies and DC-DC converters, high voltage power supplies and RF power supplies.

Offering total quality, from in-house design in Asia, Europe and North America through to leading-edge manufacturing facilities around the world.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Public Company,"Gnesta, Sodermanland County, Sweden",Sweden,xppower.com,https://www.linkedin.com/company/xp-power
Nice Group,"Founded in the early 1990's, Nice is a global leader in Home Management Solutions, offering a complete range of integrated solutions for gate automation, garage doors, solar shading systems, parking systems, wireless alarm systems and home security, for residential, commercial and industrial applications; smart and connected systems for residential and commercial applications, for the security, access control, AI (Artificial Intelligence), comfort & wellness, control and power/AV sectors. Nice has embarked on a strategic path of expansion and extension of its portfolio of connected solutions and platforms, to offer a wide choice of customisable solutions and ease of use for the end user. This is complemented by strengthening and expanding in markets with high growth potential, as well as a renewed branding activity to compete in new market segments. Today Nice can rely on an organisation of more than 2,000 people on 5 continents, boasting a wealth of different skills and cultures, as well as 15 R&D centres and 15 production plants serving its partners and customers in over 100 countries worldwide.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Public Company,Sweden,Sweden,niceforyou.com,https://www.linkedin.com/company/nice-spa
Profoto,"WE ARE THE LIGHT SHAPING COMPANY 

Profoto makes photography lighting equipment and is within its niche the largest and most renowned company in the world. In other words, the world’s best photographers, fashion photographers in particular, use Profoto lighting. Profoto has a turnover of 700 MSEK, its headquarters in Sweden, subsidiaries in New York, Tokyo, Hamburg, Paris, London and Scandinavia, and distributors in nearly 50 countries. The business scope includes both the technical development and the selling of premium lighting products to the best photographers in the industry. The company was founded in 1968. Today, Profoto combines its heritage of photographic excellence with a young, dynamic and disciplined culture. This combination has during the last ten years turned Profoto into one of the most profitable and respected companies in the business.

_________

OUR PEOPLE VISION

At Profoto you will be participating in building a world leading innovative company. Today we set the standard with our products as the premier choice of professional photography. With a strong commitment to innovation, we aim to remain the leader in our industry. Brilliant ideas, ground breaking research, as well as sustainable and profitable growth of our business, can only come to life with the right people. 

At Profoto we only hire the best and we invest in the development of our people to ensure we are an employer of choice for those who value professional development and continuous challenges.

We are committed to growth and we want our people to grow with us. To achieve this we offer an ambitious, high quality and demanding culture where we value to have fun together as we build a world class company with a premium brand. We strongly believe that a healthy work life balance, a coaching leadership and individual development are the keys to our success.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Public Company,"Stockholm, 01, Sweden",Sweden,profoto.com,https://www.linkedin.com/company/profoto
FOSS,"FOSS is known throughout the world for efficient, analytical solutions that help to improve both food quality and safety in the global food market. And we are playing an increasingly important role in ensuring optimal use of valuable agricultural resources and have created groundbreaking innovations throughout the years in analytical technology. FOSS provides instruments and solutions to the world’s 100 largest food companies and for over sixty years, FOSS has been at the forefront of creating analytical technology.

Did you know that.... 

- 85% of the world’s milk production
- 80% of grain traded on the world market

...is tested using a FOSS solution? 

FOSS employs around 1,700 people working all over the world including almost 800 in Denmark. The analytical instruments are marketed and sold through a global network of sales subsidiaries in over 32 countries and by more than 75 dedicated distributors spread over Europe, North, South and Central America, Africa, Asia, and Australia.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Privately Held,"Stockholm, Stockholm County, Sweden",Sweden,fossanalytics.com,https://www.linkedin.com/company/foss
Genelec,"Genelec is the leading manufacturer of Active Loudspeakers for Studio Monitoring, Installations and Home Theaters. Based in Iisalmi, Finland the company has been dedicated to the professional audio business for over 40 years. Our unrivalled commitment to research and development has resulted in a number of industry firsts and established Genelec as the industry leader in active monitors. Genelec monitoring products remain true to our original philosophy from 1978 offering reliability, neutral sound reproduction regardless of size, as well as the ability to adapt frequency response to the listening environment.","Appliances, Electrical, and Electronics Manufacturing",51-200 employees,Privately Held,"Huddinge, 01, Sweden",Sweden,genelec.com,https://www.linkedin.com/company/genelec-oy
Fagerhult,"Fagerhult creates premium lighting solutions that enhance human well-being in professional and public environments. With sustainability and connectivity at heart, we focus on office, education, healthcare, retail and outdoor applications.  We work closely with customers and partners in the European market and provide lighting solutions globally – with tailor-made solutions for our customers. 

The Fagerhult brand includes both the product company Fagerhults Belysning AB (based in Fagerhult, Sweden) and 12 sales companies located around Europe. Based on knowledge of the positive impact of light on humans, we develop and produce innovative lighting solutions that are marketed and sold via Fagerhult's sales company. In total, we are about 1,000 people, of which close to 37% are women and 63% men. (Figures from 31 December 2022)

Fagerhult is part of the Fagerhult Group, one of Europe's leading lighting companies, with 12 different brands and 4,100 employees in 27 countries around the world.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Public Company,"Habo, Jönköping County, Sweden",Sweden,fagerhult.com,https://www.linkedin.com/company/fagerhult
Autel Energy,"Autel Energy is a provider of EV charging products and services. Originally stemming from years of R&D, quality manufacturing, and industry leading after-sales service, we believe our smart charging solutions will help accelerate the transition to renewable energy and create a sustainable future. Join us in Powering the Planet together.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Public Company,Sweden,Sweden,autelenergy.com,https://www.linkedin.com/company/autel-energy
Hanley Energy,"Hanley Energy are global innovators in Critical Power and Energy Management solutions, with a stable of world-class engineers shared between European headquarters in Ireland (County Meath) and North America (Ashburn, VA).

Our core capabilities cover the design, build, and commission of turnkey mission-critical solutions – delivering secure and reliable power from the grid all the way to the Hyperscale Data Center IT rack.

Our advisory capability guides customers through the challenges of technology transformation allowing the realisation of operational efficiencies underpinned by Lifecycle Management, Service and Maintenance.

In this way, we enable our clients to effectively manage their energy strategy, ensure 100% up-time and optimise their operational competitiveness.

Our approach is to develop trusted partnerships with clients, as a specialist integrator, ensuring excellent delivery coupled with cost-effective technology solutions.

Our values are: Service Excellence + Quality + Innovation + Partnership
	•	 Service Excellence: Committed to superior customer service.
	•	 Quality: Strive for technical excellence and high-impact results.
	•	 Innovation: Being innovative to achieve exemplar solutions.
	•	 Partnership: Building mutual trust and dependability.","Appliances, Electrical, and Electronics Manufacturing","501-1,000 employees",Privately Held,"Torshälla, 04, Sweden",Sweden,hanleyenergy.com,https://www.linkedin.com/company/hanley-energy
GPV,"GPV is one of Europe’s leading EMS (Electronics Manufacturing Services) companies. Our vision is to be our customers' most trusted, powerful, and top-of-mind EMS partner.

With more than 7,500 employees worldwide and a 2025 turnover of DKK 8.7 billion (EUR 1.2 billion), GPV is the second-largest EMS company headquartered in Europe. From our headquarters in Denmark, we operate electronics, mechanics, and cable-assembly manufacturing in 11 countries worldwide: China (2), Denmark (1), Estonia (1), Finland (1), Germany (1), Mexico (1), Slovakia (2), Sri Lanka (1), Sweden (1), Switzerland (1), and Thailand (2).

Our customers are typically among the very best in their niche, and they expect more than manufacturing excellence. With over 65 years of EMS experience, we combine operational excellence with long-term, trust-based partnerships that enable our customers to gain more — more time, more growth, more cash flow, and more sustainable profitability.

To further strengthen customer service and supply-chain resilience in response to changing global trade dynamics, in December 2025, GPV entered into a strategic partnership with East/West Manufacturing Enterprises (EWME), a US-based EMS provider with production in Austin, Texas. The partnership enhances manufacturing flexibility across the United States and Mexico, supporting customer requirements related to US domestic production, Buy America / Build America (BABA), USMCA compliance, and evolving tariff environments.

At GPV, partnership is proven through action. Every day, we work to deliver timely, faultless, and high-quality solutions, while remaining a reliable and proactive partner in an increasingly complex global environment.

GPV has been part of the Danish industrial conglomerate Schouw & Co. since 2016 and is jointly owned by Schouw & Co. (80%) and Ahlström Capital (20%).","Appliances, Electrical, and Electronics Manufacturing","5,001-10,000 employees",Privately Held,"Västerås, 19, Sweden",Sweden,gpv-group.com,https://www.linkedin.com/company/gpv
ZAPI GROUP,"ZAPI GROUP is engineering the transition to an all-electric future with a highly integrated product portfolio with motion controllers, electric motors, high-frequency battery chargers, and autonomous navigation software for application in full-electric, hybrid vehicles and system integration. 

As a global electrification leader with deep systems experience, leading innovations, and an obsession with driving customers' success, ZAPI GROUP now counts more than 1700 employees worldwide with total annual revenue of more than 600 million €.","Appliances, Electrical, and Electronics Manufacturing","1,001-5,000 employees",Privately Held,"Stockholm, 01, Sweden",Sweden,zapigroup.com,https://www.linkedin.com/company/zapi-group
