Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL
Rotex Automation Limited,"Rotex Automation: At the Heart of Big Things

Since 1967, Rotex Automation has driven innovation and excellence in fluid control and automation, empowering industries that shape the world. This is where innovation meets impact.

Global Leader: Operating in 81+ countries with international hubs in the USA, UAE, Netherlands, and Malaysia, supported by 83 channel partners.

Relentless Innovation: 22+ patents and cutting-edge engineering that have saved industries over USD 300 million.

Unmatched Certifications: Meeting the highest global standards, including SIL3, ATEX, IECEx, and PED.

Empowering Giant Industries: Trusted partner across Oil & Gas, Automotive, Nuclear Power, Pharma, and more.

Rotex is more than a solutions provider—we are the force driving progress, powering critical operations, and enabling industries to achieve the extraordinary.

We don’t just power machines; we empower the future.",Industrial Automation,201-500 employees,Privately Held,"Rotterdam, South Holland, Netherlands",Netherlands,rotexautomation.com,https://www.linkedin.com/company/rotex-automation-limited
HR tec,"HR tec heeft al ruim 10 jaar ervaring in industriële oplossingen en heeft zich gespecialiseerd in energiemonitoring -logging en -analyse systemen voor zowel industrie als utiliteit. Daarnaast leveren wij ook producten waarbij processen, mensen en installaties beschermd worden dit alles gericht op bedrijfscontinuïteit en elektrische veiligheid. 

Wij starten met uw vraagstuk, niet met onze oplossing. Elke applicatie kent een andere werkwijze en andere samenstelling van producten. 

Onze betrokkenheid, expertise en ervaring kan een succesvol resultaat opleveren.

ENERGY TEAM SPA || MEGACON || SMARTDODOS || HAKEL",Industrial Automation,2-10 employees,Self Employed,"Zwolle, Gelderland, Netherlands",Netherlands,hrtec.nl,https://www.linkedin.com/company/hrtec
Enterize B.V.,Onze missie is het ordenen van data zodat iedereen de structuren van het dagelijks leven op een optimale manier ervaart.,Industrial Automation,11-50 employees,Privately Held,"Moordrecht, South Holland, Netherlands",Netherlands,enterize.nl,https://www.linkedin.com/company/enterize
ICS Defense,Securing your Industrial IT,Industrial Automation,Self-employed,Self Owned,"Groningen, Groningen, Netherlands",Netherlands,icsdefense.nl,https://www.linkedin.com/company/icsdefense
CUSTOMMATE bv,U specialist voor verwarmingssystemen met infraroodtechniek. Ook voor buitenverwarming en vloerverwarming!,Industrial Automation,2-10 employees,Privately Held,"Werkendam, Netherlands",Netherlands,custommate.eu,https://www.linkedin.com/company/custommate-bv
Cats Design BV,Cats Design BV is a dutch company with over 20 years of experience when it comes to creating solutions for your mechatronic problems. We have the possibility to find a quick solution for your problem. We look for a simple solution to the problems that occur. We have clients all over Europe.,Industrial Automation,2-10 employees,Privately Held,"Oisterwijk, North Brabant, Netherlands",Netherlands,catsdesign.nl,https://www.linkedin.com/company/catsdesignbv
NMA Eastern Europe,"NMA develops and implements Technological Systems for Passenger and Cargo Terminals, Warehouses, Distribution Centers, Express Parcel Services and the Electronic Industry.

					
The head office is based in the Eindhoven area in The Netherlands and named NMA after a privatization from Royal Philips Electronics.",Industrial Automation,2-10 employees,Privately Held,"Helmond, North Brabant, Netherlands",Netherlands,nmaee.com,https://www.linkedin.com/company/nma-eastern-europe
Sysko IT,,Industrial Automation,Self-employed,Partnership,"Volendam, North Holland, Netherlands",Netherlands,sysko.nl,https://www.linkedin.com/company/sysko-it
Ballistic Research,,Industrial Automation,2-10 employees,Privately Held,"Kampen, Overijssel, Netherlands",Netherlands,ballisticresearch.eu,https://www.linkedin.com/company/ballistic-research
IA-department,IA-department is een industriële automatiseerder die gespecialiseerd is in het realiseren van industriële automatiseringsprojecten.,Industrial Automation,2-10 employees,Public Company,"Nijmegen, Gelderland, Netherlands",Netherlands,ia-department.com,https://www.linkedin.com/company/ia-department
Red Star Electronics,"Red Star Electronics Specialist in professionele geluids- en communicatietechniek

In de Nederlandse markt van professionele geluids- en communicatietechniek heeft de naam Red Star Electronics een bekende, heldere en bovenal betrouwbare klank. Het fundament van de onderneming is gebaseerd op een rijke historie en traditie van technologisch vakmanschap als importeur en groothandel op het gebied van professionele geluidstechniek, videodeurbewaking en interne communicatiesystemen.",Industrial Automation,2-10 employees,Non Profit,"Roelofarendsveen, Netherlands",Netherlands,redstarelectronics.nl,https://www.linkedin.com/company/red-star-electronics
EOL Robotics,"Robotautomatisering stelt mensen in staat banen en taken uit te voeren die menselijke redenering en logica vereisen, terwijl ze worden verwijderd van gevaarlijke, onveilige of repetitieve taken",Industrial Automation,2-10 employees,Privately Held,"Heerlen, Limburg, Netherlands",Netherlands,eol-robotics.nl,https://www.linkedin.com/company/eol-robotics
Koelewijn Operational Technology b.v.,"De dienstverlening die we vanuit het Greywise Partner Netwerk leveren in het Manufacturing IT domein is divers. Ook omdat het aantal verschillende soorten applicaties die we zien in dit domein divers is. Voorbeelden van applicaties zijn:

MES
PLC
DCS
SCADA
Productspecificatiemanagement
Kwaliteitssystemen
Productie Informatie Systemen (PIM)
Historian
LIMS
Scheduling",Industrial Automation,Self-employed,Self Employed,"Spakenburg, Utrecht, Netherlands",Netherlands,greywise.nl,https://www.linkedin.com/company/koelewijn-ingenieursbureau-en-bedrijfsadvies
